Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-10-13,MCLEODRUSS,EQ,66.45,67.1,67.95,64.6,64.85,65.1,66.35,169142,1.12217875e+12,,76906,0.4547
2005-10-14,MCLEODRUSS,EQ,65.1,66.0,66.0,62.0,62.3,62.35,63.53,167384,1.06343073e+12,,77911,0.4655
2005-10-17,MCLEODRUSS,EQ,62.35,63.45,63.45,59.25,59.4,60.1,60.91,265351,1.61635579e+12,,126333,0.4761
2005-10-18,MCLEODRUSS,EQ,60.1,60.25,61.9,59.1,60.3,60.35,60.63,285167,1.728920055e+12,,126791,0.4446
2005-10-19,MCLEODRUSS,EQ,60.35,60.1,60.1,57.0,57.8,57.5,58.25,243685,1.41934469e+12,,115028,0.472
2005-10-20,MCLEODRUSS,EQ,57.5,58.0,59.3,54.0,54.95,54.85,57.18,131904,7.54249715e+11,,54975,0.4168
2005-10-21,MCLEODRUSS,EQ,54.85,54.85,56.0,51.6,55.6,55.3,53.84,168498,9.07273735e+11,,63808,0.3787
2005-10-24,MCLEODRUSS,EQ,55.3,56.0,57.95,55.4,56.0,56.0,56.55,129447,7.31960855e+11,,47585,0.3676
2005-10-25,MCLEODRUSS,EQ,56.0,56.7,57.2,55.55,56.55,56.5,56.41,53855,3.0382077e+11,,22177,0.4118
2005-10-26,MCLEODRUSS,EQ,56.5,57.0,58.8,55.5,56.3,55.95,57.26,104427,5.9789846e+11,,41298,0.3955
2005-10-27,MCLEODRUSS,EQ,55.95,56.9,57.2,55.25,55.55,55.5,56.05,59970,3.36128185e+11,,29736,0.4958
2005-10-28,MCLEODRUSS,EQ,55.5,56.0,59.9,54.6,56.1,56.0,57.34,312911,1.794101155e+12,,59433,0.1899
2005-10-31,MCLEODRUSS,EQ,56.0,59.8,59.85,56.05,59.4,58.65,57.75,177390,1.02446812e+12,,69410,0.3913
2005-11-01,MCLEODRUSS,EQ,58.65,61.0,62.7,58.0,62.0,61.8,61.27,201008,1.231649785e+12,,68998,0.3433
2005-11-02,MCLEODRUSS,EQ,61.8,61.7,62.0,59.25,61.15,60.95,60.62,103322,6.2629941e+11,,39774,0.385
2005-11-07,MCLEODRUSS,EQ,60.95,61.0,62.45,60.1,61.5,61.5,61.42,110128,6.76352585e+11,,45152,0.41
2005-11-08,MCLEODRUSS,EQ,61.5,62.15,64.85,62.0,64.0,63.8,63.67,215154,1.3698549e+12,,62513,0.2906
2005-11-09,MCLEODRUSS,EQ,63.8,62.9,64.5,60.0,60.6,61.0,62.44,395872,2.471867225e+12,,110746,0.2798
2005-11-10,MCLEODRUSS,EQ,61.0,60.1,60.95,58.0,60.25,60.15,59.74,254047,1.51769758e+12,,103322,0.4067
2005-11-11,MCLEODRUSS,EQ,60.15,60.7,60.75,59.5,59.5,59.65,60.04,119203,7.15695915e+11,,82897,0.6954
2005-11-14,MCLEODRUSS,EQ,59.65,60.25,61.85,58.8,58.8,59.0,60.06,136604,8.20449375e+11,,57668,0.4222
2005-11-16,MCLEODRUSS,EQ,59.0,58.8,59.55,58.55,58.55,58.75,58.99,63315,3.73522435e+11,,33590,0.5305
2005-11-17,MCLEODRUSS,EQ,58.75,62.0,62.0,58.5,59.8,60.2,59.67,136734,8.1582492e+11,,61445,0.4494
2005-11-18,MCLEODRUSS,EQ,60.2,60.4,61.0,59.5,59.5,59.8,60.17,80561,4.8477401e+11,,53042,0.6584
2005-11-21,MCLEODRUSS,EQ,59.8,61.5,63.5,60.0,60.2,60.45,61.7,232356,1.433661425e+12,,87832,0.378
