Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2005-06-20,MLL,EQ,85.2,90.95,90.95,79.5,79.5,80.3,84.32,71638,6.0402165e+11,,13703,0.1913,32.12,2.5
2005-06-21,MLL,EQ,80.3,80.9,84.4,79.7,80.5,80.45,82.02,163345,1.339693035e+12,,55127,0.3375,32.18,2.5
2005-06-22,MLL,EQ,80.45,81.9,87.3,81.0,85.5,84.4,82.69,150991,1.248510965e+12,,99472,0.6588,33.76,2.5
2005-06-23,MLL,EQ,84.4,83.15,92.1,83.15,88.05,88.25,88.87,505448,4.491848725e+12,,126489,0.2503,35.3,2.5
2005-06-24,MLL,EQ,88.25,88.55,91.0,87.0,87.2,87.8,88.87,166401,1.47876555e+12,,77614,0.4664,35.12,2.5
2005-06-27,MLL,EQ,87.8,90.0,90.0,86.55,88.0,88.2,87.8,39523,3.46994125e+11,,20204,0.5112,35.28,2.5
2005-06-28,MLL,EQ,88.2,89.9,89.9,83.55,84.3,84.15,85.68,26815,2.2974164e+11,,13527,0.5045,33.66,2.5
2005-06-29,MLL,EQ,84.15,85.75,89.0,82.8,83.95,83.7,84.88,339964,2.8856462e+12,,154568,0.4547,33.48,2.5
2005-06-30,MLL,EQ,83.7,84.9,85.65,84.05,85.0,85.05,84.96,38063,3.2340037e+11,,20273,0.5326,34.02,2.5
2005-07-01,MLL,EQ,85.05,84.7,89.1,84.7,87.5,87.85,87.4,81182,7.0953749e+11,,38223,0.4708,35.14,2.5
2005-07-04,MLL,EQ,87.85,91.85,91.85,86.05,86.2,86.7,88.82,56575,5.0247619e+11,,33545,0.5929,34.68,2.5
2005-07-05,MLL,EQ,86.7,88.65,88.65,84.1,85.0,84.65,85.34,44047,3.7589901e+11,,30771,0.6986,33.86,2.5
2005-07-06,MLL,EQ,84.65,85.25,86.4,84.4,84.55,84.65,85.14,24539,2.08921995e+11,,15551,0.6337,33.86,2.5
2005-07-07,MLL,EQ,84.65,85.0,85.95,83.5,84.0,83.85,84.28,46272,3.8997405e+11,,28940,0.6254,33.54,2.5
