Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2007-03-07,MINDTREE,EQ,425.0,627.0,673.75,576.0,625.0,621.2,634.24,12594176,7.98768951055e+14,,1825382,0.1449,155.3,4.0
2007-03-08,MINDTREE,EQ,621.2,625.0,641.9,601.0,636.0,633.2,623.32,3351482,2.0890592331e+14,,268176,0.08,158.3,4.0
2007-03-09,MINDTREE,EQ,633.2,634.0,668.8,613.1,649.0,652.55,642.86,2530004,1.62644578565e+14,,268292,0.106,163.1375,4.0
2007-03-12,MINDTREE,EQ,652.55,651.3,783.1,645.3,783.1,780.8,732.06,8108044,5.9355889761e+14,,416418,0.0514,195.2,4.0
2007-03-13,MINDTREE,EQ,780.8,799.0,914.0,799.0,870.0,879.05,882.65,9615361,8.48701590785e+14,,495080,0.0515,219.7625,4.0
2007-03-14,MINDTREE,EQ,879.05,830.1,1003.5,802.0,918.9,947.4,917.29,12585144,1.15441797438e+15,,442179,0.0351,236.85,4.0
2007-03-15,MINDTREE,EQ,947.4,919.0,1023.2,917.25,927.0,930.15,972.21,7493267,7.28500531655e+14,,433608,0.0579,232.5375,4.0
2007-03-16,MINDTREE,EQ,930.15,942.0,980.0,878.1,883.2,897.3,917.98,5957200,5.4685742999e+14,,267305,0.0449,224.325,4.0
2007-03-19,MINDTREE,EQ,897.3,910.15,940.0,892.1,903.0,900.65,911.32,3380524,3.08075420525e+14,,157928,0.0467,225.1625,4.0
2007-03-20,MINDTREE,EQ,900.65,913.5,932.0,885.55,889.1,893.05,905.15,2095486,1.89672620705e+14,,111915,0.0534,223.2625,4.0
2007-03-21,MINDTREE,EQ,893.05,895.2,906.0,854.0,872.75,862.7,867.31,2926140,2.53785686805e+14,,159346,0.0545,215.675,4.0
2007-03-22,MINDTREE,EQ,862.7,882.0,900.0,867.15,869.0,873.1,882.91,2062713,1.8211945301e+14,,136944,0.0664,218.275,4.0
2007-03-23,MINDTREE,EQ,873.1,878.0,886.0,850.3,868.35,862.25,866.24,1645212,1.4251498252e+14,,122089,0.0742,215.5625,4.0
2007-03-26,MINDTREE,EQ,862.25,866.35,880.0,847.0,850.8,854.05,866.43,1192264,1.0330137417e+14,,100906,0.0846,213.5125,4.0
2007-03-28,MINDTREE,EQ,854.05,843.1,857.4,820.0,820.0,830.75,843.11,963205,8.1209242025e+13,,107808,0.1119,207.6875,4.0
2007-03-29,MINDTREE,EQ,830.75,830.1,843.0,820.0,837.0,825.4,828.88,839458,6.95807805e+13,,76098,0.0907,206.35,4.0
2007-03-30,MINDTREE,EQ,825.4,835.0,848.0,825.6,830.0,830.8,835.63,984385,8.225846878e+13,,68675,0.0698,207.7,4.0
2007-04-02,MINDTREE,EQ,830.8,809.65,827.7,803.65,818.65,811.65,817.68,473271,3.8698316205e+13,,71104,0.1502,202.9125,4.0
2007-04-03,MINDTREE,EQ,811.65,821.0,825.0,786.55,788.0,793.2,801.3,603079,4.8324745185e+13,,58778,0.0975,198.3,4.0
2007-04-04,MINDTREE,EQ,793.2,796.0,823.0,777.6,810.2,808.45,800.07,1222146,9.778081883e+13,,112437,0.092,202.1125,4.0
