Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-09-11,MOTILALOFS,EQ,825.0,911.1,997.8,911.1,973.9,976.85,976.39,6224061,6.07711194475e+14,,1014005,0.1629
2007-09-12,MOTILALOFS,EQ,976.85,987.0,992.8,958.6,963.0,964.85,972.68,929618,9.0421864115e+13,,144575,0.1555
2007-09-13,MOTILALOFS,EQ,964.85,956.6,968.9,936.1,936.1,943.35,950.69,414442,3.940076824e+13,,70106,0.1692
2007-09-14,MOTILALOFS,EQ,943.35,948.7,1017.0,945.0,974.7,971.4,991.85,1190610,1.18090942825e+14,,181923,0.1528
2007-09-17,MOTILALOFS,EQ,971.4,980.0,992.5,960.0,965.0,962.75,974.8,287446,2.80202527e+13,,66295,0.2306
2007-09-18,MOTILALOFS,EQ,962.75,964.0,977.3,955.0,958.0,957.6,965.17,151644,1.4636223065e+13,,56008,0.3693
2007-09-19,MOTILALOFS,EQ,957.6,962.0,992.0,960.0,970.0,967.45,977.21,219515,2.145131082e+13,,85078,0.3876
2007-09-20,MOTILALOFS,EQ,967.45,967.45,994.85,957.0,981.0,978.05,973.87,185944,1.810846259e+13,,67710,0.3641
2007-09-21,MOTILALOFS,EQ,978.05,965.0,1009.9,965.0,988.25,993.15,993.45,278682,2.768557882e+13,,90265,0.3239
2007-09-24,MOTILALOFS,EQ,993.15,995.0,1080.0,991.9,1050.0,1063.3,1037.2,448096,4.647640636e+13,,181919,0.406
2007-09-25,MOTILALOFS,EQ,1063.3,1036.0,1058.45,978.75,1020.0,1022.05,1009.31,266982,2.6946800015e+13,,104398,0.391
2007-09-26,MOTILALOFS,EQ,1022.05,1028.4,1038.0,992.0,997.0,998.7,1015.86,70880,7.200422485e+12,,24641,0.3476
2007-09-27,MOTILALOFS,EQ,998.7,1009.0,1030.0,1006.1,1018.0,1016.9,1015.39,55706,5.65631189e+12,,36393,0.6533
2007-09-28,MOTILALOFS,EQ,1016.9,1018.0,1109.4,1010.1,1095.0,1094.2,1073.87,284077,3.050629997e+13,,124434,0.438
2007-10-01,MOTILALOFS,EQ,1094.2,1104.4,1104.4,1051.0,1060.0,1062.65,1070.01,55545,5.943372605e+12,,19971,0.3595
2007-10-03,MOTILALOFS,EQ,1062.65,1147.0,1153.0,1060.0,1094.0,1085.15,1101.6,70950,7.815879395e+12,,25416,0.3582
2007-10-04,MOTILALOFS,EQ,1085.15,1085.0,1125.0,1035.0,1099.0,1093.25,1094.3,42251,4.623540885e+12,,10653,0.2521
2007-10-05,MOTILALOFS,EQ,1093.25,1111.0,1125.0,1092.7,1105.0,1098.4,1101.56,37349,4.11423383e+12,,23793,0.637
2007-10-08,MOTILALOFS,EQ,1098.4,1098.4,1120.0,1081.0,1119.9,1105.7,1097.68,59723,6.55570321e+12,,33534,0.5615
2007-10-09,MOTILALOFS,EQ,1105.7,1085.35,1125.0,1085.35,1116.0,1107.95,1104.68,61101,6.74972002e+12,,36293,0.594
2007-10-10,MOTILALOFS,EQ,1107.95,1116.1,1245.0,1116.1,1220.0,1219.05,1188.34,93788,1.114524381e+13,,23595,0.2516
2007-10-11,MOTILALOFS,EQ,1219.05,1225.0,1282.0,1200.0,1239.95,1235.7,1244.33,41387,5.14990894e+12,,13446,0.3249
2007-10-12,MOTILALOFS,EQ,1235.7,1233.0,1285.0,1211.35,1250.0,1241.65,1252.64,34134,4.27575065e+12,,15602,0.4571
2007-10-15,MOTILALOFS,EQ,1241.65,1241.65,1284.95,1225.0,1242.5,1246.4,1263.4,14072,1.777858865e+12,,5790,0.4115
