Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-03-31,N100,EQ,104.2,104.85,105.0,94.1,104.0,103.78,102.62,6656,68305759000.0,,5412,0.8131
2011-04-01,N100,EQ,103.78,100.0,104.0,100.0,103.4,103.24,102.36,587,6008290000.0,,496,0.845
2011-04-04,N100,EQ,103.24,104.7,104.7,99.1,102.1,102.23,103.15,1869,19278251000.0,,1483,0.7935
2011-04-05,N100,EQ,102.23,103.78,103.78,101.5,103.75,103.13,103.06,1277,13160210000.0,,926,0.7251
2011-04-06,N100,EQ,103.13,103.0,109.0,103.0,105.0,104.16,104.98,6954,73006240000.0,,6226,0.8953
2011-04-07,N100,EQ,104.16,104.0,105.95,104.0,105.5,105.36,104.86,1861,19513801000.0,,1614,0.8673
2011-04-08,N100,EQ,105.36,106.0,108.25,104.0,104.0,104.53,106.61,24849,2.64915494e+11,,22757,0.9158
2011-04-11,N100,EQ,104.53,106.0,106.0,104.1,105.0,105.04,105.16,1654,17394020000.0,,1332,0.8053
2011-04-13,N100,EQ,105.04,105.01,106.49,104.01,105.55,105.55,105.12,1615,16976500000.0,,1155,0.7152
2011-04-15,N100,EQ,105.55,106.0,109.85,100.05,103.0,102.71,103.33,2830,29242578000.0,,2365,0.8357
2011-04-18,N100,EQ,102.71,104.73,105.0,103.0,104.0,103.49,103.66,3085,31980042000.0,,1883,0.6104
2011-04-19,N100,EQ,103.49,103.01,103.5,102.0,102.0,102.36,102.67,1010,10369277000.0,,680,0.6733
2011-04-20,N100,EQ,102.36,104.98,104.98,102.04,102.45,102.45,103.72,1338,13877701000.0,,1179,0.8812
2011-04-21,N100,EQ,102.45,103.99,104.75,102.0,104.0,104.07,103.52,3015,31211147000.0,,1737,0.5761
2011-04-25,N100,EQ,104.07,105.0,105.99,103.0,104.0,104.63,105.15,5761,60578336000.0,,3456,0.5999
2011-04-26,N100,EQ,104.63,105.3,106.4,104.0,106.0,105.97,106.07,6173,65476897000.0,,5502,0.8913
2011-04-27,N100,EQ,105.97,108.5,108.5,103.79,106.0,105.99,105.59,6845,72275199000.0,,5841,0.8533
2011-04-28,N100,EQ,105.99,104.6,106.0,104.25,106.0,105.97,105.92,5576,59061707000.0,,5398,0.9681
2011-04-29,N100,EQ,105.97,106.0,106.0,103.03,104.05,103.88,104.33,8906,92918601000.0,,6551,0.7356
2011-05-02,N100,EQ,103.88,122.0,122.0,105.0,105.95,105.94,106.2,2113,22440000000.0,,1640,0.7761
2011-05-03,N100,EQ,105.94,103.6,105.8,103.0,103.0,103.0,104.25,2734,28500738000.0,,2206,0.8069
2011-05-04,N100,EQ,103.0,103.0,105.1,101.57,103.05,104.06,104.13,821,8548717000.0,,630,0.7674
2011-05-05,N100,EQ,104.06,103.05,104.36,102.0,103.0,103.27,102.8,1326,13630901000.0,,893,0.6735
2011-05-06,N100,EQ,103.27,106.5,108.0,102.0,104.95,104.95,105.29,1781,18752583000.0,,1425,0.8001
