Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,NAVNETPUBL,EQ,180.0,179.0,179.0,179.0,,179.0,179.0,100,1790000000.0,,,
1996-01-02,NAVNETPUBL,EQ,179.0,177.0,184.0,177.0,,184.0,182.0,1700,30940000000.0,,,
1996-01-03,NAVNETPUBL,EQ,184.0,184.0,185.0,184.0,,185.0,184.58,1200,22150000000.0,,,
1996-01-04,NAVNETPUBL,EQ,185.0,182.0,185.0,182.0,,185.0,183.5,1100,20185000000.0,,,
1996-01-05,NAVNETPUBL,EQ,185.0,183.0,183.0,183.0,,183.0,183.0,100,1830000000.0,,,
1996-01-08,NAVNETPUBL,EQ,183.0,188.0,188.0,180.0,,180.0,181.58,600,10894500000.0,,,
1996-01-09,NAVNETPUBL,EQ,180.0,178.0,182.0,176.0,,176.0,179.63,2400,43110000000.0,,,
1996-01-10,NAVNETPUBL,EQ,176.0,176.0,177.5,177.5,,177.5,177.5,200,3550000000.0,,,
1996-01-11,NAVNETPUBL,EQ,177.5,177.5,180.0,178.0,,178.0,179.0,200,3580000000.0,,,
1996-01-15,NAVNETPUBL,EQ,178.0,178.0,178.05,178.05,,178.05,178.05,100,1780500000.0,,,
1996-01-17,NAVNETPUBL,EQ,178.05,179.0,179.0,179.0,,179.0,179.0,100,1790000000.0,,,
1996-01-18,NAVNETPUBL,EQ,179.0,179.0,179.0,177.05,,177.05,178.03,200,3560500000.0,,,
1996-01-22,NAVNETPUBL,EQ,177.05,177.05,175.0,172.0,,175.0,174.2,500,8710000000.0,,,
1996-01-23,NAVNETPUBL,EQ,175.0,175.0,175.0,173.05,,173.05,174.51,800,13961000000.0,,,
1996-01-24,NAVNETPUBL,EQ,173.05,173.05,171.0,171.0,,171.0,171.0,100,1710000000.0,,,
1996-01-30,NAVNETPUBL,EQ,171.0,171.0,176.0,172.0,,173.05,173.51,800,13881000000.0,,,
1996-01-31,NAVNETPUBL,EQ,173.05,175.0,179.0,174.0,,179.0,177.49,800,14199000000.0,,,
1996-02-01,NAVNETPUBL,EQ,179.0,179.0,178.0,177.45,,177.45,177.73,200,3554500000.0,,,
1996-02-02,NAVNETPUBL,EQ,177.45,182.0,182.0,179.0,,180.0,180.0,600,10800000000.0,,,
1996-02-05,NAVNETPUBL,EQ,180.0,180.0,182.0,180.0,,180.0,180.5,400,7220000000.0,,,
1996-02-06,NAVNETPUBL,EQ,180.0,180.0,182.0,181.0,,181.0,181.15,800,14492000000.0,,,
1996-02-07,NAVNETPUBL,EQ,181.0,180.25,180.25,180.25,,180.25,180.25,200,3605000000.0,,,
1996-02-09,NAVNETPUBL,EQ,180.25,182.0,188.0,182.0,,188.0,185.6,500,9280000000.0,,,
1996-02-12,NAVNETPUBL,EQ,188.0,188.0,193.5,184.0,,186.0,187.1,500,9355000000.0,,,
1996-02-13,NAVNETPUBL,EQ,186.0,186.0,192.0,187.5,,189.0,189.57,1500,28435000000.0,,,
1996-02-14,NAVNETPUBL,EQ,189.0,205.0,207.0,205.0,,207.0,206.0,600,12360000000.0,,,
1996-02-15,NAVNETPUBL,EQ,207.0,210.0,214.95,210.0,,212.0,212.71,1800,38287500000.0,,,
1996-02-16,NAVNETPUBL,EQ,212.0,212.0,217.0,210.05,,216.0,216.03,4300,92891500000.0,,,
1996-02-19,NAVNETPUBL,EQ,216.0,220.0,225.0,220.0,,222.25,222.8,2600,57929000000.0,,,
1996-02-20,NAVNETPUBL,EQ,222.25,222.25,224.0,220.0,,221.3,222.05,2000,44409000000.0,,,
1996-02-22,NAVNETPUBL,EQ,221.3,222.5,230.0,222.0,,222.5,225.39,1500,33808500000.0,,,
1996-02-23,NAVNETPUBL,EQ,222.5,222.5,218.0,216.0,,218.0,216.26,900,19463500000.0,,,
1996-02-26,NAVNETPUBL,EQ,218.0,218.0,212.0,208.25,,210.75,210.85,500,10542500000.0,,,
1996-02-27,NAVNETPUBL,EQ,210.75,218.0,220.75,212.0,,219.2,218.0,2500,54500000000.0,,,
1996-02-28,NAVNETPUBL,EQ,219.2,219.2,242.15,235.0,,242.15,240.5,3600,86581500000.0,,,
1996-02-29,NAVNETPUBL,EQ,242.15,250.0,253.5,232.0,,236.5,241.82,4100,99146500000.0,,,
1996-03-01,NAVNETPUBL,EQ,236.5,236.5,238.25,230.0,,230.5,234.47,2300,53928000000.0,,,
1996-03-04,NAVNETPUBL,EQ,230.5,227.0,227.0,215.0,,216.05,218.71,4400,96233000000.0,,,
