Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,NAGARCONST,EQ,158.0,158.0,158.0,156.0,,156.0,157.15,500,7857500000.0,,,
1996-01-02,NAGARCONST,EQ,156.0,156.0,156.1,154.5,,154.5,155.28,3000,46582500000.0,,,
1996-01-03,NAGARCONST,EQ,154.5,154.5,156.0,155.0,,155.0,155.33,300,4660000000.0,,,
1996-01-04,NAGARCONST,EQ,155.0,155.0,153.0,149.0,,152.9,151.89,11100,1.68596e+11,,,
1996-01-05,NAGARCONST,EQ,152.9,152.9,155.0,151.0,,151.0,153.18,1400,21445500000.0,,,
1996-01-08,NAGARCONST,EQ,151.0,151.0,151.0,149.75,,151.0,150.55,500,7527500000.0,,,
1996-01-09,NAGARCONST,EQ,151.0,151.0,150.0,148.75,,149.0,149.15,1100,16406500000.0,,,
1996-01-10,NAGARCONST,EQ,149.0,149.0,150.0,148.0,,150.0,149.2,1500,22380000000.0,,,
1996-01-11,NAGARCONST,EQ,150.0,150.0,151.0,149.5,,150.0,150.06,2100,31512000000.0,,,
1996-01-12,NAGARCONST,EQ,150.0,147.0,151.0,147.0,,150.0,149.71,700,10480000000.0,,,
1996-01-15,NAGARCONST,EQ,150.0,148.75,148.75,148.75,,148.75,148.75,100,1487500000.0,,,
1996-01-16,NAGARCONST,EQ,148.75,148.75,147.5,144.0,,144.0,146.38,1600,23421000000.0,,,
1996-01-17,NAGARCONST,EQ,144.0,144.0,145.75,144.0,,144.0,144.46,600,8667500000.0,,,
1996-01-18,NAGARCONST,EQ,144.0,144.0,142.0,138.0,,138.0,139.75,400,5590000000.0,,,
1996-01-19,NAGARCONST,EQ,138.0,138.0,138.0,130.0,,132.95,131.79,2600,34265000000.0,,,
1996-01-22,NAGARCONST,EQ,132.95,137.0,137.0,133.05,,134.95,134.99,800,10799500000.0,,,
1996-01-23,NAGARCONST,EQ,134.95,134.95,136.0,130.0,,133.0,133.69,1700,22727500000.0,,,
1996-01-24,NAGARCONST,EQ,133.0,132.5,132.5,131.0,,131.5,131.88,600,7912500000.0,,,
1996-01-25,NAGARCONST,EQ,131.5,130.5,130.5,128.5,,128.5,129.53,900,11657500000.0,,,
1996-01-29,NAGARCONST,EQ,128.5,129.0,129.0,128.0,,128.0,128.69,800,10295000000.0,,,
1996-01-30,NAGARCONST,EQ,128.0,125.0,127.0,124.0,,126.85,125.91,1300,16368500000.0,,,
1996-01-31,NAGARCONST,EQ,126.85,126.5,130.0,126.5,,130.0,128.0,400,5120000000.0,,,
1996-02-01,NAGARCONST,EQ,130.0,130.0,132.5,125.5,,132.25,128.95,3400,43844500000.0,,,
1996-02-02,NAGARCONST,EQ,132.25,132.25,145.0,140.25,,144.8,144.01,4200,60483000000.0,,,
1996-02-05,NAGARCONST,EQ,144.8,144.8,148.0,140.0,,141.0,141.64,4600,65152500000.0,,,
1996-02-06,NAGARCONST,EQ,141.0,141.0,145.0,135.0,,135.0,138.0,2800,38639000000.0,,,
1996-02-07,NAGARCONST,EQ,135.0,135.0,135.0,133.5,,135.0,134.47,1300,17481000000.0,,,
1996-02-08,NAGARCONST,EQ,135.0,135.0,137.0,130.0,,130.0,135.91,1600,21745000000.0,,,
1996-02-09,NAGARCONST,EQ,130.0,135.0,136.0,134.0,,136.0,135.35,2300,31130000000.0,,,
1996-02-12,NAGARCONST,EQ,136.0,136.0,144.0,136.0,,139.45,138.76,900,12488500000.0,,,
1996-02-13,NAGARCONST,EQ,139.45,139.0,139.0,130.0,,134.8,134.64,3500,47123000000.0,,,
1996-02-14,NAGARCONST,EQ,134.8,137.0,141.0,135.0,,137.0,137.51,3600,49503500000.0,,,
1996-02-15,NAGARCONST,EQ,137.0,137.0,150.5,135.0,,149.35,142.85,8700,1.242815e+11,,,
1996-02-16,NAGARCONST,EQ,149.35,149.35,155.0,146.2,,154.5,151.3,8800,1.33143e+11,,,
1996-02-19,NAGARCONST,EQ,154.5,154.5,166.0,151.0,,164.8,160.64,19800,3.18074e+11,,,
1996-02-20,NAGARCONST,EQ,164.8,164.8,181.0,160.25,,171.35,169.52,42000,7.119685e+11,,,
1996-02-22,NAGARCONST,EQ,171.35,120.6,133.3,122.0,,133.2,132.69,5800,76958500000.0,,,
1996-02-23,NAGARCONST,EQ,133.2,133.2,135.0,132.0,,133.0,133.64,2700,36081500000.0,,,
1996-02-26,NAGARCONST,EQ,133.0,133.0,138.95,133.0,,133.25,134.07,2500,33518500000.0,,,
1996-02-27,NAGARCONST,EQ,133.25,133.25,134.9,133.0,,134.0,133.39,2800,37349000000.0,,,
1996-02-28,NAGARCONST,EQ,134.0,134.0,135.0,131.0,,135.0,134.25,6200,83236500000.0,,,
1996-02-29,NAGARCONST,EQ,135.0,135.0,135.9,131.0,,135.5,134.56,5400,72664000000.0,,,
1996-03-01,NAGARCONST,EQ,135.5,135.0,135.0,132.8,,132.8,133.05,1100,14635500000.0,,,
1996-03-04,NAGARCONST,EQ,132.8,132.8,136.9,132.5,,135.3,133.82,2400,32116000000.0,,,
1996-03-06,NAGARCONST,EQ,135.3,135.3,132.15,128.0,,129.25,130.84,1900,24860500000.0,,,
1996-03-07,NAGARCONST,EQ,129.25,129.25,128.0,125.1,,126.5,126.48,2100,26560500000.0,,,
1996-03-08,NAGARCONST,EQ,126.5,126.5,139.05,125.0,,137.15,134.66,14000,1.885255e+11,,,
1996-03-11,NAGARCONST,EQ,137.15,137.15,150.0,137.8,,148.75,144.71,7500,1.085315e+11,,,
1996-03-12,NAGARCONST,EQ,148.75,148.75,152.95,147.05,,149.9,149.66,17400,2.60413e+11,,,
1996-03-13,NAGARCONST,EQ,149.9,149.9,152.0,148.15,,149.05,150.44,6200,93270500000.0,,,
1996-03-14,NAGARCONST,EQ,149.05,149.05,152.0,149.5,,149.5,151.24,1900,28736000000.0,,,
1996-03-15,NAGARCONST,EQ,149.5,149.5,149.0,143.0,,143.0,144.86,3100,44908000000.0,,,
1996-03-18,NAGARCONST,EQ,143.0,143.0,138.5,136.0,,136.05,137.3,2200,30206000000.0,,,
1996-03-19,NAGARCONST,EQ,136.05,136.05,140.0,128.0,,134.6,133.51,6100,81442000000.0,,,
1996-03-21,NAGARCONST,EQ,134.6,134.6,144.9,139.25,,143.85,142.3,1900,27037500000.0,,,
1996-03-22,NAGARCONST,EQ,143.85,143.85,144.0,140.1,,140.6,142.71,3700,52801000000.0,,,
1996-03-25,NAGARCONST,EQ,140.6,142.0,142.0,137.45,,137.5,139.42,3100,43219000000.0,,,
1996-03-26,NAGARCONST,EQ,137.5,137.5,145.0,127.0,,139.8,138.94,48700,6.76627e+11,,,
1996-03-27,NAGARCONST,EQ,139.8,139.8,149.0,137.0,,146.15,143.48,13900,1.99434e+11,,,
1996-03-28,NAGARCONST,EQ,146.15,146.15,160.0,150.5,,157.7,155.89,25600,3.99084e+11,,,
1996-03-29,NAGARCONST,EQ,157.7,155.0,162.5,155.0,,161.1,159.23,33500,5.334175e+11,,,
1996-04-01,NAGARCONST,EQ,161.1,161.1,167.95,158.05,,165.65,162.68,19200,3.123405e+11,,,
1996-04-02,NAGARCONST,EQ,165.65,165.65,170.0,162.0,,168.85,165.54,19100,3.16172e+11,,,
1996-04-03,NAGARCONST,EQ,168.85,168.85,168.0,156.25,,157.95,163.3,9700,1.58403e+11,,,
1996-04-04,NAGARCONST,EQ,157.95,157.95,157.2,151.0,,156.15,154.01,9000,1.386055e+11,,,
1996-04-08,NAGARCONST,EQ,156.15,156.15,154.9,146.75,,147.1,150.77,12500,1.88457e+11,,,
1996-04-09,NAGARCONST,EQ,147.1,147.1,151.95,133.5,,150.05,145.98,35200,5.13834e+11,,,
1996-04-10,NAGARCONST,EQ,150.05,150.05,153.0,143.0,,152.2,150.04,26600,3.99101e+11,,,
1996-04-11,NAGARCONST,EQ,152.2,152.2,155.0,149.0,,154.65,153.03,28600,4.37663e+11,,,
1996-04-12,NAGARCONST,EQ,154.65,154.65,157.0,150.5,,156.25,153.63,24600,3.77919e+11,,,
1996-04-15,NAGARCONST,EQ,156.25,156.25,155.0,151.3,,152.75,152.89,6800,1.03966e+11,,,
1996-04-16,NAGARCONST,EQ,152.75,152.75,152.25,149.0,,151.4,150.57,16700,2.51453e+11,,,
1996-04-17,NAGARCONST,EQ,151.4,151.4,150.0,145.0,,145.95,147.06,7900,1.161755e+11,,,
1996-04-18,NAGARCONST,EQ,145.95,145.95,148.0,141.0,,141.8,144.22,6200,89413500000.0,,,
1996-04-19,NAGARCONST,EQ,141.8,141.8,139.0,135.0,,137.55,137.34,8000,1.098755e+11,,,
1996-04-22,NAGARCONST,EQ,137.55,137.55,138.0,132.0,,133.4,134.28,7200,96679000000.0,,,
1996-04-23,NAGARCONST,EQ,133.4,133.4,133.0,120.0,,122.3,127.18,12600,1.60252e+11,,,
1996-04-24,NAGARCONST,EQ,122.3,122.3,135.0,124.5,,127.65,131.05,7400,96977500000.0,,,
1996-04-25,NAGARCONST,EQ,127.65,127.65,133.0,126.0,,128.0,129.37,5800,75033500000.0,,,
1996-04-26,NAGARCONST,EQ,128.0,128.0,129.0,125.0,,125.55,126.73,4900,62096000000.0,,,
1996-04-29,NAGARCONST,EQ,125.55,125.55,124.0,118.0,,121.8,120.79,5800,70056500000.0,,,
1996-04-30,NAGARCONST,EQ,121.8,121.8,122.0,116.7,,118.75,118.64,8700,1.03221e+11,,,
1996-05-01,NAGARCONST,EQ,118.75,118.75,131.05,125.0,,129.25,129.45,12600,1.63109e+11,,,
1996-05-02,NAGARCONST,EQ,129.25,129.25,131.0,125.25,,127.3,128.17,5900,75621500000.0,,,
1996-05-03,NAGARCONST,EQ,127.3,127.3,129.9,127.0,,127.05,128.04,4900,62737500000.0,,,
1996-05-06,NAGARCONST,EQ,127.05,126.0,126.0,122.5,,123.5,123.86,6800,84221500000.0,,,
1996-05-07,NAGARCONST,EQ,123.5,123.5,126.0,123.0,,123.8,123.88,7000,86718500000.0,,,
1996-05-08,NAGARCONST,EQ,123.8,123.8,123.5,121.9,,122.8,122.61,1600,19617000000.0,,,
1996-05-09,NAGARCONST,EQ,122.8,122.8,122.5,120.0,,120.0,120.85,2000,24169000000.0,,,
1996-05-10,NAGARCONST,EQ,120.0,120.0,120.0,116.5,,119.5,119.11,2000,23822000000.0,,,
1996-05-13,NAGARCONST,EQ,119.5,119.5,120.0,118.3,,119.9,119.61,1900,22725000000.0,,,
1996-05-14,NAGARCONST,EQ,119.9,119.9,121.25,117.0,,118.2,119.14,2400,28592500000.0,,,
1996-05-15,NAGARCONST,EQ,118.2,118.2,117.5,110.05,,114.85,115.28,4600,53028500000.0,,,
1996-05-16,NAGARCONST,EQ,114.85,121.0,126.5,121.0,,125.3,124.38,7100,88310000000.0,,,
1996-05-17,NAGARCONST,EQ,125.3,125.3,125.45,121.0,,124.65,123.64,5500,68003500000.0,,,
1996-05-20,NAGARCONST,EQ,124.65,124.65,121.0,117.5,,118.75,119.32,700,8352500000.0,,,
1996-05-21,NAGARCONST,EQ,118.75,118.75,117.25,113.25,,114.0,115.44,7500,86580000000.0,,,
1996-05-22,NAGARCONST,EQ,114.0,116.5,117.3,116.0,,116.6,116.5,1600,18640000000.0,,,
1996-05-23,NAGARCONST,EQ,116.6,116.6,118.0,113.05,,115.0,115.39,1300,15000500000.0,,,
1996-05-24,NAGARCONST,EQ,115.0,115.0,114.75,108.1,,111.8,111.31,2900,32279500000.0,,,
1996-05-27,NAGARCONST,EQ,111.8,111.8,110.0,105.0,,105.85,106.42,2000,21283000000.0,,,
1996-05-28,NAGARCONST,EQ,105.85,105.85,110.0,105.65,,108.0,107.89,3900,42075500000.0,,,
