Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2007-04-03,NCLIND,EQ,37.0,37.8,37.8,36.1,36.3,36.45,36.75,4641,17057555000.0,,1327,0.2859,36.45,1.0
2007-04-04,NCLIND,EQ,36.45,36.95,37.35,34.7,36.1,36.45,36.37,5395,19619330000.0,,2805,0.5199,36.45,1.0
2007-04-05,NCLIND,EQ,36.45,37.5,38.3,36.65,38.3,37.8,37.64,3911,14722010000.0,,2434,0.6223,37.8,1.0
2007-04-09,NCLIND,EQ,37.8,39.5,39.7,38.5,39.05,39.2,39.29,1972,7748425000.0,,1766,0.8955,39.2,1.0
2007-04-10,NCLIND,EQ,39.2,41.0,41.0,39.0,40.0,39.95,39.7,6797,26985765000.0,,5737,0.844,39.95,1.0
2007-04-11,NCLIND,EQ,39.95,39.0,39.25,38.1,38.1,38.35,38.8,16891,65533740000.0,,14575,0.8629,38.35,1.0
2007-04-12,NCLIND,EQ,38.35,39.0,39.0,37.0,38.0,37.8,37.53,3866,14510750000.0,,2500,0.6467,37.8,1.0
2007-04-13,NCLIND,EQ,37.8,36.05,38.9,36.05,37.7,37.8,37.9,6367,24132710000.0,,4436,0.6967,37.8,1.0
2007-04-16,NCLIND,EQ,37.8,39.5,39.7,37.7,39.7,39.7,39.52,11042,43637820000.0,,8203,0.7429,39.7,1.0
2007-04-17,NCLIND,EQ,39.7,40.5,41.7,40.5,41.7,41.7,41.47,6731,27915435000.0,,3737,0.5552,41.7,1.0
2007-04-18,NCLIND,EQ,41.7,43.8,43.8,42.85,43.8,43.75,43.61,15214,66351485000.0,,13595,0.8936,43.75,1.0
2007-04-19,NCLIND,EQ,43.75,42.75,44.7,42.1,42.85,42.55,42.8,6150,26318925000.0,,4195,0.6821,42.55,1.0
2007-04-20,NCLIND,EQ,42.55,43.0,44.5,42.5,43.25,43.2,43.22,5068,21905215000.0,,4515,0.8909,43.2,1.0
2007-04-23,NCLIND,EQ,43.2,43.0,43.0,41.5,42.0,42.0,42.22,10889,45969850000.0,,7957,0.7307,42.0,1.0
2007-04-24,NCLIND,EQ,42.0,41.5,41.5,39.9,40.5,40.5,40.44,38542,1.5584769e+11,,30514,0.7917,40.5,1.0
2007-04-25,NCLIND,EQ,40.5,39.85,42.55,39.85,42.55,41.45,40.77,42930,1.75011125e+11,,35375,0.824,41.45,1.0
2007-04-26,NCLIND,EQ,41.45,43.15,43.5,41.2,41.6,41.5,42.16,7209,30395825000.0,,5568,0.7724,41.5,1.0
2007-04-27,NCLIND,EQ,41.5,41.6,42.5,39.45,39.85,39.7,41.13,44446,1.827863e+11,,32465,0.7304,39.7,1.0
2007-04-30,NCLIND,EQ,39.7,38.0,39.6,37.75,38.15,38.0,38.09,16944,64540065000.0,,13792,0.814,38.0,1.0
2007-05-03,NCLIND,EQ,38.0,38.05,38.5,36.55,36.9,37.05,37.44,26281,98386595000.0,,23269,0.8854,37.05,1.0
2007-05-04,NCLIND,EQ,37.05,38.8,38.9,38.0,38.6,38.55,38.67,48046,1.8579376e+11,,32311,0.6725,38.55,1.0
2007-05-07,NCLIND,EQ,38.55,37.15,38.5,36.65,36.9,36.8,37.06,25558,94730640000.0,,17034,0.6665,36.8,1.0
2007-05-08,NCLIND,EQ,36.8,36.45,37.05,35.7,36.65,36.5,36.45,38460,1.4017544e+11,,33690,0.876,36.5,1.0
2007-05-09,NCLIND,EQ,36.5,36.1,36.2,35.1,36.0,35.45,35.5,14363,50990795000.0,,10752,0.7486,35.45,1.0
2007-05-10,NCLIND,EQ,35.45,36.0,36.55,35.45,35.45,35.5,35.73,11450,40913035000.0,,9490,0.8288,35.5,1.0
2007-05-11,NCLIND,EQ,35.5,34.35,37.3,34.35,37.05,37.15,36.18,16589,60018160000.0,,12029,0.7251,37.15,1.0
2007-05-14,NCLIND,EQ,37.15,38.9,38.9,37.2,37.9,38.15,38.09,15329,58391595000.0,,12768,0.8329,38.15,1.0
2007-05-15,NCLIND,EQ,38.15,38.5,39.4,37.65,38.85,39.1,38.77,14062,54516905000.0,,10120,0.7197,39.1,1.0
