Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2000-11-08,NOVARTIND,EQ,562.9,520.0,594.05,520.0,580.0,577.45,578.33,25701,1.48636203e+12,,,,577.45,1.0
2000-11-09,NOVARTIND,EQ,577.45,600.0,600.0,575.1,582.5,580.8,581.46,13198,7.6741721e+11,,,,580.8,1.0
2000-11-10,NOVARTIND,EQ,580.8,580.75,580.75,541.35,546.0,547.3,557.94,23827,1.3293977e+12,,,,547.3,1.0
2000-11-13,NOVARTIND,EQ,547.3,540.0,540.0,492.0,501.0,500.3,505.51,47503,2.40131845e+12,,,,500.3,1.0
2000-11-14,NOVARTIND,EQ,500.3,500.25,535.0,500.25,528.95,528.35,521.04,40325,2.10110242e+12,,,,528.35,1.0
2000-11-15,NOVARTIND,EQ,528.35,539.85,547.9,530.0,533.0,532.5,537.83,33589,1.806510195e+12,,,,532.5,1.0
2000-11-16,NOVARTIND,EQ,532.5,537.0,559.9,527.15,551.0,545.45,547.68,74486,4.079440955e+12,,,,545.45,1.0
2000-11-17,NOVARTIND,EQ,545.45,540.2,558.0,540.05,556.0,554.75,550.91,55195,3.04075005e+12,,,,554.75,1.0
2000-11-20,NOVARTIND,EQ,554.75,559.8,575.0,553.0,556.5,556.2,563.57,52200,2.941829575e+12,,,,556.2,1.0
2000-11-21,NOVARTIND,EQ,556.2,550.55,560.0,547.0,556.0,554.65,554.06,35336,1.957827615e+12,,,,554.65,1.0
2000-11-22,NOVARTIND,EQ,554.65,552.0,567.5,552.0,563.0,564.05,559.69,13809,7.72879035e+11,,,,564.05,1.0
2000-11-23,NOVARTIND,EQ,564.05,558.0,561.7,555.0,557.8,557.9,558.29,3577,1.9969996e+11,,,,557.9,1.0
2000-11-24,NOVARTIND,EQ,557.9,556.1,564.8,548.15,549.85,550.4,555.45,9732,5.4056304e+11,,,,550.4,1.0
2000-11-27,NOVARTIND,EQ,550.4,550.0,550.0,520.1,530.0,529.0,531.87,13761,7.319105e+11,,,,529.0,1.0
2000-11-28,NOVARTIND,EQ,529.0,521.75,538.9,521.25,532.0,529.05,530.14,35545,1.884370535e+12,,,,529.05,1.0
2000-11-29,NOVARTIND,EQ,529.05,529.95,547.8,529.95,533.0,533.2,536.36,11644,6.2454328e+11,,,,533.2,1.0
2000-11-30,NOVARTIND,EQ,533.2,539.75,539.85,533.55,535.85,534.5,535.28,8546,4.57450635e+11,,,,534.5,1.0
2000-12-01,NOVARTIND,EQ,534.5,534.0,534.85,522.0,528.5,528.8,528.1,13258,7.0015989e+11,,,,528.8,1.0
2000-12-04,NOVARTIND,EQ,528.8,539.0,539.0,521.1,526.0,525.35,528.12,9108,4.8101448e+11,,,,525.35,1.0
2000-12-05,NOVARTIND,EQ,525.35,521.0,530.0,521.0,530.0,526.45,525.77,13390,7.04001075e+11,,,,526.45,1.0
2000-12-06,NOVARTIND,EQ,526.45,528.0,545.0,525.05,527.0,526.35,530.34,6409,3.39897015e+11,,,,526.35,1.0
2000-12-07,NOVARTIND,EQ,526.35,539.5,539.5,523.4,529.5,527.6,529.69,4635,2.4550989e+11,,,,527.6,1.0
2000-12-08,NOVARTIND,EQ,527.6,531.7,533.0,526.0,528.0,528.5,528.74,16342,8.64064385e+11,,,,528.5,1.0
2000-12-11,NOVARTIND,EQ,528.5,525.05,533.0,525.0,528.55,528.3,529.18,6411,3.392596e+11,,,,528.3,1.0
2000-12-12,NOVARTIND,EQ,528.3,528.0,563.8,528.0,545.8,546.85,549.45,17927,9.8499065e+11,,,,546.85,1.0
2000-12-13,NOVARTIND,EQ,546.85,560.0,565.0,550.0,557.0,554.85,557.8,36247,2.021844445e+12,,,,554.85,1.0
2000-12-14,NOVARTIND,EQ,554.85,551.05,563.8,535.0,540.0,538.3,550.09,26337,1.448775845e+12,,,,538.3,1.0
2000-12-15,NOVARTIND,EQ,538.3,560.0,560.0,529.1,534.0,532.05,536.75,13348,7.16454485e+11,,,,532.05,1.0
2000-12-18,NOVARTIND,EQ,532.05,539.9,539.9,515.0,524.7,523.95,523.79,7443,3.8986002e+11,,,,523.95,1.0
2000-12-19,NOVARTIND,EQ,523.95,510.0,526.95,510.0,520.0,516.9,518.88,29956,1.554351795e+12,,,,516.9,1.0
2000-12-20,NOVARTIND,EQ,516.9,534.0,534.0,511.2,522.1,523.95,522.97,5632,2.9453705e+11,,,,523.95,1.0
2000-12-21,NOVARTIND,EQ,523.95,525.0,525.0,512.1,519.0,517.75,517.5,5058,2.6175078e+11,,,,517.75,1.0
2000-12-22,NOVARTIND,EQ,517.75,530.0,530.0,513.0,518.8,519.4,517.9,8315,4.3063307e+11,,,,519.4,1.0
2000-12-26,NOVARTIND,EQ,519.4,524.0,524.0,509.0,515.2,516.0,515.28,12161,6.2663725e+11,,,,516.0,1.0
2000-12-27,NOVARTIND,EQ,516.0,506.0,529.9,506.0,516.55,517.5,518.55,2937,1.5229709e+11,,,,517.5,1.0
2000-12-28,NOVARTIND,EQ,517.5,515.15,529.95,515.15,526.1,526.75,524.28,5004,2.6235053e+11,,,,526.75,1.0
2000-12-29,NOVARTIND,EQ,526.75,531.0,531.0,521.05,528.0,526.15,526.04,4826,2.5386747e+11,,,,526.15,1.0
2001-01-01,NOVARTIND,EQ,526.15,515.5,528.9,512.0,516.25,514.8,518.68,8072,4.18680975e+11,,,,514.8,1.0
2001-01-02,NOVARTIND,EQ,514.8,505.2,515.75,505.2,511.7,510.4,511.24,9141,4.67324385e+11,,,,510.4,1.0
2001-01-03,NOVARTIND,EQ,510.4,510.0,518.95,508.0,510.2,511.55,512.89,6195,3.1773577e+11,,,,511.55,1.0
2001-01-04,NOVARTIND,EQ,511.55,524.0,530.0,509.0,513.95,513.7,515.55,5370,2.7685018e+11,,,,513.7,1.0
2001-01-05,NOVARTIND,EQ,513.7,514.0,515.9,506.0,506.0,507.95,511.29,8659,4.4272464e+11,,,,507.95,1.0
2001-01-08,NOVARTIND,EQ,507.95,520.95,520.95,506.1,509.0,507.5,509.46,5597,2.8514568e+11,,,,507.5,1.0
2001-01-09,NOVARTIND,EQ,507.5,519.9,519.9,502.5,503.05,503.4,505.66,11085,5.6052076e+11,,,,503.4,1.0
2001-01-10,NOVARTIND,EQ,503.4,505.0,510.0,500.0,502.5,502.25,504.91,5480,2.7668877e+11,,,,502.25,1.0
2001-01-11,NOVARTIND,EQ,502.25,501.15,505.95,490.0,490.0,490.75,495.94,7770,3.8534361e+11,,,,490.75,1.0
2001-01-12,NOVARTIND,EQ,490.75,498.0,498.0,462.0,462.5,465.55,476.77,17205,8.20275365e+11,,,,465.55,1.0
2001-01-15,NOVARTIND,EQ,465.55,451.0,487.95,442.05,453.8,452.25,454.42,11001,4.9990325e+11,,,,452.25,1.0
2001-01-16,NOVARTIND,EQ,452.25,463.75,463.75,440.3,444.4,441.9,448.45,13219,5.9281239e+11,,,,441.9,1.0
2001-01-17,NOVARTIND,EQ,441.9,425.05,447.0,425.05,437.7,438.8,441.52,7490,3.30698125e+11,,,,438.8,1.0
2001-01-18,NOVARTIND,EQ,438.8,426.05,446.85,426.05,440.0,439.75,441.64,5335,2.35613585e+11,,,,439.75,1.0
2001-01-19,NOVARTIND,EQ,439.75,425.0,430.0,405.05,420.0,417.6,416.15,38871,1.617620345e+12,,,,417.6,1.0
2001-01-22,NOVARTIND,EQ,417.6,411.0,429.0,411.0,421.15,422.9,423.09,13330,5.63974925e+11,,,,422.9,1.0
2001-01-23,NOVARTIND,EQ,422.9,421.0,430.0,418.1,418.1,421.0,423.9,18973,8.04259745e+11,,,,421.0,1.0
2001-01-24,NOVARTIND,EQ,421.0,440.0,440.0,415.05,419.0,418.75,419.9,13120,5.50913005e+11,,,,418.75,1.0
2001-01-25,NOVARTIND,EQ,418.75,415.0,423.95,415.0,423.95,419.9,419.07,10922,4.5771101e+11,,,,419.9,1.0
2001-01-29,NOVARTIND,EQ,419.9,412.0,422.5,410.0,411.5,412.8,414.71,9525,3.9500883e+11,,,,412.8,1.0
2001-01-30,NOVARTIND,EQ,412.8,410.0,420.0,410.0,414.8,412.0,412.72,12151,5.0150076e+11,,,,412.0,1.0
