Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-01,ONGC,EQ,170.0,170.0,170.75,169.0,,169.2,169.47,1200,20336000000.0,,,,18.8,9.0
1996-01-02,ONGC,EQ,169.2,169.2,173.5,169.6,,171.8,170.05,3000,51015500000.0,,,,19.0888888889,9.0
1996-01-03,ONGC,EQ,171.8,174.0,174.0,170.0,,170.0,170.53,1200,20464000000.0,,,,18.8888888889,9.0
1996-01-04,ONGC,EQ,170.0,170.0,170.1,166.5,,170.05,169.9,4600,78154000000.0,,,,18.8944444444,9.0
1996-01-05,ONGC,EQ,170.05,170.05,170.15,168.0,,170.1,169.64,5200,88213500000.0,,,,18.9,9.0
1996-01-08,ONGC,EQ,170.1,168.0,171.0,168.0,,169.8,169.63,6000,1.017755e+11,,,,18.8666666667,9.0
1996-01-09,ONGC,EQ,169.8,169.8,170.0,167.1,,170.0,169.54,4600,77988500000.0,,,,18.8888888889,9.0
1996-01-10,ONGC,EQ,170.0,170.0,170.0,168.1,,169.0,168.96,2100,35482500000.0,,,,18.7777777778,9.0
1996-01-11,ONGC,EQ,169.0,169.0,170.95,168.0,,169.0,169.58,4300,72920000000.0,,,,18.7777777778,9.0
1996-01-12,ONGC,EQ,169.0,169.0,169.75,168.0,,168.0,168.88,200,3377500000.0,,,,18.6666666667,9.0
1996-01-15,ONGC,EQ,168.0,168.0,169.75,169.05,,169.05,169.47,1100,18642000000.0,,,,18.7833333333,9.0
1996-01-16,ONGC,EQ,169.05,169.05,170.0,168.0,,168.5,168.77,4600,77634500000.0,,,,18.7222222222,9.0
1996-01-17,ONGC,EQ,168.5,166.6,173.45,166.6,,170.0,169.92,2400,40781000000.0,,,,18.8888888889,9.0
1996-01-18,ONGC,EQ,170.0,170.0,170.0,168.05,,168.15,169.79,3600,61123000000.0,,,,18.6833333333,9.0
1996-01-19,ONGC,EQ,168.15,168.0,170.1,168.0,,170.0,169.75,3900,66201000000.0,,,,18.8888888889,9.0
1996-01-22,ONGC,EQ,170.0,168.6,169.25,168.6,,169.2,168.98,4700,79419500000.0,,,,18.8,9.0
1996-01-23,ONGC,EQ,169.2,169.2,169.5,168.0,,168.0,168.55,6100,1.028175e+11,,,,18.6666666667,9.0
1996-01-24,ONGC,EQ,168.0,165.0,169.5,161.9,,168.9,166.34,5500,91487000000.0,,,,18.7666666667,9.0
1996-01-25,ONGC,EQ,168.9,168.9,166.0,165.0,,166.0,165.91,3200,53092500000.0,,,,18.4444444444,9.0
1996-01-29,ONGC,EQ,166.0,166.0,167.2,162.5,,167.2,165.43,3200,52936500000.0,,,,18.5777777778,9.0
