Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-02,ORCHIDCHEM,EQ,73.75,71.75,72.0,71.75,,71.8,71.79,900,6461000000.0,,,,47.8666666667,1.5
1996-01-03,ORCHIDCHEM,EQ,71.8,71.5,71.5,71.0,,71.0,71.18,1200,8541000000.0,,,,47.3333333333,1.5
1996-01-04,ORCHIDCHEM,EQ,71.0,70.0,70.5,70.0,,70.0,70.2,500,3510000000.0,,,,46.6666666667,1.5
1996-01-05,ORCHIDCHEM,EQ,70.0,70.25,70.25,69.0,,69.0,69.86,700,4890000000.0,,,,46.0,1.5
1996-01-08,ORCHIDCHEM,EQ,69.0,69.0,70.0,67.5,,67.85,68.37,5400,36921500000.0,,,,45.2333333333,1.5
1996-01-09,ORCHIDCHEM,EQ,67.85,65.05,70.0,65.05,,70.0,68.26,4300,29353000000.0,,,,46.6666666667,1.5
1996-01-10,ORCHIDCHEM,EQ,70.0,70.0,70.0,69.75,,69.75,69.97,1000,6997000000.0,,,,46.5,1.5
1996-01-11,ORCHIDCHEM,EQ,69.75,68.0,70.0,68.0,,70.0,68.94,2100,14477500000.0,,,,46.6666666667,1.5
1996-01-12,ORCHIDCHEM,EQ,70.0,70.0,69.0,68.5,,68.6,68.67,800,5493500000.0,,,,45.7333333333,1.5
1996-01-15,ORCHIDCHEM,EQ,68.6,69.0,69.0,69.0,,69.0,69.0,200,1380000000.0,,,,46.0,1.5
1996-01-16,ORCHIDCHEM,EQ,69.0,69.0,69.0,65.0,,65.7,66.71,1800,12008500000.0,,,,43.8,1.5
1996-01-17,ORCHIDCHEM,EQ,65.7,65.0,69.0,65.0,,68.0,67.92,700,4754500000.0,,,,45.3333333333,1.5
1996-01-18,ORCHIDCHEM,EQ,68.0,67.0,67.45,66.5,,67.15,67.0,2000,13399500000.0,,,,44.7666666667,1.5
1996-01-19,ORCHIDCHEM,EQ,67.15,66.0,71.0,64.0,,69.3,65.9,10100,66562500000.0,,,,46.2,1.5
