Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-01,ORIENTBANK,EQ,56.25,56.25,56.25,55.15,,56.2,55.76,7100,39586500000.0,,,,56.2,1.0
1996-01-02,ORIENTBANK,EQ,56.2,56.2,56.25,55.25,,56.05,55.76,14500,80852500000.0,,,,56.05,1.0
1996-01-03,ORIENTBANK,EQ,56.05,56.05,56.0,55.0,,55.65,55.38,22400,1.240405e+11,,,,55.65,1.0
1996-01-04,ORIENTBANK,EQ,55.65,55.65,55.0,54.55,,54.75,54.71,15600,85354500000.0,,,,54.75,1.0
1996-01-05,ORIENTBANK,EQ,54.75,54.55,55.0,54.1,,54.95,54.78,19200,1.0518e+11,,,,54.95,1.0
1996-01-08,ORIENTBANK,EQ,54.95,54.95,55.0,54.0,,54.0,54.4,16100,87591500000.0,,,,54.0,1.0
1996-01-09,ORIENTBANK,EQ,54.0,54.0,55.0,52.75,,54.75,54.16,46900,2.53994e+11,,,,54.75,1.0
1996-01-10,ORIENTBANK,EQ,54.75,54.75,55.1,54.25,,54.8,54.86,30500,1.673355e+11,,,,54.8,1.0
1996-01-11,ORIENTBANK,EQ,54.8,54.8,54.6,54.0,,54.5,54.46,12200,66436500000.0,,,,54.5,1.0
1996-01-12,ORIENTBANK,EQ,54.5,54.1,54.5,54.1,,54.25,54.36,8500,46202500000.0,,,,54.25,1.0
1996-01-15,ORIENTBANK,EQ,54.25,54.25,54.5,52.5,,54.4,53.63,10000,53633000000.0,,,,54.4,1.0
1996-01-16,ORIENTBANK,EQ,54.4,54.4,54.75,53.75,,54.55,54.18,25500,1.381645e+11,,,,54.55,1.0
1996-01-17,ORIENTBANK,EQ,54.55,53.75,54.7,53.75,,54.4,54.36,40400,2.19603e+11,,,,54.4,1.0
1996-01-18,ORIENTBANK,EQ,54.4,54.4,54.75,53.5,,54.6,54.18,23700,1.284175e+11,,,,54.6,1.0
1996-01-19,ORIENTBANK,EQ,54.6,54.6,55.5,54.0,,55.05,55.01,53400,2.93731e+11,,,,55.05,1.0
1996-01-22,ORIENTBANK,EQ,55.05,55.05,56.25,54.5,,56.1,55.73,74100,4.129385e+11,,,,56.1,1.0
1996-01-23,ORIENTBANK,EQ,56.1,56.1,56.75,55.75,,56.05,56.03,51900,2.90793e+11,,,,56.05,1.0
