Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,ORIENTPPR,EQ,172.05,170.0,170.0,170.0,,170.0,170.0,200,3400000000.0,,,
1996-01-03,ORIENTPPR,EQ,170.0,168.0,168.0,165.0,,167.0,166.63,800,13330000000.0,,,
1996-01-08,ORIENTPPR,EQ,167.0,155.0,160.0,155.0,,160.0,157.5,200,3150000000.0,,,
1996-01-19,ORIENTPPR,EQ,160.0,165.0,165.0,165.0,,165.0,165.0,100,1650000000.0,,,
1996-01-25,ORIENTPPR,EQ,165.0,157.0,157.0,157.0,,157.0,157.0,300,4710000000.0,,,
1996-01-31,ORIENTPPR,EQ,157.0,157.0,156.1,154.0,,154.0,155.16,700,10861000000.0,,,
1996-02-01,ORIENTPPR,EQ,154.0,155.0,156.0,155.0,,155.0,155.13,1600,24820000000.0,,,
1996-02-02,ORIENTPPR,EQ,155.0,165.0,165.0,165.0,,165.0,165.0,100,1650000000.0,,,
1996-02-05,ORIENTPPR,EQ,165.0,165.0,165.0,165.0,,165.0,165.0,100,1650000000.0,,,
1996-02-06,ORIENTPPR,EQ,165.0,165.25,166.0,165.0,,165.0,165.42,1200,19850500000.0,,,
1996-02-08,ORIENTPPR,EQ,165.0,175.0,175.0,175.0,,175.0,175.0,400,7000000000.0,,,
1996-02-13,ORIENTPPR,EQ,175.0,192.0,192.0,192.0,,192.0,192.0,200,3840000000.0,,,
1996-02-14,ORIENTPPR,EQ,192.0,200.0,205.0,200.0,,200.0,201.67,1500,30250000000.0,,,
1996-02-15,ORIENTPPR,EQ,200.0,200.0,200.0,199.0,,200.0,199.92,1300,25989000000.0,,,
1996-02-16,ORIENTPPR,EQ,200.0,200.0,200.0,199.0,,200.0,199.5,400,7980000000.0,,,
1996-02-22,ORIENTPPR,EQ,200.0,200.0,205.0,200.0,,200.0,201.67,300,6050000000.0,,,
1996-02-23,ORIENTPPR,EQ,200.0,200.0,204.8,204.75,,204.8,204.77,300,6143000000.0,,,
1996-02-26,ORIENTPPR,EQ,204.8,202.0,202.0,198.5,,198.5,200.88,400,8035000000.0,,,
1996-02-27,ORIENTPPR,EQ,198.5,198.5,186.0,186.0,,186.0,186.0,100,1860000000.0,,,
1996-02-29,ORIENTPPR,EQ,186.0,200.0,200.0,200.0,,200.0,200.0,100,2000000000.0,,,
1996-03-04,ORIENTPPR,EQ,200.0,180.0,180.0,180.0,,180.0,180.0,100,1800000000.0,,,
1996-03-06,ORIENTPPR,EQ,180.0,180.0,188.0,187.9,,188.0,187.95,200,3759000000.0,,,
1996-03-07,ORIENTPPR,EQ,188.0,188.0,188.0,188.0,,188.0,188.0,25000,4.7e+11,,,
1996-03-08,ORIENTPPR,EQ,188.0,180.0,180.0,180.0,,180.0,180.0,1000,18000000000.0,,,
1996-03-12,ORIENTPPR,EQ,180.0,190.0,190.0,171.0,,180.0,180.44,1600,28870000000.0,,,
1996-03-13,ORIENTPPR,EQ,180.0,175.0,175.0,175.0,,175.0,175.0,100,1750000000.0,,,
1996-03-22,ORIENTPPR,EQ,175.0,175.0,160.0,159.0,,159.0,159.5,200,3190000000.0,,,
1996-04-04,ORIENTPPR,EQ,159.0,159.0,158.5,158.5,,158.5,158.5,300,4755000000.0,,,
1996-04-08,ORIENTPPR,EQ,158.5,158.5,169.0,162.25,,169.0,166.74,900,15006500000.0,,,
1996-04-09,ORIENTPPR,EQ,169.0,169.0,166.0,164.0,,164.0,165.27,600,9916000000.0,,,
1996-04-10,ORIENTPPR,EQ,164.0,162.05,162.05,162.0,,162.05,162.03,200,3240500000.0,,,
1996-04-12,ORIENTPPR,EQ,162.05,162.05,169.9,169.9,,169.9,169.9,100,1699000000.0,,,
1996-04-15,ORIENTPPR,EQ,169.9,171.0,171.0,170.0,,170.0,170.5,200,3410000000.0,,,
1996-04-16,ORIENTPPR,EQ,170.0,155.0,178.0,155.0,,175.0,169.18,2400,40604000000.0,,,
1996-04-17,ORIENTPPR,EQ,175.0,175.0,190.0,188.0,,188.7,188.91,3300,62339500000.0,,,
1996-04-18,ORIENTPPR,EQ,188.7,188.7,188.0,180.0,,180.0,183.57,1600,29370500000.0,,,
1996-04-19,ORIENTPPR,EQ,180.0,180.0,182.0,182.0,,182.0,182.0,600,10920000000.0,,,
1996-04-22,ORIENTPPR,EQ,182.0,182.0,181.0,165.0,,170.0,172.17,600,10330000000.0,,,
1996-04-23,ORIENTPPR,EQ,170.0,170.0,167.0,165.0,,165.0,165.6,500,8280000000.0,,,
1996-04-24,ORIENTPPR,EQ,165.0,165.0,179.0,165.0,,165.0,166.26,1200,19951000000.0,,,
1996-04-25,ORIENTPPR,EQ,165.0,165.0,166.0,160.0,,162.0,163.35,3500,57171000000.0,,,
1996-04-26,ORIENTPPR,EQ,162.0,162.0,162.0,159.9,,159.9,161.16,500,8058000000.0,,,
1996-04-29,ORIENTPPR,EQ,159.9,159.9,158.25,158.0,,158.0,158.04,600,9482500000.0,,,
1996-04-30,ORIENTPPR,EQ,158.0,158.0,158.0,155.0,,155.0,156.95,1400,21973000000.0,,,
1996-05-02,ORIENTPPR,EQ,155.0,158.0,158.0,158.0,,158.0,158.0,1300,20540000000.0,,,
1996-05-03,ORIENTPPR,EQ,158.0,158.0,158.0,158.0,,158.0,158.0,500,7900000000.0,,,
1996-05-06,ORIENTPPR,EQ,158.0,158.0,158.0,158.0,,158.0,158.0,100,1580000000.0,,,
1996-05-07,ORIENTPPR,EQ,158.0,161.0,161.0,161.0,,161.0,161.0,500,8050000000.0,,,
1996-05-09,ORIENTPPR,EQ,161.0,161.0,170.0,160.0,,161.7,165.45,1100,18200000000.0,,,
1996-05-10,ORIENTPPR,EQ,161.7,163.0,163.0,158.1,,158.1,160.88,600,9652500000.0,,,
1996-05-13,ORIENTPPR,EQ,158.1,166.0,166.0,166.0,,166.0,166.0,200,3320000000.0,,,
1996-05-14,ORIENTPPR,EQ,166.0,166.0,165.0,160.1,,160.1,163.69,900,14732000000.0,,,
1996-05-15,ORIENTPPR,EQ,160.1,160.1,174.0,160.0,,160.0,162.24,5000,81120000000.0,,,
1996-05-16,ORIENTPPR,EQ,160.0,160.0,176.0,162.0,,169.5,168.51,24500,4.128555e+11,,,
1996-05-17,ORIENTPPR,EQ,169.5,169.5,175.0,170.0,,172.9,172.15,6600,1.136175e+11,,,
1996-05-20,ORIENTPPR,EQ,172.9,172.9,178.0,170.8,,171.2,174.3,4200,73205000000.0,,,
1996-05-21,ORIENTPPR,EQ,171.2,171.2,173.8,165.1,,168.55,171.55,5300,90924000000.0,,,
1996-05-22,ORIENTPPR,EQ,168.55,168.55,173.5,172.0,,172.0,172.79,1400,24191000000.0,,,
1996-05-23,ORIENTPPR,EQ,172.0,172.0,171.95,167.25,,167.25,169.56,400,6782500000.0,,,
1996-05-24,ORIENTPPR,EQ,167.25,167.25,167.25,163.0,,163.25,163.7,1000,16370000000.0,,,
1996-05-27,ORIENTPPR,EQ,163.25,163.25,161.0,155.3,,155.3,159.03,1200,19083000000.0,,,
1996-05-28,ORIENTPPR,EQ,155.3,152.25,153.0,151.5,,151.5,152.26,800,12180500000.0,,,
1996-05-29,ORIENTPPR,EQ,151.5,151.5,164.95,162.0,,164.5,163.83,600,9829500000.0,,,
1996-05-30,ORIENTPPR,EQ,164.5,164.5,162.0,160.1,,160.55,160.9,400,6436000000.0,,,
1996-05-31,ORIENTPPR,EQ,160.55,160.55,160.0,151.0,,157.5,156.9,500,7845000000.0,,,
1996-06-03,ORIENTPPR,EQ,157.5,157.5,166.75,161.0,,161.0,163.88,200,3277500000.0,,,
1996-06-04,ORIENTPPR,EQ,161.0,161.0,160.0,153.3,,153.75,155.61,4100,63799500000.0,,,
1996-06-05,ORIENTPPR,EQ,153.75,154.0,158.0,154.0,,155.35,155.33,600,9320000000.0,,,
1996-06-06,ORIENTPPR,EQ,155.35,153.0,154.9,152.25,,152.75,152.78,2800,42779000000.0,,,
1996-06-07,ORIENTPPR,EQ,152.75,152.0,165.0,150.0,,150.8,151.8,13000,1.9734e+11,,,
1996-06-10,ORIENTPPR,EQ,150.8,155.0,155.0,150.0,,153.8,151.6,36000,5.45761e+11,,,
1996-06-11,ORIENTPPR,EQ,153.8,153.0,158.0,151.0,,157.95,152.72,5700,87048500000.0,,,
1996-06-12,ORIENTPPR,EQ,157.95,158.0,160.0,151.0,,153.05,153.34,7800,1.196085e+11,,,
1996-06-13,ORIENTPPR,EQ,153.05,155.0,155.0,150.95,,150.95,151.32,3200,48423500000.0,,,
1996-06-14,ORIENTPPR,EQ,150.95,151.5,153.5,150.0,,150.9,151.58,7300,1.10655e+11,,,
1996-06-17,ORIENTPPR,EQ,150.9,150.0,165.0,148.0,,161.85,152.1,24600,3.74157e+11,,,
1996-06-18,ORIENTPPR,EQ,161.85,156.0,156.0,152.0,,153.0,153.98,2700,41574500000.0,,,
1996-06-19,ORIENTPPR,EQ,153.0,168.0,168.6,166.1,,167.4,168.27,8400,1.41347e+11,,,
1996-06-20,ORIENTPPR,EQ,167.4,167.0,167.0,153.1,,153.95,156.41,7400,1.15741e+11,,,
1996-06-21,ORIENTPPR,EQ,153.95,155.0,158.25,153.25,,154.95,157.36,17800,2.801e+11,,,
1996-06-24,ORIENTPPR,EQ,154.95,153.0,155.5,153.0,,155.45,154.96,1600,24794000000.0,,,
1996-06-25,ORIENTPPR,EQ,155.45,155.0,155.15,152.5,,152.5,153.88,1800,27698500000.0,,,
1996-06-26,ORIENTPPR,EQ,152.5,151.95,153.75,151.95,,152.0,152.23,800,12178000000.0,,,
1996-06-27,ORIENTPPR,EQ,152.0,147.5,148.5,145.2,,148.5,147.09,3800,55894000000.0,,,
1996-06-28,ORIENTPPR,EQ,148.5,152.1,152.1,147.0,,147.0,147.3,2900,42716000000.0,,,
1996-07-01,ORIENTPPR,EQ,147.0,145.2,146.9,145.05,,146.9,145.55,600,8733000000.0,,,
1996-07-02,ORIENTPPR,EQ,146.9,150.0,151.0,149.95,,150.0,150.15,600,9009000000.0,,,
1996-07-03,ORIENTPPR,EQ,150.0,148.5,149.25,148.0,,149.25,148.85,2400,35723000000.0,,,
1996-07-04,ORIENTPPR,EQ,149.25,148.0,149.0,146.6,,148.75,148.42,2800,41557500000.0,,,
1996-07-05,ORIENTPPR,EQ,148.75,149.95,149.95,149.95,,149.95,149.95,100,1499500000.0,,,
1996-07-08,ORIENTPPR,EQ,0.0,147.5,148.0,147.0,,147.75,147.19,1700,25022000000.0,,,
1996-07-09,ORIENTPPR,EQ,147.75,148.0,149.0,146.75,,148.0,147.7,2200,32494000000.0,,,
1996-07-10,ORIENTPPR,EQ,148.0,147.5,149.15,147.5,,149.0,148.43,2000,29685000000.0,,,
1996-07-11,ORIENTPPR,EQ,149.0,147.95,150.3,147.0,,150.3,149.28,800,11942500000.0,,,
1996-07-12,ORIENTPPR,EQ,150.3,148.55,149.8,146.0,,148.0,148.42,14200,2.1076e+11,,,
1996-07-15,ORIENTPPR,EQ,148.0,147.55,147.75,147.0,,147.0,147.49,2800,41298500000.0,,,
1996-07-16,ORIENTPPR,EQ,147.0,147.05,147.9,146.0,,147.9,146.85,2400,35244000000.0,,,
