Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-03-16,PAGEIND,EQ,360.0,329.0,339.0,261.1,268.0,271.8,281.5,5111102,1.43876302635e+14,,773426,0.1513
2007-03-19,PAGEIND,EQ,271.8,281.7,282.8,264.2,269.65,268.5,275.61,1768371,4.8737241175e+13,,93245,0.0527
2007-03-20,PAGEIND,EQ,268.5,272.0,276.0,256.9,259.25,259.25,266.36,636655,1.695771023e+13,,77268,0.1214
2007-03-21,PAGEIND,EQ,259.25,260.1,262.0,245.8,247.2,248.45,253.52,469142,1.1893907155e+13,,55882,0.1191
2007-03-22,PAGEIND,EQ,248.45,251.6,254.0,242.15,242.15,244.8,248.01,427544,1.060339684e+13,,55274,0.1293
2007-03-23,PAGEIND,EQ,244.8,244.1,293.8,240.0,293.8,293.8,273.51,1516769,4.1485099395e+13,,327232,0.2157
2007-03-26,PAGEIND,EQ,293.8,310.0,338.0,296.5,300.0,300.4,313.29,3240966,1.01536403515e+14,,148318,0.0458
2007-03-28,PAGEIND,EQ,300.4,298.9,311.95,273.1,294.6,298.2,294.09,2079439,6.11537124e+13,,65276,0.0314
2007-03-29,PAGEIND,EQ,298.2,295.1,314.8,295.0,304.0,302.4,306.06,1716241,5.252679366e+13,,67371,0.0393
2007-03-30,PAGEIND,EQ,302.4,308.0,309.3,294.05,295.0,296.6,302.08,578000,1.7460249105e+13,,41292,0.0714
2007-04-02,PAGEIND,EQ,296.6,290.0,292.0,275.0,288.0,284.85,284.68,266950,7.59940818e+12,,36164,0.1355
2007-04-03,PAGEIND,EQ,284.85,289.0,300.0,286.55,287.5,290.0,293.21,435174,1.2759913015e+13,,27239,0.0626
2007-04-04,PAGEIND,EQ,290.0,293.5,297.8,283.0,284.0,284.35,290.04,163908,4.754062275e+12,,19336,0.118
2007-04-05,PAGEIND,EQ,284.35,280.0,296.65,279.1,280.1,282.05,286.89,238839,6.85197697e+12,,21049,0.0881
2007-04-09,PAGEIND,EQ,282.05,284.5,338.5,283.2,338.5,338.5,313.65,867976,2.7223913155e+13,,151382,0.1744
2007-04-10,PAGEIND,EQ,338.5,350.0,390.0,327.4,331.6,331.5,345.39,2676428,9.244154229e+13,,199465,0.0745
2007-04-11,PAGEIND,EQ,331.5,333.4,347.4,322.05,335.0,333.45,335.25,1002426,3.3606275795e+13,,69886,0.0697
2007-04-12,PAGEIND,EQ,333.45,330.0,339.0,322.1,326.4,326.55,331.35,607119,2.0116944225e+13,,44641,0.0735
2007-04-13,PAGEIND,EQ,326.55,330.0,342.5,325.35,329.0,328.4,334.08,434044,1.450054099e+13,,47224,0.1088
2007-04-16,PAGEIND,EQ,328.4,332.1,389.9,331.15,361.0,365.0,367.65,2064244,7.5891897955e+13,,229606,0.1112
2007-04-17,PAGEIND,EQ,365.0,362.0,368.0,335.1,342.8,339.55,353.37,1085785,3.836823813e+13,,108521,0.0999
2007-04-18,PAGEIND,EQ,339.55,343.5,392.9,340.05,363.15,366.05,369.15,2491657,9.197911473e+13,,229395,0.0921
2007-04-19,PAGEIND,EQ,366.05,355.0,370.9,345.0,360.1,361.05,362.13,960337,3.477697408e+13,,64580,0.0672
2007-04-20,PAGEIND,EQ,361.05,365.9,377.8,357.35,359.5,361.8,369.67,718160,2.654820473e+13,,80741,0.1124
2007-04-23,PAGEIND,EQ,361.8,369.0,374.3,353.0,356.2,356.35,363.73,434168,1.579182378e+13,,48810,0.1124
2007-04-24,PAGEIND,EQ,356.35,352.0,362.0,347.1,350.0,349.65,355.43,271669,9.65591902e+12,,46735,0.172
2007-04-25,PAGEIND,EQ,349.65,350.0,364.0,350.0,356.4,354.5,357.9,285461,1.0216775405e+13,,42499,0.1489
2007-04-26,PAGEIND,EQ,354.5,361.0,363.9,345.0,350.25,349.0,355.81,196140,6.978948315e+12,,36924,0.1883
2007-04-27,PAGEIND,EQ,349.0,354.75,354.75,332.0,334.0,334.45,341.8,181611,6.20748339e+12,,53582,0.295
2007-04-30,PAGEIND,EQ,334.45,339.75,343.0,330.1,338.1,336.95,336.73,118238,3.981386625e+12,,16276,0.1377
2007-05-03,PAGEIND,EQ,336.95,342.0,355.6,341.25,342.15,344.45,349.04,190321,6.64301202e+12,,24516,0.1288
2007-05-04,PAGEIND,EQ,344.45,345.0,349.85,334.5,342.95,340.1,342.52,108187,3.705623285e+12,,25397,0.2348
2007-05-07,PAGEIND,EQ,340.1,347.5,361.0,345.05,350.0,346.95,352.37,290333,1.0230490745e+13,,33727,0.1162
2007-05-08,PAGEIND,EQ,346.95,353.8,355.4,345.0,349.0,346.3,349.85,123273,4.312756145e+12,,27938,0.2266
2007-05-09,PAGEIND,EQ,346.3,349.9,384.0,346.0,367.5,367.7,368.92,1747879,6.448242276e+13,,176885,0.1012
2007-05-10,PAGEIND,EQ,367.7,371.0,441.25,362.1,441.25,422.95,403.96,3303107,1.3343098371e+14,,281464,0.0852
2007-05-11,PAGEIND,EQ,422.95,400.0,488.9,400.0,456.0,468.0,456.04,7354033,3.35375448615e+14,,225160,0.0306
2007-05-14,PAGEIND,EQ,468.0,432.25,477.4,385.0,463.0,461.5,463.22,1983062,9.1859042185e+13,,88753,0.0448
2007-05-15,PAGEIND,EQ,461.5,462.0,462.0,428.5,435.0,434.65,446.08,1034366,4.6140515065e+13,,97212,0.094
2007-05-16,PAGEIND,EQ,434.65,421.25,447.4,421.25,427.05,431.95,439.34,376949,1.656089005e+13,,52562,0.1394
2007-05-17,PAGEIND,EQ,431.95,449.9,457.0,428.15,429.0,434.5,443.63,407508,1.807816403e+13,,47459,0.1165
2007-08-31,PAGEIND,EQ,422.2,442.0,442.0,421.0,423.0,425.1,427.15,2747,1.1733873e+11,,2042,0.7434
2007-09-03,PAGEIND,EQ,425.1,426.0,437.0,410.0,413.0,413.9,426.33,1884,80319655000.0,,1042,0.5531
2007-09-04,PAGEIND,EQ,413.9,416.0,427.0,415.2,424.9,423.85,423.52,2062,87329455000.0,,1911,0.9268
2007-09-05,PAGEIND,EQ,423.85,422.5,445.05,415.0,445.05,445.05,434.24,3553,1.5428409e+11,,3366,0.9474
2007-09-06,PAGEIND,EQ,445.05,463.3,467.1,445.15,450.0,452.3,460.57,13992,6.4442773e+11,,6437,0.46
2007-09-07,PAGEIND,EQ,452.3,456.0,465.9,425.1,426.0,429.35,440.98,3160,1.3934942e+11,,2035,0.644
2007-09-10,PAGEIND,EQ,429.35,426.1,440.0,426.1,435.0,435.05,434.92,1102,47928680000.0,,859,0.7795
2007-09-11,PAGEIND,EQ,435.05,430.55,446.0,430.55,438.0,435.95,437.25,2609,1.1407906e+11,,2025,0.7762
2007-09-12,PAGEIND,EQ,435.95,435.0,440.0,435.0,435.0,435.1,436.39,1468,64061825000.0,,740,0.5041
2007-09-13,PAGEIND,EQ,435.1,442.0,442.0,427.15,435.0,435.0,435.57,712,31012525000.0,,657,0.9228
2007-09-14,PAGEIND,EQ,435.0,440.0,445.0,429.25,435.0,435.0,437.78,1386,60676555000.0,,1034,0.746
2007-09-17,PAGEIND,EQ,435.0,425.0,435.9,425.0,426.0,426.65,429.11,1001,42953675000.0,,767,0.7662
2007-09-18,PAGEIND,EQ,426.65,434.0,434.0,425.0,430.0,430.15,428.21,654,28004690000.0,,480,0.7339
2007-09-19,PAGEIND,EQ,430.15,426.2,434.7,425.0,430.0,430.0,429.03,2467,1.05840475e+11,,2053,0.8322
2007-09-20,PAGEIND,EQ,430.0,426.1,437.95,426.1,435.0,435.05,435.0,1834,79778980000.0,,1431,0.7803
2007-09-21,PAGEIND,EQ,435.05,440.0,470.0,431.0,435.0,435.45,439.21,1952,85734440000.0,,1471,0.7536
2007-09-24,PAGEIND,EQ,435.45,440.0,440.0,435.05,435.05,436.0,438.02,2719,1.1909696e+11,,2323,0.8544
2007-09-25,PAGEIND,EQ,436.0,435.0,455.0,430.0,446.0,448.95,441.55,6122,2.7031814e+11,,5206,0.8504
2007-09-26,PAGEIND,EQ,448.95,430.0,465.0,430.0,440.0,440.0,446.68,3451,1.5415052e+11,,1961,0.5682
2007-09-27,PAGEIND,EQ,440.0,426.0,447.9,425.0,441.0,441.15,440.9,1648,72660435000.0,,1177,0.7142
2007-09-28,PAGEIND,EQ,441.15,437.0,445.0,435.0,440.0,440.0,437.16,1001,43760155000.0,,863,0.8621
2007-10-01,PAGEIND,EQ,440.0,440.0,440.05,432.5,435.0,439.95,437.4,1306,57123815000.0,,1097,0.84
2007-10-03,PAGEIND,EQ,439.95,432.0,440.0,432.0,440.0,439.1,438.18,4669,2.0458844e+11,,4541,0.9726
2007-10-04,PAGEIND,EQ,439.1,436.0,441.0,431.0,435.0,438.15,437.95,2678,1.172843e+11,,2061,0.7696
2007-10-05,PAGEIND,EQ,438.15,436.0,440.0,432.0,440.0,440.0,436.55,1865,81416070000.0,,1494,0.8011
2007-10-08,PAGEIND,EQ,440.0,435.0,435.0,410.0,419.0,419.0,429.41,2026,86999210000.0,,1948,0.9615
2007-10-09,PAGEIND,EQ,419.0,428.9,441.0,410.0,435.0,438.6,435.46,2722,1.18532445e+11,,2564,0.942
2007-10-10,PAGEIND,EQ,438.6,440.0,450.0,430.0,432.0,436.05,442.03,6157,2.72158055e+11,,3916,0.636
2007-10-11,PAGEIND,EQ,436.05,450.0,457.9,433.0,434.0,438.45,440.5,1749,77042920000.0,,1638,0.9365
2007-10-12,PAGEIND,EQ,438.45,440.0,445.0,430.0,430.0,436.05,440.16,1551,68268600000.0,,1490,0.9607
2007-10-15,PAGEIND,EQ,436.05,440.0,447.0,440.0,443.9,441.15,442.44,1049,46411885000.0,,902,0.8599
2007-10-16,PAGEIND,EQ,441.15,443.0,446.0,440.0,441.1,443.3,441.71,2569,1.13476275e+11,,1784,0.6944
2007-10-17,PAGEIND,EQ,443.3,440.0,440.0,420.05,435.0,435.0,432.97,566,24506030000.0,,508,0.8975
2007-10-18,PAGEIND,EQ,435.0,450.0,450.0,422.0,426.9,437.0,435.29,102279,4.452143115e+12,,51245,0.501
2007-10-19,PAGEIND,EQ,437.0,415.0,444.0,413.0,413.0,416.7,421.44,1484,62541155000.0,,1252,0.8437
2007-10-22,PAGEIND,EQ,416.7,409.0,444.5,409.0,438.0,435.2,429.05,916,39301335000.0,,746,0.8144
2007-10-23,PAGEIND,EQ,435.2,440.0,449.0,428.0,440.0,442.65,442.22,2077,91848140000.0,,1652,0.7954
2007-10-24,PAGEIND,EQ,442.65,449.0,453.0,414.9,432.0,432.25,436.27,1202,52439600000.0,,625,0.52
2007-10-25,PAGEIND,EQ,432.25,410.65,450.0,410.65,442.0,442.45,434.58,4923,2.13944915e+11,,3539,0.7189
2007-10-26,PAGEIND,EQ,442.45,440.0,450.0,440.0,442.25,442.75,445.23,1358,60462045000.0,,1184,0.8719
