Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2010-01-08,PANASONIC,EQ,73.3,78.0,78.0,71.25,77.0,77.0,76.1,1352,10288680000.0,,300,0.2219,77.0,1.0
2010-01-11,PANASONIC,EQ,77.0,80.0,84.7,80.0,84.7,84.65,82.72,1370,11332250000.0,,999,0.7292,84.65,1.0
2010-01-12,PANASONIC,EQ,84.65,88.0,93.15,81.05,85.0,86.3,89.8,2194,19701495000.0,,760,0.3464,86.3,1.0
2010-01-13,PANASONIC,EQ,86.3,90.0,94.9,88.0,92.0,91.75,90.89,2030,18451630000.0,,1344,0.6621,91.75,1.0
2010-01-14,PANASONIC,EQ,91.75,88.7,95.75,88.7,95.75,94.7,92.23,1487,13714160000.0,,939,0.6315,94.7,1.0
2010-01-15,PANASONIC,EQ,94.7,95.0,95.0,90.0,90.0,91.9,92.33,2358,21770850000.0,,2180,0.9245,91.9,1.0
2010-01-18,PANASONIC,EQ,91.9,87.3,93.0,87.3,91.55,91.55,91.62,2076,19019785000.0,,1444,0.6956,91.55,1.0
2010-01-19,PANASONIC,EQ,91.55,87.0,92.8,87.0,87.35,87.95,88.79,1598,14189300000.0,,1438,0.8999,87.95,1.0
2010-01-20,PANASONIC,EQ,87.95,87.0,90.9,83.6,83.6,83.6,84.97,442,3755545000.0,,385,0.871,83.6,1.0
2010-01-21,PANASONIC,EQ,83.6,81.0,81.0,79.45,79.45,79.45,79.76,490,3908325000.0,,490,1.0,79.45,1.0
2010-02-22,PANASONIC,EQ,80.5,79.45,84.55,78.5,78.5,82.4,82.38,2182,17974875000.0,,2165,0.9922,82.4,1.0
2010-02-24,PANASONIC,EQ,82.4,86.55,86.55,86.55,86.55,86.55,86.55,1,8655000.0,,0,0.0,86.55,1.0
2010-02-25,PANASONIC,EQ,86.55,85.0,85.0,83.0,83.0,83.0,84.0,2,16800000.0,,1,0.5,83.0,1.0
2010-03-02,PANASONIC,EQ,83.0,87.05,87.15,87.05,87.15,87.1,87.1,100,870990000.0,,100,1.0,87.1,1.0
2010-03-03,PANASONIC,EQ,87.1,84.05,89.0,84.0,88.0,88.0,86.7,315,2731205000.0,,215,0.6825,88.0,1.0
2010-03-04,PANASONIC,EQ,88.0,85.0,91.9,85.0,89.0,89.0,89.48,282,2523430000.0,,282,1.0,89.0,1.0
2010-03-05,PANASONIC,EQ,89.0,92.2,93.45,92.2,93.45,93.45,93.35,1265,11808290000.0,,1265,1.0,93.45,1.0
2010-03-08,PANASONIC,EQ,93.45,96.5,98.15,96.5,98.15,98.15,98.09,676,6630815000.0,,676,1.0,98.15,1.0
2010-03-09,PANASONIC,EQ,98.15,97.5,103.1,97.5,103.0,103.1,102.33,6410,65594045000.0,,6278,0.9794,103.1,1.0
2010-03-10,PANASONIC,EQ,103.1,104.5,108.3,103.7,108.3,108.3,107.77,8239,88788450000.0,,6515,0.7908,108.3,1.0
2010-03-11,PANASONIC,EQ,108.3,113.4,113.75,112.95,113.75,113.75,113.71,4116,46801900000.0,,4116,1.0,113.75,1.0
2010-03-12,PANASONIC,EQ,113.75,119.4,119.45,119.4,119.45,119.45,119.44,1653,19743730000.0,,1503,0.9093,119.45,1.0
2010-03-15,PANASONIC,EQ,119.45,125.45,125.45,120.0,123.0,124.05,124.65,6894,85932575000.0,,5586,0.8103,124.05,1.0
2010-03-16,PANASONIC,EQ,124.05,129.45,129.45,117.85,119.5,121.75,119.87,6460,77437240000.0,,3970,0.6146,121.75,1.0
2010-03-17,PANASONIC,EQ,121.75,120.0,127.85,117.6,126.75,126.9,126.55,16129,2.0411892e+11,,13181,0.8172,126.9,1.0
2010-03-18,PANASONIC,EQ,126.9,133.0,133.0,120.6,120.6,123.3,124.81,1820,22715590000.0,,1163,0.639,123.3,1.0
2010-06-11,PANASONIC,EQ,148.2,148.0,154.0,147.0,149.7,149.7,148.3,6466,95887645000.0,,6029,0.9324,149.7,1.0
2010-06-14,PANASONIC,EQ,149.7,152.9,157.0,149.0,149.0,150.25,152.51,1471,22434300000.0,,955,0.6492,150.25,1.0
2010-06-15,PANASONIC,EQ,150.25,154.15,154.3,144.0,150.0,149.1,147.8,4253,62858860000.0,,2981,0.7009,149.1,1.0
2010-06-16,PANASONIC,EQ,149.1,147.2,150.0,146.0,146.1,146.3,147.87,1870,27651760000.0,,855,0.4572,146.3,1.0
2010-06-17,PANASONIC,EQ,146.3,152.95,153.65,147.0,153.0,153.25,151.89,2531,38444460000.0,,2041,0.8064,153.25,1.0
2010-06-18,PANASONIC,EQ,153.25,156.0,159.0,155.0,155.0,155.0,156.31,1825,28526000000.0,,965,0.5288,155.0,1.0
2010-06-21,PANASONIC,EQ,155.0,153.0,160.0,150.0,155.1,156.2,155.12,2418,37508950000.0,,1170,0.4839,156.2,1.0
2010-06-22,PANASONIC,EQ,156.2,153.5,157.25,151.5,153.0,153.0,154.37,3520,54339375000.0,,1320,0.375,153.0,1.0
2010-06-23,PANASONIC,EQ,153.0,157.0,157.0,152.5,156.9,154.8,154.8,3677,56919160000.0,,902,0.2453,154.8,1.0
