Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-12-27,PCJEWELLER,EQ,135.0,137.0,154.7,137.0,148.8,149.2,147.51,64704244,9.54447193665e+14,416319,14154594,0.2188
2012-12-28,PCJEWELLER,EQ,149.2,149.8,154.3,145.35,146.15,147.0,150.64,7404951,1.11548873605e+14,78434,1839637,0.2484
2012-12-31,PCJEWELLER,EQ,147.0,146.85,153.3,145.0,149.5,149.7,150.54,4191294,6.309419259e+13,44023,784600,0.1872
2013-01-01,PCJEWELLER,EQ,149.7,151.6,167.9,150.55,165.0,165.3,161.59,11643648,1.88154264905e+14,88098,1589370,0.1365
2013-01-02,PCJEWELLER,EQ,165.3,166.1,179.25,165.6,174.95,175.4,174.21,14167769,2.4681254145e+14,138207,1947136,0.1374
2013-01-03,PCJEWELLER,EQ,175.4,176.9,184.8,175.0,184.0,183.55,181.66,8413831,1.5284349629e+14,82527,1582971,0.1881
2013-01-04,PCJEWELLER,EQ,183.55,185.0,189.4,182.8,188.9,187.75,187.39,6249945,1.17120798365e+14,63690,1260791,0.2017
2013-01-07,PCJEWELLER,EQ,187.75,189.0,194.9,180.5,182.45,181.65,187.44,6195063,1.16118330455e+14,69039,1405405,0.2269
2013-01-08,PCJEWELLER,EQ,181.65,182.75,186.35,176.1,177.35,177.5,180.03,5276315,9.498778107e+13,74843,936120,0.1774
2013-01-09,PCJEWELLER,EQ,177.5,178.9,180.4,174.3,175.35,175.55,176.81,3435105,6.073546563e+13,36064,620929,0.1808
2013-01-10,PCJEWELLER,EQ,175.55,176.7,177.8,165.1,165.35,166.1,170.15,3318657,5.646703526e+13,47532,976355,0.2942
2013-01-11,PCJEWELLER,EQ,166.1,167.0,167.0,154.5,155.0,155.8,161.08,5019058,8.0847275875e+13,49496,1409447,0.2808
2013-01-14,PCJEWELLER,EQ,155.8,156.0,173.65,155.7,172.5,172.2,166.95,6682339,1.11559654885e+14,68475,1666617,0.2494
2013-01-15,PCJEWELLER,EQ,172.2,173.75,176.4,166.45,168.85,168.9,170.94,3849468,6.5802718595e+13,43233,724181,0.1881
2013-01-16,PCJEWELLER,EQ,168.9,168.1,169.4,162.7,164.2,163.9,165.01,1672324,2.75943744e+13,22222,488221,0.2919
2013-01-17,PCJEWELLER,EQ,163.9,165.5,167.65,162.55,164.75,164.7,165.08,1771512,2.9244970045e+13,18169,452788,0.2556
2013-01-18,PCJEWELLER,EQ,164.7,166.2,166.2,160.65,161.6,161.75,163.14,1015655,1.6569385635e+13,13221,292824,0.2883
2013-01-21,PCJEWELLER,EQ,161.75,162.05,164.5,159.1,160.15,160.6,161.23,1080410,1.7419662465e+13,13267,314192,0.2908
2013-01-22,PCJEWELLER,EQ,160.6,160.3,160.95,155.25,156.05,155.9,157.57,1325478,2.0885346615e+13,22278,478290,0.3608
2013-01-23,PCJEWELLER,EQ,155.9,157.0,162.8,155.15,162.25,161.4,160.45,2620756,4.2049298095e+13,28629,611742,0.2334
2013-01-24,PCJEWELLER,EQ,161.4,162.65,162.65,153.2,153.6,153.95,156.19,1416196,2.211945267e+13,15673,487286,0.3441
2013-01-25,PCJEWELLER,EQ,153.95,154.05,159.2,152.45,157.25,157.55,156.54,1095181,1.7143838805e+13,10721,460457,0.4204
2013-01-28,PCJEWELLER,EQ,157.55,158.75,166.5,157.0,162.3,162.0,162.81,1719119,2.798853488e+13,25628,419079,0.2438
2013-01-29,PCJEWELLER,EQ,162.0,162.5,164.45,159.0,161.6,161.95,162.08,862252,1.3975078965e+13,10241,319007,0.37
2013-01-30,PCJEWELLER,EQ,161.95,161.8,162.85,156.75,158.25,158.0,159.26,528990,8.42461529e+12,9941,198758,0.3757
2013-01-31,PCJEWELLER,EQ,158.0,158.5,161.3,156.5,160.95,160.45,159.37,556066,8.861750035e+12,11581,240531,0.4326
2013-02-01,PCJEWELLER,EQ,160.45,162.0,165.35,158.4,159.65,159.8,162.27,832214,1.3504701225e+13,12635,254913,0.3063
2013-02-04,PCJEWELLER,EQ,159.8,160.35,161.75,155.2,156.45,156.0,158.2,473402,7.489172425e+12,6181,162160,0.3425
2013-02-05,PCJEWELLER,EQ,156.0,155.1,157.6,150.4,153.0,152.55,153.59,908123,1.394788186e+13,10968,288455,0.3176
2013-02-06,PCJEWELLER,EQ,152.55,154.25,154.5,140.3,141.9,142.0,146.49,2118017,3.102732802e+13,22575,870316,0.4109
2013-02-07,PCJEWELLER,EQ,142.0,142.75,143.95,134.05,143.1,142.4,141.03,4122032,5.8132682275e+13,51689,918911,0.2229
