Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2010-04-06,PERSISTENT,EQ,310.0,361.6,447.3,361.6,404.7,406.35,417.99,14945321,6.24702364e+14,,2461626,0.1647,203.175,2.0
2010-04-07,PERSISTENT,EQ,406.35,408.0,410.5,392.75,402.8,402.55,403.03,3828050,1.54283159695e+14,,371306,0.097,201.275,2.0
2010-04-08,PERSISTENT,EQ,402.55,400.0,431.9,398.3,412.8,414.3,421.12,8368229,3.5239916453e+14,,586323,0.0701,207.15,2.0
2010-04-09,PERSISTENT,EQ,414.3,415.0,419.85,408.3,410.0,410.6,413.76,1580108,6.537897976e+13,,244443,0.1547,205.3,2.0
2010-04-12,PERSISTENT,EQ,410.6,411.8,415.25,395.6,401.0,401.35,405.13,773464,3.1335425885e+13,,158046,0.2043,200.675,2.0
2010-04-13,PERSISTENT,EQ,401.35,400.0,409.9,397.0,400.45,400.2,403.79,836586,3.378050309e+13,,178563,0.2134,200.1,2.0
2010-04-15,PERSISTENT,EQ,400.2,404.0,408.8,395.6,396.0,397.95,403.67,628304,2.536270473e+13,,179064,0.285,198.975,2.0
2010-04-16,PERSISTENT,EQ,397.95,397.9,404.0,395.0,401.4,400.1,399.51,395904,1.581663191e+13,,146507,0.3701,200.05,2.0
2010-04-19,PERSISTENT,EQ,400.1,397.0,399.85,385.0,388.5,390.9,391.8,342144,1.340516762e+13,,83206,0.2432,195.45,2.0
2010-04-20,PERSISTENT,EQ,390.9,392.0,396.8,385.0,392.0,392.7,393.92,182058,7.171671225e+12,,52815,0.2901,196.35,2.0
2010-04-21,PERSISTENT,EQ,392.7,394.0,412.85,393.55,403.0,402.65,405.6,910985,3.694996589e+13,,227071,0.2493,201.325,2.0
2010-04-22,PERSISTENT,EQ,402.65,400.0,409.4,398.1,399.55,401.1,405.05,375248,1.519937774e+13,,122372,0.3261,200.55,2.0
2010-04-23,PERSISTENT,EQ,401.1,401.6,407.9,393.3,395.35,396.35,401.0,244376,9.799535475e+12,,88921,0.3639,198.175,2.0
2010-04-26,PERSISTENT,EQ,396.35,402.1,411.0,399.0,403.05,401.95,403.83,432434,1.7463017865e+13,,224491,0.5191,200.975,2.0
2010-04-27,PERSISTENT,EQ,401.95,403.0,403.8,392.8,394.6,394.5,397.61,182884,7.271666875e+12,,59756,0.3267,197.25,2.0
2010-04-28,PERSISTENT,EQ,394.5,405.5,410.0,382.55,386.0,384.95,388.03,121264,4.70541605e+12,,49590,0.4089,192.475,2.0
