date,3. low,1. open,2. high,4. close,6. volume,5. adjusted close,8. split coefficient,7. dividend amount
2002-07-01,4.9,5.03,5.36,4.95,76975.0,1.4077,1.0,0.0
2002-07-02,4.95,4.98,5.16,5.05,67890.0,1.4361,1.0,0.0
2002-07-03,4.94,5.12,5.21,5.0,49355.0,1.4219,1.0,0.0
2002-07-04,4.9,5.0,5.12,4.99,50455.0,1.4191,1.0,0.0
2002-07-05,4.75,4.96,5.08,4.78,23710.0,1.3594,1.0,0.0
2002-07-08,4.9,4.9,5.2,5.02,60550.0,1.4276,1.0,0.0
2002-07-09,4.52,5.3,5.3,4.75,36365.0,1.3508,1.0,0.0
2002-07-10,4.6,4.9,4.95,4.61,134375.0,1.311,1.0,0.0
2002-07-11,4.5,4.64,4.64,4.55,26680.0,1.294,1.0,0.0
2002-07-12,4.31,4.49,4.6,4.41,26080.0,1.2541,1.0,0.0
2002-07-15,4.14,4.28,4.4,4.2,25080.0,1.1944,1.0,0.0
2002-07-16,4.0,4.0,4.4,4.15,60585.0,1.1802,1.0,0.0
2002-07-17,3.8,3.8,4.38,3.97,15620.0,1.129,1.0,0.0
2002-07-18,3.91,4.05,4.1,3.95,31580.0,1.1233,1.0,0.0
2002-07-19,3.85,4.0,4.06,3.98,6795.0,1.1319,1.0,0.0
2002-07-22,3.59,3.76,3.76,3.6,14350.0,1.0238,1.0,0.0
2002-07-23,3.6,3.6,3.78,3.6,5500.0,1.0238,1.0,0.0
2002-07-24,3.5,3.7,3.79,3.52,10100.0,1.001,1.0,0.0
2002-07-25,3.54,3.55,3.72,3.6,31250.0,1.0238,1.0,0.0
2002-07-26,3.42,3.44,3.55,3.43,16000.0,0.9754,1.0,0.0
2002-07-29,3.22,3.27,3.29,3.22,13255.0,0.9157,1.0,0.0
2002-07-30,2.92,3.04,3.2,2.97,7885.0,0.8446,1.0,0.0
2002-07-31,2.68,3.1,3.1,2.73,33760.0,0.7764,1.0,0.0
2002-08-01,2.7,3.0,3.0,2.88,45005.0,0.819,1.0,0.0
2002-08-02,2.75,3.0,3.0,2.79,15690.0,0.7934,1.0,0.0
2002-08-05,2.88,3.02,3.02,2.89,3625.0,0.8219,1.0,0.0
2002-08-06,2.84,2.84,2.84,2.84,250.0,0.8077,1.0,0.0
2002-08-07,2.86,2.99,2.99,2.92,5725.0,0.8304,1.0,0.0
2002-08-08,2.85,2.87,3.0,2.86,4500.0,0.8133,1.0,0.0
2002-08-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-08-12,2.84,2.84,3.0,2.98,5995.0,0.8475,1.0,0.0
2002-08-13,2.78,2.9,3.07,2.78,8885.0,0.7906,1.0,0.0
2002-08-14,2.81,2.97,2.97,2.81,1250.0,0.7991,1.0,0.0
2002-08-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-08-16,2.88,2.92,3.02,2.88,4150.0,0.819,1.0,0.0
2002-08-19,2.83,3.07,3.07,2.89,7470.0,0.8219,1.0,0.0
2002-08-20,2.76,2.76,2.94,2.91,4060.0,0.8276,1.0,0.0
2002-08-21,2.76,2.76,2.84,2.84,895.0,0.8077,1.0,0.0
2002-08-22,2.89,2.89,3.02,3.01,4690.0,0.856,1.0,0.0
2002-08-23,2.89,2.9,3.09,2.91,6100.0,0.8276,1.0,0.0
2002-08-26,2.9,2.97,3.06,3.06,11440.0,0.8702,1.0,0.0
2002-08-27,2.8,3.08,3.08,2.83,6490.0,0.8048,1.0,0.0
2002-08-28,2.81,2.82,2.82,2.81,250.0,0.7991,1.0,0.0
2002-08-29,2.83,2.83,2.83,2.83,500.0,0.8048,1.0,0.0
2002-08-30,2.88,2.88,2.9,2.9,1500.0,0.8247,1.0,0.0
2002-09-02,2.8,2.8,2.8,2.8,1000.0,0.7963,1.0,0.0
2002-09-03,2.62,2.7,2.76,2.75,2125.0,0.7821,1.0,0.0
2002-09-04,2.75,2.98,2.98,2.84,2825.0,0.8077,1.0,0.0
2002-09-05,2.74,2.75,2.96,2.85,8305.0,0.8105,1.0,0.0
2002-09-06,2.71,2.71,2.85,2.72,5045.0,0.7735,1.0,0.0
2002-09-09,2.68,2.85,2.85,2.76,2130.0,0.7849,1.0,0.0
2002-09-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-09-11,2.63,2.89,2.89,2.8,2845.0,0.7963,1.0,0.0
2002-09-12,2.54,3.08,3.08,2.73,9155.0,0.7764,1.0,0.0
2002-09-13,2.68,2.69,2.86,2.71,1170.0,0.7707,1.0,0.0
2002-09-16,2.51,2.8,2.85,2.82,2170.0,0.802,1.0,0.0
2002-09-17,2.7,2.7,2.7,2.7,500.0,0.7678,1.0,0.0
2002-09-18,2.86,2.86,2.86,2.86,500.0,0.8133,1.0,0.0
2002-09-19,2.66,2.7,2.7,2.67,12000.0,0.7593,1.0,0.0
2002-09-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-09-23,2.55,2.55,2.87,2.63,10005.0,0.7479,1.0,0.0
2002-09-24,2.43,2.43,2.75,2.75,760.0,0.7821,1.0,0.0
2002-09-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-09-26,2.56,2.56,2.87,2.58,1005.0,0.7337,1.0,0.0
2002-09-27,2.6,2.69,2.7,2.6,18550.0,0.7394,1.0,0.0
2002-09-30,2.57,2.86,2.86,2.73,4970.0,0.7764,1.0,0.0
2002-10-01,2.62,3.0,3.0,2.66,2485.0,0.7565,1.0,0.0
2002-10-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-10-03,2.5,2.75,2.75,2.67,2640.0,0.7593,1.0,0.0
2002-10-04,2.56,2.73,2.78,2.56,6650.0,0.728,1.0,0.0
2002-10-07,2.52,2.81,2.81,2.79,560.0,0.7934,1.0,0.0
2002-10-08,2.57,3.06,3.06,2.6,13715.0,0.7394,1.0,0.0
2002-10-09,2.51,2.86,2.86,2.6,26955.0,0.7394,1.0,0.0
2002-10-10,2.55,2.55,2.7,2.7,18420.0,0.7678,1.0,0.0
2002-10-11,2.52,2.74,2.75,2.75,32505.0,0.7821,1.0,0.0
2002-10-14,2.48,2.65,2.74,2.6,3560.0,0.7394,1.0,0.0
2002-10-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-10-16,2.59,2.74,2.8,2.74,12460.0,0.7792,1.0,0.0
2002-10-17,2.6,2.75,2.75,2.71,7100.0,0.7707,1.0,0.0
2002-10-18,2.65,2.7,2.8,2.75,17750.0,0.7821,1.0,0.0
2002-10-21,2.51,2.51,2.76,2.75,9015.0,0.7821,1.0,0.0
2002-10-22,2.7,2.75,2.75,2.7,3085.0,0.7678,1.0,0.0
2002-10-23,2.46,2.46,2.75,2.66,6510.0,0.7565,1.0,0.0
2002-10-24,2.59,2.63,2.63,2.59,13000.0,0.7366,1.0,0.0
2002-10-25,2.54,2.84,2.84,2.55,755.0,0.7252,1.0,0.0
2002-10-28,2.42,2.8,2.8,2.67,1260.0,0.7593,1.0,0.0
2002-10-29,2.55,2.59,2.64,2.6,4335.0,0.7394,1.0,0.0
2002-10-30,2.5,2.57,2.57,2.56,3030.0,0.728,1.0,0.0
2002-10-31,2.4,2.56,2.56,2.55,1750.0,0.7252,1.0,0.0
2002-11-01,2.62,2.7,2.7,2.62,7125.0,0.7451,1.0,0.0
2002-11-04,2.55,2.79,2.79,2.59,5500.0,0.7366,1.0,0.0
2002-11-05,2.52,2.55,2.56,2.53,2500.0,0.7195,1.0,0.0
2002-11-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-07,2.55,2.69,2.69,2.57,1170.0,0.7309,1.0,0.0
2002-11-08,2.55,2.59,2.6,2.55,5155.0,0.7252,1.0,0.0
2002-11-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-12-27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
