date,3. low,1. open,2. high,4. close,6. volume,5. adjusted close,8. split coefficient,7. dividend amount
2002-07-01,5.1325,5.2,5.27,5.2625,5706.0,-0.0045,1.0,0.0
2002-07-02,5.2275,5.25,5.5875,5.515,23328.0,-0.0047,1.0,0.0
2002-07-03,5.4875,5.5225,5.7125,5.5425,26824.0,-0.0047,1.0,0.0
2002-07-04,5.575,5.7025,5.725,5.61,11580.0,-0.0048,1.0,0.0
2002-07-05,5.6,5.625,5.775,5.73,13912.0,-0.0049,1.0,0.0
2002-07-08,5.75,5.8,6.0,5.9375,20336.0,-0.005,1.0,0.0
2002-07-09,5.75,5.875,6.0025,5.87,25568.0,-0.005,1.0,0.0
2002-07-10,5.675,5.95,5.95,5.685,6412.0,-0.0048,1.0,0.0
2002-07-11,5.575,5.925,5.925,5.64,6116.0,-0.0048,1.0,0.0
2002-07-12,5.3775,5.3775,5.625,5.5875,4316.0,-0.0047,1.0,0.0
2002-07-15,5.375,5.555,5.555,5.3925,2978.0,-0.0046,1.0,0.0
2002-07-16,5.375,5.375,5.49,5.4375,2360.0,-0.0046,1.0,0.0
2002-07-17,5.25,5.3775,5.3825,5.27,8500.0,-0.0045,1.0,0.0
2002-07-18,5.25,5.25,5.425,5.385,7020.0,-0.0046,1.0,0.0
2002-07-19,5.4,5.4,5.525,5.49,2344.0,-0.0047,1.0,0.0
2002-07-22,5.225,5.3,5.375,5.245,5396.0,-0.0045,1.0,0.0
2002-07-23,5.175,5.175,5.7,5.5925,12726.0,-0.0047,1.0,0.0
2002-07-24,5.5325,5.5525,5.8,5.7175,21638.0,-0.0049,1.0,0.0
2002-07-25,5.625,5.75,5.87,5.6825,15390.0,-0.0048,1.0,0.0
2002-07-26,5.275,5.675,5.675,5.33,9616.0,-0.0045,1.0,0.0
2002-07-29,5.2,5.225,5.3875,5.29,5868.0,-0.0045,1.0,0.0
2002-07-30,5.2075,5.4,5.4,5.285,8364.0,-0.0045,1.0,0.0
2002-07-31,5.2,5.25,5.375,5.36,4272.0,-0.0045,1.0,0.0
2002-08-01,5.35,5.35,5.4675,5.3675,10556.0,-0.0046,1.0,0.0
2002-08-02,5.265,5.265,5.475,5.4375,4580.0,-0.0046,1.0,0.0
2002-08-05,5.375,5.5,5.5375,5.45,20162.0,-0.0046,1.0,0.0
2002-08-06,5.475,5.475,5.645,5.6075,9662.0,-0.0048,1.0,0.0
2002-08-07,5.5825,5.6325,5.715,5.65,5450.0,-0.0048,1.0,0.0
2002-08-08,5.6,5.6,5.6975,5.6625,6308.0,-0.0048,1.0,0.0
2002-08-09,5.6,5.6,5.665,5.655,2444.0,-0.0048,1.0,0.0
2002-08-12,5.65,5.6625,5.6975,5.6875,2234.0,-0.0048,1.0,0.0
2002-08-13,5.615,5.625,5.825,5.7825,3820.0,-0.0049,1.0,0.0
2002-08-14,5.7025,5.825,5.85,5.8025,2136.0,-0.0049,1.0,0.0
2002-08-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-08-16,5.7125,5.75,5.8,5.75,2846.0,-0.0049,1.0,0.0
2002-08-19,5.7775,5.8,5.825,5.7825,1478.0,-0.0049,1.0,0.0
2002-08-20,5.6575,5.7225,5.75,5.705,5912.0,0.023,1.0,0.0
2002-08-21,5.62,5.725,5.725,5.6375,1062.0,0.0227,1.0,0.0
2002-08-22,5.6025,5.6375,5.685,5.605,1222.0,0.0226,1.0,0.0
2002-08-23,5.5775,5.5775,5.65,5.6425,2048.0,0.0227,1.0,0.0
2002-08-26,5.65,5.7475,5.7475,5.6525,3770.0,0.0228,1.0,0.0
2002-08-27,5.6275,5.6275,5.72,5.675,1380.0,0.0229,1.0,0.0
2002-08-28,5.65,5.65,5.7225,5.69,1828.0,0.0229,1.0,0.0
2002-08-29,5.65,5.65,5.735,5.71,3654.0,0.023,1.0,0.0
2002-08-30,5.65,5.65,5.7,5.6875,2414.0,0.0229,1.0,0.0
2002-09-02,5.67,5.675,5.725,5.715,1792.0,0.023,1.0,0.0
2002-09-03,5.55,5.6275,5.6275,5.555,1664.0,0.0224,1.0,0.0
2002-09-04,5.5625,5.625,5.625,5.625,584.0,0.0227,1.0,0.0
2002-09-05,5.5325,5.6,5.65,5.6175,1788.0,0.0226,1.0,0.0
2002-09-06,5.5,5.5325,5.675,5.5575,21566.0,0.0224,1.0,0.0
2002-09-09,5.4775,5.5025,5.6225,5.5525,4198.0,0.0224,1.0,0.0
2002-09-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-09-11,5.4775,5.4775,5.55,5.535,2190.0,0.0223,1.0,0.0
2002-09-12,5.4725,5.5,5.54,5.5075,2100.0,0.0222,1.0,0.0
2002-09-13,5.405,5.4625,5.525,5.525,1110.0,0.0223,1.0,0.0
2002-09-16,5.4725,5.475,5.565,5.5225,1514.0,0.0223,1.0,0.0
2002-09-17,5.475,5.4875,5.6,5.5525,4122.0,0.0224,1.0,0.0
2002-09-18,5.48,5.4975,5.575,5.5475,6252.0,0.0224,1.0,0.0
2002-09-19,5.4675,5.4675,5.575,5.5075,3480.0,0.0222,1.0,0.0
