Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,PIDILITIND,EQ,306.0,306.0,306.0,305.0,,305.0,305.42,300,9162500000.0,,,
1996-01-02,PIDILITIND,EQ,305.0,305.0,305.0,305.0,,305.0,305.0,100,3050000000.0,,,
1996-01-03,PIDILITIND,EQ,305.0,312.0,312.0,310.0,,310.0,311.0,200,6220000000.0,,,
1996-01-04,PIDILITIND,EQ,310.0,307.0,307.0,307.0,,307.0,307.0,100,3070000000.0,,,
1996-01-05,PIDILITIND,EQ,307.0,305.0,309.0,305.0,,308.0,307.33,300,9220000000.0,,,
1996-01-08,PIDILITIND,EQ,308.0,308.0,310.0,308.0,,308.0,308.78,900,27790000000.0,,,
1996-01-09,PIDILITIND,EQ,308.0,308.0,309.75,305.0,,308.25,307.66,800,24612500000.0,,,
1996-01-10,PIDILITIND,EQ,308.25,308.25,310.0,308.0,,310.0,309.32,300,9279500000.0,,,
1996-01-11,PIDILITIND,EQ,310.0,313.95,314.0,310.0,,310.0,312.65,300,9379500000.0,,,
1996-01-12,PIDILITIND,EQ,310.0,311.0,311.0,310.5,,311.0,310.83,300,9325000000.0,,,
1996-01-15,PIDILITIND,EQ,311.0,310.0,310.0,310.0,,310.0,310.0,100,3100000000.0,,,
1996-01-16,PIDILITIND,EQ,310.0,310.0,314.0,310.0,,314.0,311.6,500,15580000000.0,,,
1996-01-17,PIDILITIND,EQ,314.0,314.0,310.0,308.0,,308.75,309.38,800,24750000000.0,,,
1996-01-18,PIDILITIND,EQ,308.75,309.0,310.0,309.0,,310.0,309.83,600,18590000000.0,,,
1996-01-19,PIDILITIND,EQ,310.0,310.0,310.0,308.0,,308.0,308.33,1000,30833000000.0,,,
1996-01-22,PIDILITIND,EQ,308.0,308.0,308.05,308.0,,308.0,308.01,500,15400500000.0,,,
1996-01-23,PIDILITIND,EQ,308.0,308.0,308.95,308.0,,308.2,308.16,1200,36979000000.0,,,
1996-01-24,PIDILITIND,EQ,308.2,308.2,308.0,302.6,,307.75,306.66,1300,39865500000.0,,,
1996-01-25,PIDILITIND,EQ,307.75,308.0,308.0,308.0,,308.0,308.0,800,24640000000.0,,,
1996-01-29,PIDILITIND,EQ,308.0,310.0,310.0,308.0,,308.0,308.12,1700,52380000000.0,,,
1996-01-30,PIDILITIND,EQ,308.0,308.0,309.0,308.0,,309.0,308.5,200,6170000000.0,,,
1996-01-31,PIDILITIND,EQ,309.0,309.0,310.0,308.0,,308.0,308.98,400,12359000000.0,,,
1996-02-01,PIDILITIND,EQ,308.0,308.0,308.95,308.0,,308.95,308.49,500,15424500000.0,,,
1996-02-02,PIDILITIND,EQ,308.95,310.0,312.95,310.0,,312.95,311.65,300,9349500000.0,,,
1996-02-05,PIDILITIND,EQ,312.95,321.0,321.0,314.0,,315.0,317.99,700,22259500000.0,,,
1996-02-06,PIDILITIND,EQ,315.0,315.0,324.0,319.0,,320.25,320.97,900,28887000000.0,,,
1996-02-07,PIDILITIND,EQ,320.25,315.0,317.5,315.0,,317.5,316.25,200,6325000000.0,,,
1996-02-08,PIDILITIND,EQ,317.5,318.0,318.0,318.0,,318.0,318.0,100,3180000000.0,,,
1996-02-09,PIDILITIND,EQ,318.0,322.0,325.0,322.0,,325.0,324.33,600,19460000000.0,,,
1996-02-12,PIDILITIND,EQ,325.0,335.0,340.0,334.5,,335.0,335.64,700,23495000000.0,,,
1996-02-13,PIDILITIND,EQ,335.0,335.0,335.0,330.0,,330.0,332.5,400,13300000000.0,,,
1996-02-14,PIDILITIND,EQ,330.0,340.0,350.0,339.0,,346.7,343.09,1100,37740000000.0,,,
1996-02-15,PIDILITIND,EQ,346.7,351.0,364.0,350.0,,355.05,353.12,1500,52968000000.0,,,
1996-02-16,PIDILITIND,EQ,355.05,352.0,355.0,350.0,,352.75,351.48,900,31633000000.0,,,
1996-02-19,PIDILITIND,EQ,352.75,352.75,363.0,359.0,,362.5,360.6,1000,36060000000.0,,,
1996-02-20,PIDILITIND,EQ,362.5,362.5,363.0,360.0,,360.75,361.5,1200,43380000000.0,,,
1996-02-22,PIDILITIND,EQ,360.75,355.0,365.0,355.0,,360.0,360.1,5500,1.98055e+11,,,
1996-02-23,PIDILITIND,EQ,360.0,360.0,363.0,360.0,,363.0,361.5,200,7230000000.0,,,
1996-02-26,PIDILITIND,EQ,363.0,361.95,361.95,356.3,,361.25,359.86,1100,39584500000.0,,,
1996-02-27,PIDILITIND,EQ,361.25,355.0,355.05,351.25,,355.05,354.4,600,21264000000.0,,,
1996-02-28,PIDILITIND,EQ,355.05,340.05,340.25,340.05,,340.25,340.15,200,6803000000.0,,,
1996-02-29,PIDILITIND,EQ,340.25,325.0,332.0,325.0,,332.0,328.5,200,6570000000.0,,,
1996-03-01,PIDILITIND,EQ,332.0,332.0,335.0,323.0,,335.0,330.27,1100,36330000000.0,,,
1996-03-04,PIDILITIND,EQ,335.0,335.0,335.0,335.0,,335.0,335.0,500,16750000000.0,,,
1996-03-06,PIDILITIND,EQ,335.0,335.0,345.0,335.0,,345.0,342.09,800,27367500000.0,,,
1996-03-07,PIDILITIND,EQ,345.0,337.0,342.0,337.0,,338.25,339.25,500,16962500000.0,,,
1996-03-08,PIDILITIND,EQ,338.25,335.0,336.0,335.0,,336.0,335.5,300,10065000000.0,,,
1996-03-11,PIDILITIND,EQ,336.0,334.0,334.0,325.0,,330.0,330.08,1200,39610000000.0,,,
1996-03-12,PIDILITIND,EQ,330.0,330.0,334.95,325.0,,325.0,328.24,800,26259000000.0,,,
1996-03-14,PIDILITIND,EQ,325.0,325.0,329.95,325.0,,329.0,327.98,500,16399000000.0,,,
1996-03-15,PIDILITIND,EQ,329.0,329.0,325.0,318.0,,324.65,322.23,1000,32223000000.0,,,
1996-03-18,PIDILITIND,EQ,324.65,325.0,325.0,315.0,,315.0,316.15,1300,41100000000.0,,,
1996-03-19,PIDILITIND,EQ,315.0,314.0,318.0,305.05,,305.05,314.45,1400,44023500000.0,,,
1996-03-21,PIDILITIND,EQ,305.05,315.0,315.0,315.0,,315.0,315.0,100,3150000000.0,,,
1996-03-22,PIDILITIND,EQ,315.0,317.5,323.0,317.5,,321.5,319.4,500,15970000000.0,,,
1996-03-25,PIDILITIND,EQ,321.5,321.5,322.5,315.0,,320.0,319.41,800,25552500000.0,,,
1996-03-26,PIDILITIND,EQ,320.0,320.0,323.75,320.05,,320.05,322.64,800,25811000000.0,,,
1996-03-27,PIDILITIND,EQ,320.05,320.05,320.05,320.05,,320.05,320.05,100,3200500000.0,,,
1996-03-28,PIDILITIND,EQ,320.05,324.95,327.0,323.0,,327.0,324.99,500,16249500000.0,,,
1996-03-29,PIDILITIND,EQ,327.0,327.0,330.55,325.1,,325.1,329.65,1200,39558500000.0,,,
1996-04-01,PIDILITIND,EQ,325.1,325.1,329.95,325.0,,328.5,327.36,400,13094500000.0,,,
1996-04-02,PIDILITIND,EQ,328.5,328.5,335.0,332.0,,334.65,333.46,800,26676500000.0,,,
1996-04-03,PIDILITIND,EQ,334.65,334.65,340.0,338.1,,338.1,339.35,1200,40721500000.0,,,
1996-04-04,PIDILITIND,EQ,338.1,339.0,342.0,339.0,,341.05,340.08,1300,44210000000.0,,,
