Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2006-03-16,PRATIBHA,EQ,120.0,150.0,189.9,141.0,179.8,181.3,178.81,12010476,2.1475656938e+14,,1453187,0.121,36.26,5.0
2006-03-17,PRATIBHA,EQ,181.3,182.0,213.5,176.25,203.9,205.35,194.88,7109450,1.385490778e+14,,580141,0.0816,41.07,5.0
2006-03-20,PRATIBHA,EQ,205.35,207.0,246.45,205.85,246.45,246.45,231.44,9615427,2.2253751738e+14,,816729,0.0849,49.29,5.0
2006-03-21,PRATIBHA,EQ,246.45,260.0,284.0,253.2,262.15,259.45,269.7,11472458,3.09416344985e+14,,681975,0.0594,51.89,5.0
2006-03-22,PRATIBHA,EQ,259.45,261.0,279.4,256.15,270.85,270.15,267.68,9522619,2.54897545785e+14,,330459,0.0347,54.03,5.0
2006-03-23,PRATIBHA,EQ,270.15,268.0,299.0,230.0,285.55,286.9,290.83,11688539,3.3994324505e+14,,612528,0.0524,57.38,5.0
2006-03-24,PRATIBHA,EQ,286.9,289.9,292.9,273.2,278.6,279.05,282.34,4711092,1.33012115305e+14,,413658,0.0878,55.81,5.0
2006-03-27,PRATIBHA,EQ,279.05,281.6,283.4,265.0,265.7,267.65,271.97,1900207,5.168065528e+13,,220870,0.1162,53.53,5.0
2006-03-28,PRATIBHA,EQ,267.65,267.7,272.0,253.6,254.4,255.85,263.85,1466543,3.8694253765e+13,,153144,0.1044,51.17,5.0
2006-03-29,PRATIBHA,EQ,255.85,255.0,264.7,251.0,252.0,252.45,256.77,1926105,4.9456155185e+13,,149760,0.0778,50.49,5.0
2006-03-30,PRATIBHA,EQ,252.45,254.6,277.0,254.2,273.0,272.35,268.57,2829719,7.5998387295e+13,,203802,0.072,54.47,5.0
2006-03-31,PRATIBHA,EQ,272.35,275.5,275.5,262.3,263.9,264.05,268.63,900634,2.4193891785e+13,,118557,0.1316,52.81,5.0
2006-04-03,PRATIBHA,EQ,264.05,265.0,268.45,255.6,257.1,257.8,262.15,537537,1.409127394e+13,,113538,0.2112,51.56,5.0
2006-04-04,PRATIBHA,EQ,257.8,255.0,265.0,255.0,259.0,258.6,260.38,394893,1.0282027895e+13,,75111,0.1902,51.72,5.0
2006-04-05,PRATIBHA,EQ,258.6,259.0,269.95,258.2,263.0,264.9,265.48,778749,2.067438427e+13,,147339,0.1892,52.98,5.0
2006-04-07,PRATIBHA,EQ,264.9,265.0,267.7,251.3,256.0,255.7,260.03,286365,7.44631268e+12,,70795,0.2472,51.14,5.0
2006-04-10,PRATIBHA,EQ,255.7,256.55,258.45,245.1,248.9,247.15,251.73,229206,5.769879695e+12,,65778,0.287,49.43,5.0
2006-04-12,PRATIBHA,EQ,247.15,250.0,254.4,238.25,240.0,240.95,248.1,154717,3.83854797e+12,,47095,0.3044,48.19,5.0
2006-04-13,PRATIBHA,EQ,240.95,275.0,275.0,235.05,238.4,239.5,244.89,349769,8.565666585e+12,,74890,0.2141,47.9,5.0
2006-04-17,PRATIBHA,EQ,239.5,242.2,267.0,242.2,263.05,262.2,256.65,738722,1.895964852e+13,,145902,0.1975,52.44,5.0
2006-04-18,PRATIBHA,EQ,262.2,280.0,280.0,260.05,260.35,261.55,265.25,530520,1.4072092405e+13,,106520,0.2008,52.31,5.0
2006-04-19,PRATIBHA,EQ,261.55,262.8,278.0,257.4,259.95,260.1,262.1,290711,7.619676485e+12,,53842,0.1852,52.02,5.0
2006-04-20,PRATIBHA,EQ,260.1,261.8,268.8,256.4,264.1,264.9,264.41,302349,7.994479385e+12,,57338,0.1896,52.98,5.0
2006-04-21,PRATIBHA,EQ,264.9,265.0,284.0,262.15,277.9,277.6,276.27,1551151,4.285386052e+13,,272040,0.1754,55.52,5.0
2006-04-24,PRATIBHA,EQ,277.6,277.0,333.15,265.0,333.15,333.15,311.48,3125594,9.73560997e+13,,549561,0.1758,66.63,5.0
2006-04-25,PRATIBHA,EQ,333.15,340.0,366.7,315.45,324.5,319.95,344.13,3561527,1.22562740615e+14,,465786,0.1308,63.99,5.0
