Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-11-01,PSUBNKBEES,EQ,263.9,310.0,332.0,250.0,278.0,280.95,293.65,10298,3.02405245e+11,,6028,0.5854
2007-11-02,PSUBNKBEES,EQ,280.95,279.95,298.0,276.0,294.5,295.16,288.42,6084,1.7547608e+11,,524,0.0861
2007-11-05,PSUBNKBEES,EQ,295.16,297.75,307.4,297.75,298.5,299.37,300.8,850,25568025000.0,,625,0.7353
2007-11-06,PSUBNKBEES,EQ,299.37,301.0,301.0,293.0,293.0,293.0,295.79,2176,64363600000.0,,1834,0.8428
2007-11-07,PSUBNKBEES,EQ,293.0,292.0,299.0,292.0,299.0,299.0,294.12,845,24853000000.0,,400,0.4734
2007-11-08,PSUBNKBEES,EQ,299.0,293.0,295.5,287.0,291.0,287.4,292.5,1474,43114700000.0,,1000,0.6784
2007-11-09,PSUBNKBEES,EQ,287.4,305.0,305.0,295.0,295.0,297.76,300.3,200,6006000000.0,,200,1.0
2007-11-12,PSUBNKBEES,EQ,297.76,281.0,286.0,279.25,286.0,286.0,282.39,476,13441650000.0,,176,0.3697
2007-11-13,PSUBNKBEES,EQ,286.0,288.5,301.0,288.5,301.0,299.99,295.33,4210,1.243355e+11,,1930,0.4584
2007-11-14,PSUBNKBEES,EQ,299.99,304.5,311.0,304.5,311.0,311.0,308.27,257,7922600000.0,,232,0.9027
2007-11-15,PSUBNKBEES,EQ,311.0,312.0,312.0,308.5,308.55,311.9,311.38,842,26218525000.0,,755,0.8967
2007-11-16,PSUBNKBEES,EQ,311.9,308.0,310.7,305.5,310.7,309.28,307.89,5392,1.6601601e+11,,3881,0.7198
2007-11-19,PSUBNKBEES,EQ,309.28,315.5,317.45,312.0,313.75,313.75,314.09,3178,99818770000.0,,2931,0.9223
2007-11-20,PSUBNKBEES,EQ,313.75,310.0,317.5,305.5,308.0,307.04,311.34,6134,1.90973e+11,,5954,0.9707
