Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-04-07,PTC,EQ,16.0,32.0,46.85,31.1,44.25,44.8,40.44,80469751,3.25385926355e+14,,11792286,0.1465
2004-04-08,PTC,EQ,44.8,45.0,45.65,41.3,42.15,41.9,42.97,32315425,1.3886565375e+14,,5490329,0.1699
2004-04-12,PTC,EQ,41.9,42.25,48.2,42.25,44.95,45.05,45.6,28040910,1.27879544005e+14,,4579132,0.1633
2004-04-13,PTC,EQ,45.05,45.5,45.7,43.4,44.4,44.3,44.36,10634390,4.71714718e+13,,2882780,0.2711
2004-04-15,PTC,EQ,44.3,44.45,47.4,43.4,45.55,45.15,45.77,14855262,6.799363437e+13,,3179765,0.214
2004-04-16,PTC,EQ,45.15,45.5,49.7,45.5,49.1,48.95,48.06,24501672,1.17760366225e+14,,4288144,0.175
2004-04-17,PTC,EQ,48.95,49.15,58.75,49.15,58.35,57.35,55.28,32843823,1.8155248808e+14,,3733385,0.1137
2004-04-19,PTC,EQ,57.35,59.0,61.2,54.65,55.25,55.2,57.26,44900680,2.57104253805e+14,,6327552,0.1409
2004-04-20,PTC,EQ,55.2,55.5,55.85,51.3,51.5,51.85,52.64,22060587,1.16129786015e+14,,2966734,0.1345
2004-04-21,PTC,EQ,51.85,51.25,54.0,50.65,53.45,53.1,52.92,15790234,8.3567555015e+13,,2050743,0.1299
2004-04-22,PTC,EQ,53.1,53.8,54.7,53.05,54.05,53.5,53.88,8865052,4.7761842585e+13,,1897972,0.2141
2004-04-23,PTC,EQ,53.5,54.25,56.7,51.8,53.05,52.65,53.94,11381727,6.1390074555e+13,,2217164,0.1948
2004-04-27,PTC,EQ,52.65,52.0,52.0,45.55,48.05,48.3,49.41,11682673,5.772970543e+13,,2304604,0.1973
2004-04-28,PTC,EQ,48.3,48.25,50.25,48.25,49.4,49.25,49.16,11621060,5.7125257085e+13,,1492909,0.1285
2004-04-29,PTC,EQ,49.25,49.5,51.45,48.5,49.9,49.9,50.31,10311209,5.1873914335e+13,,1597863,0.155
2004-04-30,PTC,EQ,49.9,49.75,51.1,48.35,48.85,48.85,49.92,5897781,2.94420656e+13,,1030335,0.1747
2004-05-03,PTC,EQ,48.85,49.0,49.15,44.7,47.6,47.4,46.82,7508813,3.515982817e+13,,1263339,0.1682
2004-05-04,PTC,EQ,47.4,48.45,50.2,48.2,49.45,49.15,49.41,3977170,1.9650570275e+13,,775630,0.195
