Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-01,RALLIS,EQ,280.0,252.5,252.5,252.5,,252.5,252.5,50,1262500000.0,,,,16.8333333333,15.0
1996-01-02,RALLIS,EQ,252.5,236.0,275.3,236.0,,275.0,260.32,250,6508000000.0,,,,18.3333333333,15.0
1996-01-05,RALLIS,EQ,275.0,251.0,290.0,251.0,,290.0,270.5,600,16230000000.0,,,,19.3333333333,15.0
1996-01-12,RALLIS,EQ,290.0,261.0,261.0,261.0,,261.0,261.0,50,1305000000.0,,,,17.4,15.0
1996-01-23,RALLIS,EQ,261.0,261.0,261.0,261.0,,261.0,261.0,100,2610000000.0,,,,17.4,15.0
1996-01-31,RALLIS,EQ,261.0,270.0,270.0,270.0,,270.0,270.0,100,2700000000.0,,,,18.0,15.0
1996-02-01,RALLIS,EQ,270.0,243.0,243.0,243.0,,243.0,243.0,100,2430000000.0,,,,16.2,15.0
1996-02-02,RALLIS,EQ,243.0,265.0,265.0,265.0,,265.0,265.0,50,1325000000.0,,,,17.6666666667,15.0
1996-02-20,RALLIS,EQ,265.0,270.0,280.0,270.0,,280.0,275.0,200,5500000000.0,,,,18.6666666667,15.0
1996-02-23,RALLIS,EQ,280.0,280.0,280.0,280.0,,280.0,280.0,100,2800000000.0,,,,18.6666666667,15.0
1996-02-27,RALLIS,EQ,280.0,270.0,299.55,270.0,,270.5,284.31,2100,59705000000.0,,,,18.0333333333,15.0
1996-02-28,RALLIS,EQ,270.5,280.0,280.05,280.0,,280.05,280.02,1050,29402500000.0,,,,18.67,15.0
1996-02-29,RALLIS,EQ,280.05,299.1,299.5,299.1,,299.5,299.26,1000,29926000000.0,,,,19.9666666667,15.0
1996-03-01,RALLIS,EQ,299.5,280.0,280.0,280.0,,280.0,280.0,100,2800000000.0,,,,18.6666666667,15.0
1996-03-04,RALLIS,EQ,280.0,265.0,265.0,265.0,,265.0,265.0,50,1325000000.0,,,,17.6666666667,15.0
1996-03-15,RALLIS,EQ,265.0,275.0,275.0,275.0,,275.0,275.0,50,1375000000.0,,,,18.3333333333,15.0
