Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,MADRASCEM,EQ,8615.0,8800.0,8800.0,8800.0,,8800.0,8800.0,5,4400000000.0,,,
1996-01-03,MADRASCEM,EQ,8800.0,8725.0,8725.0,8725.0,,8725.0,8725.0,20,17450000000.0,,,
1996-01-04,MADRASCEM,EQ,8725.0,8575.0,8605.0,8575.0,,8605.0,8590.0,10,8590000000.0,,,
1996-01-05,MADRASCEM,EQ,8605.0,8700.0,9000.0,8700.0,,8860.0,8847.97,1605,1.420098475e+12,,,
1996-01-08,MADRASCEM,EQ,8860.0,8668.0,8850.0,8668.0,,8797.7,8782.57,270,2.37129475e+11,,,
1996-01-09,MADRASCEM,EQ,8797.7,8775.0,8900.0,8765.0,,8850.0,8806.36,55,48435000000.0,,,
1996-01-10,MADRASCEM,EQ,8850.0,8850.0,8850.0,8775.0,,8850.0,8825.0,15,13237500000.0,,,
1996-01-11,MADRASCEM,EQ,8850.0,8900.0,9150.0,8900.0,,9150.0,9019.23,65,58624975000.0,,,
1996-01-12,MADRASCEM,EQ,9150.0,9150.0,9600.0,9150.0,,9500.0,9370.24,85,79647000000.0,,,
1996-01-15,MADRASCEM,EQ,9500.0,9500.0,9600.0,9500.0,,9550.0,9561.54,65,62150000000.0,,,
1996-01-16,MADRASCEM,EQ,9550.0,9550.0,9550.0,9350.0,,9437.5,9467.89,95,89945000000.0,,,
1996-01-17,MADRASCEM,EQ,9437.5,9437.5,9437.0,9300.0,,9300.0,9385.36,55,51619500000.0,,,
1996-01-18,MADRASCEM,EQ,9300.0,9300.0,9100.0,8700.0,,8940.0,8896.43,70,62275000000.0,,,
1996-01-19,MADRASCEM,EQ,8940.0,8940.0,8900.0,8700.0,,8900.0,8813.4,50,44067000000.0,,,
1996-01-22,MADRASCEM,EQ,8900.0,8900.0,8900.0,8880.0,,8900.0,8893.75,20,17787500000.0,,,
1996-01-23,MADRASCEM,EQ,8900.0,8900.0,8925.0,8920.0,,8920.0,8921.67,15,13382500000.0,,,
1996-01-25,MADRASCEM,EQ,8920.0,8920.0,9050.0,8801.0,,9050.0,8993.82,205,1.843734e+11,,,
1996-01-29,MADRASCEM,EQ,9050.0,9000.0,9000.0,9000.0,,9000.0,9000.0,30,27000000000.0,,,
1996-01-30,MADRASCEM,EQ,9000.0,9180.0,9180.0,9000.0,,9013.0,9079.1,50,45395500000.0,,,
1996-01-31,MADRASCEM,EQ,9013.0,9295.0,9295.0,9295.0,,9295.0,9295.0,10,9295000000.0,,,
1996-02-01,MADRASCEM,EQ,9295.0,9215.0,9250.0,9200.0,,9200.0,9210.0,45,41445000000.0,,,
1996-02-02,MADRASCEM,EQ,9200.0,9225.0,9275.0,9200.0,,9275.0,9226.25,40,36905000000.0,,,
1996-02-05,MADRASCEM,EQ,9275.0,9275.0,9800.0,9450.0,,9500.0,9617.0,100,96170000000.0,,,
1996-02-06,MADRASCEM,EQ,9500.0,9500.0,9700.0,9550.0,,9555.0,9648.55,85,82012675000.0,,,
1996-02-07,MADRASCEM,EQ,9555.0,9555.0,9600.0,9510.0,,9510.0,9576.88,40,38307500000.0,,,
1996-02-08,MADRASCEM,EQ,9510.0,9550.0,9999.0,9550.0,,9999.0,9864.08,610,6.01709025e+11,,,
1996-02-09,MADRASCEM,EQ,9999.0,10250.0,10600.0,10250.0,,10584.0,10483.95,125,1.31049425e+11,,,
1996-02-12,MADRASCEM,EQ,10584.0,10584.0,11000.0,10600.0,,10600.0,10873.4,100,1.08734e+11,,,
1996-02-13,MADRASCEM,EQ,10600.0,10600.0,11400.0,10550.0,,11100.0,10848.83,150,1.62732475e+11,,,
1996-02-14,MADRASCEM,EQ,11100.0,11100.0,12000.0,11455.0,,11585.35,11597.73,165,1.913625e+11,,,
1996-02-15,MADRASCEM,EQ,11585.35,11585.35,11600.0,11300.0,,11400.0,11455.71,35,40095000000.0,,,
1996-02-16,MADRASCEM,EQ,11400.0,11400.0,11400.0,11200.0,,11200.0,11309.65,115,1.30061e+11,,,
1996-02-19,MADRASCEM,EQ,11200.0,11200.0,11400.0,11100.0,,11100.1,11203.75,140,1.568525e+11,,,
1996-02-20,MADRASCEM,EQ,11100.1,11100.1,11250.0,11125.15,,11145.3,11182.25,130,1.4536925e+11,,,
1996-02-22,MADRASCEM,EQ,11145.3,11200.0,11375.0,11200.0,,11250.0,11337.5,140,1.58725e+11,,,
1996-02-23,MADRASCEM,EQ,11250.0,11300.0,11425.0,11300.0,,11362.5,11336.74,115,1.303725e+11,,,
1996-02-26,MADRASCEM,EQ,11362.5,11695.0,11900.0,11410.05,,11599.5,11600.07,155,1.79801075e+11,,,
1996-02-27,MADRASCEM,EQ,11599.5,11599.5,11700.0,11500.0,,11505.0,11525.75,100,1.152575e+11,,,
1996-02-28,MADRASCEM,EQ,11505.0,11500.0,11550.0,11450.0,,11500.0,11518.75,120,1.38225e+11,,,
1996-02-29,MADRASCEM,EQ,11500.0,11500.0,11300.0,10950.0,,11000.0,11021.03,190,2.093995e+11,,,
1996-03-01,MADRASCEM,EQ,11000.0,10900.0,11000.0,10860.0,,10900.0,10906.88,40,43627500000.0,,,
1996-03-04,MADRASCEM,EQ,10900.0,10900.0,11050.0,10850.0,,10987.0,10944.5,60,65667000000.0,,,
1996-03-07,MADRASCEM,EQ,10987.0,10825.0,11000.0,10825.0,,10875.0,10900.89,140,1.526125e+11,,,
1996-03-08,MADRASCEM,EQ,10875.0,10700.0,11000.0,10700.0,,10986.25,10924.42,85,92857550000.0,,,
1996-03-11,MADRASCEM,EQ,10986.25,10800.0,10925.0,10750.0,,10925.0,10855.28,90,97697500000.0,,,
1996-03-12,MADRASCEM,EQ,10925.0,10925.0,10900.0,10839.0,,10882.0,10864.32,75,81482400000.0,,,
1996-03-14,MADRASCEM,EQ,10882.0,10900.0,10900.0,10850.0,,10900.0,10883.33,30,32650000000.0,,,
1996-03-15,MADRASCEM,EQ,10900.0,10900.0,11000.0,10650.0,,10900.0,10836.82,55,59602500000.0,,,
1996-03-18,MADRASCEM,EQ,10900.0,10900.0,11000.0,11000.0,,11000.0,11000.0,5,5500000000.0,,,
1996-03-19,MADRASCEM,EQ,11000.0,11000.0,11199.0,10765.0,,10982.0,11084.35,665,7.371095e+11,,,
1996-03-21,MADRASCEM,EQ,10982.0,10982.0,11100.0,10875.0,,11066.7,10989.71,85,93412500000.0,,,
1996-03-22,MADRASCEM,EQ,11066.7,11100.0,11100.0,11000.05,,11000.05,11051.06,100,1.1051055e+11,,,
1996-03-25,MADRASCEM,EQ,11000.05,11000.05,11125.0,10900.0,,11000.0,11094.57,70,77662000000.0,,,
1996-03-26,MADRASCEM,EQ,11000.0,10900.0,11000.0,10899.0,,10900.0,10927.27,55,60100000000.0,,,
1996-03-27,MADRASCEM,EQ,10900.0,10850.0,11000.0,10850.0,,11000.0,10923.46,65,71002475000.0,,,
1996-03-28,MADRASCEM,EQ,11000.0,11000.0,11150.0,11000.0,,11125.0,11060.0,25,27650000000.0,,,
1996-03-29,MADRASCEM,EQ,11125.0,11150.0,11350.0,11150.0,,11350.0,11240.0,25,28100000000.0,,,
1996-04-01,MADRASCEM,EQ,11350.0,11350.0,11400.0,11275.0,,11275.0,11318.75,20,22637500000.0,,,
1996-04-02,MADRASCEM,EQ,11275.0,11275.0,11350.0,11200.0,,11241.7,11280.56,45,50762500000.0,,,
1996-04-03,MADRASCEM,EQ,11241.7,11200.0,11550.0,11200.0,,11498.35,11417.2,125,1.42715e+11,,,
1996-04-04,MADRASCEM,EQ,11498.35,11500.0,11500.0,11500.0,,11500.0,11500.0,10,11500000000.0,,,
