Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,RELCAPITAL,EQ,90.3,90.3,90.9,90.0,,90.7,90.58,22700,2.05623e+11,,,
1996-01-02,RELCAPITAL,EQ,90.7,90.7,91.0,89.75,,90.15,90.28,80400,7.25813e+11,,,
1996-01-03,RELCAPITAL,EQ,90.15,90.15,91.25,89.5,,89.7,90.31,32400,2.925905e+11,,,
1996-01-04,RELCAPITAL,EQ,89.7,89.7,89.0,87.0,,88.65,88.19,52900,4.665095e+11,,,
1996-01-05,RELCAPITAL,EQ,88.65,88.65,88.3,87.75,,88.0,87.97,27000,2.37527e+11,,,
1996-01-08,RELCAPITAL,EQ,88.0,88.0,87.7,84.0,,84.5,86.37,50300,4.34452e+11,,,
1996-01-09,RELCAPITAL,EQ,84.5,84.5,84.7,81.0,,83.6,82.76,69700,5.768025e+11,,,
1996-01-10,RELCAPITAL,EQ,83.6,83.6,84.5,82.5,,82.95,83.48,57800,4.825075e+11,,,
1996-01-11,RELCAPITAL,EQ,82.95,82.95,85.0,82.35,,84.9,83.83,92100,7.72087e+11,,,
1996-01-12,RELCAPITAL,EQ,84.9,84.9,85.85,84.1,,84.6,84.82,56900,4.82613e+11,,,
1996-01-15,RELCAPITAL,EQ,84.6,84.6,84.55,83.5,,83.85,84.0,32700,2.74685e+11,,,
1996-01-16,RELCAPITAL,EQ,83.85,83.85,84.0,82.5,,82.9,83.28,77700,6.470935e+11,,,
1996-01-17,RELCAPITAL,EQ,82.9,82.9,83.45,80.5,,80.95,82.06,74200,6.08859e+11,,,
1996-01-18,RELCAPITAL,EQ,80.95,78.0,80.5,76.0,,78.45,78.75,130200,1.025265e+12,,,
1996-01-19,RELCAPITAL,EQ,78.45,78.45,78.5,77.0,,77.5,77.56,91200,7.073585e+11,,,
1996-01-22,RELCAPITAL,EQ,77.5,77.5,78.95,77.5,,77.75,78.1,46800,3.65492e+11,,,
1996-01-23,RELCAPITAL,EQ,77.75,77.75,78.0,72.0,,73.05,76.02,95900,7.28986e+11,,,
1996-01-24,RELCAPITAL,EQ,73.05,73.05,73.0,68.55,,69.95,71.08,153100,1.088238e+12,,,
1996-01-25,RELCAPITAL,EQ,69.95,69.95,69.95,64.5,,64.95,67.51,127800,8.62793e+11,,,
1996-01-29,RELCAPITAL,EQ,64.95,64.95,71.5,64.0,,69.8,68.0,241500,1.642268e+12,,,
