Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-05-05,RKFORGE,EQ,20.0,38.45,39.0,30.35,38.3,38.3,35.63,5293691,1.886190193e+13,,1714122,0.3238
2004-05-06,RKFORGE,EQ,38.3,39.9,45.5,39.6,45.3,44.6,43.19,3913027,1.690231288e+13,,777530,0.1987
2004-05-07,RKFORGE,EQ,44.6,46.0,46.85,40.5,41.4,42.05,42.35,2190913,9.27907762e+12,,639918,0.2921
2004-05-10,RKFORGE,EQ,42.05,40.15,44.4,38.35,42.4,42.85,42.61,1528953,6.514670315e+12,,248619,0.1626
2004-05-11,RKFORGE,EQ,42.85,41.5,42.5,35.0,35.0,36.4,39.45,818042,3.227211965e+12,,232067,0.2837
2004-05-12,RKFORGE,EQ,36.4,37.0,38.4,33.6,36.9,36.8,37.24,579324,2.15736774e+12,,132604,0.2289
2004-05-13,RKFORGE,EQ,36.8,36.0,43.5,32.25,40.0,40.05,39.72,1434668,5.69798186e+12,,463073,0.3228
2004-05-14,RKFORGE,EQ,40.05,41.95,41.95,35.55,37.0,37.3,38.26,880266,3.367852635e+12,,434324,0.4934
2004-05-17,RKFORGE,EQ,37.3,36.0,36.0,29.85,30.1,30.15,32.04,190690,6.10889395e+11,,102749,0.5388
2004-05-18,RKFORGE,EQ,30.15,30.0,36.2,29.5,36.2,36.15,33.58,366364,1.230147465e+12,,134785,0.3679
2004-05-19,RKFORGE,EQ,36.15,37.1,39.0,34.1,34.6,34.5,35.81,533788,1.911618005e+12,,320599,0.6006
2004-05-20,RKFORGE,EQ,34.5,36.0,36.75,34.5,34.75,35.05,35.69,360405,1.286374795e+12,,231517,0.6424
2004-05-21,RKFORGE,EQ,35.05,34.15,37.9,34.05,35.65,35.9,35.99,285327,1.02701828e+12,,139016,0.4872
2004-05-24,RKFORGE,EQ,35.9,36.45,36.45,35.2,35.25,35.45,35.64,239719,8.54374595e+11,,137378,0.5731
2004-05-25,RKFORGE,EQ,35.45,35.45,38.45,34.5,37.65,37.9,37.22,383939,1.42915797e+12,,152766,0.3979
2004-05-26,RKFORGE,EQ,37.9,38.4,38.85,37.3,38.05,37.95,37.89,289528,1.097081235e+12,,193898,0.6697
2004-05-27,RKFORGE,EQ,37.95,38.15,40.25,37.35,37.9,38.0,39.22,376449,1.476542905e+12,,141528,0.376
2004-05-28,RKFORGE,EQ,38.0,36.0,38.45,33.1,33.15,33.7,35.54,254030,9.02734735e+11,,153537,0.6044
2004-05-31,RKFORGE,EQ,33.7,33.1,34.45,32.65,33.25,33.6,33.46,148816,4.97902885e+11,,79981,0.5374
2004-06-01,RKFORGE,EQ,33.6,34.8,35.25,34.0,34.2,34.2,34.67,111920,3.8803437e+11,,38468,0.3437
2004-06-02,RKFORGE,EQ,34.2,34.8,34.9,32.65,33.0,33.0,33.88,82932,2.8097727e+11,,44619,0.538
2004-06-03,RKFORGE,EQ,33.0,33.5,33.7,30.15,30.9,30.7,32.22,143814,4.63397185e+11,,103191,0.7175
2004-06-04,RKFORGE,EQ,30.7,30.95,31.25,29.05,29.95,29.8,30.07,80216,2.41206535e+11,,36677,0.4572
2004-06-07,RKFORGE,EQ,29.8,30.2,31.0,30.0,30.9,30.6,30.71,76164,2.33879645e+11,,46999,0.6171
2004-06-08,RKFORGE,EQ,30.6,30.9,31.5,30.55,31.0,30.85,30.99,69921,2.16675495e+11,,30311,0.4335
2004-06-09,RKFORGE,EQ,30.85,30.6,31.45,30.1,30.1,30.5,30.88,67726,2.0916563e+11,,31783,0.4693
2004-06-10,RKFORGE,EQ,30.5,30.15,30.5,29.2,29.4,29.35,29.66,38491,1.14183235e+11,,29584,0.7686
2004-06-11,RKFORGE,EQ,29.35,29.5,29.6,27.9,28.05,28.05,28.59,44879,1.28304665e+11,,34698,0.7731
2004-06-14,RKFORGE,EQ,28.05,29.25,29.25,25.65,26.0,26.05,26.55,52913,1.4048228e+11,,24104,0.4555
