Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2008-02-11,RPOWER,EQ,450.0,530.0,530.0,355.3,375.0,372.3,416.88,134392544,5.60250400408e+15,,47161182,0.3509
2008-02-12,RPOWER,EQ,372.3,381.35,395.0,338.5,355.2,354.45,356.08,41609953,1.48166667699e+15,,8997644,0.2162
2008-02-13,RPOWER,EQ,354.45,365.0,368.65,333.0,350.1,350.15,350.07,24384113,8.53620293445e+14,,6423498,0.2634
2008-02-14,RPOWER,EQ,350.15,355.95,375.0,355.95,370.5,369.95,364.69,12638652,4.60917124715e+14,,2418882,0.1914
2008-02-15,RPOWER,EQ,369.95,359.1,388.95,356.0,385.0,384.5,377.68,17584303,6.6412012228e+14,,2776838,0.1579
2008-02-18,RPOWER,EQ,384.5,397.2,430.0,397.2,411.5,413.95,418.94,19993393,8.37605380595e+14,,4577088,0.2289
2008-02-19,RPOWER,EQ,413.95,415.0,419.95,408.5,412.3,413.5,414.74,10376288,4.3034515844e+14,,1886306,0.1818
2008-02-20,RPOWER,EQ,413.5,409.9,412.8,405.25,411.5,408.55,409.34,6756938,2.76590443475e+14,,1800541,0.2665
2008-02-21,RPOWER,EQ,408.55,414.0,425.0,411.15,423.0,421.85,418.43,9359624,3.9163746282e+14,,2728714,0.2915
2008-02-22,RPOWER,EQ,421.85,423.0,432.4,407.2,414.1,417.15,418.54,19236222,8.0512001259e+14,,5292472,0.2751
2008-02-25,RPOWER,EQ,417.15,435.0,455.95,421.05,450.75,450.7,442.16,33554593,1.48363764234e+15,,11398654,0.3397
2008-02-26,RPOWER,EQ,450.7,450.0,456.75,443.15,448.45,447.95,448.41,11271755,5.05436673615e+14,,3901656,0.3461
2008-02-27,RPOWER,EQ,447.95,454.0,454.0,444.75,446.05,446.85,449.07,4832741,2.17024774975e+14,,2106575,0.4359
2008-02-28,RPOWER,EQ,446.85,446.5,447.9,436.65,441.6,442.05,442.25,6000092,2.6535681352e+14,,1926467,0.3211
2008-02-29,RPOWER,EQ,442.05,435.1,447.25,425.05,427.8,431.0,435.95,4839578,2.109832612e+14,,1399694,0.2892
2008-03-03,RPOWER,EQ,431.0,422.0,424.0,406.3,408.9,412.15,418.47,2475139,1.0357777734e+14,,716127,0.2893
2008-03-04,RPOWER,EQ,412.15,410.0,414.45,388.5,389.0,392.4,399.68,4071551,1.6273052281e+14,,917085,0.2252
2008-03-05,RPOWER,EQ,392.4,390.0,394.6,373.05,373.65,376.05,379.94,4336212,1.6475041149e+14,,1042570,0.2404
2008-03-07,RPOWER,EQ,376.05,370.0,370.0,330.0,334.9,336.8,341.09,8454677,2.8838397328e+14,,2745314,0.3247
2008-03-10,RPOWER,EQ,336.8,330.0,344.9,310.1,333.25,335.05,325.52,7209360,2.34676906615e+14,,1329129,0.1844
2008-03-11,RPOWER,EQ,335.05,333.0,364.85,320.25,357.95,358.6,354.14,7511581,2.6601331798e+14,,851917,0.1134
2008-03-12,RPOWER,EQ,358.6,369.0,377.9,340.1,342.0,345.05,357.96,6273668,2.2457236778e+14,,1476864,0.2354
2008-03-13,RPOWER,EQ,345.05,315.0,337.4,315.0,322.0,321.6,327.92,4934266,1.61805761575e+14,,1418080,0.2874
2008-03-14,RPOWER,EQ,321.6,321.3,343.7,315.0,341.05,337.75,331.99,4877083,1.61915008035e+14,,840681,0.1724
2008-03-17,RPOWER,EQ,337.75,330.0,333.9,313.45,314.45,315.55,323.0,5369477,1.73433796865e+14,,1368379,0.2548
2008-03-18,RPOWER,EQ,315.55,305.4,326.0,305.4,317.8,316.45,319.96,4915879,1.5728986991e+14,,805443,0.1638
2008-03-19,RPOWER,EQ,316.45,337.0,337.0,313.1,314.0,315.0,321.9,2709901,8.723064271e+13,,642845,0.2372
2008-03-24,RPOWER,EQ,315.0,321.95,321.95,303.0,305.8,306.5,308.3,2533459,7.810670143e+13,,593757,0.2344
2008-03-25,RPOWER,EQ,306.5,312.25,323.45,309.25,319.0,319.65,317.93,3959045,1.2587059549e+14,,1144686,0.2891
2008-03-26,RPOWER,EQ,319.65,321.1,330.5,316.25,322.9,323.1,325.39,4024033,1.30937963855e+14,,664803,0.1652
2008-03-27,RPOWER,EQ,323.1,320.0,330.0,317.25,329.1,327.85,326.61,3548651,1.1590211738e+14,,1077619,0.3037
2008-03-28,RPOWER,EQ,327.85,332.3,337.35,329.0,332.9,334.05,333.31,3937037,1.31227255665e+14,,1057716,0.2687
2008-03-31,RPOWER,EQ,334.05,327.0,333.9,316.0,317.0,318.0,325.98,5486260,1.78838510635e+14,,1204063,0.2195
2008-04-01,RPOWER,EQ,318.0,323.0,329.0,311.5,322.85,321.3,318.35,2727714,8.6838069895e+13,,912663,0.3346
2008-04-02,RPOWER,EQ,321.3,330.0,334.0,325.6,326.6,327.25,328.54,2103622,6.911233256e+13,,808489,0.3843
2008-04-03,RPOWER,EQ,327.25,324.25,332.9,324.0,330.8,330.85,328.78,1967987,6.4703539855e+13,,621843,0.316
2008-04-04,RPOWER,EQ,330.85,331.05,332.0,321.1,322.0,322.65,325.16,1286949,4.1846355395e+13,,312874,0.2431
2008-04-07,RPOWER,EQ,322.65,322.0,336.0,318.05,334.75,333.85,331.29,2640625,8.748186091e+13,,861750,0.3263
2008-04-08,RPOWER,EQ,333.85,333.0,363.0,327.0,350.85,351.3,350.6,8007532,2.8074088582e+14,,1148381,0.1434
2008-04-09,RPOWER,EQ,351.3,350.9,367.95,346.0,360.6,362.5,361.5,6216906,2.24740359855e+14,,990666,0.1594
2008-04-10,RPOWER,EQ,362.5,361.9,367.8,354.15,356.8,358.5,362.51,4104160,1.48779841095e+14,,531143,0.1294
2008-04-11,RPOWER,EQ,358.5,363.05,388.0,358.0,363.05,363.1,363.2,2919825,1.0604829731e+14,,788485,0.27
2008-04-15,RPOWER,EQ,363.1,360.0,388.8,351.0,387.65,384.4,377.61,4912413,1.8549862975e+14,,1025034,0.2087
2008-04-16,RPOWER,EQ,384.4,393.0,404.0,373.0,373.6,375.25,388.54,6986999,2.7147206932e+14,,1495599,0.2141
2008-04-17,RPOWER,EQ,375.25,380.0,390.0,378.05,385.3,384.75,384.75,3435564,1.32181929525e+14,,732606,0.2132
2008-04-21,RPOWER,EQ,384.75,387.0,391.2,372.6,373.45,374.2,379.51,3031578,1.150508054e+14,,1045239,0.3448
2008-04-22,RPOWER,EQ,374.2,370.0,384.0,364.1,379.25,378.15,378.51,3554882,1.3455711304e+14,,956554,0.2691
2008-04-23,RPOWER,EQ,378.15,386.7,389.4,379.1,386.4,385.05,384.16,2802487,1.0766134097e+14,,714243,0.2549
