Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2006-03-08,SAKUMA,EQ,50.0,60.0,60.0,42.1,46.85,47.1,50.14,5354514,2.684709229e+13,,827607,0.1546,47.1,1.0
2006-03-09,SAKUMA,EQ,47.1,47.5,49.25,46.25,46.7,46.75,47.66,613073,2.9218918e+12,,85461,0.1394,46.75,1.0
2006-03-10,SAKUMA,EQ,46.75,47.6,47.95,43.05,43.5,43.6,45.94,367558,1.68843049e+12,,85022,0.2313,43.6,1.0
2006-03-13,SAKUMA,EQ,43.6,44.8,44.85,40.3,40.35,40.6,41.75,233385,9.74423565e+11,,78938,0.3382,40.6,1.0
2006-03-14,SAKUMA,EQ,40.6,40.4,48.75,39.0,45.9,46.3,45.92,2303389,1.0577445585e+13,,287755,0.1249,46.3,1.0
2006-03-16,SAKUMA,EQ,46.3,46.7,46.7,42.45,43.0,42.8,44.53,444303,1.978379615e+12,,106339,0.2393,42.8,1.0
2006-03-17,SAKUMA,EQ,42.8,42.6,42.8,41.0,41.0,41.15,41.8,192945,8.06592635e+11,,68415,0.3546,41.15,1.0
2006-03-20,SAKUMA,EQ,41.15,41.5,43.7,40.4,41.9,41.5,42.01,273899,1.150664655e+12,,127849,0.4668,41.5,1.0
2006-03-21,SAKUMA,EQ,41.5,42.45,42.75,40.05,40.7,40.6,41.59,114501,4.76201125e+11,,44134,0.3854,40.6,1.0
2006-03-22,SAKUMA,EQ,40.6,40.7,40.9,39.0,39.2,39.25,39.86,69890,2.7859262e+11,,34152,0.4887,39.25,1.0
2006-03-23,SAKUMA,EQ,39.25,39.25,40.25,38.1,38.15,38.45,39.19,124094,4.86271925e+11,,69934,0.5636,38.45,1.0
2006-03-24,SAKUMA,EQ,38.45,38.95,39.3,36.55,36.75,36.95,37.95,108725,4.12644705e+11,,50184,0.4616,36.95,1.0
2006-03-27,SAKUMA,EQ,36.95,38.05,38.5,35.8,36.0,36.15,36.65,89870,3.29413415e+11,,50742,0.5646,36.15,1.0
2006-03-28,SAKUMA,EQ,36.15,36.1,36.7,32.85,33.2,33.35,34.75,98597,3.4265503e+11,,63032,0.6393,33.35,1.0
2006-03-29,SAKUMA,EQ,33.35,34.45,35.45,33.5,33.6,33.8,33.98,81794,2.77941165e+11,,38797,0.4743,33.8,1.0
