Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-01,SATYAMCOMP,EQ,41.4,41.4,42.0,40.5,,41.5,41.43,1600,6628500000.0,,,,2.075,20.0
1996-01-02,SATYAMCOMP,EQ,41.5,41.0,41.5,40.75,,41.0,41.0,4500,18450000000.0,,,,2.05,20.0
1996-01-03,SATYAMCOMP,EQ,41.0,41.25,42.0,41.25,,41.5,41.58,6800,28275000000.0,,,,2.075,20.0
1996-01-04,SATYAMCOMP,EQ,41.5,41.5,41.5,41.1,,41.25,41.29,1000,4128500000.0,,,,2.0625,20.0
1996-01-05,SATYAMCOMP,EQ,41.25,41.25,41.75,41.0,,41.75,41.44,4400,18232500000.0,,,,2.0875,20.0
1996-01-08,SATYAMCOMP,EQ,41.75,41.0,42.0,40.3,,40.35,40.73,4400,17921000000.0,,,,2.0175,20.0
1996-01-09,SATYAMCOMP,EQ,40.35,40.25,40.95,39.5,,39.55,39.98,4900,19589000000.0,,,,1.9775,20.0
1996-01-10,SATYAMCOMP,EQ,39.55,40.0,40.3,39.55,,40.0,40.11,1500,6016500000.0,,,,2.0,20.0
1996-01-11,SATYAMCOMP,EQ,40.0,40.05,40.05,38.8,,40.0,39.82,3500,13938500000.0,,,,2.0,20.0
1996-01-12,SATYAMCOMP,EQ,40.0,40.0,40.5,40.0,,40.25,40.19,2600,10449500000.0,,,,2.0125,20.0
1996-01-15,SATYAMCOMP,EQ,40.25,39.55,40.75,39.55,,39.7,40.18,1900,7635000000.0,,,,1.985,20.0
1996-01-16,SATYAMCOMP,EQ,39.7,39.7,40.75,39.35,,40.1,39.9,4300,17159000000.0,,,,2.005,20.0
1996-01-17,SATYAMCOMP,EQ,40.1,40.1,40.4,40.0,,40.05,40.13,1500,6019000000.0,,,,2.0025,20.0
1996-01-18,SATYAMCOMP,EQ,40.05,40.05,40.25,37.0,,37.8,37.9,5400,20467000000.0,,,,1.89,20.0
1996-01-19,SATYAMCOMP,EQ,37.8,37.8,38.45,36.5,,36.75,37.4,6500,24308500000.0,,,,1.8375,20.0
1996-01-22,SATYAMCOMP,EQ,36.75,36.75,37.0,36.1,,37.0,36.71,2200,8076000000.0,,,,1.85,20.0
1996-01-23,SATYAMCOMP,EQ,37.0,37.0,37.9,35.75,,37.0,36.69,8300,30454500000.0,,,,1.85,20.0
1996-01-24,SATYAMCOMP,EQ,37.0,37.0,36.0,33.5,,33.9,34.96,30400,1.062685e+11,,,,1.695,20.0
1996-01-25,SATYAMCOMP,EQ,33.9,33.9,34.0,32.1,,32.95,33.12,3300,10930500000.0,,,,1.6475,20.0
1996-01-29,SATYAMCOMP,EQ,32.95,32.6,34.45,32.6,,34.45,33.78,3200,10808000000.0,,,,1.7225,20.0
1996-01-30,SATYAMCOMP,EQ,34.45,34.45,37.0,34.5,,35.5,35.29,2700,9528000000.0,,,,1.775,20.0
1996-01-31,SATYAMCOMP,EQ,35.5,35.5,37.9,35.5,,37.4,36.83,1600,5893000000.0,,,,1.87,20.0
