Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,SBIN,EQ,198.1,198.1,201.15,196.5,,199.5,199.2,4126350,8.219580325e+13,,,
1996-01-02,SBIN,EQ,199.5,200.25,201.0,188.0,,193.15,195.94,5299500,1.038379815e+14,,,
1996-01-03,SBIN,EQ,193.15,194.25,196.8,187.0,,188.0,191.64,6443900,1.2349291825e+14,,,
1996-01-04,SBIN,EQ,188.0,185.5,189.0,182.55,,187.35,185.0,8121250,1.5024039225e+14,,,
1996-01-05,SBIN,EQ,187.35,188.0,188.5,185.05,,186.3,186.7,7228600,1.3495760575e+14,,,
1996-01-08,SBIN,EQ,186.3,185.25,187.0,179.35,,180.85,183.58,5226650,9.595066e+13,,,
1996-01-09,SBIN,EQ,180.85,179.0,198.0,177.05,,190.75,182.47,7742300,1.412752175e+14,,,
1996-01-10,SBIN,EQ,190.75,184.5,187.75,180.75,,182.0,184.89,5129050,9.4828786e+13,,,
1996-01-11,SBIN,EQ,182.0,180.0,190.0,180.0,,188.95,185.57,6224700,1.1551444875e+14,,,
1996-01-12,SBIN,EQ,188.95,189.5,193.25,186.25,,189.05,189.67,9638300,1.82807343e+14,,,
1996-01-15,SBIN,EQ,189.05,191.0,192.9,188.5,,189.65,190.63,6431950,1.2261060725e+14,,,
1996-01-16,SBIN,EQ,189.65,189.75,207.0,188.5,,193.65,191.82,8727300,1.6741118275e+14,,,
1996-01-17,SBIN,EQ,193.65,189.25,190.5,185.0,,185.7,187.97,6177950,1.161281575e+14,,,
1996-01-18,SBIN,EQ,185.7,183.55,186.8,181.5,,184.45,184.34,6380150,1.1761100875e+14,,,
1996-01-19,SBIN,EQ,184.45,183.25,187.3,183.25,,186.65,185.56,4496100,8.343164525e+13,,,
1996-01-22,SBIN,EQ,186.65,188.0,194.1,187.6,,193.15,191.39,7690900,1.47195308e+14,,,
1996-01-23,SBIN,EQ,193.15,194.9,198.95,192.5,,195.2,196.21,12293800,2.412155465e+14,,,
1996-01-24,SBIN,EQ,195.2,189.0,190.0,183.9,,188.6,187.31,5140750,9.6293333e+13,,,
1996-01-25,SBIN,EQ,188.6,192.0,193.7,189.5,,190.4,191.62,6387750,1.2240209275e+14,,,
1996-01-29,SBIN,EQ,190.4,192.5,200.95,191.55,,199.1,197.31,7141500,1.4090727125e+14,,,
1996-01-30,SBIN,EQ,199.1,202.0,208.8,197.0,,203.55,205.34,8412750,1.727497355e+14,,,
1996-01-31,SBIN,EQ,203.55,199.0,202.75,193.05,,196.6,197.26,5362150,1.0577289125e+14,,,
1996-02-01,SBIN,EQ,196.6,195.25,208.0,195.25,,206.35,202.64,9114350,1.846891585e+14,,,
1996-02-02,SBIN,EQ,206.35,210.5,222.0,209.0,,220.6,215.77,10002300,2.15815031e+14,,,
1996-02-05,SBIN,EQ,220.6,223.5,242.5,223.5,,234.5,231.37,15185300,3.513456165e+14,,,
1996-02-06,SBIN,EQ,234.5,238.0,245.5,231.0,,236.5,238.76,13902350,3.3193530875e+14,,,
1996-02-07,SBIN,EQ,236.5,228.9,237.0,220.0,,232.35,231.96,6366950,1.4768887875e+14,,,
1996-02-08,SBIN,EQ,232.35,233.05,242.75,228.7,,238.95,233.69,4981450,1.1641316575e+14,,,
1996-02-09,SBIN,EQ,238.95,241.25,259.25,236.9,,255.85,249.51,7036800,1.7557225825e+14,,,
1996-02-12,SBIN,EQ,255.85,253.0,257.2,238.0,,240.85,249.32,7699900,1.9197500325e+14,,,
1996-02-13,SBIN,EQ,240.85,240.25,244.9,233.5,,242.15,239.57,7898400,1.89221088e+14,,,
1996-02-14,SBIN,EQ,242.15,251.0,254.85,248.0,,249.25,251.03,4930000,1.2375872875e+14,,,
1996-02-15,SBIN,EQ,249.25,248.0,252.0,245.25,,247.8,248.95,3836600,9.551376625e+13,,,
1996-02-16,SBIN,EQ,247.8,245.95,246.45,240.35,,242.0,242.95,3879150,9.424390875e+13,,,
1996-02-19,SBIN,EQ,242.0,243.0,247.0,242.5,,243.65,244.55,2754750,6.7366891e+13,,,
1996-02-20,SBIN,EQ,243.65,244.0,244.2,234.1,,236.05,239.9,2883450,6.917428775e+13,,,
1996-02-22,SBIN,EQ,236.05,240.4,243.45,239.0,,242.6,242.05,2041600,4.94163225e+13,,,
1996-02-23,SBIN,EQ,242.6,243.0,247.5,239.3,,246.2,243.65,4401900,1.07252892e+14,,,
1996-02-26,SBIN,EQ,246.2,252.0,258.35,251.1,,252.75,255.17,6793200,1.7334064075e+14,,,
1996-02-27,SBIN,EQ,252.75,254.0,255.5,249.0,,252.3,252.02,5911400,1.4897855575e+14,,,
1996-02-28,SBIN,EQ,252.3,256.0,258.0,252.1,,252.6,254.79,3454200,8.80110575e+13,,,
1996-02-29,SBIN,EQ,252.6,251.0,251.95,237.0,,240.3,244.86,6701850,1.641026265e+14,,,
1996-03-01,SBIN,EQ,240.3,243.0,245.4,240.0,,243.25,242.56,4679750,1.13512133e+14,,,
1996-03-04,SBIN,EQ,243.25,244.0,244.95,235.0,,240.8,242.5,3832000,9.292667625e+13,,,
1996-03-06,SBIN,EQ,240.8,241.1,244.9,240.5,,243.7,243.13,2090850,5.0835256e+13,,,
1996-03-07,SBIN,EQ,243.7,245.0,247.2,241.25,,242.15,244.9,2953550,7.233293725e+13,,,
1996-03-08,SBIN,EQ,242.15,240.05,240.95,236.1,,239.9,238.6,3739900,8.923493375e+13,,,
1996-03-11,SBIN,EQ,239.9,235.0,237.0,231.45,,234.4,234.36,3690050,8.64812145e+13,,,
1996-03-12,SBIN,EQ,234.4,234.15,235.15,232.0,,234.05,233.69,2588050,6.048130175e+13,,,
1996-03-13,SBIN,EQ,234.05,233.95,240.45,232.75,,239.65,236.78,2587250,6.126188475e+13,,,
1996-03-14,SBIN,EQ,239.65,240.5,242.6,238.1,,239.4,240.68,3429050,8.253143525e+13,,,
1996-03-15,SBIN,EQ,239.4,239.0,239.5,234.5,,235.1,236.81,2742350,6.4940886e+13,,,
1996-03-18,SBIN,EQ,235.1,233.0,234.45,228.25,,228.95,230.91,2563100,5.91847515e+13,,,
1996-03-19,SBIN,EQ,228.95,228.95,231.85,217.0,,222.7,227.49,3357200,7.637235775e+13,,,
1996-03-21,SBIN,EQ,222.7,227.05,231.5,227.05,,229.75,229.59,1288000,2.95710125e+13,,,
1996-03-22,SBIN,EQ,229.75,227.25,229.0,223.25,,227.25,225.6,2187050,4.933947675e+13,,,
1996-03-25,SBIN,EQ,227.25,229.0,231.95,227.65,,228.75,229.71,2125250,4.881918825e+13,,,
1996-03-26,SBIN,EQ,228.75,228.9,230.0,221.8,,227.0,226.2,2268150,5.130539275e+13,,,
1996-03-27,SBIN,EQ,227.0,230.0,233.5,230.0,,231.2,232.02,1384600,3.212502375e+13,,,
1996-03-28,SBIN,EQ,231.2,231.2,245.0,231.65,,235.05,233.98,1458200,3.41184305e+13,,,
1996-03-29,SBIN,EQ,235.05,236.5,237.5,233.5,,235.4,235.53,2004900,4.72220015e+13,,,
1996-04-01,SBIN,EQ,235.4,230.0,243.0,230.0,,241.75,239.45,3787050,9.067950275e+13,,,
1996-04-02,SBIN,EQ,241.75,245.05,253.0,238.65,,249.4,247.13,5067850,1.2524289275e+14,,,
1996-04-03,SBIN,EQ,249.4,253.0,257.45,252.0,,252.8,254.71,4588350,1.1687010575e+14,,,
1996-04-04,SBIN,EQ,252.8,252.0,252.75,248.55,,252.05,250.89,3840400,9.635090425e+13,,,
1996-04-08,SBIN,EQ,252.05,261.0,268.5,258.5,,265.4,262.17,6358600,1.6670434325e+14,,,
1996-04-09,SBIN,EQ,265.4,268.0,276.4,261.05,,267.25,271.5,11681150,3.1714372725e+14,,,
