Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-01,SHREECEM,EQ,54.5,54.5,56.0,54.0,,55.5,55.53,1550,8607500000.0,,,,55.5,1.0
1996-01-02,SHREECEM,EQ,55.5,55.5,56.0,54.25,,55.75,55.14,3850,21230250000.0,,,,55.75,1.0
1996-01-03,SHREECEM,EQ,55.75,55.75,55.0,55.0,,55.0,55.0,300,1650000000.0,,,,55.0,1.0
1996-01-04,SHREECEM,EQ,55.0,55.0,54.0,53.05,,54.0,53.6,600,3216250000.0,,,,54.0,1.0
1996-01-05,SHREECEM,EQ,54.0,54.0,54.0,53.0,,54.0,53.74,4200,22572000000.0,,,,54.0,1.0
1996-01-08,SHREECEM,EQ,54.0,54.0,54.0,52.0,,53.25,53.18,3100,16485500000.0,,,,53.25,1.0
1996-01-09,SHREECEM,EQ,53.25,53.25,53.0,52.95,,53.0,52.99,1100,5829250000.0,,,,53.0,1.0
1996-01-11,SHREECEM,EQ,53.0,53.0,53.5,52.5,,53.5,53.21,450,2394250000.0,,,,53.5,1.0
1996-01-12,SHREECEM,EQ,53.5,52.25,53.5,52.25,,53.5,53.39,2250,12013750000.0,,,,53.5,1.0
1996-01-15,SHREECEM,EQ,53.5,52.5,53.5,52.5,,52.75,53.01,1250,6626250000.0,,,,52.75,1.0
1996-01-16,SHREECEM,EQ,52.75,52.0,52.5,51.05,,51.35,51.86,1700,8817000000.0,,,,51.35,1.0
1996-01-17,SHREECEM,EQ,51.35,51.0,51.5,51.0,,51.25,51.25,4100,21014500000.0,,,,51.25,1.0
1996-01-18,SHREECEM,EQ,51.25,50.05,50.05,49.5,,49.5,49.79,2000,9957500000.0,,,,49.5,1.0
1996-01-19,SHREECEM,EQ,49.5,49.5,49.5,48.0,,48.25,48.36,350,1692500000.0,,,,48.25,1.0
1996-01-22,SHREECEM,EQ,48.25,48.5,48.5,48.0,,48.0,48.24,1550,7477000000.0,,,,48.0,1.0
1996-01-23,SHREECEM,EQ,48.0,48.0,47.0,43.0,,43.0,45.18,700,3162500000.0,,,,43.0,1.0
1996-01-24,SHREECEM,EQ,43.0,45.1,46.95,45.0,,46.95,45.8,1400,6411500000.0,,,,46.95,1.0
1996-01-25,SHREECEM,EQ,46.95,46.95,45.05,44.0,,45.05,44.85,550,2466750000.0,,,,45.05,1.0
1996-01-29,SHREECEM,EQ,45.05,45.05,46.0,45.05,,46.0,45.95,2300,10569500000.0,,,,46.0,1.0
1996-01-30,SHREECEM,EQ,46.0,47.95,47.95,47.25,,47.5,47.53,3150,14971250000.0,,,,47.5,1.0
1996-01-31,SHREECEM,EQ,47.5,47.5,48.25,47.5,,47.75,47.91,1300,6228750000.0,,,,47.75,1.0
1996-02-01,SHREECEM,EQ,47.75,47.75,50.0,47.0,,50.0,49.15,5800,28509500000.0,,,,50.0,1.0
