Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2007-08-03,SIMPLEX,EQ,185.0,323.75,323.75,267.3,270.2,273.7,279.99,9817331,2.7487620743e+14,,1289151,0.1313,273.7,1.0
2007-08-06,SIMPLEX,EQ,273.7,260.0,284.4,252.0,283.5,278.8,266.16,3041123,8.0943627075e+13,,216213,0.0711,278.8,1.0
2007-08-07,SIMPLEX,EQ,278.8,284.5,291.0,271.35,272.0,276.9,283.17,2505073,7.093666327e+13,,224588,0.0897,276.9,1.0
2007-08-08,SIMPLEX,EQ,276.9,278.9,285.95,276.0,280.9,280.2,281.81,834488,2.351693484e+13,,124073,0.1487,280.2,1.0
2007-08-09,SIMPLEX,EQ,280.2,262.0,293.8,262.0,273.05,274.7,284.32,871453,2.4777197885e+13,,134255,0.1541,274.7,1.0
2007-08-10,SIMPLEX,EQ,274.7,265.9,273.5,260.0,272.5,271.1,267.25,210172,5.61686099e+12,,52611,0.2503,271.1,1.0
2007-08-13,SIMPLEX,EQ,271.1,272.5,287.0,262.0,280.4,280.95,280.78,837904,2.352645529e+13,,90666,0.1082,280.95,1.0
2007-08-14,SIMPLEX,EQ,280.95,281.0,283.5,275.0,276.0,275.45,279.06,202175,5.641897435e+12,,55619,0.2751,275.45,1.0
2007-08-16,SIMPLEX,EQ,275.45,270.05,270.05,251.0,265.3,265.8,264.9,88968,2.35679863e+12,,46031,0.5174,265.8,1.0
2007-08-17,SIMPLEX,EQ,265.8,279.9,279.9,245.0,259.0,261.05,259.74,113362,2.94443355e+12,,55142,0.4864,261.05,1.0
2007-08-20,SIMPLEX,EQ,261.05,262.0,274.65,262.0,273.45,271.8,270.07,71097,1.920142135e+12,,32258,0.4537,271.8,1.0
2007-08-21,SIMPLEX,EQ,271.8,262.0,278.0,253.35,258.5,257.1,263.56,83945,2.2124598e+12,,44340,0.5282,257.1,1.0
2007-08-22,SIMPLEX,EQ,257.1,255.0,271.9,240.15,271.9,265.3,254.56,87763,2.234128435e+12,,33098,0.3771,265.3,1.0
2007-08-23,SIMPLEX,EQ,265.3,270.2,274.0,260.15,270.0,267.75,268.31,67307,1.805890365e+12,,26347,0.3914,267.75,1.0
2007-08-24,SIMPLEX,EQ,267.75,262.0,281.0,262.0,276.25,276.3,271.55,42370,1.15057344e+12,,23237,0.5484,276.3,1.0
2007-08-27,SIMPLEX,EQ,276.3,277.0,286.4,266.0,279.0,279.1,281.16,87202,2.4517922e+12,,31549,0.3618,279.1,1.0
2007-08-28,SIMPLEX,EQ,279.1,277.0,281.0,277.0,278.0,278.75,279.42,43579,1.217695795e+12,,26860,0.6164,278.75,1.0
2007-08-29,SIMPLEX,EQ,278.75,270.0,288.0,263.0,284.0,285.25,283.86,81816,2.32243039e+12,,30401,0.3716,285.25,1.0
2007-08-30,SIMPLEX,EQ,285.25,293.4,293.4,280.5,280.5,284.05,284.45,36442,1.03660524e+12,,21906,0.6011,284.05,1.0
2007-08-31,SIMPLEX,EQ,284.05,279.1,292.75,279.1,291.55,291.0,289.08,71391,2.063802795e+12,,38867,0.5444,291.0,1.0
2007-09-03,SIMPLEX,EQ,291.0,300.0,300.0,283.0,292.0,293.7,291.88,38707,1.12976451e+12,,22383,0.5783,293.7,1.0
2007-09-04,SIMPLEX,EQ,293.7,296.0,299.0,286.5,297.5,296.55,293.78,30274,8.89400805e+11,,17643,0.5828,296.55,1.0
2007-09-05,SIMPLEX,EQ,296.55,295.0,296.7,280.0,288.0,287.65,288.55,25749,7.4298524e+11,,11916,0.4628,287.65,1.0
2007-09-06,SIMPLEX,EQ,287.65,285.15,302.0,285.15,293.0,296.45,297.2,53765,1.597871115e+12,,22614,0.4206,296.45,1.0
2007-09-07,SIMPLEX,EQ,296.45,301.95,301.95,288.1,296.0,292.0,295.51,34767,1.027383545e+12,,21101,0.6069,292.0,1.0
2007-09-10,SIMPLEX,EQ,292.0,282.5,305.5,282.5,305.5,303.85,298.5,42024,1.254432525e+12,,24845,0.5912,303.85,1.0
2007-09-11,SIMPLEX,EQ,303.85,305.0,308.4,291.6,295.35,293.25,299.84,16890,5.06432095e+11,,9957,0.5895,293.25,1.0
2007-09-12,SIMPLEX,EQ,293.25,298.95,304.4,291.0,303.5,302.8,299.85,28384,8.51102125e+11,,18997,0.6693,302.8,1.0
2007-09-13,SIMPLEX,EQ,302.8,302.0,308.45,298.25,305.0,305.2,305.14,20144,6.14681065e+11,,14747,0.7321,305.2,1.0
2007-09-14,SIMPLEX,EQ,305.2,310.0,313.0,292.6,294.0,294.8,305.16,30094,9.18336845e+11,,11952,0.3972,294.8,1.0
2007-09-17,SIMPLEX,EQ,294.8,299.95,301.0,293.0,294.5,295.65,297.37,10087,2.9995394e+11,,5856,0.5805,295.65,1.0
2007-09-18,SIMPLEX,EQ,295.65,296.95,326.85,295.0,309.0,309.4,312.84,48503,1.51736634e+12,,23950,0.4938,309.4,1.0
2007-09-19,SIMPLEX,EQ,309.4,322.0,325.0,296.5,319.9,316.0,317.55,34033,1.080724555e+12,,23421,0.6882,316.0,1.0
2007-09-20,SIMPLEX,EQ,316.0,312.15,324.0,305.0,305.0,309.5,316.53,38700,1.22496948e+12,,10191,0.2633,309.5,1.0
2007-09-21,SIMPLEX,EQ,309.5,318.5,324.95,307.0,307.55,308.25,316.27,24917,7.88045595e+11,,8794,0.3529,308.25,1.0
2007-09-24,SIMPLEX,EQ,308.25,311.0,312.95,300.0,300.0,300.6,304.28,11072,3.3689453e+11,,6626,0.5984,300.6,1.0
2007-09-25,SIMPLEX,EQ,300.6,299.0,304.9,290.6,302.0,300.2,298.72,8446,2.52301055e+11,,5073,0.6006,300.2,1.0
2007-09-26,SIMPLEX,EQ,300.2,296.0,302.95,296.0,298.5,298.5,299.4,7202,2.15629755e+11,,5168,0.7176,298.5,1.0
2007-09-27,SIMPLEX,EQ,298.5,299.0,304.8,296.5,297.0,296.9,297.99,7440,2.21703855e+11,,6331,0.8509,296.9,1.0
2007-09-28,SIMPLEX,EQ,296.9,314.45,315.0,283.5,300.0,294.7,297.47,13757,4.0923239e+11,,9106,0.6619,294.7,1.0
2007-10-01,SIMPLEX,EQ,294.7,295.05,295.15,291.0,294.0,292.4,293.15,3502,1.02661705e+11,,2344,0.6693,292.4,1.0
2007-10-03,SIMPLEX,EQ,292.4,290.05,298.95,280.6,282.5,284.3,288.3,6807,1.9624272e+11,,5100,0.7492,284.3,1.0
2007-10-04,SIMPLEX,EQ,284.3,280.05,300.0,274.65,300.0,285.85,282.87,15996,4.52476765e+11,,11222,0.7016,285.85,1.0
2007-10-05,SIMPLEX,EQ,285.85,289.95,292.0,280.0,282.0,281.65,284.05,6077,1.72615145e+11,,3790,0.6237,281.65,1.0
2007-10-08,SIMPLEX,EQ,281.65,276.1,281.0,265.65,270.25,270.05,270.94,8116,2.19895845e+11,,4703,0.5795,270.05,1.0
2007-10-09,SIMPLEX,EQ,270.05,268.1,285.0,262.0,282.1,279.7,276.42,18810,5.19938735e+11,,10178,0.5411,279.7,1.0
2007-10-10,SIMPLEX,EQ,279.7,275.5,299.0,275.5,291.0,293.5,292.53,32352,9.4638919e+11,,29579,0.9143,293.5,1.0
2007-10-11,SIMPLEX,EQ,293.5,285.5,292.0,285.1,288.0,289.3,288.05,1690,48679730000.0,,1125,0.6657,289.3,1.0
2007-10-12,SIMPLEX,EQ,289.3,290.0,310.0,285.0,310.0,303.35,300.8,18840,5.6670943e+11,,16345,0.8676,303.35,1.0
2007-10-15,SIMPLEX,EQ,303.35,300.0,309.0,293.0,295.05,295.85,297.03,5815,1.7272473e+11,,3304,0.5682,295.85,1.0
2007-10-16,SIMPLEX,EQ,295.85,298.9,298.9,286.5,287.05,287.2,290.14,2900,84141260000.0,,2121,0.7314,287.2,1.0
2007-10-17,SIMPLEX,EQ,287.2,284.0,285.0,265.0,285.0,285.0,283.56,6834,1.93785665e+11,,5410,0.7916,285.0,1.0
2007-10-18,SIMPLEX,EQ,285.0,283.1,293.0,277.0,278.0,286.4,287.3,9010,2.5885487e+11,,7675,0.8518,286.4,1.0
2007-10-19,SIMPLEX,EQ,286.4,261.0,290.0,261.0,272.0,283.5,280.79,13819,3.88016895e+11,,11452,0.8287,283.5,1.0
