Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,SIMPLEXCON,EQ,163.0,165.0,165.0,165.0,,165.0,165.0,100,1650000000.0,,,
1996-01-02,SIMPLEXCON,EQ,165.0,163.0,165.0,163.0,,165.0,164.33,300,4930000000.0,,,
1996-01-03,SIMPLEXCON,EQ,165.0,167.0,170.0,167.0,,170.0,168.5,200,3370000000.0,,,
1996-01-04,SIMPLEXCON,EQ,170.0,170.0,175.0,170.0,,175.0,172.5,200,3450000000.0,,,
1996-01-05,SIMPLEXCON,EQ,175.0,171.0,171.0,170.0,,170.0,170.67,300,5120000000.0,,,
1996-01-08,SIMPLEXCON,EQ,170.0,170.0,175.0,170.0,,175.0,173.57,700,12150000000.0,,,
1996-01-09,SIMPLEXCON,EQ,175.0,173.0,174.0,168.0,,173.0,171.77,1100,18895000000.0,,,
1996-01-10,SIMPLEXCON,EQ,173.0,170.0,170.0,170.0,,170.0,170.0,200,3400000000.0,,,
1996-01-11,SIMPLEXCON,EQ,170.0,175.0,175.0,168.0,,168.0,171.4,500,8570000000.0,,,
1996-01-12,SIMPLEXCON,EQ,168.0,170.0,170.0,163.0,,163.0,165.5,400,6620000000.0,,,
1996-01-15,SIMPLEXCON,EQ,163.0,164.75,164.75,160.0,,160.0,161.92,300,4857500000.0,,,
1996-01-16,SIMPLEXCON,EQ,160.0,157.0,165.0,157.0,,165.0,162.82,1100,17910000000.0,,,
1996-01-17,SIMPLEXCON,EQ,165.0,165.0,165.0,165.0,,165.0,165.0,1000,16500000000.0,,,
1996-01-18,SIMPLEXCON,EQ,165.0,157.95,158.0,150.0,,150.0,156.36,800,12508500000.0,,,
1996-01-19,SIMPLEXCON,EQ,150.0,150.0,158.75,158.75,,158.75,158.75,100,1587500000.0,,,
1996-01-22,SIMPLEXCON,EQ,158.75,164.5,164.5,152.5,,152.5,159.75,1200,19170500000.0,,,
1996-01-23,SIMPLEXCON,EQ,152.5,145.0,155.05,145.0,,145.5,151.77,4300,65262500000.0,,,
1996-01-24,SIMPLEXCON,EQ,145.5,115.0,116.5,100.0,,101.55,108.01,5800,62646500000.0,,,
1996-01-25,SIMPLEXCON,EQ,101.55,99.95,100.0,95.0,,96.25,98.54,1300,12810000000.0,,,
1996-01-29,SIMPLEXCON,EQ,96.25,92.05,105.0,92.05,,103.35,100.46,600,6027500000.0,,,
1996-01-30,SIMPLEXCON,EQ,103.35,103.5,104.0,103.5,,104.0,103.56,800,8285000000.0,,,
1996-01-31,SIMPLEXCON,EQ,104.0,104.05,104.05,104.05,,104.05,104.05,100,1040500000.0,,,
1996-02-01,SIMPLEXCON,EQ,104.05,105.0,105.0,105.0,,105.0,105.0,200,2100000000.0,,,
