Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1999-07-28,SONATSOFTW,EQ,402.95,404.9,404.95,382.0,389.0,388.95,391.76,6500,2.54646e+11,,,,38.895,10.0
1999-07-29,SONATSOFTW,EQ,388.95,395.0,399.5,391.0,391.0,394.15,394.31,9200,3.627665e+11,,,,39.415,10.0
1999-07-30,SONATSOFTW,EQ,394.15,397.0,398.0,384.2,392.2,391.35,392.22,11100,4.35362e+11,,,,39.135,10.0
1999-08-02,SONATSOFTW,EQ,391.35,397.95,422.7,390.5,422.7,422.7,414.77,36400,1.5097555e+12,,,,42.27,10.0
1999-08-03,SONATSOFTW,EQ,422.7,428.0,456.55,421.0,456.55,456.25,448.99,65700,2.9498965e+12,,,,45.625,10.0
1999-08-04,SONATSOFTW,EQ,456.25,475.0,492.75,474.0,492.75,492.55,488.59,59300,2.8973675e+12,,,,49.255,10.0
1999-08-05,SONATSOFTW,EQ,492.55,515.0,516.9,453.15,453.15,453.15,476.11,37700,1.7949365e+12,,,,45.315,10.0
1999-08-06,SONATSOFTW,EQ,453.15,475.0,475.0,452.5,466.05,467.7,464.4,23500,1.0913345e+12,,,,46.77,10.0
1999-08-09,SONATSOFTW,EQ,467.7,468.0,494.95,468.0,490.5,491.1,488.54,39200,1.9150615e+12,,,,49.11,10.0
1999-08-10,SONATSOFTW,EQ,491.1,484.0,500.0,472.0,490.1,493.2,487.65,31700,1.545841e+12,,,,49.32,10.0
1999-08-11,SONATSOFTW,EQ,493.2,488.0,491.0,471.0,487.0,485.45,486.88,12600,6.13466e+11,,,,48.545,10.0
1999-08-12,SONATSOFTW,EQ,485.45,490.0,490.9,478.25,478.25,480.8,484.8,3100,1.50288e+11,,,,48.08,10.0
1999-08-13,SONATSOFTW,EQ,480.8,482.0,482.0,465.0,469.1,471.3,470.48,8200,3.85795e+11,,,,47.13,10.0
1999-08-16,SONATSOFTW,EQ,471.3,482.0,486.9,475.0,481.5,480.25,482.42,8400,4.052295e+11,,,,48.025,10.0
1999-08-17,SONATSOFTW,EQ,480.25,480.0,481.95,460.0,466.0,465.7,467.68,10500,4.91069e+11,,,,46.57,10.0
1999-08-18,SONATSOFTW,EQ,465.7,487.75,489.0,476.5,479.0,478.95,480.1,8300,3.984865e+11,,,,47.895,10.0
1999-08-19,SONATSOFTW,EQ,478.95,453.0,480.0,453.0,480.0,477.25,475.55,9300,4.422625e+11,,,,47.725,10.0
1999-08-20,SONATSOFTW,EQ,477.25,480.0,481.5,472.1,473.6,475.85,477.85,5200,2.484815e+11,,,,47.585,10.0
1999-08-23,SONATSOFTW,EQ,475.85,483.0,493.0,476.1,482.0,482.0,484.26,9400,4.552e+11,,,,48.2,10.0
1999-08-24,SONATSOFTW,EQ,482.0,484.0,484.0,475.0,480.95,477.8,479.11,8200,3.928665e+11,,,,47.78,10.0
1999-08-25,SONATSOFTW,EQ,477.8,491.0,491.0,470.0,470.0,470.0,479.86,5900,2.831155e+11,,,,47.0,10.0
1999-08-26,SONATSOFTW,EQ,470.0,482.9,500.0,478.0,497.0,498.3,490.21,13100,6.421715e+11,,,,49.83,10.0
1999-08-27,SONATSOFTW,EQ,498.3,497.05,499.0,476.5,480.0,478.85,484.09,5900,2.856135e+11,,,,47.885,10.0
1999-08-30,SONATSOFTW,EQ,478.85,471.0,480.0,468.0,474.0,475.6,474.77,4800,2.278915e+11,,,,47.56,10.0
1999-08-31,SONATSOFTW,EQ,475.6,471.0,474.0,441.05,442.25,444.3,456.67,7000,3.19672e+11,,,,44.43,10.0
1999-09-01,SONATSOFTW,EQ,444.3,446.0,455.0,443.0,445.0,445.85,448.24,4300,1.92745e+11,,,,44.585,10.0
1999-09-02,SONATSOFTW,EQ,445.85,444.0,444.0,431.0,436.0,436.0,439.67,2100,92331000000.0,,,,43.6,10.0
1999-09-03,SONATSOFTW,EQ,436.0,409.0,448.5,409.0,436.0,431.95,436.32,3000,1.30897e+11,,,,43.195,10.0
1999-09-06,SONATSOFTW,EQ,431.95,444.9,453.0,438.05,441.0,445.15,446.75,33300,1.4876685e+12,,,,44.515,10.0
1999-09-07,SONATSOFTW,EQ,445.15,441.0,460.0,441.0,460.0,456.75,451.16,11500,5.188375e+11,,,,45.675,10.0
1999-09-08,SONATSOFTW,EQ,456.75,470.0,485.0,468.0,485.0,483.7,476.22,6400,3.047785e+11,,,,48.37,10.0
1999-09-09,SONATSOFTW,EQ,483.7,492.0,492.0,468.05,473.55,474.0,476.18,3500,1.66664e+11,,,,47.4,10.0
1999-09-10,SONATSOFTW,EQ,474.0,480.0,496.0,480.0,490.2,495.3,491.51,19100,9.387755e+11,,,,49.53,10.0
1999-09-14,SONATSOFTW,EQ,495.3,497.0,534.95,495.25,534.95,534.95,513.94,19000,9.764895e+11,,,,53.495,10.0
1999-09-15,SONATSOFTW,EQ,534.95,559.0,577.75,544.05,577.75,577.75,567.42,32900,1.8667985e+12,,,,57.775,10.0
1999-09-16,SONATSOFTW,EQ,577.75,571.0,587.0,535.05,560.0,560.05,560.48,34200,1.9168435e+12,,,,56.005,10.0
1999-09-17,SONATSOFTW,EQ,560.05,548.0,604.85,540.0,604.85,604.85,583.23,30200,1.7613495e+12,,,,60.485,10.0
1999-09-20,SONATSOFTW,EQ,604.85,618.0,653.25,611.0,635.1,637.35,636.41,31600,2.0110495e+12,,,,63.735,10.0
1999-09-21,SONATSOFTW,EQ,637.35,648.0,670.0,639.0,646.1,647.4,650.92,24400,1.5882535e+12,,,,64.74,10.0
1999-09-22,SONATSOFTW,EQ,647.4,640.0,699.0,640.0,687.0,692.8,682.81,56100,3.8305525e+12,,,,69.28,10.0
1999-09-23,SONATSOFTW,EQ,692.8,680.0,709.9,668.0,668.05,672.75,687.05,23700,1.6282985e+12,,,,67.275,10.0
1999-09-24,SONATSOFTW,EQ,672.75,665.0,690.0,665.0,689.0,685.05,680.69,11300,7.691825e+11,,,,68.505,10.0
1999-09-27,SONATSOFTW,EQ,685.05,685.0,690.0,658.0,663.0,665.0,670.13,17700,1.1861255e+12,,,,66.5,10.0
1999-09-28,SONATSOFTW,EQ,665.0,663.0,664.0,620.05,630.0,633.7,645.39,22600,1.458582e+12,,,,63.37,10.0
1999-09-29,SONATSOFTW,EQ,633.7,648.0,680.0,644.0,672.5,672.0,664.17,9500,6.30966e+11,,,,67.2,10.0
1999-09-30,SONATSOFTW,EQ,672.0,675.0,685.0,650.0,650.0,651.0,672.69,8200,5.516035e+11,,,,65.1,10.0
1999-10-01,SONATSOFTW,EQ,651.0,664.95,664.95,645.25,664.0,664.0,655.66,5300,3.47499e+11,,,,66.4,10.0
1999-10-04,SONATSOFTW,EQ,664.0,671.0,685.0,655.05,682.0,678.95,673.54,15600,1.0507245e+12,,,,67.895,10.0
1999-10-05,SONATSOFTW,EQ,678.95,674.95,733.3,661.3,733.3,733.3,692.42,14200,9.832315e+11,,,,73.33,10.0
1999-10-06,SONATSOFTW,EQ,733.3,780.0,792.0,780.0,792.0,792.0,791.25,17600,1.3925915e+12,,,,79.2,10.0
1999-10-07,SONATSOFTW,EQ,792.0,848.0,855.4,805.0,855.4,853.8,835.99,39300,3.2854325e+12,,,,85.38,10.0
1999-10-08,SONATSOFTW,EQ,853.8,922.0,922.0,875.0,905.0,902.95,900.43,28700,2.5842355e+12,,,,90.295,10.0
