Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2010-12-29,SPANCO,EQ,159.95,164.4,171.7,155.05,168.35,164.7,163.64,224572,3.674803935e+12,,70060,0.312,164.7,1.0
2010-12-30,SPANCO,EQ,164.7,167.9,168.35,158.0,164.0,165.25,163.55,47954,7.8428771e+11,,17837,0.372,165.25,1.0
2010-12-31,SPANCO,EQ,165.25,164.0,165.0,162.2,162.55,163.7,163.42,21983,3.59251495e+11,,13384,0.6088,163.7,1.0
2011-01-03,SPANCO,EQ,163.7,164.5,168.25,161.05,163.4,163.9,165.83,13174,2.18464295e+11,,5015,0.3807,163.9,1.0
2011-01-04,SPANCO,EQ,163.9,163.9,164.7,160.2,163.0,163.35,163.03,14634,2.385734e+11,,7963,0.5441,163.35,1.0
2011-01-05,SPANCO,EQ,163.35,151.05,162.5,151.05,160.15,160.2,160.91,4469,71912155000.0,,2966,0.6637,160.2,1.0
2011-01-06,SPANCO,EQ,160.2,160.4,166.6,160.4,164.0,162.7,162.71,12805,2.08349335e+11,,6069,0.474,162.7,1.0
2011-01-07,SPANCO,EQ,162.7,160.5,161.5,155.3,160.0,158.7,158.28,43444,6.8764734e+11,,35448,0.8159,158.7,1.0
2011-01-10,SPANCO,EQ,158.7,165.0,165.0,154.1,155.5,156.75,159.97,88379,1.41382461e+12,,54932,0.6216,156.75,1.0
2011-01-11,SPANCO,EQ,156.75,156.0,159.9,153.45,159.5,157.25,158.76,119176,1.891995845e+12,,61385,0.5151,157.25,1.0
2011-01-12,SPANCO,EQ,157.25,156.25,162.9,156.25,162.9,160.55,158.66,128223,2.03437491e+12,,71176,0.5551,160.55,1.0
2011-01-13,SPANCO,EQ,160.55,164.0,164.7,158.0,159.0,161.2,162.9,100947,1.644407995e+12,,54939,0.5442,161.2,1.0
2011-01-14,SPANCO,EQ,161.2,162.95,165.0,154.05,155.45,155.7,160.19,85375,1.36766299e+12,,55107,0.6455,155.7,1.0
2011-01-17,SPANCO,EQ,155.7,159.95,159.95,152.1,154.0,154.0,157.2,44965,7.0684197e+11,,26192,0.5825,154.0,1.0
2011-01-18,SPANCO,EQ,154.0,155.0,155.25,149.1,152.0,152.25,152.87,115228,1.76151476e+12,,71444,0.62,152.25,1.0
2011-01-19,SPANCO,EQ,152.25,156.0,157.5,149.3,151.0,151.05,153.17,36974,5.6634578e+11,,7513,0.2032,151.05,1.0
2011-01-20,SPANCO,EQ,151.05,151.0,158.0,149.5,157.95,155.95,151.99,158140,2.403533175e+12,,66488,0.4204,155.95,1.0
2011-01-21,SPANCO,EQ,155.95,162.0,162.0,155.1,155.35,156.65,158.17,99134,1.567995615e+12,,56553,0.5705,156.65,1.0
2011-01-24,SPANCO,EQ,156.65,156.0,158.0,155.05,156.0,157.35,157.09,153017,2.40377975e+12,,51209,0.3347,157.35,1.0
2011-01-25,SPANCO,EQ,157.35,157.45,159.9,154.25,155.1,155.15,157.33,91200,1.434871475e+12,,51085,0.5601,155.15,1.0
2011-01-27,SPANCO,EQ,155.15,154.1,156.35,149.0,150.0,150.05,153.79,39599,6.089797e+11,,13255,0.3347,150.05,1.0
2011-01-28,SPANCO,EQ,150.05,142.6,151.45,136.65,137.5,138.75,141.91,25568,3.62828735e+11,,19819,0.7751,138.75,1.0
2011-01-31,SPANCO,EQ,138.75,138.75,149.5,136.6,148.05,147.75,144.82,88332,1.27921567e+12,,67780,0.7673,147.75,1.0
2011-02-01,SPANCO,EQ,147.75,148.5,148.5,144.4,147.5,147.2,147.12,34339,5.0520647e+11,,32547,0.9478,147.2,1.0
2011-02-02,SPANCO,EQ,147.2,148.0,151.4,147.35,148.0,148.4,149.84,112354,1.683479895e+12,,81214,0.7228,148.4,1.0
2011-02-03,SPANCO,EQ,148.4,148.0,158.85,147.65,157.5,157.65,156.25,76215,1.190830715e+12,,23755,0.3117,157.65,1.0
2011-02-04,SPANCO,EQ,157.65,158.7,160.0,150.0,153.0,152.1,154.9,44349,6.86945715e+11,,7429,0.1675,152.1,1.0
2011-02-07,SPANCO,EQ,152.1,152.0,157.0,145.25,149.0,147.85,150.36,5773,86805450000.0,,2420,0.4192,147.85,1.0
2011-02-08,SPANCO,EQ,147.85,153.0,153.0,142.25,146.9,144.95,144.58,31351,4.5326868e+11,,5585,0.1781,144.95,1.0
2011-02-09,SPANCO,EQ,144.95,140.2,143.0,130.3,132.0,132.4,138.38,30593,4.23346355e+11,,23248,0.7599,132.4,1.0
2011-02-10,SPANCO,EQ,132.4,130.0,131.5,126.0,131.5,128.15,128.66,10427,1.34153615e+11,,6357,0.6097,128.15,1.0
2011-02-11,SPANCO,EQ,128.15,140.85,152.0,130.25,148.1,145.45,141.67,25903,3.6697831e+11,,21935,0.8468,145.45,1.0
2011-02-14,SPANCO,EQ,145.45,152.9,154.9,138.25,146.0,145.45,146.51,72442,1.061342775e+12,,19840,0.2739,145.45,1.0
2011-02-15,SPANCO,EQ,145.45,141.5,147.75,140.2,140.2,141.65,144.03,6521,93921415000.0,,4400,0.6747,141.65,1.0
