Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2008-05-27,SPICEMOBIL,EQ,23.95,27.9,31.5,27.9,31.5,30.9,31.05,638593,1.98288751e+12,,93155,0.1459,30.9,1.0
2008-05-28,SPICEMOBIL,EQ,30.9,31.45,36.9,31.05,34.5,34.7,34.5,1207036,4.164127835e+12,,163729,0.1356,34.7,1.0
2008-05-29,SPICEMOBIL,EQ,34.7,36.7,36.7,30.8,31.9,31.5,33.05,432921,1.430924335e+12,,113535,0.2623,31.5,1.0
2008-05-30,SPICEMOBIL,EQ,31.5,31.9,32.8,29.35,29.7,29.7,30.68,176320,5.4086292e+11,,54363,0.3083,29.7,1.0
2008-06-02,SPICEMOBIL,EQ,29.7,29.7,32.4,26.9,28.1,28.5,30.01,291084,8.7344725e+11,,54269,0.1864,28.5,1.0
2008-06-03,SPICEMOBIL,EQ,28.5,28.45,28.45,26.0,26.0,26.6,26.88,256762,6.90171625e+11,,89533,0.3487,26.6,1.0
2008-06-04,SPICEMOBIL,EQ,26.6,27.0,28.5,24.15,24.95,24.6,26.2,144107,3.77557695e+11,,59651,0.4139,24.6,1.0
2008-06-05,SPICEMOBIL,EQ,24.6,25.0,25.0,19.8,20.25,20.3,21.32,318008,6.7799753e+11,,189868,0.5971,20.3,1.0
2008-06-06,SPICEMOBIL,EQ,20.3,21.0,22.4,19.55,20.0,20.1,21.03,893398,1.878410305e+12,,245643,0.275,20.1,1.0
2008-06-09,SPICEMOBIL,EQ,20.1,18.5,20.8,17.9,19.2,19.3,19.66,599196,1.178230315e+12,,111582,0.1862,19.3,1.0
2008-06-10,SPICEMOBIL,EQ,19.3,19.4,22.4,19.0,22.0,21.7,20.68,857116,1.772407035e+12,,196513,0.2293,21.7,1.0
2008-06-11,SPICEMOBIL,EQ,21.7,22.8,22.85,20.55,21.4,21.55,21.81,492085,1.073221385e+12,,111555,0.2267,21.55,1.0
