Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2008-06-16,SPICETELE,EQ,53.2,64.5,65.45,62.65,63.9,64.35,64.35,1222572,7.86725346e+12,,483581,0.3955
2008-06-17,SPICETELE,EQ,64.35,64.35,64.35,61.55,62.05,62.3,62.49,1459219,9.118465975e+12,,995448,0.6822
2008-06-18,SPICETELE,EQ,62.3,62.8,65.9,61.7,63.0,62.8,63.75,2892487,1.843870932e+13,,1751749,0.6056
2008-06-19,SPICETELE,EQ,62.8,51.05,64.5,51.05,63.25,63.75,63.43,1587053,1.0066505545e+13,,945574,0.5958
2008-06-20,SPICETELE,EQ,63.75,63.95,64.35,60.3,62.15,62.25,62.26,2584469,1.609208225e+13,,1892102,0.7321
2008-06-23,SPICETELE,EQ,62.25,60.1,62.4,58.6,60.0,60.1,60.51,895795,5.420430975e+12,,514725,0.5746
2008-06-24,SPICETELE,EQ,60.1,60.9,61.2,52.75,53.5,54.85,57.2,979280,5.601569695e+12,,576285,0.5885
2008-06-25,SPICETELE,EQ,54.85,60.0,73.4,54.0,72.15,72.35,70.2,35103673,2.46418819405e+14,,17445401,0.497
2008-06-26,SPICETELE,EQ,72.35,71.0,73.9,70.0,72.05,72.35,72.14,6733868,4.8575620095e+13,,3836923,0.5698
2008-06-27,SPICETELE,EQ,72.35,71.0,72.4,71.0,72.0,72.05,72.0,3319051,2.3898631125e+13,,2712552,0.8173
2008-06-30,SPICETELE,EQ,72.05,72.0,72.75,72.0,72.15,72.25,72.41,10258353,7.4276587915e+13,,9533257,0.9293
2008-07-01,SPICETELE,EQ,72.25,72.55,73.5,72.3,72.5,72.4,72.57,4621055,3.353504849e+13,,4338272,0.9388
2008-07-02,SPICETELE,EQ,72.4,72.45,73.7,72.35,72.7,72.6,72.6,9638053,6.9976024495e+13,,8418502,0.8735
2008-07-03,SPICETELE,EQ,72.6,72.6,73.2,72.5,72.9,72.85,72.53,4877333,3.537474396e+13,,4578625,0.9388
2008-07-04,SPICETELE,EQ,72.85,72.6,73.1,72.6,72.9,72.95,72.81,1186430,8.638409515e+12,,1065720,0.8983
2008-07-07,SPICETELE,EQ,72.95,73.1,73.95,72.6,73.3,73.3,73.28,2129450,1.5605459705e+13,,1904496,0.8944
2008-07-08,SPICETELE,EQ,73.3,73.0,73.6,72.7,73.55,73.55,73.4,343376,2.520434235e+12,,236599,0.689
2008-07-09,SPICETELE,EQ,73.55,73.5,73.95,73.5,73.85,73.9,73.81,176191,1.300405825e+12,,151544,0.8601
2008-07-10,SPICETELE,EQ,73.9,73.6,74.8,73.6,74.3,74.25,74.19,472496,3.505413915e+12,,301567,0.6382
2008-07-11,SPICETELE,EQ,74.25,74.5,74.5,74.0,74.2,74.2,74.16,370966,2.75104152e+12,,299109,0.8063
2008-07-14,SPICETELE,EQ,74.2,73.6,74.15,73.6,74.0,74.0,74.0,393570,2.91249281e+12,,357226,0.9077
2008-07-15,SPICETELE,EQ,74.0,73.75,74.4,73.75,74.0,74.0,74.01,998122,7.386858045e+12,,981375,0.9832
2008-07-16,SPICETELE,EQ,74.0,74.0,74.2,74.0,74.05,74.05,74.03,456571,3.379797125e+12,,443309,0.971
2008-07-17,SPICETELE,EQ,74.05,74.0,74.2,74.0,74.1,74.1,74.1,882166,6.536767445e+12,,877703,0.9949
2008-07-18,SPICETELE,EQ,74.1,74.1,74.5,74.05,74.2,74.2,74.17,1015613,7.532673305e+12,,990669,0.9754
2008-07-21,SPICETELE,EQ,74.2,74.1,74.1,66.75,72.8,72.65,70.99,5635369,4.000610359e+13,,4099056,0.7274
2008-07-22,SPICETELE,EQ,72.65,71.0,73.5,70.1,72.9,73.25,73.28,847239,6.20861399e+12,,639263,0.7545
2008-07-23,SPICETELE,EQ,73.25,73.0,73.7,72.6,73.7,73.55,73.34,93268,6.8406861e+11,,71217,0.7636
2008-07-24,SPICETELE,EQ,73.55,73.0,73.95,73.0,73.45,73.5,73.45,343562,2.523342265e+12,,335049,0.9752
2008-07-25,SPICETELE,EQ,73.5,70.1,73.95,70.1,73.65,73.75,73.69,110635,8.15243155e+11,,102260,0.9243
