Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-09-18,SRTRANSFIN,EQ,14.5,14.5,15.95,14.5,,15.95,15.68,700,1097500000.0,,,,15.95,1.0
1996-09-19,SRTRANSFIN,EQ,15.95,15.5,15.5,15.5,,15.5,15.5,50,77500000.0,,,,15.5,1.0
1996-09-20,SRTRANSFIN,EQ,15.5,14.75,14.75,14.75,,14.75,14.75,500,737500000.0,,,,14.75,1.0
1996-09-23,SRTRANSFIN,EQ,14.75,14.5,14.75,14.5,,14.75,14.66,800,1172500000.0,,,,14.75,1.0
1996-09-24,SRTRANSFIN,EQ,14.75,14.05,14.45,14.05,,14.45,14.28,350,499750000.0,,,,14.45,1.0
1996-09-26,SRTRANSFIN,EQ,14.45,14.5,14.5,14.5,,14.5,14.5,400,580000000.0,,,,14.5,1.0
1996-10-01,SRTRANSFIN,EQ,14.5,14.15,14.15,13.55,,13.55,13.66,550,751250000.0,,,,13.55,1.0
1996-10-04,SRTRANSFIN,EQ,13.55,13.25,13.25,13.25,,13.25,13.25,500,662500000.0,,,,13.25,1.0
1996-10-07,SRTRANSFIN,EQ,13.25,13.25,13.75,13.0,,13.0,13.14,4250,5583000000.0,,,,13.0,1.0
1996-10-08,SRTRANSFIN,EQ,13.0,13.0,13.0,12.25,,12.75,12.78,4100,5240000000.0,,,,12.75,1.0
1996-10-09,SRTRANSFIN,EQ,12.75,13.1,13.4,13.1,,13.4,13.26,400,530500000.0,,,,13.4,1.0
1996-10-10,SRTRANSFIN,EQ,13.4,13.4,13.4,13.0,,13.3,13.09,4100,5368500000.0,,,,13.3,1.0
1996-10-11,SRTRANSFIN,EQ,13.3,13.5,14.25,13.4,,14.25,13.87,2000,2773000000.0,,,,14.25,1.0
1996-10-14,SRTRANSFIN,EQ,14.25,13.55,14.25,13.55,,14.25,14.01,2700,3783500000.0,,,,14.25,1.0
1996-10-15,SRTRANSFIN,EQ,14.25,13.6,14.25,13.6,,14.0,13.96,2900,4048750000.0,,,,14.0,1.0
1996-10-16,SRTRANSFIN,EQ,14.0,14.25,14.25,14.0,,14.05,14.06,2300,3233500000.0,,,,14.05,1.0
1996-10-17,SRTRANSFIN,EQ,14.05,14.05,14.95,14.0,,14.2,14.15,1400,1981000000.0,,,,14.2,1.0
1996-10-18,SRTRANSFIN,EQ,14.2,14.0,14.0,13.8,,13.8,13.89,1600,2222500000.0,,,,13.8,1.0
1996-10-22,SRTRANSFIN,EQ,13.8,14.0,14.0,14.0,,14.0,14.0,200,280000000.0,,,,14.0,1.0
