Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-02-02,STAR,EQ,10.0,500.0,1100.0,500.0,900.0,895.65,532.89,772650,4.11736065e+13,,,
2000-02-03,STAR,EQ,895.65,933.5,967.0,912.0,963.45,962.65,954.53,8950,8.5430175e+11,,,
2000-02-04,STAR,EQ,962.65,973.0,990.0,952.05,990.0,979.8,973.98,7400,7.20747e+11,,,
2000-02-07,STAR,EQ,979.8,960.0,969.8,901.45,901.45,912.8,914.5,8100,7.40749e+11,,,
2000-02-08,STAR,EQ,912.8,850.0,850.0,839.8,839.8,839.8,845.62,1300,1.0993e+11,,,
2000-02-09,STAR,EQ,839.8,772.65,772.65,772.65,772.65,772.65,772.65,500,38632500000.0,,,
2000-02-10,STAR,EQ,772.65,710.85,711.0,710.85,710.85,710.85,710.87,850,60423750000.0,,,
2000-02-11,STAR,EQ,710.85,654.0,654.0,654.0,654.0,654.0,654.0,500,32700000000.0,,,
2000-02-14,STAR,EQ,654.0,601.7,601.7,601.7,601.7,601.7,601.7,2500,1.50425e+11,,,
2000-02-15,STAR,EQ,601.7,553.6,649.85,553.6,649.85,613.45,581.97,17100,9.95162e+11,,,
2000-02-16,STAR,EQ,613.45,662.0,662.5,617.5,662.5,658.95,652.63,17750,1.15842575e+12,,,
2000-02-17,STAR,EQ,658.95,711.0,711.6,680.0,699.0,698.15,704.3,10300,7.25429e+11,,,
2000-02-18,STAR,EQ,698.15,670.0,685.0,655.1,655.1,665.15,676.3,1550,1.04826e+11,,,
2000-02-21,STAR,EQ,665.15,700.0,700.0,625.0,630.0,627.0,648.88,2550,1.6546475e+11,,,
2000-02-22,STAR,EQ,627.0,644.0,644.0,581.0,594.0,588.8,588.0,5650,3.3222e+11,,,
2000-02-23,STAR,EQ,588.8,628.8,629.0,586.0,595.0,587.5,602.99,1450,87433750000.0,,,
2000-02-24,STAR,EQ,587.5,565.6,593.0,540.5,541.0,548.0,553.79,1400,77530500000.0,,,
2000-02-25,STAR,EQ,548.0,511.05,519.9,510.0,519.9,519.9,514.1,700,35986750000.0,,,
2000-02-28,STAR,EQ,519.9,525.0,550.0,486.0,525.0,525.0,521.97,1950,1.01785e+11,,,
2000-02-29,STAR,EQ,525.0,520.0,556.0,520.0,520.0,520.55,534.19,1550,82799000000.0,,,
2000-03-01,STAR,EQ,520.55,530.0,540.0,511.1,511.1,513.05,524.53,400,20981000000.0,,,
2000-03-02,STAR,EQ,513.05,533.0,533.0,490.0,490.0,490.0,530.99,3900,2.07085e+11,,,
2000-03-03,STAR,EQ,490.0,475.0,506.0,455.0,500.0,488.2,482.29,3150,1.5192e+11,,,
2000-03-06,STAR,EQ,488.2,499.75,500.0,449.5,449.5,462.25,480.87,650,31256250000.0,,,
2000-03-07,STAR,EQ,462.25,450.0,450.0,430.0,431.0,431.0,433.19,2700,1.1696e+11,,,
2000-03-08,STAR,EQ,431.0,409.95,410.0,409.95,410.0,410.0,409.96,200,8199250000.0,,,
2000-03-09,STAR,EQ,410.0,410.0,410.0,410.0,410.0,410.0,410.0,50,2050000000.0,,,
2000-03-10,STAR,EQ,410.0,377.2,420.0,377.2,420.0,420.0,377.37,12650,4.77372e+11,,,
2000-03-14,STAR,EQ,420.0,389.0,389.0,388.0,388.0,388.0,388.93,700,27225000000.0,,,
2000-03-15,STAR,EQ,388.0,367.0,367.0,360.0,360.0,360.0,360.4,3650,1.315465e+11,,,
2000-03-16,STAR,EQ,360.0,337.0,337.0,331.2,331.2,331.2,332.14,2800,93000000000.0,,,
2000-03-22,STAR,EQ,331.2,319.0,319.0,305.1,305.1,305.1,312.05,100,3120500000.0,,,
2000-03-23,STAR,EQ,305.1,285.0,285.5,281.1,281.1,281.1,281.58,950,26750500000.0,,,
2000-03-24,STAR,EQ,281.1,258.65,258.65,258.65,258.65,258.65,258.65,750,19398750000.0,,,
2000-03-27,STAR,EQ,258.65,238.0,279.35,238.0,279.35,279.35,251.47,2200,55324000000.0,,,
2000-03-28,STAR,EQ,279.35,301.65,301.7,301.65,301.7,301.7,301.69,750,22626500000.0,,,
2000-03-29,STAR,EQ,301.7,325.85,325.85,325.85,325.85,325.85,325.85,700,22809500000.0,,,
