Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-09-15,STER,EQ,521.0,527.9,529.9,517.5,519.9,520.65,523.78,24495,1.283001995e+12,,14162,0.5782
2004-09-16,STER,EQ,520.65,521.0,526.0,518.5,518.5,523.35,522.02,17425,9.0961718e+11,,15322,0.8793
2004-09-17,STER,EQ,523.35,524.85,535.0,524.85,534.85,533.35,530.33,27129,1.43873282e+12,,18083,0.6666
2004-09-20,STER,EQ,533.35,536.0,564.3,536.0,561.0,559.4,554.64,51210,2.84029618e+12,,35314,0.6896
2004-09-21,STER,EQ,559.4,563.9,587.0,559.4,571.0,571.25,575.64,86387,4.972809995e+12,,50503,0.5846
2004-09-22,STER,EQ,571.25,579.9,591.0,567.0,567.05,568.65,575.09,88518,5.09056603e+12,,47629,0.5381
2004-09-23,STER,EQ,568.65,562.45,588.0,560.0,577.0,577.7,577.76,60430,3.49142321e+12,,28068,0.4645
2004-09-24,STER,EQ,577.7,575.0,592.5,571.0,585.0,585.8,586.01,48316,2.831364855e+12,,24933,0.516
2004-09-27,STER,EQ,585.8,592.0,603.2,589.0,590.0,590.35,596.11,50329,3.00014268e+12,,23831,0.4735
2004-09-28,STER,EQ,590.35,590.0,593.9,577.0,580.0,582.0,584.08,21972,1.283350755e+12,,15319,0.6972
2004-09-29,STER,EQ,582.0,586.0,588.0,579.25,582.75,583.1,582.81,13476,7.85391905e+11,,9105,0.6756
2004-09-30,STER,EQ,583.1,587.0,593.1,586.1,587.0,589.65,590.29,22046,1.30135012e+12,,15594,0.7073
2004-10-01,STER,EQ,589.65,594.7,615.0,591.0,610.0,610.2,605.62,72114,4.367358475e+12,,41996,0.5824
2004-10-04,STER,EQ,610.2,613.5,656.7,613.5,650.0,651.3,642.31,133958,8.604197555e+12,,78533,0.5863
2004-10-05,STER,EQ,651.3,650.0,673.0,625.15,639.0,636.35,651.61,66384,4.3256253e+12,,40226,0.606
2004-10-06,STER,EQ,636.35,649.95,654.5,620.15,628.0,623.7,634.56,22728,1.44223342e+12,,12851,0.5654
2004-10-07,STER,EQ,623.7,649.7,649.7,616.4,623.5,624.0,629.62,17632,1.110150115e+12,,6817,0.3866
2004-10-08,STER,EQ,624.0,644.0,649.0,628.25,630.0,633.45,637.86,26797,1.709284905e+12,,13087,0.4884
2004-10-09,STER,EQ,633.45,640.0,640.0,627.0,630.0,630.3,631.85,5705,3.60472715e+11,,2690,0.4715
2004-10-11,STER,EQ,630.3,645.0,652.0,622.6,627.25,626.95,640.91,28227,1.809097975e+12,,17409,0.6167
2004-10-12,STER,EQ,626.95,635.0,635.0,610.0,615.05,616.25,618.12,17746,1.0969237e+12,,11655,0.6568
2004-10-14,STER,EQ,616.25,597.95,597.95,568.0,584.0,581.55,579.23,61390,3.555879335e+12,,37634,0.613
2004-10-15,STER,EQ,581.55,595.0,595.0,577.05,580.0,579.8,582.95,23242,1.35488393e+12,,13657,0.5876
2004-10-18,STER,EQ,579.8,584.1,589.0,579.75,582.0,580.45,582.55,17897,1.04259506e+12,,12313,0.688
2004-10-19,STER,EQ,580.45,585.0,590.0,575.25,580.1,580.45,580.48,20980,1.21785114e+12,,16857,0.8035
2004-10-20,STER,EQ,580.45,581.05,584.45,576.0,576.05,579.6,580.08,13327,7.7306814e+11,,11680,0.8764
2004-10-21,STER,EQ,579.6,573.25,574.5,536.2,543.0,541.6,552.31,29465,1.62738485e+12,,22685,0.7699
2004-10-25,STER,EQ,541.6,506.5,540.0,501.0,525.0,524.55,528.27,12779,6.75070155e+11,,7899,0.6181
2004-10-26,STER,EQ,524.55,530.0,549.9,525.0,546.0,545.2,535.66,11285,6.0449472e+11,,5359,0.4749
