Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2001-02-13,STROPTICAL,EQ,781.85,787.45,794.6,761.25,767.0,771.65,781.64,745118,5.824139211e+13,,,,154.33,5.0
2001-02-14,STROPTICAL,EQ,771.65,767.5,776.0,755.3,766.8,766.15,765.78,289491,2.21685799e+13,,,,153.23,5.0
2001-02-15,STROPTICAL,EQ,766.15,771.9,777.1,764.0,769.0,769.1,771.76,285874,2.2062751545e+13,,,,153.82,5.0
2001-02-16,STROPTICAL,EQ,769.1,773.0,795.1,762.0,768.5,771.05,781.84,1069982,8.365504837e+13,,,,154.21,5.0
2001-02-19,STROPTICAL,EQ,771.05,770.0,776.0,720.0,740.0,739.75,746.84,467498,3.4914436465e+13,,,,147.95,5.0
2001-02-20,STROPTICAL,EQ,739.75,745.9,761.95,742.0,746.1,747.05,750.27,716802,5.3779699535e+13,,,,149.41,5.0
2001-02-21,STROPTICAL,EQ,747.05,740.0,744.0,691.0,701.8,700.9,711.86,626129,4.457162264e+13,,,,140.18,5.0
2001-02-22,STROPTICAL,EQ,700.9,698.1,707.0,644.85,666.0,664.55,666.53,640442,4.268749191e+13,,,,132.91,5.0
2001-02-23,STROPTICAL,EQ,664.55,664.1,665.4,611.4,611.4,612.65,637.63,702715,4.4807261235e+13,,,,122.53,5.0
2001-02-26,STROPTICAL,EQ,612.65,619.5,640.0,578.3,610.5,611.45,604.49,445097,2.690576589e+13,,,,122.29,5.0
2001-02-27,STROPTICAL,EQ,611.45,613.9,618.9,562.55,562.55,562.55,581.99,557481,3.244509074e+13,,,,112.51,5.0
2001-02-28,STROPTICAL,EQ,562.55,520.0,599.0,520.0,574.0,569.75,557.59,918798,5.123111044e+13,,,,113.95,5.0
2001-03-01,STROPTICAL,EQ,569.75,574.0,596.0,527.2,544.25,538.95,564.48,696977,3.934316897e+13,,,,107.79,5.0
2001-03-02,STROPTICAL,EQ,538.95,553.95,560.0,495.85,495.85,495.85,511.04,418326,2.1378012315e+13,,,,99.17,5.0
2001-03-05,STROPTICAL,EQ,495.85,457.0,467.0,456.2,456.2,456.2,457.78,558927,2.558640252e+13,,,,91.24,5.0
2001-03-07,STROPTICAL,EQ,456.2,448.8,490.0,422.2,452.0,450.35,446.38,558436,2.4927516535e+13,,,,90.07,5.0
2001-03-08,STROPTICAL,EQ,450.35,455.0,459.9,414.35,417.5,416.0,425.95,310702,1.323438144e+13,,,,83.2,5.0
2001-03-09,STROPTICAL,EQ,416.0,382.75,382.75,382.75,382.75,382.75,382.75,46522,1.78062955e+12,,,,76.55,5.0
2001-03-12,STROPTICAL,EQ,382.75,352.15,382.75,352.15,352.15,352.15,355.36,158238,5.623084305e+12,,,,70.43,5.0
2001-03-13,STROPTICAL,EQ,352.15,324.0,329.9,324.0,324.0,324.0,324.32,129606,4.20335545e+12,,,,64.8,5.0
2001-03-14,STROPTICAL,EQ,324.0,298.5,349.95,298.1,338.5,347.05,325.18,646410,2.101995707e+13,,,,69.41,5.0
2001-03-15,STROPTICAL,EQ,347.05,327.1,374.85,320.0,374.85,374.85,363.85,569334,2.071511391e+13,,,,74.97,5.0
2001-03-16,STROPTICAL,EQ,374.85,374.85,404.85,374.85,404.85,404.85,403.51,1044519,4.214753912e+13,,,,80.97,5.0
2001-03-19,STROPTICAL,EQ,404.85,430.0,437.25,403.1,437.25,437.1,423.84,400791,1.6987062035e+13,,,,87.42,5.0
2001-03-20,STROPTICAL,EQ,437.1,444.3,445.0,402.15,402.15,402.15,411.65,177520,7.30765488e+12,,,,80.43,5.0
2001-03-21,STROPTICAL,EQ,402.15,380.0,415.0,370.0,410.0,410.35,390.63,430014,1.679774551e+13,,,,82.07,5.0
2001-03-22,STROPTICAL,EQ,410.35,396.0,410.7,377.55,381.1,379.55,389.5,354930,1.3824400915e+13,,,,75.91,5.0
