Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-10-19,SUZLON,EQ,510.0,639.0,698.7,580.25,685.0,692.85,653.22,30425006,1.98742847312e+15,,10559370.0,0.3471
2005-10-20,SUZLON,EQ,692.85,701.0,707.75,637.0,640.55,646.9,660.14,7815706,5.1594411434e+14,,973524.0,0.1246
2005-10-21,SUZLON,EQ,646.9,635.25,695.0,635.25,688.0,673.85,655.45,5124627,3.35891150535e+14,,735257.0,0.1435
2005-10-24,SUZLON,EQ,673.85,687.0,690.0,648.3,651.35,653.95,667.73,2225012,1.48570068785e+14,,271124.0,0.1219
2005-10-25,SUZLON,EQ,653.95,641.3,663.65,641.3,660.0,659.2,656.5,1264055,8.29854393e+13,,277326.0,0.2194
2005-10-26,SUZLON,EQ,659.2,659.9,691.8,650.35,690.0,687.9,679.31,2711242,1.84176209075e+14,,450960.0,0.1663
2005-10-27,SUZLON,EQ,687.9,688.9,703.7,661.2,664.0,675.85,683.93,2695751,1.84370090595e+14,,498775.0,0.185
2005-10-28,SUZLON,EQ,675.85,670.0,673.0,650.35,664.9,655.65,662.56,1051204,6.964876725e+13,,123449.0,0.1174
2005-10-31,SUZLON,EQ,655.65,665.0,720.0,656.0,718.45,714.6,695.27,2401240,1.6694999778e+14,,496469.0,0.2068
2005-11-01,SUZLON,EQ,714.6,718.0,738.8,703.25,706.0,709.85,715.9,511694,3.663196766e+13,,70833.0,0.1384
2005-11-02,SUZLON,EQ,709.85,710.0,741.4,684.8,739.0,737.1,718.51,3258153,2.3410212538e+14,,206144.0,0.0633
2005-11-07,SUZLON,EQ,737.1,740.0,764.9,710.3,725.65,725.35,733.78,2626915,1.927573402e+14,,660632.0,0.2515
2005-11-08,SUZLON,EQ,725.35,733.8,792.0,727.5,768.0,763.65,749.04,3071950,2.3010068633e+14,,902531.0,0.2938
2005-11-09,SUZLON,EQ,763.65,760.0,786.0,739.75,744.05,746.55,762.27,2780154,2.11924161105e+14,,442005.0,0.159
2005-11-10,SUZLON,EQ,746.55,753.0,770.7,746.5,762.5,762.0,758.5,1698349,1.2881918377e+14,,254461.0,0.1498
2005-11-11,SUZLON,EQ,762.0,764.0,783.95,763.0,770.0,775.7,774.22,1531844,1.1859811755e+14,,210615.0,0.1375
2005-11-14,SUZLON,EQ,775.7,773.85,778.9,750.0,751.5,752.3,761.73,1267073,9.651641642e+13,,364618.0,0.2878
2005-11-16,SUZLON,EQ,752.3,789.0,789.0,748.05,750.5,751.45,759.17,891172,6.7655114055e+13,,174655.0,0.196
2005-11-17,SUZLON,EQ,751.45,755.15,774.8,750.0,764.15,763.8,764.51,1179251,9.015501778e+13,,101738.0,0.0863
2005-11-18,SUZLON,EQ,763.8,765.0,776.0,752.0,755.0,755.9,764.47,761190,5.819080501e+13,,106625.0,0.1401
2005-11-21,SUZLON,EQ,755.9,757.0,765.75,740.0,742.95,744.1,747.43,960047,7.175725878e+13,,333313.0,0.3472
2005-11-22,SUZLON,EQ,744.1,743.0,750.9,728.25,728.65,731.75,740.12,999652,7.398580735e+13,,246453.0,0.2465
2005-11-23,SUZLON,EQ,731.75,737.55,745.8,726.0,739.35,740.45,739.45,759775,5.618179498e+13,,177002.0,0.233
2005-11-24,SUZLON,EQ,740.45,745.0,755.0,739.0,743.2,743.15,748.01,1107063,8.2808998825e+13,,390270.0,0.3525
2005-11-25,SUZLON,EQ,743.15,749.9,762.5,747.0,759.15,759.1,757.02,1082568,8.195252579e+13,,299662.0,0.2768
2005-11-26,SUZLON,EQ,759.1,765.0,775.0,759.05,774.35,772.1,768.24,523811,4.0241456925e+13,,89963.0,0.1717
2005-11-28,SUZLON,EQ,772.1,778.0,824.7,776.0,821.65,821.3,802.86,1949174,1.56490767095e+14,,396669.0,0.2035
2005-11-29,SUZLON,EQ,821.3,825.0,865.0,825.0,864.5,856.45,847.96,3034524,2.57314003505e+14,,588997.0,0.1941
2005-11-30,SUZLON,EQ,856.45,860.2,887.85,842.65,851.3,851.3,871.54,2902076,2.52927148695e+14,,981563.0,0.3382
2005-12-01,SUZLON,EQ,851.3,879.9,879.9,848.55,863.0,863.7,860.05,1368359,1.17685330335e+14,,455043.0,0.3325
2005-12-02,SUZLON,EQ,863.7,873.7,874.5,833.25,839.0,837.65,852.07,1022326,8.710964355e+13,,346236.0,0.3387
2005-12-05,SUZLON,EQ,837.65,845.7,853.9,837.9,846.4,845.2,846.65,648691,5.4921509755e+13,,143212.0,0.2208
2005-12-06,SUZLON,EQ,845.2,854.35,854.35,818.5,823.0,821.6,829.92,855988,7.1039871615e+13,,174103.0,0.2034
2005-12-07,SUZLON,EQ,821.6,830.0,836.8,804.05,820.0,814.6,819.47,1376764,1.1282230558e+14,,344946.0,0.2505
2005-12-08,SUZLON,EQ,814.6,818.7,831.8,815.15,829.0,826.9,825.06,762528,6.291281104e+13,,71120.0,0.0933
2005-12-09,SUZLON,EQ,826.9,830.0,899.95,829.0,887.8,890.4,868.06,2458663,2.13426986985e+14,,689952.0,0.2806
2005-12-12,SUZLON,EQ,890.4,890.0,938.7,872.0,908.2,906.8,912.41,4723939,4.3101777286e+14,,625691.0,0.1325
2005-12-13,SUZLON,EQ,906.8,901.0,926.4,901.0,910.2,912.6,917.33,1653230,1.5165518065e+14,,141034.0,0.0853
2005-12-14,SUZLON,EQ,912.6,913.4,947.0,905.0,936.1,934.4,931.6,2660426,2.47845573715e+14,,554251.0,0.2083
2005-12-15,SUZLON,EQ,934.4,936.3,949.8,888.1,909.3,902.7,922.36,1897070,1.7497761286e+14,,403913.0,0.2129
2005-12-16,SUZLON,EQ,902.7,914.9,929.95,904.15,923.9,923.45,918.0,1087796,9.986010699e+13,,137262.0,0.1262
2005-12-19,SUZLON,EQ,923.45,927.0,941.0,909.95,922.0,919.95,927.77,1085922,1.00748081235e+14,,213036.0,0.1962
2005-12-20,SUZLON,EQ,919.95,922.0,931.35,896.5,906.35,903.5,911.8,1309770,1.1942438431e+14,,297326.0,0.227
2005-12-21,SUZLON,EQ,903.5,916.5,916.5,890.1,899.0,898.9,904.51,810093,7.3273712295e+13,,99666.0,0.123
2005-12-22,SUZLON,EQ,898.9,905.0,907.0,876.2,882.0,883.0,889.22,793526,7.0561966075e+13,,125050.0,0.1576
2005-12-23,SUZLON,EQ,883.0,887.9,892.8,873.0,879.0,877.1,880.76,591223,5.2072652225e+13,,101904.0,0.1724
2005-12-26,SUZLON,EQ,877.1,885.4,885.4,852.0,858.0,858.3,862.62,519988,4.4855104465e+13,,71002.0,0.1365
2005-12-27,SUZLON,EQ,858.3,860.0,895.7,846.0,893.0,892.25,877.53,702974,6.1687868845e+13,,93175.0,0.1325
2005-12-28,SUZLON,EQ,892.25,897.1,906.65,882.1,883.5,885.4,893.48,671363,5.998520251e+13,,57652.0,0.0859
2005-12-29,SUZLON,EQ,885.4,907.0,907.0,872.0,881.05,876.05,882.43,629906,5.5585044925e+13,,212873.0,0.3379
2005-12-30,SUZLON,EQ,876.05,882.0,904.0,880.0,893.85,894.65,894.92,506413,4.531970611e+13,,62831.0,0.1241
2006-01-02,SUZLON,EQ,894.65,900.0,905.0,889.2,895.0,896.05,897.17,328574,2.947882245e+13,,41675.0,0.1268
2006-01-03,SUZLON,EQ,896.05,900.0,905.0,894.0,896.0,896.5,898.38,213321,1.916424346e+13,,62215.0,0.2916
2006-01-04,SUZLON,EQ,896.5,903.0,915.45,896.7,902.0,903.35,906.7,393057,3.5638570045e+13,,104235.0,0.2652
2006-01-05,SUZLON,EQ,903.35,906.45,910.0,893.95,899.0,899.5,902.28,375063,3.3841252655e+13,,106034.0,0.2827
2006-01-06,SUZLON,EQ,899.5,906.0,908.0,883.5,886.5,886.45,892.66,281963,2.51697541e+13,,88873.0,0.3152
2006-01-09,SUZLON,EQ,886.45,905.0,906.0,886.0,890.75,890.9,892.69,440615,3.933314563e+13,,194719.0,0.4419
2006-01-10,SUZLON,EQ,890.9,888.0,894.9,860.15,863.0,863.6,873.21,213287,1.8624398185e+13,,68585.0,0.3216
2006-01-12,SUZLON,EQ,863.6,859.0,862.75,815.0,830.2,832.3,841.88,706426,5.947253548e+13,,306374.0,0.4337
2006-01-13,SUZLON,EQ,832.3,859.8,871.9,825.0,860.0,861.6,857.76,934645,8.0170058185e+13,,430883.0,0.461
2006-01-16,SUZLON,EQ,861.6,869.0,879.8,843.05,865.0,866.3,861.46,577013,4.9707147555e+13,,187024.0,0.3241
2006-01-17,SUZLON,EQ,866.3,872.0,877.85,855.0,871.0,871.65,868.99,353748,3.074031259e+13,,137345.0,0.3883
2006-01-18,SUZLON,EQ,871.65,821.55,885.0,787.0,873.0,877.3,872.53,398084,3.4734012085e+13,,112476.0,0.2825
2006-01-19,SUZLON,EQ,877.3,878.0,906.0,878.0,905.0,898.2,891.44,365809,3.2609522865e+13,,115828.0,0.3166
2006-01-20,SUZLON,EQ,898.2,905.0,925.0,897.0,918.0,919.35,911.68,595359,5.4277753275e+13,,267783.0,0.4498
2006-01-23,SUZLON,EQ,919.35,911.9,929.9,900.0,908.5,916.5,920.54,276669,2.546844912e+13,,50145.0,0.1812
2006-01-24,SUZLON,EQ,916.5,918.05,945.0,918.05,936.0,937.9,934.82,460733,4.307041286e+13,,181450.0,0.3938
2006-01-25,SUZLON,EQ,937.9,940.0,992.9,940.0,973.45,976.4,967.48,658191,6.3678774405e+13,,182173.0,0.2768
2006-01-27,SUZLON,EQ,976.4,985.0,1148.0,985.0,1117.0,1127.1,1078.17,1967419,2.12120679685e+14,,506311.0,0.2573
2006-01-30,SUZLON,EQ,1127.1,1140.0,1159.3,1031.0,1081.5,1076.15,1082.4,2266485,2.45324277855e+14,,393451.0,0.1736
2006-01-31,SUZLON,EQ,1076.15,1090.0,1192.0,1076.3,1155.0,1167.35,1158.66,2748956,3.18509930855e+14,,286148.0,0.1041
2006-02-01,SUZLON,EQ,1167.35,1156.0,1162.7,1088.3,1105.0,1098.3,1132.47,1838449,2.08198258635e+14,,319239.0,0.1736
2006-02-02,SUZLON,EQ,1098.3,1101.0,1141.8,1090.1,1105.1,1103.5,1111.89,1153424,1.2824823335e+14,,134504.0,0.1166
2006-02-03,SUZLON,EQ,1103.5,1110.0,1113.7,1055.0,1059.0,1060.1,1085.72,1004854,1.0909924329e+14,,165193.0,0.1644
2006-02-06,SUZLON,EQ,1060.1,1062.0,1089.0,1050.0,1070.0,1065.5,1070.74,765268,8.194053742e+13,,125617.0,0.1641
2006-02-07,SUZLON,EQ,1065.5,1084.0,1109.0,1070.3,1104.9,1101.8,1092.66,1280271,1.39890155255e+14,,316183.0,0.247
2006-02-08,SUZLON,EQ,1101.8,1103.0,1105.0,1060.0,1079.75,1082.55,1082.19,590360,6.388835133e+13,,170054.0,0.2881
2006-02-10,SUZLON,EQ,1082.55,1090.0,1108.7,1079.0,1087.0,1094.55,1091.7,540509,5.9007508185e+13,,220716.0,0.4083
