Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-02,SWARAJENG,EQ,316.0,301.75,301.75,301.75,,301.75,301.75,100,3017500000.0,,,,50.2916666667,6.0
1996-01-03,SWARAJENG,EQ,301.75,316.0,320.0,316.0,,320.0,318.71,700,22310000000.0,,,,53.3333333333,6.0
1996-01-04,SWARAJENG,EQ,320.0,320.0,309.95,304.05,,305.2,306.64,700,21465000000.0,,,,50.8666666667,6.0
1996-01-05,SWARAJENG,EQ,305.2,315.0,315.0,300.0,,300.25,305.08,300,9152500000.0,,,,50.0416666667,6.0
1996-01-08,SWARAJENG,EQ,300.25,300.0,300.0,295.0,,295.0,295.72,900,26615000000.0,,,,49.1666666667,6.0
1996-01-09,SWARAJENG,EQ,295.0,290.0,290.0,280.0,,280.0,285.0,200,5700000000.0,,,,46.6666666667,6.0
1996-01-10,SWARAJENG,EQ,280.0,285.0,285.0,285.0,,285.0,285.0,100,2850000000.0,,,,47.5,6.0
1996-01-11,SWARAJENG,EQ,285.0,285.0,290.0,285.0,,290.0,285.12,8400,2.395e+11,,,,48.3333333333,6.0
1996-01-12,SWARAJENG,EQ,290.0,295.0,295.0,295.0,,295.0,295.0,100,2950000000.0,,,,49.1666666667,6.0
1996-01-15,SWARAJENG,EQ,295.0,288.0,288.0,285.5,,285.5,286.75,200,5735000000.0,,,,47.5833333333,6.0
1996-01-16,SWARAJENG,EQ,285.5,288.0,288.0,285.5,,285.5,285.64,3600,1.0283e+11,,,,47.5833333333,6.0
1996-01-17,SWARAJENG,EQ,285.5,285.5,287.0,285.5,,287.0,285.88,400,11435000000.0,,,,47.8333333333,6.0
1996-01-18,SWARAJENG,EQ,287.0,284.75,287.0,284.75,,285.35,285.25,700,19967500000.0,,,,47.5583333333,6.0
1996-01-19,SWARAJENG,EQ,285.35,281.55,281.55,281.55,,281.55,281.55,100,2815500000.0,,,,46.925,6.0
1996-01-22,SWARAJENG,EQ,281.55,280.0,280.0,280.0,,280.0,280.0,200,5600000000.0,,,,46.6666666667,6.0
1996-01-23,SWARAJENG,EQ,280.0,280.0,280.25,280.0,,280.25,280.08,300,8402500000.0,,,,46.7083333333,6.0
1996-01-24,SWARAJENG,EQ,280.25,280.0,280.0,280.0,,280.0,280.0,200,5600000000.0,,,,46.6666666667,6.0
1996-01-25,SWARAJENG,EQ,280.0,285.0,285.0,285.0,,285.0,285.0,100,2850000000.0,,,,47.5,6.0
1996-01-29,SWARAJENG,EQ,285.0,285.0,290.0,281.5,,281.5,285.69,500,14284500000.0,,,,46.9166666667,6.0
1996-01-30,SWARAJENG,EQ,281.5,280.25,285.0,280.25,,285.0,283.88,600,17032500000.0,,,,47.5,6.0
1996-01-31,SWARAJENG,EQ,285.0,285.0,285.0,285.0,,285.0,285.0,100,2850000000.0,,,,47.5,6.0
1996-02-02,SWARAJENG,EQ,285.0,295.0,295.0,295.0,,295.0,295.0,200,5900000000.0,,,,49.1666666667,6.0
1996-02-05,SWARAJENG,EQ,295.0,320.0,320.0,295.0,,300.0,298.89,900,26900000000.0,,,,50.0,6.0
1996-02-06,SWARAJENG,EQ,300.0,300.0,305.0,297.0,,297.0,298.33,600,17900000000.0,,,,49.5,6.0
1996-02-09,SWARAJENG,EQ,297.0,318.0,325.0,310.0,,325.0,319.43,1700,54302500000.0,,,,54.1666666667,6.0
1996-02-12,SWARAJENG,EQ,325.0,329.0,329.0,326.0,,328.0,327.6,500,16380000000.0,,,,54.6666666667,6.0
1996-02-13,SWARAJENG,EQ,328.0,332.0,332.0,318.0,,322.0,324.4,500,16220000000.0,,,,53.6666666667,6.0
1996-02-14,SWARAJENG,EQ,322.0,326.0,335.0,326.0,,335.0,331.75,400,13270000000.0,,,,55.8333333333,6.0
1996-02-15,SWARAJENG,EQ,335.0,340.0,340.0,327.0,,327.0,331.67,300,9950000000.0,,,,54.5,6.0
1996-02-16,SWARAJENG,EQ,327.0,327.0,335.0,327.0,,333.75,331.69,1700,56387500000.0,,,,55.625,6.0
1996-02-19,SWARAJENG,EQ,333.75,333.75,337.0,330.0,,335.0,334.8,500,16740000000.0,,,,55.8333333333,6.0
1996-02-20,SWARAJENG,EQ,335.0,335.0,335.0,318.0,,325.35,329.2,500,16460000000.0,,,,54.225,6.0
1996-02-22,SWARAJENG,EQ,325.35,329.0,334.0,329.0,,334.0,331.8,500,16590000000.0,,,,55.6666666667,6.0
1996-02-23,SWARAJENG,EQ,334.0,334.0,336.0,332.0,,332.0,334.12,800,26729500000.0,,,,55.3333333333,6.0
1996-02-26,SWARAJENG,EQ,332.0,329.95,330.0,329.95,,330.0,329.98,200,6599500000.0,,,,55.0,6.0
1996-02-27,SWARAJENG,EQ,330.0,345.0,348.0,340.0,,346.5,341.54,2300,78553500000.0,,,,57.75,6.0
1996-02-28,SWARAJENG,EQ,346.5,346.5,367.0,346.0,,364.9,355.8,2700,96067000000.0,,,,60.8166666667,6.0
1996-02-29,SWARAJENG,EQ,364.9,366.0,366.0,357.5,,360.0,360.74,1800,64932500000.0,,,,60.0,6.0
1996-03-01,SWARAJENG,EQ,360.0,360.0,363.05,357.0,,363.05,360.59,1200,43270500000.0,,,,60.5083333333,6.0
1996-03-04,SWARAJENG,EQ,363.05,363.05,365.0,355.0,,355.35,359.25,1300,46702500000.0,,,,59.225,6.0
1996-03-06,SWARAJENG,EQ,355.35,355.0,363.0,355.0,,363.0,359.33,300,10780000000.0,,,,60.5,6.0
1996-03-07,SWARAJENG,EQ,363.0,359.0,359.0,358.0,,358.0,358.31,400,14332500000.0,,,,59.6666666667,6.0
1996-03-08,SWARAJENG,EQ,358.0,346.0,350.0,346.0,,350.0,348.0,200,6960000000.0,,,,58.3333333333,6.0
1996-03-11,SWARAJENG,EQ,350.0,350.0,345.0,339.0,,341.0,342.2,500,17110000000.0,,,,56.8333333333,6.0
1996-03-12,SWARAJENG,EQ,341.0,347.75,347.75,338.0,,338.0,340.55,500,17027500000.0,,,,56.3333333333,6.0
1996-03-13,SWARAJENG,EQ,338.0,340.75,342.0,340.75,,342.0,341.25,300,10237500000.0,,,,57.0,6.0
1996-03-14,SWARAJENG,EQ,342.0,344.0,345.0,344.0,,345.0,344.67,300,10340000000.0,,,,57.5,6.0
1996-03-15,SWARAJENG,EQ,345.0,345.0,343.0,343.0,,343.0,343.0,100,3430000000.0,,,,57.1666666667,6.0
1996-03-18,SWARAJENG,EQ,343.0,333.0,333.0,333.0,,333.0,333.0,100,3330000000.0,,,,55.5,6.0
1996-03-19,SWARAJENG,EQ,333.0,332.5,333.0,326.0,,327.35,328.95,900,29605500000.0,,,,54.5583333333,6.0
1996-03-21,SWARAJENG,EQ,327.35,328.75,329.0,325.55,,329.0,327.81,500,16390500000.0,,,,54.8333333333,6.0
