Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1999-12-27,SYNDIBANK,EQ,0.0,14.1,14.75,12.05,12.7,12.7,12.8,995300,1.2740285e+12,,,,12.7,1.0
1999-12-28,SYNDIBANK,EQ,12.7,12.95,13.0,12.15,12.35,12.45,12.44,1029500,1.28026e+12,,,,12.45,1.0
1999-12-29,SYNDIBANK,EQ,12.45,12.6,12.9,12.4,12.6,12.5,12.63,765700,9.673915e+11,,,,12.5,1.0
1999-12-30,SYNDIBANK,EQ,12.5,12.5,12.8,12.5,12.5,12.65,12.65,605500,7.662485e+11,,,,12.65,1.0
2000-01-03,SYNDIBANK,EQ,12.65,13.0,15.2,12.6,14.6,14.65,13.83,3230700,4.4668215e+12,,,,14.65,1.0
2000-01-04,SYNDIBANK,EQ,14.65,14.85,14.85,13.1,13.6,13.6,13.65,1375400,1.8774625e+12,,,,13.6,1.0
2000-01-05,SYNDIBANK,EQ,13.6,12.7,13.75,12.45,13.2,13.15,13.29,1030500,1.369197e+12,,,,13.15,1.0
2000-01-06,SYNDIBANK,EQ,13.15,13.1,13.3,12.85,12.95,13.0,13.06,710700,9.283905e+11,,,,13.0,1.0
2000-01-07,SYNDIBANK,EQ,13.0,13.1,13.1,12.5,13.0,12.8,12.72,614600,7.81899e+11,,,,12.8,1.0
2000-01-10,SYNDIBANK,EQ,12.8,13.2,13.25,12.35,12.5,12.5,12.63,446800,5.64165e+11,,,,12.5,1.0
2000-01-11,SYNDIBANK,EQ,12.5,12.7,12.7,11.8,12.0,11.95,12.19,888000,1.0826965e+12,,,,11.95,1.0
2000-01-12,SYNDIBANK,EQ,11.95,12.5,12.5,12.05,12.2,12.15,12.23,314800,3.84924e+11,,,,12.15,1.0
2000-01-13,SYNDIBANK,EQ,12.15,12.25,12.4,11.85,11.95,11.95,12.04,272600,3.281305e+11,,,,11.95,1.0
2000-01-14,SYNDIBANK,EQ,11.95,12.2,12.2,11.4,11.75,11.7,11.63,251500,2.924795e+11,,,,11.7,1.0
2000-01-17,SYNDIBANK,EQ,11.7,11.9,12.35,11.6,11.85,11.85,11.85,428200,5.075595e+11,,,,11.85,1.0
2000-01-18,SYNDIBANK,EQ,11.85,12.1,12.3,11.5,11.7,11.65,11.66,422200,4.920875e+11,,,,11.65,1.0
2000-01-19,SYNDIBANK,EQ,11.65,12.35,13.4,12.25,12.7,12.65,12.69,1036000,1.3146425e+12,,,,12.65,1.0
