Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-01,TATAELXSI,EQ,25.9,26.0,26.2,25.25,,25.95,25.82,2900,7487500000.0,,,,12.975,2.0
1996-01-02,TATAELXSI,EQ,25.95,25.25,25.25,24.2,,24.95,24.62,5000,12311000000.0,,,,12.475,2.0
1996-01-03,TATAELXSI,EQ,24.95,25.0,25.0,24.5,,24.95,24.7,5900,14573500000.0,,,,12.475,2.0
1996-01-04,TATAELXSI,EQ,24.95,24.0,24.3,23.85,,24.1,24.0,3100,7439000000.0,,,,12.05,2.0
1996-01-05,TATAELXSI,EQ,24.1,23.55,24.35,23.55,,24.25,24.06,3200,7700500000.0,,,,12.125,2.0
1996-01-08,TATAELXSI,EQ,24.25,24.25,24.0,23.35,,23.9,23.82,6300,15004000000.0,,,,11.95,2.0
1996-01-09,TATAELXSI,EQ,23.9,23.9,23.7,23.05,,23.4,23.37,5900,13786000000.0,,,,11.7,2.0
1996-01-10,TATAELXSI,EQ,23.4,23.4,23.25,22.7,,23.25,23.0,5000,11497500000.0,,,,11.625,2.0
1996-01-11,TATAELXSI,EQ,23.25,23.2,23.2,22.8,,23.0,22.95,3700,8493000000.0,,,,11.5,2.0
1996-01-12,TATAELXSI,EQ,23.0,23.0,23.0,22.5,,22.85,22.9,3100,7099500000.0,,,,11.425,2.0
1996-01-15,TATAELXSI,EQ,22.85,22.85,23.15,22.0,,22.1,22.57,8400,18959500000.0,,,,11.05,2.0
1996-01-16,TATAELXSI,EQ,22.1,22.75,22.75,22.0,,22.45,22.33,6700,14963500000.0,,,,11.225,2.0
1996-01-17,TATAELXSI,EQ,22.45,22.6,22.75,22.05,,22.5,22.4,4500,10082000000.0,,,,11.25,2.0
1996-01-18,TATAELXSI,EQ,22.5,22.0,22.2,21.55,,22.1,21.98,3300,7254500000.0,,,,11.05,2.0
1996-01-19,TATAELXSI,EQ,22.1,21.9,21.9,20.55,,20.6,20.87,4300,8975500000.0,,,,10.3,2.0
1996-01-22,TATAELXSI,EQ,20.6,20.6,21.75,20.7,,20.85,21.13,3300,6972000000.0,,,,10.425,2.0
1996-01-23,TATAELXSI,EQ,20.85,20.85,21.35,20.75,,20.9,21.0,4700,9872000000.0,,,,10.45,2.0
1996-01-24,TATAELXSI,EQ,20.9,20.5,20.7,20.05,,20.5,20.36,3800,7738000000.0,,,,10.25,2.0
1996-01-25,TATAELXSI,EQ,20.5,20.5,20.5,19.5,,20.0,19.99,3000,5996500000.0,,,,10.0,2.0
1996-01-29,TATAELXSI,EQ,20.0,20.0,20.95,19.5,,20.5,20.01,2900,5803500000.0,,,,10.25,2.0
1996-01-30,TATAELXSI,EQ,20.5,20.5,20.4,19.65,,20.4,20.03,3700,7412500000.0,,,,10.2,2.0
1996-01-31,TATAELXSI,EQ,20.4,20.4,20.55,20.15,,20.5,20.35,3800,7733500000.0,,,,10.25,2.0
