Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,TELCO,EQ,379.8,378.0,380.0,377.5,,380.0,378.94,7800,2.955715e+11,,,
1996-01-02,TELCO,EQ,380.0,380.0,383.9,376.0,,377.8,380.09,19350,7.3548e+11,,,
1996-01-03,TELCO,EQ,377.8,377.8,380.0,376.25,,376.55,378.43,5700,2.157065e+11,,,
1996-01-04,TELCO,EQ,376.55,376.55,377.0,371.5,,373.7,374.62,20100,7.52993e+11,,,
1996-01-05,TELCO,EQ,373.7,373.7,374.8,371.0,,372.35,372.6,12000,4.47125e+11,,,
1996-01-08,TELCO,EQ,372.35,372.35,373.0,369.0,,372.5,372.05,25200,9.3755775e+11,,,
1996-01-09,TELCO,EQ,372.5,372.5,372.0,364.0,,366.3,367.96,12100,4.4522775e+11,,,
1996-01-10,TELCO,EQ,366.3,366.3,373.0,368.0,,372.2,371.5,12950,4.8108625e+11,,,
1996-01-11,TELCO,EQ,372.2,372.2,378.25,370.5,,375.35,375.91,15450,5.807805e+11,,,
1996-01-12,TELCO,EQ,375.35,375.35,382.45,375.0,,379.9,378.88,10450,3.9592625e+11,,,
1996-01-15,TELCO,EQ,379.9,379.9,404.0,375.15,,377.7,377.54,5550,2.09537e+11,,,
1996-01-16,TELCO,EQ,377.7,377.7,379.0,374.15,,376.85,375.82,20450,7.6855425e+11,,,
1996-01-17,TELCO,EQ,376.85,376.85,377.75,375.0,,375.15,376.38,11850,4.46011e+11,,,
1996-01-18,TELCO,EQ,375.15,375.15,377.0,368.0,,376.1,373.77,14050,5.2514975e+11,,,
1996-01-19,TELCO,EQ,376.1,376.1,378.0,373.0,,376.75,376.16,15550,5.849275e+11,,,
1996-01-22,TELCO,EQ,376.75,376.75,381.0,376.0,,380.05,380.12,86250,3.27852625e+12,,,
1996-01-23,TELCO,EQ,380.05,380.05,380.0,369.5,,370.05,374.88,7050,2.6429175e+11,,,
1996-01-24,TELCO,EQ,370.05,370.05,370.0,355.0,,358.8,363.42,19150,6.95945e+11,,,
1996-01-25,TELCO,EQ,358.8,358.8,365.0,357.1,,360.25,361.16,16100,5.81462e+11,,,
1996-01-29,TELCO,EQ,360.25,360.25,365.0,360.0,,361.9,361.89,9900,3.5827125e+11,,,
1996-01-30,TELCO,EQ,361.9,361.9,366.0,359.0,,361.05,362.9,16350,5.93346e+11,,,
1996-01-31,TELCO,EQ,361.05,361.05,368.5,363.0,,367.75,365.56,7100,2.595495e+11,,,
1996-02-01,TELCO,EQ,367.75,367.75,378.25,365.2,,378.2,376.71,71900,2.7085105e+12,,,
1996-02-02,TELCO,EQ,378.2,378.2,397.0,376.0,,395.4,392.98,88550,3.47983575e+12,,,
1996-02-05,TELCO,EQ,395.4,395.4,405.0,386.75,,397.5,396.83,49350,1.9583355e+12,,,
1996-02-06,TELCO,EQ,397.5,397.5,402.0,385.0,,389.2,398.93,72550,2.89420925e+12,,,
1996-02-07,TELCO,EQ,389.2,389.2,397.0,382.0,,395.1,391.4,14700,5.7536525e+11,,,
1996-02-08,TELCO,EQ,395.1,400.0,428.8,398.0,,426.6,418.94,71000,2.97445825e+12,,,
1996-02-09,TELCO,EQ,426.6,426.6,445.0,425.0,,442.0,435.55,62050,2.70256225e+12,,,
1996-02-12,TELCO,EQ,442.0,400.0,441.0,400.0,,429.2,435.98,24000,1.04635425e+12,,,
1996-02-13,TELCO,EQ,429.2,429.2,438.95,421.0,,427.4,427.52,28900,1.23553625e+12,,,
1996-02-14,TELCO,EQ,427.4,427.4,442.0,430.0,,430.1,436.37,31150,1.35928225e+12,,,
1996-02-15,TELCO,EQ,430.1,430.1,432.0,420.05,,429.2,428.62,9850,4.221885e+11,,,
1996-02-16,TELCO,EQ,429.2,429.2,424.95,415.0,,417.75,421.27,9750,4.1073675e+11,,,
1996-02-19,TELCO,EQ,417.75,417.75,424.9,405.0,,410.2,416.63,10350,4.3120725e+11,,,
1996-02-20,TELCO,EQ,410.2,410.2,414.0,403.75,,411.5,410.37,41350,1.69686825e+12,,,
1996-02-22,TELCO,EQ,411.5,411.5,425.0,413.0,,422.55,420.51,15500,6.517855e+11,,,
1996-02-23,TELCO,EQ,422.55,422.55,434.0,419.0,,432.05,428.26,43950,1.88219875e+12,,,
1996-02-26,TELCO,EQ,432.05,432.05,435.0,410.65,,412.4,421.92,32100,1.35436325e+12,,,
1996-02-27,TELCO,EQ,412.4,412.4,430.0,419.05,,425.75,426.43,44500,1.8976105e+12,,,
1996-02-28,TELCO,EQ,425.75,425.75,426.45,421.0,,424.6,423.71,23350,9.8936475e+11,,,
1996-02-29,TELCO,EQ,424.6,424.6,428.0,420.0,,422.6,423.71,84700,3.588862e+12,,,
1996-03-01,TELCO,EQ,422.6,422.6,425.0,422.3,,423.8,423.34,18850,7.9799225e+11,,,
1996-03-04,TELCO,EQ,423.8,423.8,429.45,422.0,,427.0,424.92,21250,9.0295825e+11,,,
1996-03-06,TELCO,EQ,427.0,427.0,428.0,424.5,,424.75,425.61,6200,2.6387875e+11,,,
1996-03-07,TELCO,EQ,424.75,424.75,427.5,420.0,,423.0,423.98,8700,3.688625e+11,,,
1996-03-08,TELCO,EQ,423.0,423.0,423.0,418.1,,422.05,421.32,20000,8.4263625e+11,,,
1996-03-11,TELCO,EQ,422.05,422.05,416.5,410.1,,412.0,413.2,15050,6.218595e+11,,,
1996-03-12,TELCO,EQ,412.0,412.0,420.0,409.35,,416.65,413.12,14600,6.031525e+11,,,
1996-03-13,TELCO,EQ,416.65,416.65,423.0,413.25,,421.65,420.96,15600,6.566975e+11,,,
1996-03-14,TELCO,EQ,421.65,421.65,426.5,416.9,,418.35,421.55,16350,6.8922725e+11,,,
1996-03-15,TELCO,EQ,418.35,418.35,418.75,416.25,,417.3,417.14,21800,9.0936175e+11,,,
1996-03-18,TELCO,EQ,417.3,417.3,419.4,415.0,,419.35,417.58,42950,1.79349625e+12,,,
1996-03-19,TELCO,EQ,419.35,419.35,417.0,413.05,,415.35,415.58,21700,9.01798e+11,,,
1996-03-21,TELCO,EQ,415.35,415.35,422.1,417.25,,422.0,420.8,25400,1.06884175e+12,,,
1996-03-22,TELCO,EQ,422.0,422.0,423.0,420.0,,422.1,421.31,24350,1.02589875e+12,,,
1996-03-25,TELCO,EQ,422.1,422.1,430.0,419.95,,426.45,425.13,41000,1.74305225e+12,,,
1996-03-26,TELCO,EQ,426.45,426.45,428.5,422.5,,427.2,425.25,26400,1.12266075e+12,,,
1996-03-27,TELCO,EQ,427.2,427.2,468.0,430.0,,438.55,437.15,39600,1.73112975e+12,,,
1996-03-28,TELCO,EQ,438.55,438.55,469.95,439.3,,453.4,454.0,187850,8.52834975e+12,,,
1996-03-29,TELCO,EQ,453.4,453.4,465.0,440.0,,450.05,452.25,103750,4.6921275e+12,,,
1996-04-01,TELCO,EQ,450.05,450.05,459.0,440.0,,454.95,449.23,67650,3.03907325e+12,,,
1996-04-02,TELCO,EQ,454.95,454.95,459.9,440.0,,446.75,447.79,59000,2.64196375e+12,,,
1996-04-03,TELCO,EQ,446.75,446.75,454.0,446.0,,446.45,449.98,8950,4.027365e+11,,,
1996-04-04,TELCO,EQ,446.45,464.65,464.65,438.0,,441.25,440.93,9350,4.1226625e+11,,,
1996-04-08,TELCO,EQ,441.25,441.25,449.95,441.05,,443.1,444.69,9200,4.09112e+11,,,
1996-04-09,TELCO,EQ,443.1,443.1,449.75,435.5,,437.0,441.38,14050,6.201445e+11,,,
1996-04-10,TELCO,EQ,437.0,437.0,447.0,440.0,,444.55,444.83,67150,2.987033e+12,,,
1996-04-11,TELCO,EQ,444.55,444.55,446.0,443.0,,445.2,445.05,29000,1.2906335e+12,,,
1996-04-12,TELCO,EQ,445.2,464.65,464.65,441.0,,444.65,446.04,9600,4.28201e+11,,,
1996-04-15,TELCO,EQ,444.65,444.65,459.9,447.0,,457.9,456.47,112050,5.1147615e+12,,,
1996-04-16,TELCO,EQ,457.9,457.9,469.0,459.25,,465.35,463.67,36800,1.706304e+12,,,
1996-04-17,TELCO,EQ,465.35,465.35,488.0,469.0,,486.05,481.29,152450,7.33721275e+12,,,
1996-04-18,TELCO,EQ,486.05,486.05,497.9,482.0,,483.9,491.45,82100,4.034841e+12,,,
1996-04-19,TELCO,EQ,483.9,486.95,492.0,483.0,,484.1,487.48,31100,1.516056e+12,,,
1996-04-22,TELCO,EQ,484.1,484.1,492.0,476.0,,480.95,482.65,37950,1.8316465e+12,,,
1996-04-23,TELCO,EQ,480.95,480.95,490.0,474.5,,483.75,482.54,52000,2.509196e+12,,,
1996-04-24,TELCO,EQ,483.75,483.75,501.0,489.0,,500.1,497.74,68250,3.397062e+12,,,
1996-04-25,TELCO,EQ,500.1,510.0,510.0,461.0,,477.05,492.85,63200,3.11478875e+12,,,
1996-04-26,TELCO,EQ,477.05,477.05,498.95,465.0,,479.95,476.52,49400,2.35398925e+12,,,
1996-04-29,TELCO,EQ,479.95,479.95,475.25,468.9,,470.85,471.93,33700,1.5904035e+12,,,
1996-04-30,TELCO,EQ,470.85,470.85,485.0,466.2,,478.05,476.96,73050,3.4841605e+12,,,
1996-05-01,TELCO,EQ,478.05,478.05,494.5,487.8,,491.05,490.87,37450,1.8382925e+12,,,
1996-05-02,TELCO,EQ,491.05,491.05,490.0,482.05,,487.05,485.44,17700,8.592335e+11,,,
1996-05-03,TELCO,EQ,487.05,487.05,485.0,477.05,,478.4,479.72,14300,6.859985e+11,,,
1996-05-06,TELCO,EQ,478.4,478.4,476.2,470.0,,470.65,472.3,23050,1.0886545e+12,,,
1996-05-07,TELCO,EQ,470.65,470.65,476.5,470.05,,471.75,473.32,31350,1.4838435e+12,,,
1996-05-08,TELCO,EQ,471.75,471.75,478.3,467.55,,477.5,476.28,35600,1.69555575e+12,,,
1996-05-09,TELCO,EQ,477.5,475.0,476.0,471.25,,472.9,472.78,17700,8.3681875e+11,,,
1996-05-10,TELCO,EQ,472.9,472.9,467.0,459.0,,460.5,462.5,35450,1.63956225e+12,,,
1996-05-13,TELCO,EQ,460.5,460.5,468.0,453.05,,463.0,463.41,66100,3.06310775e+12,,,
1996-05-14,TELCO,EQ,463.0,463.0,466.95,461.0,,465.6,464.43,33050,1.534955e+12,,,
1996-05-15,TELCO,EQ,465.6,465.6,489.95,477.0,,487.2,483.22,82250,3.97444575e+12,,,
1996-05-16,TELCO,EQ,487.2,494.0,505.0,492.0,,493.85,498.81,227000,1.132289525e+13,,,
1996-05-17,TELCO,EQ,493.85,494.0,496.95,490.25,,493.25,493.13,76550,3.7748995e+12,,,
1996-05-20,TELCO,EQ,493.25,483.1,487.5,479.0,,480.75,482.82,61700,2.97902775e+12,,,
1996-05-21,TELCO,EQ,480.75,480.0,482.45,471.3,,479.5,478.64,72700,3.4797345e+12,,,
1996-05-22,TELCO,EQ,479.5,479.5,484.75,480.1,,481.15,482.08,32400,1.56192675e+12,,,
1996-05-23,TELCO,EQ,481.15,481.15,482.3,479.0,,480.5,480.55,40150,1.92941475e+12,,,
1996-05-24,TELCO,EQ,480.5,480.5,489.8,479.75,,484.75,485.55,80300,3.89896825e+12,,,
1996-05-27,TELCO,EQ,484.75,484.75,485.0,477.05,,480.75,481.32,113850,5.4797845e+12,,,
1996-05-28,TELCO,EQ,480.75,476.0,477.55,433.0,,476.1,473.07,219900,1.040272e+13,,,
1996-05-29,TELCO,EQ,476.1,481.0,490.0,481.0,,489.2,486.73,219950,1.0705517e+13,,,
1996-05-30,TELCO,EQ,489.2,489.2,491.0,482.6,,484.05,486.78,106400,5.1793095e+12,,,
1996-05-31,TELCO,EQ,484.05,484.05,486.75,483.0,,484.8,484.83,34100,1.65326875e+12,,,
1996-06-03,TELCO,EQ,484.8,484.8,492.0,487.9,,490.1,489.9,116450,5.7048615e+12,,,
1996-06-04,TELCO,EQ,490.1,490.1,499.45,492.3,,492.9,495.1,132250,6.54769775e+12,,,
