Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,TISCO,EQ,198.4,199.0,199.75,196.55,,199.25,198.76,575050,1.1429609e+13,,,
1996-01-02,TISCO,EQ,199.25,199.0,199.75,195.05,,195.55,196.82,951900,1.8735534e+13,,,
1996-01-03,TISCO,EQ,195.55,195.55,200.0,195.05,,195.6,197.37,758750,1.4975668e+13,,,
1996-01-04,TISCO,EQ,195.6,192.5,192.5,185.0,,189.4,188.43,1953050,3.680217125e+13,,,
1996-01-05,TISCO,EQ,189.4,187.1,188.0,183.75,,185.65,185.38,1692100,3.136868225e+13,,,
1996-01-08,TISCO,EQ,185.65,184.5,185.0,177.1,,178.7,181.26,2063450,3.7401545e+13,,,
1996-01-09,TISCO,EQ,178.7,175.0,179.35,175.0,,177.85,177.09,2075350,3.675183975e+13,,,
1996-01-10,TISCO,EQ,177.85,177.85,181.25,175.0,,176.9,178.54,2016900,3.600982275e+13,,,
1996-01-11,TISCO,EQ,176.9,177.0,181.95,176.4,,181.05,179.29,1556300,2.7903646e+13,,,
1996-01-12,TISCO,EQ,181.05,181.05,183.9,179.25,,180.35,181.33,1773800,3.216454125e+13,,,
1996-01-15,TISCO,EQ,180.35,179.25,181.35,178.45,,178.85,179.39,749650,1.344811725e+13,,,
1996-01-16,TISCO,EQ,178.85,178.85,180.0,177.1,,178.5,178.66,1092900,1.952553e+13,,,
1996-01-17,TISCO,EQ,178.5,177.0,178.3,171.5,,172.45,175.08,1432400,2.507888075e+13,,,
1996-01-18,TISCO,EQ,172.45,170.05,171.25,166.0,,168.8,169.35,1792750,3.035952775e+13,,,
1996-01-19,TISCO,EQ,168.8,166.75,169.4,166.0,,167.35,167.76,1127300,1.891194275e+13,,,
1996-01-22,TISCO,EQ,167.35,169.0,170.65,167.25,,169.1,169.38,858400,1.45399055e+13,,,
1996-01-23,TISCO,EQ,169.1,167.75,169.8,160.0,,162.4,166.16,940550,1.562839325e+13,,,
1996-01-24,TISCO,EQ,162.4,162.4,183.9,157.5,,160.2,160.61,1162700,1.867369225e+13,,,
1996-01-25,TISCO,EQ,160.2,160.0,160.55,155.75,,156.75,158.26,893850,1.414649725e+13,,,
1996-01-29,TISCO,EQ,156.75,155.05,165.0,155.05,,163.9,160.58,1816500,2.916868025e+13,,,
1996-01-30,TISCO,EQ,163.9,167.0,170.0,162.0,,165.3,166.13,1797750,2.9865295e+13,,,
1996-01-31,TISCO,EQ,165.3,166.0,173.0,164.75,,166.95,168.56,1951900,3.290038375e+13,,,
1996-02-01,TISCO,EQ,166.95,165.55,171.25,165.55,,170.7,169.17,1037300,1.754837775e+13,,,
1996-02-02,TISCO,EQ,170.7,174.25,185.25,172.0,,183.15,177.72,2230850,3.964620725e+13,,,
1996-02-05,TISCO,EQ,183.15,191.0,202.0,183.5,,190.3,190.73,3869600,7.38040425e+13,,,
1996-02-06,TISCO,EQ,190.3,191.5,192.5,171.0,,174.2,183.72,2247150,4.12857025e+13,,,
1996-02-07,TISCO,EQ,174.2,174.2,184.0,171.5,,181.05,179.33,2546200,4.566193625e+13,,,
1996-02-08,TISCO,EQ,181.05,182.0,208.4,181.5,,207.35,194.81,6429150,1.2524899725e+14,,,
1996-02-09,TISCO,EQ,207.35,221.0,223.0,211.05,,219.45,217.35,6719600,1.46050441e+14,,,
1996-02-12,TISCO,EQ,219.45,214.9,218.5,204.0,,207.1,212.38,4702650,9.987685675e+13,,,
1996-02-13,TISCO,EQ,207.1,206.0,211.5,202.3,,207.2,206.51,4064100,8.392940225e+13,,,
1996-02-14,TISCO,EQ,207.2,215.0,222.0,211.0,,213.05,216.32,3776150,8.168599025e+13,,,
1996-02-15,TISCO,EQ,213.05,208.0,217.5,206.5,,210.1,211.5,3127250,6.6142619e+13,,,
1996-02-16,TISCO,EQ,210.1,209.0,209.0,204.5,,205.7,206.44,2027900,4.186319175e+13,,,
1996-02-19,TISCO,EQ,205.7,208.0,210.95,206.0,,206.95,208.57,1385950,2.890687525e+13,,,
1996-02-20,TISCO,EQ,206.95,206.95,207.25,196.25,,199.0,202.81,1978100,4.01168635e+13,,,
1996-02-22,TISCO,EQ,199.0,203.5,209.0,203.5,,207.95,206.73,1850200,3.82497e+13,,,
1996-02-23,TISCO,EQ,207.95,207.5,208.9,203.8,,206.15,205.92,1632750,3.3621766e+13,,,
1996-02-26,TISCO,EQ,206.15,207.05,213.9,206.4,,207.4,210.31,3930600,8.266426875e+13,,,
1996-02-27,TISCO,EQ,207.4,207.8,207.8,202.5,,204.05,204.87,2261100,4.632384025e+13,,,
1996-02-28,TISCO,EQ,204.05,209.0,210.4,205.6,,206.05,208.42,1904800,3.969936225e+13,,,
1996-02-29,TISCO,EQ,206.05,204.55,205.0,190.75,,193.0,197.44,3763100,7.429694975e+13,,,
1996-03-01,TISCO,EQ,193.0,195.45,196.95,191.6,,195.2,194.41,3148600,6.121236575e+13,,,
1996-03-04,TISCO,EQ,195.2,195.0,196.85,192.0,,194.2,194.72,2050600,3.993026525e+13,,,
1996-03-06,TISCO,EQ,194.2,195.5,198.75,194.8,,197.8,196.79,1391250,2.737797e+13,,,
1996-03-07,TISCO,EQ,197.8,198.6,201.4,195.5,,196.35,199.07,1811900,3.606876625e+13,,,
1996-03-08,TISCO,EQ,196.35,195.0,196.0,192.75,,195.4,194.53,1396350,2.71632885e+13,,,
1996-03-11,TISCO,EQ,195.4,192.5,194.5,189.55,,191.65,191.82,1797700,3.448262625e+13,,,
1996-03-12,TISCO,EQ,191.65,192.0,192.2,175.05,,189.0,190.26,1288100,2.45068855e+13,,,
1996-03-13,TISCO,EQ,189.0,191.5,197.25,190.2,,196.5,194.55,2011900,3.91413085e+13,,,
1996-03-14,TISCO,EQ,196.5,196.5,199.4,193.8,,194.5,196.54,1817550,3.57220255e+13,,,
1996-03-15,TISCO,EQ,194.5,194.25,195.4,189.75,,190.4,192.56,1866250,3.59371595e+13,,,
1996-03-18,TISCO,EQ,190.4,188.5,189.95,182.0,,182.55,184.98,1965600,3.636028325e+13,,,
1996-03-19,TISCO,EQ,182.55,182.05,184.5,171.0,,174.65,179.53,1794250,3.221182725e+13,,,
1996-03-21,TISCO,EQ,174.65,180.5,187.0,180.5,,185.5,184.59,1322550,2.4413091e+13,,,
1996-03-22,TISCO,EQ,185.5,183.75,184.6,179.25,,182.55,181.77,1625850,2.955282675e+13,,,
1996-03-25,TISCO,EQ,182.55,185.0,192.9,184.65,,188.0,188.43,3480500,6.558411875e+13,,,
1996-03-26,TISCO,EQ,188.0,188.05,195.85,187.45,,193.1,191.61,4332750,8.301974925e+13,,,
1996-03-27,TISCO,EQ,193.1,198.0,201.7,196.65,,198.45,199.73,3053550,6.0989284e+13,,,
