Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2002-06-11,TIMESGTY,EQ,8.55,10.05,10.1,9.15,9.15,9.15,9.63,202,194515000.0,,200.0,0.9901
2002-06-12,TIMESGTY,EQ,9.15,9.2,11.0,9.2,11.0,11.0,10.25,253,259275000.0,,150.0,0.5929
2002-06-13,TIMESGTY,EQ,11.0,11.0,11.0,10.15,11.0,11.0,10.99,101,111015000.0,,100.0,0.9901
2002-06-14,TIMESGTY,EQ,11.0,12.0,12.1,12.0,12.1,12.1,12.02,850,1022000000.0,,850.0,1.0
2002-06-17,TIMESGTY,EQ,12.1,11.75,12.85,11.75,12.85,12.8,12.28,705,865700000.0,,295.0,0.4184
2002-06-18,TIMESGTY,EQ,12.8,12.8,12.8,11.8,11.8,12.05,12.15,1230,1494100000.0,,660.0,0.5366
2002-06-19,TIMESGTY,EQ,12.05,12.0,12.0,11.7,11.7,11.7,11.82,850,1004500000.0,,850.0,1.0
2002-06-20,TIMESGTY,EQ,11.7,11.5,12.4,11.5,12.4,12.4,11.59,700,811000000.0,,650.0,0.9286
2002-06-21,TIMESGTY,EQ,12.4,11.45,11.7,11.4,11.4,11.4,11.63,601,698895000.0,,550.0,0.9151
2002-06-24,TIMESGTY,EQ,11.4,11.05,11.05,11.0,11.0,11.0,11.03,300,331000000.0,,300.0,1.0
2002-06-26,TIMESGTY,EQ,11.0,12.1,12.1,11.75,12.1,12.0,12.03,250,300750000.0,,250.0,1.0
2002-06-27,TIMESGTY,EQ,12.0,11.2,11.2,11.1,11.1,11.2,11.18,600,671000000.0,,600.0,1.0
2002-06-28,TIMESGTY,EQ,11.2,10.2,10.4,10.2,10.4,10.4,10.33,150,155000000.0,,150.0,1.0
2002-07-01,TIMESGTY,EQ,10.4,10.4,10.4,10.4,10.4,10.4,10.4,100,104000000.0,,100.0,1.0
2002-07-02,TIMESGTY,EQ,10.4,10.2,10.2,10.2,10.2,10.2,10.2,150,153000000.0,,150.0,1.0
2002-07-03,TIMESGTY,EQ,10.2,9.35,10.2,9.35,10.2,10.2,10.08,350,352750000.0,,300.0,0.8571
2002-07-04,TIMESGTY,EQ,10.2,10.0,10.9,10.0,10.9,10.9,10.84,1650,1789250000.0,,1300.0,0.7879
2002-07-05,TIMESGTY,EQ,10.9,10.25,10.75,10.25,10.75,10.75,10.56,400,422500000.0,,400.0,1.0
2002-07-08,TIMESGTY,EQ,10.75,10.0,10.25,9.8,10.25,10.25,10.22,452,461980000.0,,450.0,0.9956
2002-07-09,TIMESGTY,EQ,10.25,10.9,11.0,10.75,11.0,11.0,10.85,1300,1410000000.0,,1300.0,1.0
2002-07-10,TIMESGTY,EQ,11.0,10.25,10.8,10.1,10.6,10.6,10.39,350,363500000.0,,300.0,0.8571
2002-07-11,TIMESGTY,EQ,10.6,9.85,9.85,9.55,9.55,9.55,9.64,450,433750000.0,,450.0,1.0
2002-07-12,TIMESGTY,EQ,9.55,10.5,10.55,10.5,10.55,10.55,10.51,251,263805000.0,,250.0,0.996
2002-07-15,TIMESGTY,EQ,10.55,9.55,10.75,9.55,10.75,10.75,9.57,51,48825000.0,,50.0,0.9804
2002-07-16,TIMESGTY,EQ,10.75,11.75,11.75,10.0,10.95,10.0,10.03,102,102270000.0,,100.0,0.9804
2002-07-17,TIMESGTY,EQ,10.0,10.0,10.8,10.0,10.8,10.8,10.03,26,26080000.0,,26.0,1.0
2002-07-18,TIMESGTY,EQ,10.8,11.35,11.35,11.35,11.35,11.35,11.35,1,1135000.0,,1.0,1.0
2002-07-19,TIMESGTY,EQ,11.35,12.0,12.0,12.0,12.0,12.0,12.0,1,1200000.0,,0.0,0.0
2002-07-24,TIMESGTY,EQ,12.0,13.0,13.0,10.8,10.8,10.8,10.84,51,55300000.0,,50.0,0.9804
2002-07-25,TIMESGTY,EQ,10.8,9.9,9.9,9.9,9.9,9.9,9.9,200,198000000.0,,200.0,1.0
2002-07-29,TIMESGTY,EQ,9.9,10.35,10.35,10.35,10.35,10.35,10.35,2,2070000.0,,0.0,0.0
2002-07-30,TIMESGTY,EQ,10.35,9.5,9.5,9.5,9.5,9.5,9.5,500,475000000.0,,500.0,1.0
2002-07-31,TIMESGTY,EQ,9.5,9.25,9.25,9.25,9.25,9.25,9.25,25,23125000.0,,25.0,1.0
2002-08-02,TIMESGTY,EQ,9.25,8.5,8.5,8.5,8.5,8.5,8.5,100,85000000.0,,100.0,1.0
2002-08-06,TIMESGTY,EQ,8.5,8.05,9.2,8.05,9.2,9.2,8.07,51,41170000.0,,50.0,0.9804
2002-08-07,TIMESGTY,EQ,9.2,9.8,9.8,9.75,9.75,9.75,9.75,51,49730000.0,,50.0,0.9804
2002-08-16,TIMESGTY,EQ,9.75,9.45,9.45,9.45,9.45,9.45,9.45,100,94500000.0,,100.0,1.0
2002-08-28,TIMESGTY,EQ,9.45,7.95,8.0,7.95,8.0,7.95,7.98,10,7975000.0,,5.0,0.5
2002-08-30,TIMESGTY,EQ,7.95,8.7,8.7,8.7,8.7,8.7,8.7,100,87000000.0,,100.0,1.0
2002-09-05,TIMESGTY,EQ,8.7,7.0,7.0,7.0,7.0,7.0,7.0,500,350000000.0,,500.0,1.0
2002-09-06,TIMESGTY,EQ,7.0,6.15,6.15,6.15,6.15,6.15,6.15,45,27675000.0,,45.0,1.0
2002-09-09,TIMESGTY,EQ,6.15,5.15,5.15,5.15,5.15,5.15,5.15,100,51500000.0,,100.0,1.0
2002-09-11,TIMESGTY,EQ,5.15,6.0,6.0,6.0,6.0,6.0,6.0,101,60600000.0,,100.0,0.9901
2002-09-12,TIMESGTY,EQ,6.0,7.2,7.2,5.1,6.85,6.85,5.17,52,26905000.0,,50.0,0.9615
2002-09-16,TIMESGTY,EQ,6.85,7.35,7.35,5.5,6.7,6.7,5.56,52,28905000.0,,50.0,0.9615
2002-09-17,TIMESGTY,EQ,6.7,7.3,7.3,7.3,7.3,7.3,7.3,1,730000.0,,0.0,0.0
2002-09-18,TIMESGTY,EQ,7.3,8.5,8.5,8.5,8.5,8.5,8.5,1,850000.0,,0.0,0.0
2002-09-19,TIMESGTY,EQ,8.5,10.0,10.0,10.0,10.0,10.0,10.0,1,1000000.0,,0.0,0.0
2002-09-20,TIMESGTY,EQ,10.0,12.0,12.0,12.0,12.0,12.0,12.0,1,1200000.0,,0.0,0.0
2002-09-23,TIMESGTY,EQ,12.0,10.0,14.0,9.65,9.65,9.65,9.91,151,149650000.0,,150.0,0.9934
2002-09-24,TIMESGTY,EQ,9.65,8.0,9.05,7.8,8.9,8.9,8.79,2578,2264810000.0,,2570.0,0.9969
2002-09-25,TIMESGTY,EQ,8.9,7.5,7.5,7.5,7.5,7.5,7.5,1,750000.0,,0.0,0.0
2002-09-26,TIMESGTY,EQ,7.5,6.0,7.5,6.0,7.5,7.5,7.4,81,59925000.0,,75.0,0.9259
2002-09-27,TIMESGTY,EQ,7.5,7.45,7.45,7.45,7.45,7.45,7.45,13,9685000.0,,,
2002-09-30,TIMESGTY,EQ,7.45,7.0,7.0,7.0,7.0,7.0,7.0,50,35000000.0,,63.0,1.0
2002-10-07,TIMESGTY,EQ,7.0,6.0,6.05,6.0,6.05,6.05,6.03,100,60250000.0,,100.0,1.0
2002-10-08,TIMESGTY,EQ,6.05,6.1,7.0,6.1,7.0,7.0,6.55,100,65500000.0,,50.0,0.5
2002-10-14,TIMESGTY,EQ,7.0,6.5,6.5,6.5,6.5,6.5,6.5,100,65000000.0,,100.0,1.0
2002-10-16,TIMESGTY,EQ,6.5,5.7,5.7,5.6,5.6,5.6,5.65,100,56500000.0,,100.0,1.0
2002-10-21,TIMESGTY,EQ,5.6,6.75,6.75,6.75,6.75,6.75,6.75,1,675000.0,,0.0,0.0
2002-10-23,TIMESGTY,EQ,6.75,5.55,6.4,5.5,5.5,5.55,6.02,181,108955000.0,,133.0,0.7348
2002-10-24,TIMESGTY,EQ,5.55,5.55,5.55,5.5,5.5,5.5,5.5,1100,605500000.0,,1100.0,1.0
2002-10-29,TIMESGTY,EQ,5.5,4.5,6.1,4.5,6.1,6.1,5.81,1250,726375000.0,,1225.0,0.98
2002-10-30,TIMESGTY,EQ,6.1,6.0,6.0,6.0,6.0,6.0,6.0,100,60000000.0,,100.0,1.0
2002-10-31,TIMESGTY,EQ,6.0,5.5,5.5,5.5,5.5,5.5,5.5,100,55000000.0,,100.0,1.0
2002-11-01,TIMESGTY,EQ,5.5,5.1,5.5,5.05,5.5,5.5,5.16,300,154750000.0,,,
2002-11-08,TIMESGTY,EQ,5.5,4.55,4.6,4.55,4.6,4.6,4.57,180,82300000.0,,180.0,1.0
2002-11-11,TIMESGTY,EQ,4.6,5.5,5.5,5.5,5.5,5.5,5.5,550,302500000.0,,550.0,1.0
2002-11-18,TIMESGTY,EQ,5.5,4.5,4.5,4.5,4.5,4.5,4.5,50,22500000.0,,50.0,1.0
2002-11-20,TIMESGTY,EQ,4.5,4.8,4.8,4.8,4.8,4.8,4.8,70,33600000.0,,50.0,0.7143
2002-11-22,TIMESGTY,EQ,4.8,5.6,5.6,5.6,5.6,5.6,5.6,50,28000000.0,,50.0,1.0
2002-11-25,TIMESGTY,EQ,5.6,4.85,4.85,4.85,4.85,4.85,4.85,200,97000000.0,,200.0,1.0
2002-11-26,TIMESGTY,EQ,4.85,5.8,5.8,5.8,5.8,5.8,5.8,1100,638000000.0,,1100.0,1.0
2002-11-27,TIMESGTY,EQ,5.8,5.0,5.0,5.0,5.0,5.0,5.0,300,150000000.0,,300.0,1.0
2002-11-28,TIMESGTY,EQ,5.0,5.1,6.0,5.1,6.0,6.0,5.96,1100,655500000.0,,1100.0,1.0
2002-11-29,TIMESGTY,EQ,6.0,7.2,7.2,6.1,7.15,6.45,7.11,2200,1565250000.0,,2100.0,0.9545
2002-12-02,TIMESGTY,EQ,6.45,6.3,6.3,6.3,6.3,6.3,6.3,50,31500000.0,,50.0,1.0
2002-12-03,TIMESGTY,EQ,6.3,6.5,6.5,6.5,6.5,6.5,6.5,300,195000000.0,,300.0,1.0
2002-12-04,TIMESGTY,EQ,6.5,5.5,7.7,5.5,7.7,7.3,5.76,112,64510000.0,,61.0,0.5446
2002-12-05,TIMESGTY,EQ,7.3,7.3,7.4,7.3,7.4,7.4,7.38,500,369000000.0,,500.0,1.0
2002-12-06,TIMESGTY,EQ,7.4,8.7,8.7,6.0,8.25,7.3,7.86,165,129675000.0,,105.0,0.6364
2002-12-09,TIMESGTY,EQ,7.3,7.0,7.0,5.85,6.1,6.1,5.93,2400,1422000000.0,,0.0,0.0
2002-12-10,TIMESGTY,EQ,6.1,5.5,6.1,5.4,5.4,5.4,5.61,613,343860000.0,,112.0,0.1827
2002-12-11,TIMESGTY,EQ,5.4,5.1,6.5,5.1,6.5,6.5,6.37,110,70100000.0,,100.0,0.9091
2002-12-12,TIMESGTY,EQ,6.5,5.2,6.5,5.2,5.7,5.7,5.56,860,478200000.0,,250.0,0.2907
2002-12-13,TIMESGTY,EQ,5.7,5.1,5.1,5.1,5.1,5.1,5.1,100,51000000.0,,0.0,0.0
2002-12-16,TIMESGTY,EQ,5.1,5.2,6.0,4.15,5.6,5.6,5.11,4101,2094020000.0,,350.0,0.0853
2002-12-17,TIMESGTY,EQ,5.6,5.3,5.3,5.3,5.3,5.3,5.3,100,53000000.0,,0.0,0.0
2002-12-18,TIMESGTY,EQ,5.3,5.1,5.1,5.1,5.1,5.1,5.1,100,51000000.0,,0.0,0.0
2002-12-23,TIMESGTY,EQ,5.1,5.25,5.25,5.25,5.25,5.25,5.25,50,26250000.0,,50.0,1.0
2002-12-24,TIMESGTY,EQ,5.25,5.1,6.3,4.3,6.0,6.0,5.5,2162,1188820000.0,,1350.0,0.6244
2002-12-26,TIMESGTY,EQ,6.0,5.55,5.55,5.55,5.55,5.55,5.55,100,55500000.0,,0.0,0.0
2002-12-27,TIMESGTY,EQ,5.55,5.55,6.45,5.55,6.0,6.0,5.87,152,89250000.0,,100.0,0.6579
2002-12-30,TIMESGTY,EQ,6.0,5.4,5.4,5.4,5.4,5.4,5.4,50,27000000.0,,0.0,0.0
2002-12-31,TIMESGTY,EQ,5.4,5.6,6.5,5.5,6.05,6.05,6.1,251,153105000.0,,150.0,0.5976
2003-01-01,TIMESGTY,EQ,6.05,6.5,6.75,6.05,6.3,6.3,6.56,498,326900000.0,,448.0,0.8996
2003-01-02,TIMESGTY,EQ,6.3,6.05,6.05,6.05,6.05,6.05,6.05,50,30250000.0,,0.0,0.0
2003-01-03,TIMESGTY,EQ,6.05,5.6,6.5,5.6,6.5,6.35,6.01,600,360500000.0,,400.0,0.6667
2003-01-06,TIMESGTY,EQ,6.35,5.4,5.4,5.4,5.4,5.4,5.4,1,540000.0,,0.0,0.0
