Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-07-16,TI,EQ,156.85,160.1,169.0,158.25,167.0,168.2,165.16,577023,9.53039618e+12,,135411,0.2347
2010-07-19,TI,EQ,168.2,165.05,198.0,164.0,187.25,187.75,183.82,1109041,2.038669207e+13,,372536,0.3359
2010-07-20,TI,EQ,187.75,190.0,190.0,179.4,181.65,181.8,183.49,254173,4.6638723e+12,,71996,0.2833
2010-07-21,TI,EQ,181.8,182.25,188.1,176.7,182.8,180.55,182.48,76997,1.40505246e+12,,30078,0.3906
2010-07-22,TI,EQ,180.55,182.75,197.25,181.0,192.55,193.2,191.46,346429,6.632852985e+12,,90070,0.26
2010-07-23,TI,EQ,193.2,197.15,204.2,193.2,194.5,195.8,199.82,434488,8.681928845e+12,,86136,0.1982
2010-07-26,TI,EQ,195.8,197.4,197.4,184.6,185.7,185.55,189.89,59089,1.12205373e+12,,20956,0.3547
2010-07-27,TI,EQ,185.55,184.5,197.3,184.5,192.0,191.35,193.0,116622,2.250818285e+12,,20128,0.1726
2010-07-28,TI,EQ,191.35,191.35,195.0,188.0,188.6,189.05,192.62,64857,1.249263125e+12,,17674,0.2725
2010-07-29,TI,EQ,189.05,190.7,195.95,188.1,188.4,189.3,191.97,31017,5.95437685e+11,,11959,0.3856
2010-07-30,TI,EQ,189.3,189.5,206.0,189.0,190.0,192.7,199.26,176673,3.520419345e+12,,37827,0.2141
2010-08-02,TI,EQ,192.7,192.8,196.2,160.0,193.0,193.5,193.19,78903,1.52436603e+12,,18673,0.2367
2010-08-03,TI,EQ,193.5,193.1,195.8,189.8,192.0,190.8,193.1,50760,9.8018195e+11,,29478,0.5807
2010-08-04,TI,EQ,190.8,193.15,195.3,190.55,193.5,193.05,193.02,26334,5.0830689e+11,,11283,0.4285
2010-08-05,TI,EQ,193.05,194.9,196.7,189.05,189.5,190.1,192.89,44151,8.51624945e+11,,23498,0.5322
2010-08-06,TI,EQ,190.1,189.6,204.0,189.6,201.6,199.5,199.3,146199,2.91379653e+12,,53345,0.3649
2010-08-09,TI,EQ,199.5,202.8,224.4,195.05,213.8,213.6,215.24,801402,1.724911629e+13,,171003,0.2134
2010-08-10,TI,EQ,213.6,216.0,222.3,212.3,219.95,219.8,218.81,352182,7.70597497e+12,,120027,0.3408
2010-08-11,TI,EQ,219.8,220.7,247.8,218.25,233.0,234.3,233.91,755332,1.7667688655e+13,,170334,0.2255
2010-08-12,TI,EQ,234.3,232.95,246.0,226.0,235.0,233.25,239.04,391129,9.349537175e+12,,83618,0.2138
2010-08-13,TI,EQ,233.25,234.5,236.75,225.0,225.25,226.35,230.19,150192,3.457311175e+12,,46018,0.3064
2010-08-16,TI,EQ,226.35,227.0,230.3,215.5,216.6,217.65,221.23,97518,2.15739386e+12,,38780,0.3977
2010-08-17,TI,EQ,217.65,220.2,221.05,207.2,208.15,208.65,211.69,263356,5.57502605e+12,,104155,0.3955
2010-08-18,TI,EQ,208.65,210.85,215.0,206.4,208.0,207.6,209.81,100834,2.115595985e+12,,43881,0.4352
2010-08-19,TI,EQ,207.6,209.4,213.0,205.2,211.35,210.3,210.32,70431,1.481285605e+12,,23639,0.3356
2010-08-20,TI,EQ,210.3,210.95,223.7,208.0,219.0,218.65,217.53,209048,4.547427125e+12,,57464,0.2749
2010-08-23,TI,EQ,218.65,220.0,225.0,216.6,218.6,217.8,219.73,60146,1.3215996e+12,,25719,0.4276
2010-08-24,TI,EQ,217.8,216.6,219.35,209.55,211.0,210.9,212.71,52920,1.12568293e+12,,28322,0.5352
2010-08-25,TI,EQ,210.9,211.1,215.0,207.0,209.0,208.6,210.68,44512,9.3776243e+11,,20933,0.4703
2010-08-26,TI,EQ,208.6,210.8,219.8,209.2,218.1,218.5,215.9,102749,2.218303575e+12,,44816,0.4362
2010-08-27,TI,EQ,218.5,219.15,226.85,214.95,217.5,216.5,221.44,155527,3.444017335e+12,,34671,0.2229
2010-08-30,TI,EQ,216.5,220.8,221.75,211.0,212.55,212.3,215.01,49265,1.059269245e+12,,29770,0.6043
2010-08-31,TI,EQ,212.3,211.0,216.75,209.0,216.0,214.3,212.17,39767,8.4373145e+11,,16803,0.4225
2010-09-01,TI,EQ,214.3,216.45,221.7,214.9,217.6,218.05,218.67,75242,1.645298115e+12,,22761,0.3025
2010-09-02,TI,EQ,218.05,218.6,233.0,217.15,228.5,229.8,225.37,271750,6.12434135e+12,,70555,0.2596
2010-09-03,TI,EQ,229.8,233.0,235.4,185.0,227.9,228.85,230.37,134895,3.107555795e+12,,42822,0.3174
2010-09-06,TI,EQ,228.85,230.0,237.75,229.0,230.55,231.1,233.63,105354,2.461371935e+12,,40620,0.3856
2010-09-07,TI,EQ,231.1,232.1,232.5,219.35,220.0,220.8,224.13,53124,1.19064514e+12,,30546,0.575
2010-09-08,TI,EQ,220.8,221.5,226.75,218.85,224.9,223.1,223.38,34624,7.73438345e+11,,9080,0.2622
2010-09-09,TI,EQ,223.1,223.25,236.0,223.25,232.7,232.2,231.57,124850,2.891116985e+12,,53823,0.4311
2010-09-13,TI,EQ,232.2,234.65,236.0,230.5,231.0,231.35,233.78,127812,2.9880372e+12,,96600,0.7558
2010-09-14,TI,EQ,231.35,233.5,233.9,226.5,232.8,229.85,229.7,56238,1.291781235e+12,,27285,0.4852
2010-09-15,TI,EQ,229.85,232.4,233.85,226.35,228.0,227.5,229.79,30573,7.0253399e+11,,17363,0.5679
2010-09-16,TI,EQ,227.5,225.0,231.5,225.0,226.0,225.45,227.98,22481,5.12511e+11,,11062,0.4921
2010-09-17,TI,EQ,225.45,227.7,230.0,224.0,224.6,225.25,227.59,123253,2.805114255e+12,,107258,0.8702
2010-09-20,TI,EQ,225.25,227.9,256.7,225.8,247.3,245.65,243.92,434837,1.060652587e+13,,122337,0.2813
2010-09-21,TI,EQ,245.65,247.0,254.2,233.0,245.45,245.1,248.11,385617,9.567392465e+12,,84993,0.2204
2010-09-22,TI,EQ,245.1,246.0,259.9,245.2,254.6,255.0,253.12,283629,7.1792005e+12,,74009,0.2609
2010-09-23,TI,EQ,255.0,257.55,266.4,251.0,262.8,261.25,261.31,476205,1.244388718e+13,,140241,0.2945
2010-09-24,TI,EQ,261.25,263.0,271.0,262.0,265.0,266.3,266.77,173489,4.628239775e+12,,57380,0.3307
2010-09-27,TI,EQ,266.3,269.25,273.0,248.35,251.5,251.0,260.49,312835,8.14909084e+12,,133912,0.4281
2010-09-28,TI,EQ,251.0,85.15,91.0,85.1,85.95,85.75,86.82,305323,2.650757365e+12,,132965,0.4355
2010-09-29,TI,EQ,85.75,86.85,87.15,84.0,85.0,84.5,85.61,55340,4.73780505e+11,,34107,0.6163
2010-09-30,TI,EQ,84.5,85.4,85.5,83.0,85.0,84.6,84.51,31576,2.66852055e+11,,15194,0.4812
2010-10-01,TI,EQ,84.6,84.0,86.2,83.0,84.3,84.15,84.5,105251,8.8932165e+11,,45718,0.4344
2010-10-04,TI,EQ,84.15,84.3,87.0,78.5,79.4,78.85,81.86,226345,1.85284152e+12,,132633,0.586
2010-10-05,TI,EQ,78.85,78.85,84.25,77.6,81.5,81.3,81.94,167692,1.374082185e+12,,60273,0.3594
2010-10-06,TI,EQ,81.3,85.35,85.35,80.75,81.0,81.25,82.17,91482,7.51679845e+11,,54625,0.5971
2010-10-07,TI,EQ,81.25,81.9,81.9,78.55,79.2,79.15,79.7,138634,1.10492536e+12,,105448,0.7606
2010-10-08,TI,EQ,79.15,80.0,80.4,77.4,78.3,77.85,78.31,72454,5.6737917e+11,,43437,0.5995
2010-10-11,TI,EQ,77.85,79.0,79.0,75.1,77.0,76.9,76.48,121399,9.2844497e+11,,88004,0.7249
2010-10-12,TI,EQ,76.9,76.9,79.4,75.55,76.9,76.8,77.25,105926,8.1826647e+11,,67178,0.6342
