Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2011-08-26,TREEHOUSE,EQ,135.0,132.0,161.5,105.15,119.3,117.6,141.54,29345647,4.15368888555e+14,432999,2513968,0.0857,117.6,1.0
2011-08-29,TREEHOUSE,EQ,117.6,120.0,128.0,112.6,124.0,124.05,121.03,6615344,8.006375689e+13,124153,155559,0.0235,124.05,1.0
2011-08-30,TREEHOUSE,EQ,124.05,125.0,131.5,122.6,126.1,127.25,127.25,3891529,4.951834346e+13,68465,168810,0.0434,127.25,1.0
2011-09-02,TREEHOUSE,EQ,127.25,124.8,128.5,123.1,124.8,125.05,125.39,966547,1.2119516325e+13,14662,165577,0.1713,125.05,1.0
2011-09-05,TREEHOUSE,EQ,125.05,123.8,124.0,110.6,120.1,119.5,119.9,485221,5.817922605e+12,7672,83288,0.1716,119.5,1.0
2011-09-06,TREEHOUSE,EQ,119.5,119.0,128.9,117.2,126.9,126.15,125.08,848578,1.061371692e+13,15594,87125,0.1027,126.15,1.0
2011-09-07,TREEHOUSE,EQ,126.15,126.3,129.6,125.65,126.75,127.0,127.77,273075,3.48895841e+12,3965,64101,0.2347,127.0,1.0
2011-09-08,TREEHOUSE,EQ,127.0,127.5,127.7,121.75,122.5,124.3,124.94,177894,2.22263806e+12,2912,42494,0.2389,124.3,1.0
2011-09-09,TREEHOUSE,EQ,124.3,123.5,128.1,121.7,122.5,123.1,125.23,130354,1.632411025e+12,2094,39074,0.2998,123.1,1.0
2011-09-12,TREEHOUSE,EQ,123.1,123.45,125.25,120.4,122.0,122.55,123.13,101052,1.244263565e+12,1664,40936,0.4051,122.55,1.0
2011-09-13,TREEHOUSE,EQ,122.55,123.0,126.05,123.0,124.0,124.05,124.32,86641,1.077092315e+12,1181,32378,0.3737,124.05,1.0
2011-09-14,TREEHOUSE,EQ,124.05,125.0,137.8,124.5,136.95,134.75,131.81,428782,5.651787475e+12,5924,113356,0.2644,134.75,1.0
2011-09-15,TREEHOUSE,EQ,134.75,136.2,142.5,136.0,138.1,137.45,139.0,475037,6.602912425e+12,8401,145688,0.3067,137.45,1.0
2011-09-16,TREEHOUSE,EQ,137.45,138.5,144.4,135.0,138.0,138.55,140.42,360222,5.058352375e+12,5787,80955,0.2247,138.55,1.0
