Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-12-28,TRIL,EQ,465.0,790.0,790.0,682.3,726.1,729.25,727.86,3721559,2.70878990605e+14,,715639,0.1923
2007-12-31,TRIL,EQ,729.25,738.25,875.1,730.0,875.1,875.1,827.15,2772796,2.29351787735e+14,,397210,0.1433
2008-01-01,TRIL,EQ,875.1,900.0,939.0,870.1,884.0,886.35,906.7,1875021,1.70007778175e+14,,338722,0.1806
2008-01-02,TRIL,EQ,886.35,875.0,891.0,838.0,842.0,845.7,860.54,635814,5.4714366435e+13,,150233,0.2363
2008-01-03,TRIL,EQ,845.7,855.0,855.0,800.0,800.95,802.15,822.66,380649,3.131462114e+13,,138413,0.3636
2008-01-04,TRIL,EQ,802.15,819.15,858.0,776.4,792.9,790.3,818.0,396002,3.2392977595e+13,,131656,0.3325
2008-01-07,TRIL,EQ,790.3,780.0,824.75,770.0,773.8,775.95,793.51,232498,1.844889992e+13,,74862,0.322
2008-01-08,TRIL,EQ,775.95,789.0,805.9,745.05,753.0,760.5,769.73,187794,1.445498348e+13,,68919,0.367
2008-01-09,TRIL,EQ,760.5,762.3,762.3,725.0,727.0,729.0,737.81,159900,1.1797541825e+13,,47595,0.2977
2008-01-10,TRIL,EQ,729.0,741.0,777.0,713.0,718.0,717.25,745.09,179129,1.33467867e+13,,43132,0.2408
2008-01-11,TRIL,EQ,717.25,721.0,729.9,702.3,704.0,708.0,710.01,93935,6.669466475e+12,,34164,0.3637
2008-01-14,TRIL,EQ,708.0,710.0,737.0,704.9,717.0,716.95,721.26,87489,6.310230025e+12,,31777,0.3632
2008-01-15,TRIL,EQ,716.95,728.0,737.0,710.1,711.0,715.4,723.91,72539,5.251156295e+12,,30182,0.4161
2008-01-16,TRIL,EQ,715.4,705.0,712.0,666.0,688.0,686.0,693.06,77307,5.357812985e+12,,31466,0.407
2008-01-17,TRIL,EQ,686.0,682.05,728.0,680.0,700.8,699.9,707.6,112718,7.975906805e+12,,31710,0.2813
2008-01-18,TRIL,EQ,699.9,610.05,713.95,610.05,659.85,664.9,689.04,54985,3.78866388e+12,,22411,0.4076
2008-01-21,TRIL,EQ,664.9,668.0,672.4,553.0,603.0,597.6,615.35,75631,4.653968305e+12,,43419,0.5741
2008-01-22,TRIL,EQ,597.6,545.55,545.55,478.1,515.0,507.05,497.19,74160,3.68712795e+12,,61233,0.8257
2008-01-23,TRIL,EQ,507.05,558.0,608.5,460.0,608.5,598.65,578.88,58761,3.401559895e+12,,41031,0.6983
2008-01-24,TRIL,EQ,598.65,633.0,635.0,526.0,540.5,539.35,554.29,72679,4.02850072e+12,,49508,0.6812
2008-01-25,TRIL,EQ,539.35,560.0,596.0,555.1,580.0,579.25,568.17,26748,1.51975226e+12,,12207,0.4564
2008-01-28,TRIL,EQ,579.25,560.0,611.65,555.0,588.3,595.6,578.77,30919,1.78950392e+12,,13636,0.441
2008-01-29,TRIL,EQ,595.6,600.0,619.0,585.0,606.5,601.0,603.68,26015,1.57047016e+12,,12827,0.4931
2008-01-30,TRIL,EQ,601.0,609.9,609.9,575.0,590.5,585.1,584.16,19411,1.133919305e+12,,10946,0.5639
2008-01-31,TRIL,EQ,585.1,581.0,599.8,562.0,585.0,576.7,577.01,13542,7.81388235e+11,,7553,0.5577
2008-02-01,TRIL,EQ,576.7,580.0,586.0,545.0,559.0,559.0,562.92,18391,1.035273935e+12,,9986,0.543
2008-02-04,TRIL,EQ,559.0,565.1,594.9,530.0,575.0,572.0,577.8,37134,2.14560092e+12,,11427,0.3077
2008-02-05,TRIL,EQ,572.0,580.0,588.0,570.0,585.0,583.9,581.09,33233,1.93113578e+12,,16755,0.5042
2008-02-06,TRIL,EQ,583.9,535.5,597.9,535.5,584.9,583.1,578.55,31311,1.81149069e+12,,15454,0.4936
2008-02-07,TRIL,EQ,583.1,574.0,594.95,570.0,575.0,570.45,575.92,22047,1.26973905e+12,,14372,0.6519
2008-02-08,TRIL,EQ,570.45,579.9,579.9,535.0,536.0,540.9,547.2,25968,1.42097626e+12,,17816,0.6861
2008-02-11,TRIL,EQ,540.9,540.0,540.0,472.5,490.0,499.8,503.91,28677,1.44504888e+12,,15697,0.5474
2008-02-12,TRIL,EQ,499.8,483.0,500.0,465.0,479.95,478.35,473.53,24768,1.17284529e+12,,14506,0.5857
2008-02-13,TRIL,EQ,478.35,488.9,498.0,462.1,470.0,468.3,471.31,37771,1.780193035e+12,,23854,0.6315
2008-02-14,TRIL,EQ,468.3,489.9,510.0,475.0,508.0,505.1,498.24,24105,1.200996615e+12,,13874,0.5756
2008-02-15,TRIL,EQ,505.1,480.2,523.7,480.2,515.0,516.75,509.37,24943,1.270511205e+12,,9532,0.3822
2008-02-18,TRIL,EQ,516.75,524.0,600.0,518.0,550.0,550.2,538.22,18851,1.014593975e+12,,10096,0.5356
2008-02-19,TRIL,EQ,550.2,551.0,570.0,538.0,543.0,546.75,554.16,14983,8.3030182e+11,,6927,0.4623
2008-02-20,TRIL,EQ,546.75,530.5,542.0,525.0,527.55,527.55,530.65,8148,4.323773e+11,,4137,0.5077
2008-02-21,TRIL,EQ,527.55,537.0,540.0,510.0,516.05,515.45,523.24,7504,3.9264122e+11,,3258,0.4342
2008-02-22,TRIL,EQ,515.45,505.0,512.0,500.1,500.1,505.9,505.67,11069,5.59726185e+11,,5513,0.4981
2008-02-25,TRIL,EQ,505.9,508.0,508.0,481.05,498.0,494.4,489.62,10475,5.1288108e+11,,5884,0.5617
2008-02-26,TRIL,EQ,494.4,495.9,508.7,486.0,495.0,493.05,494.6,18494,9.1472049e+11,,14829,0.8018
2008-02-27,TRIL,EQ,493.05,505.0,511.7,496.1,500.1,500.35,505.18,13323,6.73044905e+11,,7242,0.5436
2008-02-28,TRIL,EQ,500.35,487.5,505.0,487.3,492.0,492.55,493.62,4926,2.4315481e+11,,3134,0.6362
2008-02-29,TRIL,EQ,492.55,493.1,500.0,486.25,490.5,489.15,493.78,6114,3.0189604e+11,,2688,0.4396
2008-03-03,TRIL,EQ,489.15,461.0,486.9,444.6,457.25,458.0,468.92,9536,4.47166855e+11,,6623,0.6945
2008-03-04,TRIL,EQ,458.0,452.05,467.9,437.0,450.0,449.0,449.45,8475,3.80911645e+11,,4086,0.4821
2008-03-05,TRIL,EQ,449.0,455.0,460.0,411.4,435.0,437.6,440.76,8442,3.7208705e+11,,5834,0.6911
2008-03-07,TRIL,EQ,437.6,435.0,442.0,400.0,400.0,400.9,404.51,15647,6.329408e+11,,10204,0.6521
2008-03-10,TRIL,EQ,400.9,400.0,400.0,326.65,394.0,387.55,376.69,12592,4.7433397e+11,,6370,0.5059
2008-03-11,TRIL,EQ,387.55,390.0,448.2,375.0,427.0,431.5,422.16,21179,8.94100495e+11,,7470,0.3527
2008-03-12,TRIL,EQ,431.5,455.0,464.0,435.0,438.3,439.05,442.36,80969,3.581714945e+12,,69994,0.8645
2008-03-13,TRIL,EQ,439.05,412.0,421.15,381.05,411.5,412.45,413.81,17005,7.0368395e+11,,13216,0.7772
