Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-02,TTKPRESTIG,EQ,60.0,60.0,61.0,60.0,,61.0,60.29,700,4220000000.0,,,,61.0,1.0
1996-01-03,TTKPRESTIG,EQ,61.0,62.0,62.0,62.0,,62.0,62.0,900,5580000000.0,,,,62.0,1.0
1996-01-04,TTKPRESTIG,EQ,62.0,62.0,62.0,62.0,,62.0,62.0,200,1240000000.0,,,,62.0,1.0
1996-01-05,TTKPRESTIG,EQ,62.0,62.0,62.0,62.0,,62.0,62.0,300,1860000000.0,,,,62.0,1.0
1996-01-08,TTKPRESTIG,EQ,62.0,62.5,62.55,62.5,,62.55,62.54,600,3752500000.0,,,,62.55,1.0
1996-01-09,TTKPRESTIG,EQ,62.55,62.55,63.0,61.5,,63.0,62.99,56100,3.53351e+11,,,,63.0,1.0
1996-01-10,TTKPRESTIG,EQ,63.0,61.5,62.0,61.5,,62.0,61.94,900,5575000000.0,,,,62.0,1.0
1996-01-11,TTKPRESTIG,EQ,62.0,61.0,61.25,61.0,,61.0,61.07,500,3053500000.0,,,,61.0,1.0
1996-01-12,TTKPRESTIG,EQ,61.0,61.0,63.05,61.0,,63.05,62.77,2500,15693000000.0,,,,63.05,1.0
1996-01-15,TTKPRESTIG,EQ,63.05,63.0,63.0,63.0,,63.0,63.0,700,4410000000.0,,,,63.0,1.0
1996-01-16,TTKPRESTIG,EQ,63.0,63.0,63.5,63.0,,63.5,63.33,300,1900000000.0,,,,63.5,1.0
1996-01-17,TTKPRESTIG,EQ,63.5,62.0,62.0,62.0,,62.0,62.0,300,1860000000.0,,,,62.0,1.0
1996-01-18,TTKPRESTIG,EQ,62.0,62.0,62.0,62.0,,62.0,62.0,700,4340000000.0,,,,62.0,1.0
1996-01-19,TTKPRESTIG,EQ,62.0,62.0,63.0,61.0,,63.0,61.95,500,3097500000.0,,,,63.0,1.0
1996-01-22,TTKPRESTIG,EQ,63.0,63.0,62.05,61.0,,62.05,61.7,300,1851000000.0,,,,62.05,1.0
1996-01-23,TTKPRESTIG,EQ,62.05,61.0,62.75,61.0,,62.0,62.14,900,5592500000.0,,,,62.0,1.0
1996-01-24,TTKPRESTIG,EQ,62.0,62.0,62.05,62.05,,62.05,62.05,200,1241000000.0,,,,62.05,1.0
1996-01-25,TTKPRESTIG,EQ,62.05,62.0,64.0,62.0,,64.0,63.0,200,1260000000.0,,,,64.0,1.0
1996-01-29,TTKPRESTIG,EQ,64.0,64.0,63.15,63.0,,63.0,63.03,500,3151500000.0,,,,63.0,1.0
1996-01-30,TTKPRESTIG,EQ,63.0,63.0,63.0,63.0,,63.0,63.0,100,630000000.0,,,,63.0,1.0
1996-01-31,TTKPRESTIG,EQ,63.0,63.0,63.0,63.0,,63.0,63.0,100,630000000.0,,,,63.0,1.0
1996-02-01,TTKPRESTIG,EQ,63.0,63.0,63.0,63.0,,63.0,63.0,200,1260000000.0,,,,63.0,1.0
1996-02-02,TTKPRESTIG,EQ,63.0,63.0,65.0,63.0,,64.9,64.5,500,3225000000.0,,,,64.9,1.0
1996-02-05,TTKPRESTIG,EQ,64.9,64.9,65.5,63.0,,64.5,64.67,600,3880000000.0,,,,64.5,1.0
1996-02-06,TTKPRESTIG,EQ,64.5,64.5,65.05,64.25,,64.25,64.9,600,3894000000.0,,,,64.25,1.0
1996-02-07,TTKPRESTIG,EQ,64.25,64.0,65.0,64.0,,65.0,64.97,7200,46780000000.0,,,,65.0,1.0
1996-02-08,TTKPRESTIG,EQ,65.0,65.0,69.0,64.0,,68.45,67.44,800,5395000000.0,,,,68.45,1.0
1996-02-09,TTKPRESTIG,EQ,68.45,69.0,70.0,69.0,,69.05,69.44,700,4861000000.0,,,,69.05,1.0
1996-02-12,TTKPRESTIG,EQ,69.05,68.0,71.0,67.0,,71.0,70.3,2700,18980000000.0,,,,71.0,1.0
1996-02-13,TTKPRESTIG,EQ,71.0,70.0,70.05,70.0,,70.0,70.01,600,4200500000.0,,,,70.0,1.0
1996-02-14,TTKPRESTIG,EQ,70.0,69.0,71.0,69.0,,71.0,70.25,400,2810000000.0,,,,71.0,1.0
1996-02-15,TTKPRESTIG,EQ,71.0,70.0,72.0,70.0,,72.0,70.25,800,5620000000.0,,,,72.0,1.0
1996-02-16,TTKPRESTIG,EQ,72.0,68.05,70.5,68.05,,70.0,69.26,900,6233000000.0,,,,70.0,1.0
1996-02-19,TTKPRESTIG,EQ,70.0,70.0,71.0,70.0,,71.0,70.2,500,3510000000.0,,,,71.0,1.0
1996-02-20,TTKPRESTIG,EQ,71.0,70.0,71.9,70.0,,71.9,70.26,1200,8431000000.0,,,,71.9,1.0
1996-02-22,TTKPRESTIG,EQ,71.9,69.9,71.0,69.5,,71.0,70.39,3200,22524000000.0,,,,71.0,1.0
1996-02-23,TTKPRESTIG,EQ,71.0,70.0,70.0,69.25,,70.0,69.81,400,2792500000.0,,,,70.0,1.0
1996-02-26,TTKPRESTIG,EQ,70.0,70.0,73.0,70.0,,73.0,71.67,900,6450500000.0,,,,73.0,1.0
1996-02-27,TTKPRESTIG,EQ,73.0,73.0,75.0,72.0,,74.0,73.59,1700,12509500000.0,,,,74.0,1.0
1996-02-28,TTKPRESTIG,EQ,74.0,74.0,76.05,73.0,,76.05,75.33,2400,18078500000.0,,,,76.05,1.0
1996-02-29,TTKPRESTIG,EQ,76.05,74.0,75.0,74.0,,74.0,74.22,900,6680000000.0,,,,74.0,1.0
1996-03-01,TTKPRESTIG,EQ,74.0,74.0,75.0,74.0,,74.0,74.3,2300,17090000000.0,,,,74.0,1.0
1996-03-04,TTKPRESTIG,EQ,74.0,74.0,75.0,73.0,,75.0,74.0,1200,8879500000.0,,,,75.0,1.0
1996-03-06,TTKPRESTIG,EQ,75.0,75.0,74.5,73.0,,74.5,73.99,400,2959500000.0,,,,74.5,1.0
1996-03-07,TTKPRESTIG,EQ,74.5,74.5,75.0,73.0,,75.0,74.25,400,2970000000.0,,,,75.0,1.0
1996-03-08,TTKPRESTIG,EQ,75.0,75.0,75.0,73.25,,73.25,74.25,1000,7425000000.0,,,,73.25,1.0
1996-03-11,TTKPRESTIG,EQ,73.25,74.0,75.0,73.0,,74.0,74.5,800,5960000000.0,,,,74.0,1.0
1996-03-12,TTKPRESTIG,EQ,74.0,74.0,75.0,73.0,,74.5,74.43,2300,17118500000.0,,,,74.5,1.0
1996-03-13,TTKPRESTIG,EQ,74.5,74.5,74.5,73.0,,74.5,73.95,1000,7395000000.0,,,,74.5,1.0
1996-03-14,TTKPRESTIG,EQ,74.5,74.5,74.25,74.0,,74.0,74.13,200,1482500000.0,,,,74.0,1.0
1996-03-15,TTKPRESTIG,EQ,74.0,74.0,76.05,74.0,,76.05,75.54,400,3021500000.0,,,,76.05,1.0
1996-03-18,TTKPRESTIG,EQ,76.05,76.05,76.05,75.05,,76.05,75.13,1300,9766500000.0,,,,76.05,1.0
1996-03-19,TTKPRESTIG,EQ,76.05,76.05,79.35,78.0,,79.35,78.86,600,4731500000.0,,,,79.35,1.0
1996-03-21,TTKPRESTIG,EQ,79.35,79.0,80.0,79.0,,79.05,79.35,300,2380500000.0,,,,79.05,1.0
1996-03-22,TTKPRESTIG,EQ,79.05,79.05,82.0,81.0,,81.0,81.35,2600,21150500000.0,,,,81.0,1.0
1996-03-25,TTKPRESTIG,EQ,81.0,81.0,81.5,80.0,,80.5,80.56,700,5639500000.0,,,,80.5,1.0
1996-03-26,TTKPRESTIG,EQ,80.5,80.5,81.0,80.05,,80.05,80.31,700,5622000000.0,,,,80.05,1.0
1996-03-27,TTKPRESTIG,EQ,80.05,80.05,83.0,80.0,,83.0,81.47,800,6517500000.0,,,,83.0,1.0
1996-03-28,TTKPRESTIG,EQ,83.0,80.45,83.0,80.45,,83.0,82.19,500,4109500000.0,,,,83.0,1.0
1996-03-29,TTKPRESTIG,EQ,83.0,83.0,90.0,80.0,,84.05,84.02,1000,8402000000.0,,,,84.05,1.0
1996-04-01,TTKPRESTIG,EQ,84.05,83.5,83.5,83.5,,83.5,83.5,100,835000000.0,,,,83.5,1.0
1996-04-02,TTKPRESTIG,EQ,83.5,85.0,85.0,83.5,,83.5,83.75,800,6700000000.0,,,,83.5,1.0
1996-04-03,TTKPRESTIG,EQ,83.5,83.5,86.5,84.15,,84.15,84.87,1400,11881500000.0,,,,84.15,1.0
1996-04-04,TTKPRESTIG,EQ,84.15,82.5,84.0,82.5,,83.55,83.09,3100,25758000000.0,,,,83.55,1.0
1996-04-08,TTKPRESTIG,EQ,83.55,83.0,85.0,83.0,,85.0,84.14,700,5890000000.0,,,,85.0,1.0
1996-04-09,TTKPRESTIG,EQ,85.0,85.0,86.0,84.55,,85.35,85.32,2500,21330500000.0,,,,85.35,1.0
1996-04-10,TTKPRESTIG,EQ,85.35,85.35,86.0,84.0,,86.0,85.27,1000,8526500000.0,,,,86.0,1.0
1996-04-11,TTKPRESTIG,EQ,86.0,86.0,85.0,83.8,,84.0,84.34,1000,8433500000.0,,,,84.0,1.0
1996-04-12,TTKPRESTIG,EQ,84.0,84.0,85.7,84.0,,85.7,85.05,1500,12757500000.0,,,,85.7,1.0
1996-04-15,TTKPRESTIG,EQ,85.7,85.7,85.7,84.05,,85.7,85.4,1400,11956500000.0,,,,85.7,1.0
1996-04-16,TTKPRESTIG,EQ,85.7,85.7,87.0,85.0,,85.45,85.34,2200,18775500000.0,,,,85.45,1.0
1996-04-17,TTKPRESTIG,EQ,85.45,85.45,88.4,85.5,,88.05,86.4,3300,28510500000.0,,,,88.05,1.0
1996-04-18,TTKPRESTIG,EQ,88.05,88.05,88.45,86.05,,87.85,87.22,2300,20061000000.0,,,,87.85,1.0
1996-04-19,TTKPRESTIG,EQ,87.85,87.85,89.0,85.35,,88.0,87.54,3900,34141000000.0,,,,88.0,1.0
1996-04-22,TTKPRESTIG,EQ,88.0,88.0,87.5,84.15,,84.7,86.51,6200,53636000000.0,,,,84.7,1.0
1996-04-23,TTKPRESTIG,EQ,84.7,84.7,84.75,81.5,,83.0,82.3,1400,11521500000.0,,,,83.0,1.0
1996-04-24,TTKPRESTIG,EQ,83.0,81.75,81.75,80.25,,80.25,80.77,300,2423000000.0,,,,80.25,1.0
1996-04-25,TTKPRESTIG,EQ,80.25,80.25,80.25,80.25,,80.25,80.25,500,4012500000.0,,,,80.25,1.0
1996-04-26,TTKPRESTIG,EQ,80.25,78.0,78.0,75.4,,76.0,76.19,700,5333000000.0,,,,76.0,1.0
1996-04-29,TTKPRESTIG,EQ,76.0,76.0,75.0,74.15,,75.0,74.86,600,4491500000.0,,,,75.0,1.0
1996-04-30,TTKPRESTIG,EQ,75.0,74.3,74.3,74.25,,74.25,74.27,300,2228000000.0,,,,74.25,1.0
1996-05-01,TTKPRESTIG,EQ,74.25,73.0,73.0,71.05,,72.75,72.29,700,5060500000.0,,,,72.75,1.0
1996-05-02,TTKPRESTIG,EQ,72.75,71.4,72.25,71.05,,71.05,71.55,600,4293000000.0,,,,71.05,1.0
1996-05-03,TTKPRESTIG,EQ,71.05,71.05,71.6,71.0,,71.6,71.22,600,4273000000.0,,,,71.6,1.0
1996-05-06,TTKPRESTIG,EQ,71.6,70.0,70.0,68.05,,70.0,69.66,1300,9055500000.0,,,,70.0,1.0
1996-05-07,TTKPRESTIG,EQ,70.0,70.0,68.5,67.25,,68.5,68.32,1400,9565000000.0,,,,68.5,1.0
1996-05-08,TTKPRESTIG,EQ,68.5,68.5,73.5,68.5,,73.5,71.0,200,1420000000.0,,,,73.5,1.0
1996-05-09,TTKPRESTIG,EQ,73.5,70.0,71.0,68.0,,68.0,69.67,300,2090000000.0,,,,68.0,1.0
1996-05-10,TTKPRESTIG,EQ,68.0,68.0,68.0,68.0,,68.0,68.0,200,1360000000.0,,,,68.0,1.0
1996-05-13,TTKPRESTIG,EQ,68.0,67.5,69.0,67.5,,69.0,68.0,300,2040000000.0,,,,69.0,1.0
1996-05-14,TTKPRESTIG,EQ,69.0,69.0,72.0,70.05,,72.0,71.0,1500,10650500000.0,,,,72.0,1.0
1996-05-16,TTKPRESTIG,EQ,72.0,72.0,77.5,73.0,,77.5,76.56,2300,17609500000.0,,,,77.5,1.0
1996-05-17,TTKPRESTIG,EQ,77.5,74.25,76.0,74.25,,76.0,74.83,300,2245000000.0,,,,76.0,1.0
1996-05-21,TTKPRESTIG,EQ,76.0,76.0,74.0,70.0,,72.55,72.41,800,5792500000.0,,,,72.55,1.0
1996-05-22,TTKPRESTIG,EQ,72.55,72.55,76.0,72.6,,74.05,74.69,1300,9709500000.0,,,,74.05,1.0
1996-05-23,TTKPRESTIG,EQ,74.05,74.05,76.45,74.0,,76.0,75.75,1100,8333000000.0,,,,76.0,1.0
1996-05-24,TTKPRESTIG,EQ,76.0,76.0,77.4,75.25,,75.25,76.11,400,3044500000.0,,,,75.25,1.0
1996-05-27,TTKPRESTIG,EQ,75.25,72.5,72.5,72.1,,72.1,72.23,300,2167000000.0,,,,72.1,1.0
1996-05-28,TTKPRESTIG,EQ,72.1,70.0,74.0,70.0,,73.55,73.1,1100,8041000000.0,,,,73.55,1.0
1996-05-29,TTKPRESTIG,EQ,73.55,74.0,75.0,74.0,,75.0,74.4,500,3720000000.0,,,,75.0,1.0
1996-05-30,TTKPRESTIG,EQ,75.0,75.0,76.0,74.5,,76.0,74.93,1200,8991000000.0,,,,76.0,1.0
1996-05-31,TTKPRESTIG,EQ,76.0,73.65,76.0,73.65,,76.0,75.07,500,3753500000.0,,,,76.0,1.0
1996-06-03,TTKPRESTIG,EQ,76.0,76.0,76.5,74.2,,74.2,75.68,400,3027000000.0,,,,74.2,1.0
