Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2008-04-21,TWL,EQ,540.0,540.0,734.7,540.0,720.0,706.85,685.89,5384541,3.69321852865e+14,,828521,0.1539
2008-04-22,TWL,EQ,706.85,720.0,734.0,661.6,673.0,671.05,697.2,1385036,9.6565282805e+13,,127443,0.092
2008-04-23,TWL,EQ,671.05,678.75,719.0,646.1,709.5,710.5,686.57,1278948,8.780915929e+13,,88026,0.0688
2008-04-24,TWL,EQ,710.5,718.0,722.85,675.55,678.6,685.75,702.16,629707,4.421579327e+13,,50699,0.0805
2008-04-25,TWL,EQ,685.75,690.4,694.5,665.6,669.0,671.85,678.92,200497,1.3612071135e+13,,20098,0.1002
2008-04-28,TWL,EQ,671.85,672.0,693.9,670.2,673.0,677.6,682.53,156750,1.069862035e+13,,23010,0.1468
2008-04-29,TWL,EQ,677.6,665.0,717.5,665.0,695.1,700.45,699.44,302031,2.112512624e+13,,47677,0.1579
2008-04-30,TWL,EQ,700.45,705.0,840.55,702.1,840.55,840.55,786.47,1871113,1.47157718775e+14,,213282,0.114
2008-05-02,TWL,EQ,840.55,856.3,940.0,762.0,782.0,776.75,816.45,2123887,1.7340447876e+14,,192686,0.0907
2008-05-05,TWL,EQ,776.75,789.7,862.0,756.6,834.8,844.6,822.0,2182776,1.7942371268e+14,,132169,0.0606
2008-05-06,TWL,EQ,844.6,830.0,864.0,807.6,838.55,832.25,837.31,2544401,2.13044873475e+14,,89953,0.0354
2008-05-07,TWL,EQ,832.25,828.0,846.5,813.0,815.0,820.15,829.39,946253,7.848093527e+13,,42165,0.0446
2008-05-08,TWL,EQ,820.15,815.0,831.7,781.0,790.0,793.05,804.43,631950,5.083595059e+13,,35754,0.0566
2008-05-09,TWL,EQ,793.05,789.9,805.0,746.8,747.0,760.05,781.47,399152,3.1192417165e+13,,31868,0.0798
2008-05-12,TWL,EQ,760.05,740.0,757.0,675.0,732.25,721.3,707.67,968877,6.8564184455e+13,,65075,0.0672
2008-05-13,TWL,EQ,721.3,743.0,811.0,731.0,765.9,768.9,785.39,1469224,1.15391546025e+14,,54177,0.0369
2008-05-14,TWL,EQ,768.9,765.0,801.4,750.0,780.25,777.3,781.91,763097,5.966768186e+13,,30951,0.0406
