Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,UBENGG,EQ,31.25,31.25,31.25,31.25,,31.25,31.25,250,781250000.0,,,
1996-01-02,UBENGG,EQ,31.25,30.5,31.6,30.5,,31.5,31.28,400,1251000000.0,,,
1996-01-03,UBENGG,EQ,31.5,31.5,31.5,30.25,,30.25,31.04,350,1086250000.0,,,
1996-01-04,UBENGG,EQ,30.25,30.25,30.05,30.0,,30.05,30.03,100,300250000.0,,,
1996-01-05,UBENGG,EQ,30.05,30.05,30.0,30.0,,30.0,30.0,50,150000000.0,,,
1996-01-09,UBENGG,EQ,30.0,30.0,30.0,27.0,,27.0,28.25,300,847500000.0,,,
1996-01-10,UBENGG,EQ,27.0,27.0,27.05,27.0,,27.0,27.03,950,2567500000.0,,,
1996-01-11,UBENGG,EQ,27.0,27.0,28.5,28.0,,28.5,28.4,250,710000000.0,,,
1996-01-12,UBENGG,EQ,28.5,28.0,28.45,27.15,,27.2,27.98,1500,4196250000.0,,,
1996-01-15,UBENGG,EQ,27.2,27.5,28.0,27.5,,28.0,27.56,900,2480000000.0,,,
1996-01-16,UBENGG,EQ,28.0,27.0,27.0,26.25,,26.3,26.52,300,795500000.0,,,
1996-01-18,UBENGG,EQ,26.3,25.15,25.15,25.0,,25.0,25.04,900,2254000000.0,,,
1996-01-19,UBENGG,EQ,25.0,25.0,25.3,25.25,,25.3,25.28,200,505500000.0,,,
1996-01-22,UBENGG,EQ,25.3,25.3,25.0,23.75,,25.0,24.17,150,362500000.0,,,
1996-01-23,UBENGG,EQ,25.0,25.0,26.0,24.4,,24.4,25.35,400,1014000000.0,,,
1996-01-25,UBENGG,EQ,24.4,24.4,25.0,24.0,,25.0,24.22,600,1453000000.0,,,
1996-01-29,UBENGG,EQ,25.0,25.0,26.4,26.4,,26.4,26.4,50,132000000.0,,,
1996-01-30,UBENGG,EQ,26.4,26.6,26.6,26.0,,26.05,26.26,900,2363000000.0,,,
1996-02-02,UBENGG,EQ,26.05,26.05,27.0,26.0,,27.0,26.59,350,930500000.0,,,
1996-02-05,UBENGG,EQ,27.0,27.0,27.0,27.0,,27.0,27.0,200,540000000.0,,,
1996-02-06,UBENGG,EQ,27.0,25.0,28.0,25.0,,26.05,26.48,950,2515750000.0,,,
1996-02-07,UBENGG,EQ,26.05,26.05,25.5,24.5,,25.25,24.83,1300,3227500000.0,,,
1996-02-08,UBENGG,EQ,25.25,25.25,26.0,25.3,,25.3,25.66,1150,2950500000.0,,,
1996-02-09,UBENGG,EQ,25.3,26.0,28.0,26.0,,27.1,26.67,1350,3601000000.0,,,
1996-02-12,UBENGG,EQ,27.1,26.55,28.75,26.55,,28.75,28.31,550,1557250000.0,,,
1996-02-13,UBENGG,EQ,28.75,26.55,28.0,26.5,,27.5,27.42,1200,3290750000.0,,,
1996-02-14,UBENGG,EQ,27.5,27.5,29.5,29.0,,29.35,29.43,350,1030000000.0,,,
1996-02-15,UBENGG,EQ,29.35,29.35,30.0,28.8,,30.0,29.73,1400,4162500000.0,,,
