Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-07-12,UMESLTD,EQ,38.15,41.0,59.15,41.0,47.9,47.35,46.69,1473152,6.877504325e+12,,152363,0.1034
2010-07-13,UMESLTD,EQ,47.35,48.0,49.0,42.5,45.5,45.0,44.68,555521,2.48212464e+12,,89455,0.161
2010-07-14,UMESLTD,EQ,45.0,46.1,46.6,43.5,43.6,44.0,45.11,143495,6.47345395e+11,,48698,0.3394
2010-07-15,UMESLTD,EQ,44.0,43.6,44.1,39.1,41.7,41.45,41.32,166192,6.86751735e+11,,46362,0.279
2010-07-16,UMESLTD,EQ,41.45,42.0,42.8,40.1,42.35,42.45,41.8,67129,2.8057318e+11,,25681,0.3826
2010-07-19,UMESLTD,EQ,42.45,42.65,42.9,41.0,41.0,41.2,41.62,31421,1.3078675e+11,,17675,0.5625
2010-07-20,UMESLTD,EQ,41.2,41.05,44.3,40.6,42.3,42.55,43.09,173599,7.4805889e+11,,68951,0.3972
2010-07-21,UMESLTD,EQ,42.55,42.15,44.0,42.0,42.05,42.4,42.55,26955,1.1469232e+11,,12619,0.4682
2010-07-22,UMESLTD,EQ,42.4,41.6,43.0,41.15,41.15,41.45,41.95,48045,2.01534905e+11,,27957,0.5819
2010-07-23,UMESLTD,EQ,41.45,41.15,42.4,41.05,41.3,41.25,41.46,24700,1.0240143e+11,,12481,0.5053
2010-07-26,UMESLTD,EQ,41.25,42.0,42.0,39.55,39.55,39.7,40.26,48370,1.94722385e+11,,35335,0.7305
2010-07-27,UMESLTD,EQ,39.7,39.55,39.95,38.1,38.25,38.5,38.9,32103,1.24878615e+11,,21022,0.6548
2010-07-28,UMESLTD,EQ,38.5,36.6,39.2,36.6,37.6,37.8,38.19,18486,70605630000.0,,12296,0.6652
2010-07-29,UMESLTD,EQ,37.8,39.0,45.4,38.2,45.4,45.4,43.23,312464,1.350844845e+12,,121088,0.3875
2010-07-30,UMESLTD,EQ,45.4,46.8,49.45,45.35,46.45,46.6,47.6,672462,3.20114588e+12,,172496,0.2565
2010-08-02,UMESLTD,EQ,46.6,46.8,50.2,45.1,48.0,48.05,48.86,259607,1.268456435e+12,,64048,0.2467
2010-08-03,UMESLTD,EQ,48.05,49.0,52.2,48.5,49.3,49.35,50.73,517736,2.62672632e+12,,137450,0.2655
2010-08-04,UMESLTD,EQ,49.35,49.9,54.0,49.05,51.2,51.3,52.31,532060,2.7832489e+12,,117007,0.2199
2010-08-05,UMESLTD,EQ,51.3,52.0,52.4,49.2,49.3,49.55,50.64,117210,5.935552e+11,,62457,0.5329
2010-08-06,UMESLTD,EQ,49.55,49.15,50.85,45.2,46.5,46.1,48.05,108544,5.21572045e+11,,62940,0.5799
2010-08-09,UMESLTD,EQ,46.1,46.0,48.5,44.85,45.75,45.9,46.31,91098,4.2190696e+11,,43157,0.4737
2010-08-10,UMESLTD,EQ,45.9,46.8,46.9,44.4,44.5,45.05,45.88,40540,1.85993905e+11,,23633,0.583
2010-08-11,UMESLTD,EQ,45.05,45.8,45.8,42.05,42.45,43.2,43.49,65098,2.8310255e+11,,27956,0.4294
2010-08-12,UMESLTD,EQ,43.2,43.0,43.0,41.15,42.85,42.6,42.65,22087,94193695000.0,,10326,0.4675
2010-08-13,UMESLTD,EQ,42.6,42.0,48.0,41.9,45.2,44.8,45.32,109957,4.98293145e+11,,34562,0.3143
2010-08-16,UMESLTD,EQ,44.8,44.0,46.2,41.2,43.2,43.35,44.68,47579,2.1258474e+11,,28724,0.6037
2010-08-17,UMESLTD,EQ,43.35,43.4,44.9,42.55,42.7,43.45,43.86,33421,1.46576345e+11,,18784,0.562
2010-08-18,UMESLTD,EQ,43.45,43.0,44.8,42.8,42.85,43.0,43.48,50144,2.1801388e+11,,38861,0.775
2010-08-19,UMESLTD,EQ,43.0,43.15,43.95,42.5,42.9,42.75,42.9,30637,1.31438915e+11,,21580,0.7044
2010-08-20,UMESLTD,EQ,42.75,42.75,45.0,42.5,44.0,44.05,43.98,62171,2.73448325e+11,,37845,0.6087
2010-08-23,UMESLTD,EQ,44.05,44.95,45.25,43.1,43.15,43.25,43.57,18802,81911860000.0,,9669,0.5143
2010-08-24,UMESLTD,EQ,43.25,43.0,45.7,41.7,45.6,44.8,44.27,81314,3.60006465e+11,,42207,0.5191
2010-08-25,UMESLTD,EQ,44.8,45.95,53.8,45.95,53.8,53.3,50.94,1289508,6.568347975e+12,,243927,0.1892
2010-08-26,UMESLTD,EQ,53.3,55.0,62.95,49.7,52.1,52.3,53.69,2099028,1.126949559e+13,,267745,0.1276
2010-08-27,UMESLTD,EQ,52.3,54.2,54.85,45.9,46.0,46.8,49.41,634260,3.134131445e+12,,210683,0.3322
2010-08-30,UMESLTD,EQ,46.8,48.05,50.2,46.25,47.0,46.8,48.61,224447,1.091019525e+12,,50865,0.2266
2010-08-31,UMESLTD,EQ,46.8,46.65,47.0,44.85,45.0,45.1,45.67,95473,4.36067535e+11,,56694,0.5938
2010-09-01,UMESLTD,EQ,45.1,45.25,46.55,44.5,45.3,45.4,45.36,99159,4.4982234e+11,,51559,0.52
2010-09-02,UMESLTD,EQ,45.4,45.9,48.7,45.55,46.65,46.85,47.34,133787,6.33412145e+11,,36137,0.2701
2010-09-03,UMESLTD,EQ,46.85,46.6,47.8,45.8,46.0,46.0,46.85,53856,2.5231264e+11,,24471,0.4544
2010-09-06,UMESLTD,EQ,46.0,46.5,47.75,45.8,46.0,46.15,46.56,60426,2.81332525e+11,,23976,0.3968
2010-09-07,UMESLTD,EQ,46.15,47.0,47.45,45.5,46.5,46.6,46.8,39714,1.85843815e+11,,21568,0.5431
2010-09-08,UMESLTD,EQ,46.6,45.6,49.9,45.6,48.3,48.5,48.47,212180,1.028482895e+12,,68450,0.3226
2010-09-09,UMESLTD,EQ,48.5,49.4,49.85,48.1,49.8,49.05,48.99,97994,4.80088415e+11,,65688,0.6703
2010-09-13,UMESLTD,EQ,49.05,49.2,52.5,48.6,51.5,51.1,51.38,244502,1.256240385e+12,,98259,0.4019
2010-09-14,UMESLTD,EQ,51.1,51.8,52.35,48.8,49.55,49.5,49.96,98442,4.9185926e+11,,42069,0.4273
2010-09-15,UMESLTD,EQ,49.5,49.05,50.1,48.1,49.05,49.5,49.18,66043,3.24790495e+11,,35972,0.5447
2010-09-16,UMESLTD,EQ,49.5,48.5,49.9,48.3,49.0,48.5,48.71,48693,2.37191235e+11,,32048,0.6582
2010-09-17,UMESLTD,EQ,48.5,48.1,51.2,46.0,50.0,49.9,50.04,119625,5.98573085e+11,,53593,0.448
2010-09-20,UMESLTD,EQ,49.9,50.0,50.9,48.25,48.55,48.85,49.86,65105,3.2463935e+11,,33363,0.5124
2010-09-21,UMESLTD,EQ,48.85,49.0,49.7,48.3,48.9,48.75,49.05,66237,3.24903e+11,,51926,0.7839
2010-09-22,UMESLTD,EQ,48.75,48.4,50.7,47.5,47.55,47.85,48.9,81885,4.0040274e+11,,33696,0.4115
2010-09-23,UMESLTD,EQ,47.85,47.2,48.85,47.2,47.8,47.8,48.02,30389,1.45920685e+11,,22065,0.7261
2010-09-24,UMESLTD,EQ,47.8,47.0,49.0,47.0,47.3,47.4,48.01,22917,1.1002805e+11,,16538,0.7216
2010-09-27,UMESLTD,EQ,47.4,47.0,50.5,46.6,48.5,48.7,49.32,111012,5.47485025e+11,,41699,0.3756
2010-09-28,UMESLTD,EQ,48.7,48.35,49.8,47.7,48.0,47.9,48.83,50411,2.46134495e+11,,23365,0.4635
2010-09-29,UMESLTD,EQ,47.9,48.0,48.5,46.6,47.6,47.05,47.43,34983,1.65920435e+11,,25169,0.7195
2010-09-30,UMESLTD,EQ,47.05,47.2,48.6,46.75,48.0,47.8,47.71,35675,1.7020204e+11,,20251,0.5677
2010-10-01,UMESLTD,EQ,47.8,47.5,48.5,47.5,47.7,47.95,47.96,22596,1.08370455e+11,,16245,0.7189
2010-10-04,UMESLTD,EQ,47.95,50.0,50.0,46.85,47.15,47.1,47.43,27853,1.3211919e+11,,18592,0.6675
2010-10-05,UMESLTD,EQ,47.1,47.1,48.0,46.7,46.8,47.15,47.46,22581,1.07178765e+11,,14405,0.6379
2010-10-06,UMESLTD,EQ,47.15,48.0,49.75,47.4,48.85,48.75,48.84,103105,5.0354792e+11,,63105,0.612
2010-10-07,UMESLTD,EQ,48.75,48.75,49.95,47.0,47.0,47.3,47.85,34494,1.6504136e+11,,27411,0.7947
2010-10-08,UMESLTD,EQ,47.3,47.95,47.95,46.55,47.0,46.95,47.08,17990,84691000000.0,,15389,0.8554
2010-10-11,UMESLTD,EQ,46.95,47.2,47.55,46.2,47.0,46.8,46.8,12804,59925055000.0,,7940,0.6201
2010-10-12,UMESLTD,EQ,46.8,46.9,47.4,45.95,46.55,46.95,46.37,25890,1.2006237e+11,,10845,0.4189
2010-10-13,UMESLTD,EQ,46.95,47.75,47.75,46.0,46.0,46.15,46.28,32053,1.48353675e+11,,19421,0.6059
2010-10-14,UMESLTD,EQ,46.15,45.25,46.95,45.0,45.15,45.25,45.9,28059,1.28784305e+11,,20350,0.7253
2010-10-15,UMESLTD,EQ,45.25,47.5,47.5,44.6,45.5,45.3,45.43,32663,1.4839325e+11,,20563,0.6296
2010-10-18,UMESLTD,EQ,45.3,45.9,46.4,44.1,45.7,45.65,45.38,11813,53607435000.0,,7839,0.6636
2010-10-19,UMESLTD,EQ,45.65,47.3,47.3,44.25,44.9,44.55,45.15,37603,1.69770415e+11,,23307,0.6198
2010-10-20,UMESLTD,EQ,44.55,44.8,45.35,43.4,43.5,43.55,44.23,29390,1.29993195e+11,,23589,0.8026
2010-10-21,UMESLTD,EQ,43.55,43.5,44.5,43.4,43.65,43.7,43.84,17936,78635125000.0,,10173,0.5672
2010-10-22,UMESLTD,EQ,43.7,44.5,44.55,43.0,43.1,43.55,43.52,35543,1.54669025e+11,,23106,0.6501
2010-10-25,UMESLTD,EQ,43.55,43.6,44.45,43.5,43.95,43.85,43.9,11869,52106445000.0,,6470,0.5451
2010-10-26,UMESLTD,EQ,43.85,44.5,44.6,43.75,44.6,44.5,44.39,52837,2.3454835e+11,,41778,0.7907
2010-10-27,UMESLTD,EQ,44.5,45.7,47.9,44.1,44.3,44.9,46.3,117231,5.42815585e+11,,60531,0.5163
2010-10-28,UMESLTD,EQ,44.9,45.45,45.45,43.1,43.1,43.5,43.98,51772,2.27677775e+11,,40034,0.7733
2010-10-29,UMESLTD,EQ,43.5,43.0,44.4,42.05,43.3,43.5,43.4,42051,1.8251323e+11,,29700,0.7063
2010-11-01,UMESLTD,EQ,43.5,44.05,44.75,43.4,43.4,43.7,43.98,24400,1.0731288e+11,,18743,0.7682
2010-11-02,UMESLTD,EQ,43.7,44.1,44.85,43.85,43.95,44.15,44.08,17886,78840390000.0,,9609,0.5372
2010-11-03,UMESLTD,EQ,44.15,44.2,44.7,43.95,44.25,43.95,44.33,11347,50301420000.0,,8989,0.7922
2010-11-04,UMESLTD,EQ,43.95,43.7,43.7,42.8,43.0,43.0,43.12,26509,1.14298375e+11,,22218,0.8381
2010-11-05,UMESLTD,EQ,43.0,44.4,45.0,44.15,44.65,44.65,44.59,14505,64682365000.0,,13983,0.964
2010-11-08,UMESLTD,EQ,44.65,44.3,46.2,44.3,44.3,44.35,44.77,11623,52030555000.0,,6700,0.5764
2010-11-09,UMESLTD,EQ,44.35,44.75,45.2,43.55,44.1,44.05,44.37,12988,57628685000.0,,7260,0.559
2010-11-10,UMESLTD,EQ,44.05,44.0,44.5,43.1,43.9,43.85,43.89,17234,75645530000.0,,15917,0.9236
2010-11-11,UMESLTD,EQ,43.85,44.5,44.9,43.0,43.4,43.2,43.65,14574,63609160000.0,,11568,0.7937
2010-11-12,UMESLTD,EQ,43.2,43.15,43.95,42.1,42.1,42.35,43.03,13338,57396050000.0,,8630,0.647
2010-11-15,UMESLTD,EQ,42.35,43.0,43.05,41.4,42.9,42.65,42.45,11311,48020070000.0,,9151,0.809
2010-11-16,UMESLTD,EQ,42.65,40.3,42.5,40.3,40.75,41.0,41.62,15501,64521365000.0,,12540,0.809
2010-11-18,UMESLTD,EQ,41.0,42.9,43.0,39.5,40.0,39.75,40.55,73470,2.9792229e+11,,40828,0.5557
2010-11-19,UMESLTD,EQ,39.75,39.4,40.2,38.8,38.8,39.05,39.44,26227,1.03445145e+11,,20455,0.7799
2010-11-22,UMESLTD,EQ,39.05,40.0,41.0,39.0,39.1,39.15,39.42,15364,60561605000.0,,10095,0.6571
2010-11-23,UMESLTD,EQ,39.15,38.1,39.9,38.1,39.25,39.15,38.88,10477,40737865000.0,,7844,0.7487
2010-11-24,UMESLTD,EQ,39.15,38.5,39.85,37.5,37.5,37.75,38.6,16818,64911210000.0,,13858,0.824
2010-11-25,UMESLTD,EQ,37.75,38.0,38.95,37.1,37.1,37.4,37.78,14471,54667860000.0,,11815,0.8165
2010-11-26,UMESLTD,EQ,37.4,37.0,37.2,33.05,34.5,34.9,35.86,21671,77710690000.0,,13876,0.6403
2010-11-29,UMESLTD,EQ,34.9,34.75,35.75,33.0,35.45,34.8,34.8,9468,32944660000.0,,7113,0.7513
2010-11-30,UMESLTD,EQ,34.8,32.15,38.3,32.15,38.0,36.9,36.07,10244,36950680000.0,,8876,0.8665
2010-12-01,UMESLTD,EQ,36.9,38.15,39.0,36.8,38.5,38.5,38.14,12791,48786405000.0,,8043,0.6288
2010-12-02,UMESLTD,EQ,38.5,39.0,40.7,38.55,39.3,39.15,39.49,7724,30501060000.0,,3536,0.4578
2010-12-03,UMESLTD,EQ,39.15,40.55,41.55,37.0,38.85,38.55,38.8,11596,44987180000.0,,7016,0.605
2010-12-06,UMESLTD,EQ,38.55,39.95,40.45,35.95,36.7,36.9,38.07,3058,11642200000.0,,2201,0.7198
2010-12-07,UMESLTD,EQ,36.9,36.3,38.0,36.0,37.0,37.15,36.73,2969,10905890000.0,,1413,0.4759
2010-12-08,UMESLTD,EQ,37.15,38.0,39.95,35.6,36.5,36.75,37.01,5031,18619210000.0,,3628,0.7211
2010-12-09,UMESLTD,EQ,36.75,36.0,36.0,32.5,32.7,33.85,34.16,10925,37315735000.0,,7924,0.7253
2010-12-10,UMESLTD,EQ,33.85,32.65,35.5,32.65,34.0,34.0,34.18,6130,20954855000.0,,5145,0.8393
2010-12-13,UMESLTD,EQ,34.0,33.25,35.75,33.25,34.2,34.0,34.04,8999,30628510000.0,,7968,0.8854
2010-12-14,UMESLTD,EQ,34.0,35.85,35.95,32.5,34.6,34.3,34.0,7977,27120900000.0,,6013,0.7538
2010-12-15,UMESLTD,EQ,34.3,35.0,35.0,32.55,34.0,33.9,33.59,7638,25659105000.0,,5822,0.7622
2010-12-16,UMESLTD,EQ,33.9,32.75,34.9,32.6,33.75,33.9,33.9,3341,11325390000.0,,2205,0.66
2010-12-20,UMESLTD,EQ,33.9,33.9,34.6,32.6,33.85,33.4,33.83,7107,24040845000.0,,5409,0.7611
2010-12-21,UMESLTD,EQ,33.4,33.1,34.3,33.1,34.0,33.8,33.83,8525,28837815000.0,,6184,0.7254
2010-12-22,UMESLTD,EQ,33.8,34.45,35.0,33.75,34.5,33.95,34.3,6571,22538865000.0,,4985,0.7586
2010-12-23,UMESLTD,EQ,33.95,33.75,34.7,33.75,34.45,34.1,34.2,2637,9017600000.0,,1679,0.6367
2010-12-24,UMESLTD,EQ,34.1,34.0,34.7,33.5,34.7,34.4,34.22,2615,8949575000.0,,1802,0.6891
2010-12-27,UMESLTD,EQ,34.4,34.7,37.8,34.7,36.75,36.95,36.68,28496,1.04516425e+11,,17178,0.6028
2010-12-28,UMESLTD,EQ,36.95,36.0,40.25,35.05,39.15,39.15,38.8,36317,1.4091579e+11,,15185,0.4181
2010-12-29,UMESLTD,EQ,39.15,40.0,40.0,38.0,38.3,38.6,38.77,7854,30453570000.0,,4517,0.5751
2010-12-30,UMESLTD,EQ,38.6,36.6,39.0,36.6,37.8,38.0,38.22,3395,12976420000.0,,2277,0.6707
2010-12-31,UMESLTD,EQ,38.0,37.55,39.25,37.5,38.75,38.4,38.53,8837,34048980000.0,,6434,0.7281
2011-01-03,UMESLTD,EQ,38.4,38.9,39.5,38.4,38.6,38.7,38.82,5664,21985055000.0,,3916,0.6914
2011-01-04,UMESLTD,EQ,38.7,39.8,42.45,39.0,40.5,40.6,40.97,69965,2.86639485e+11,,29583,0.4228
2011-01-05,UMESLTD,EQ,40.6,40.5,41.8,38.4,38.4,38.9,39.75,5722,22744270000.0,,2944,0.5145
2011-01-06,UMESLTD,EQ,38.9,39.25,39.5,38.25,38.35,38.4,38.68,9934,38428910000.0,,7288,0.7336
2011-01-07,UMESLTD,EQ,38.4,37.2,38.85,36.55,36.55,36.95,37.45,7807,29240820000.0,,5493,0.7036
2011-01-10,UMESLTD,EQ,36.95,37.1,37.1,36.0,36.0,36.0,36.16,7609,27510670000.0,,6252,0.8217
2011-01-11,UMESLTD,EQ,36.0,34.55,36.3,34.55,34.85,34.8,35.29,4206,14842610000.0,,2663,0.6331
2011-01-12,UMESLTD,EQ,34.8,37.0,37.85,34.7,35.0,35.4,35.77,4085,14613250000.0,,3755,0.9192
2011-01-13,UMESLTD,EQ,35.4,37.85,37.85,34.5,35.0,34.85,35.62,5998,21364865000.0,,3710,0.6185
2011-01-14,UMESLTD,EQ,34.85,34.9,37.1,33.0,33.15,33.55,34.66,8394,29093315000.0,,6381,0.7602
2011-01-17,UMESLTD,EQ,33.55,33.5,35.85,33.5,34.45,34.0,33.88,5580,18905760000.0,,3619,0.6486
2011-01-18,UMESLTD,EQ,34.0,35.9,35.9,33.3,34.8,34.2,34.16,4169,14241585000.0,,3194,0.7661
2011-01-19,UMESLTD,EQ,34.2,34.85,34.85,33.05,34.2,33.7,33.74,9371,31613625000.0,,5066,0.5406
2011-01-20,UMESLTD,EQ,33.7,34.05,34.5,33.2,34.5,34.35,33.51,208421,6.9835918e+11,,207604,0.9961
2011-01-21,UMESLTD,EQ,34.35,35.35,35.4,34.0,34.0,34.15,34.58,4776,16517660000.0,,2946,0.6168
2011-01-24,UMESLTD,EQ,34.15,35.55,35.65,32.6,34.0,34.25,34.45,3764,12968810000.0,,2556,0.6791
2011-01-25,UMESLTD,EQ,34.25,33.6,34.65,33.2,33.5,33.5,33.78,4705,15893970000.0,,4155,0.8831
2011-01-27,UMESLTD,EQ,33.5,34.5,34.95,33.1,33.5,33.5,33.7,4609,15534415000.0,,4309,0.9349
2011-01-28,UMESLTD,EQ,33.5,34.45,34.75,29.4,32.05,32.0,31.83,4306,13705775000.0,,2696,0.6261
2011-01-31,UMESLTD,EQ,32.0,29.9,30.5,28.9,29.5,29.8,29.43,22823,67177460000.0,,17467,0.7653
2011-02-01,UMESLTD,EQ,29.8,30.05,30.1,27.25,28.1,28.05,28.34,16384,46438200000.0,,12777,0.7798
2011-02-02,UMESLTD,EQ,28.05,29.0,29.0,26.1,26.15,27.15,27.47,12038,33071450000.0,,10512,0.8732
2011-02-03,UMESLTD,EQ,27.15,29.0,29.0,26.55,27.75,27.8,27.63,6294,17388535000.0,,4808,0.7639
2011-02-04,UMESLTD,EQ,27.8,28.0,33.4,27.05,28.35,27.55,28.39,14241,40427190000.0,,7525,0.5284
2011-02-07,UMESLTD,EQ,27.55,27.5,28.35,27.15,27.4,27.45,27.63,11422,31561855000.0,,9710,0.8501
2011-02-08,UMESLTD,EQ,27.45,27.55,27.6,25.3,27.0,26.75,26.61,4379,11651225000.0,,2729,0.6232
2011-02-09,UMESLTD,EQ,26.75,25.7,26.6,23.0,23.5,23.45,24.45,7970,19484130000.0,,5742,0.7205
2011-02-10,UMESLTD,EQ,23.45,23.3,25.95,23.0,24.0,23.85,23.95,5879,14077925000.0,,3792,0.645
2011-02-11,UMESLTD,EQ,23.85,24.0,26.9,24.0,25.65,26.15,25.29,6642,16800385000.0,,5322,0.8013
