Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2002-09-24,UNIONBANK,EQ,16.0,17.05,17.4,16.2,16.25,16.35,16.52,8206697,1.3553909255e+13,,2908613.0,0.3544
2002-09-25,UNIONBANK,EQ,16.35,16.25,16.25,15.8,16.1,16.05,16.02,1959835,3.13997142e+12,,896152.0,0.4573
2002-09-26,UNIONBANK,EQ,16.05,16.2,16.2,15.15,15.4,15.3,15.7,1270365,1.99506827e+12,,893682.0,0.7035
2002-09-27,UNIONBANK,EQ,15.3,15.5,15.6,15.15,15.45,15.35,15.31,1357003,2.077863965e+12,,,
2002-09-30,UNIONBANK,EQ,15.35,15.3,15.85,15.15,15.5,15.4,15.57,1475227,2.297296385e+12,,817497.0,0.2886
2002-10-01,UNIONBANK,EQ,15.4,15.4,15.6,15.3,15.55,15.5,15.47,339944,5.25833155e+11,,253443.0,0.7455
2002-10-03,UNIONBANK,EQ,15.5,15.6,15.6,15.4,15.55,15.45,15.47,138613,2.1442101e+11,,103156.0,0.7442
2002-10-04,UNIONBANK,EQ,15.45,15.45,15.5,15.35,15.35,15.4,15.41,157713,2.43041665e+11,,109884.0,0.6967
2002-10-07,UNIONBANK,EQ,15.4,15.25,15.6,15.25,15.5,15.55,15.51,179434,2.7836481e+11,,162448.0,0.9053
2002-10-08,UNIONBANK,EQ,15.55,15.6,15.6,15.15,15.25,15.2,15.32,249002,3.814612e+11,,221413.0,0.8892
2002-10-09,UNIONBANK,EQ,15.2,15.25,15.4,15.0,15.0,15.0,15.1,408547,6.1690979e+11,,331995.0,0.8126
2002-10-10,UNIONBANK,EQ,15.0,15.05,15.1,14.85,15.0,14.95,14.95,147908,2.21170495e+11,,103741.0,0.7014
2002-10-11,UNIONBANK,EQ,14.95,15.0,15.0,14.75,15.0,14.95,14.87,267590,3.97849705e+11,,234870.0,0.8777
2002-10-14,UNIONBANK,EQ,14.95,15.0,15.0,14.75,14.8,14.8,14.88,173558,2.5820411e+11,,137674.0,0.7932
2002-10-16,UNIONBANK,EQ,14.8,14.75,14.95,14.7,14.7,14.75,14.78,206333,3.0498715e+11,,188213.0,0.9122
2002-10-17,UNIONBANK,EQ,14.75,14.65,14.9,14.6,14.7,14.75,14.68,202202,2.9680212e+11,,161710.0,0.7997
2002-10-18,UNIONBANK,EQ,14.75,14.8,15.65,14.7,15.2,15.2,15.31,700416,1.072001585e+12,,456485.0,0.6517
2002-10-21,UNIONBANK,EQ,15.2,15.25,15.35,15.0,15.05,15.0,15.09,66861,1.00873555e+11,,44155.0,0.6604
2002-10-22,UNIONBANK,EQ,15.0,15.0,15.1,14.9,14.95,14.95,14.99,105096,1.5755704e+11,,77875.0,0.741
2002-10-23,UNIONBANK,EQ,14.95,15.0,15.25,14.85,15.1,15.1,15.06,91154,1.37284655e+11,,57981.0,0.6361
2002-10-24,UNIONBANK,EQ,15.1,15.0,15.45,14.95,15.05,15.05,15.18,573557,8.70375915e+11,,378824.0,0.6605
2002-10-25,UNIONBANK,EQ,15.05,15.2,15.7,15.1,15.35,15.3,15.46,1140336,1.76313701e+12,,551787.0,0.4839
2002-10-28,UNIONBANK,EQ,15.3,15.5,15.5,15.15,15.45,15.35,15.32,251903,3.86025395e+11,,168869.0,0.6704
2002-10-29,UNIONBANK,EQ,15.35,15.4,15.65,15.3,15.5,15.4,15.51,477498,7.40813575e+11,,276666.0,0.5794
2002-10-30,UNIONBANK,EQ,15.4,15.4,15.55,15.2,15.25,15.3,15.38,402321,6.18739995e+11,,336505.0,0.8364
2002-10-31,UNIONBANK,EQ,15.3,15.4,15.45,15.2,15.3,15.25,15.27,188728,2.8817563e+11,,160313.0,0.8494
2002-11-01,UNIONBANK,EQ,15.25,15.45,15.45,15.2,15.25,15.25,15.28,152135,2.3251118e+11,,,
2002-11-04,UNIONBANK,EQ,15.25,15.5,15.5,15.25,15.45,15.4,15.4,111000,1.70930535e+11,,195394.0,0.7426
2002-11-05,UNIONBANK,EQ,15.4,15.7,16.3,15.35,16.25,16.25,16.07,1346049,2.16331763e+12,,783366.0,0.582
2002-11-07,UNIONBANK,EQ,16.25,15.5,16.4,15.5,16.1,16.05,16.12,451015,7.27067305e+11,,289859.0,0.6427
2002-11-08,UNIONBANK,EQ,16.05,15.95,16.05,15.8,16.0,15.95,15.97,171140,2.73387985e+11,,132672.0,0.7752
