Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2004-01-23,UNIPHOS,EQ,10.0,100.0,560.0,100.0,555.1,553.8,483.69,73629,3.56136145e+12,,52799.0,0.7171,55.38,10.0
2004-01-27,UNIPHOS,EQ,553.8,570.0,570.0,525.0,530.1,540.35,540.77,26737,1.44585085e+12,,17314.0,0.6476,54.035,10.0
2004-01-28,UNIPHOS,EQ,540.35,530.0,565.0,511.0,542.0,538.85,542.24,32155,1.74356902e+12,,23285.0,0.7241,53.885,10.0
2004-01-29,UNIPHOS,EQ,538.85,530.0,543.5,504.0,517.0,515.1,529.23,19074,1.00944722e+12,,12935.0,0.6781,51.51,10.0
2004-01-30,UNIPHOS,EQ,515.1,519.0,519.0,471.4,485.0,482.95,485.85,23807,1.156659385e+12,,12750.0,0.5356,48.295,10.0
2004-02-03,UNIPHOS,EQ,482.95,472.0,475.0,450.0,465.0,461.45,466.1,25068,1.168431745e+12,,17793.0,0.7098,46.145,10.0
2004-02-04,UNIPHOS,EQ,461.45,442.0,479.0,442.0,475.0,475.15,470.81,21392,1.007167445e+12,,18545.0,0.8669,47.515,10.0
2004-02-05,UNIPHOS,EQ,475.15,475.0,489.0,470.5,475.05,480.15,477.59,19618,9.3693059e+11,,16395.0,0.8357,48.015,10.0
2004-02-06,UNIPHOS,EQ,480.15,461.1,486.0,461.0,485.9,480.75,477.32,11997,5.72643405e+11,,10892.0,0.9079,48.075,10.0
2004-02-09,UNIPHOS,EQ,480.75,475.0,483.0,462.05,474.8,471.95,471.87,19547,9.22368255e+11,,14957.0,0.7652,47.195,10.0
2004-02-10,UNIPHOS,EQ,471.95,480.0,480.0,459.0,475.15,477.8,473.86,20031,9.4919812e+11,,16818.0,0.8396,47.78,10.0
2004-02-11,UNIPHOS,EQ,477.8,479.0,483.95,475.8,481.5,479.75,479.86,8149,3.91037335e+11,,6622.0,0.8126,47.975,10.0
2004-02-12,UNIPHOS,EQ,479.75,480.0,489.0,475.55,489.0,486.35,482.42,10600,5.113702e+11,,10078.0,0.9508,48.635,10.0
2004-02-13,UNIPHOS,EQ,486.35,493.0,495.95,480.0,495.0,492.8,490.14,14134,6.92757575e+11,,13028.0,0.9217,49.28,10.0
2004-02-16,UNIPHOS,EQ,492.8,465.0,498.0,465.0,495.0,494.35,491.4,9670,4.75185065e+11,,8443.0,0.8731,49.435,10.0
2004-02-17,UNIPHOS,EQ,494.35,491.0,500.0,490.0,495.3,497.65,495.64,38983,1.932144315e+12,,37568.0,0.9637,49.765,10.0
2004-02-18,UNIPHOS,EQ,497.65,495.0,504.0,492.0,501.5,501.75,499.92,8918,4.45832845e+11,,7457.0,0.8362,50.175,10.0
2004-02-19,UNIPHOS,EQ,501.75,500.0,500.0,475.0,486.0,481.55,486.65,24195,1.177461005e+12,,20914.0,0.8644,48.155,10.0
2004-02-20,UNIPHOS,EQ,481.55,484.9,484.9,471.65,475.0,475.0,475.15,44404,2.109843305e+12,,41888.0,0.9433,47.5,10.0
2004-02-23,UNIPHOS,EQ,475.0,505.0,505.0,465.0,472.0,469.2,470.74,13769,6.48165555e+11,,12937.0,0.9396,46.92,10.0
