Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2001-01-10,VIJAYABANK,EQ,10.0,10.5,10.5,9.05,9.6,9.5,9.74,144343,1.40574815e+11,,,
2001-01-11,VIJAYABANK,EQ,9.5,9.5,9.65,9.2,9.45,9.35,9.37,54791,51341505000.0,,,
2001-01-12,VIJAYABANK,EQ,9.35,9.3,9.55,9.3,9.35,9.4,9.42,26045,24530360000.0,,,
2001-01-15,VIJAYABANK,EQ,9.4,9.5,9.5,9.05,9.2,9.15,9.26,51689,47849340000.0,,,
2001-01-16,VIJAYABANK,EQ,9.15,9.1,9.35,8.75,9.2,9.25,9.14,72221,66002740000.0,,,
2001-01-17,VIJAYABANK,EQ,9.25,9.0,9.35,9.0,9.2,9.2,9.23,27900,25739000000.0,,,
2001-01-18,VIJAYABANK,EQ,9.2,9.1,9.3,9.1,9.3,9.3,9.23,18726,17277190000.0,,,
2001-01-19,VIJAYABANK,EQ,9.3,9.25,9.4,9.25,9.4,9.4,9.35,12648,11823120000.0,,,
2001-01-22,VIJAYABANK,EQ,9.4,9.9,9.9,9.2,9.45,9.45,9.47,18054,17105390000.0,,,
2001-01-23,VIJAYABANK,EQ,9.45,9.4,9.45,9.2,9.4,9.4,9.35,30150,28177520000.0,,,
2001-01-24,VIJAYABANK,EQ,9.4,9.35,9.5,9.3,9.35,9.35,9.43,25550,24088250000.0,,,
2001-01-25,VIJAYABANK,EQ,9.35,9.35,9.4,9.0,9.0,9.0,9.09,100623,91443945000.0,,,
2001-01-29,VIJAYABANK,EQ,9.0,8.9,9.0,8.8,9.0,9.0,8.94,36538,32653760000.0,,,
2001-01-30,VIJAYABANK,EQ,9.0,9.0,9.0,8.9,8.9,8.9,8.95,36225,32425300000.0,,,
2001-01-31,VIJAYABANK,EQ,8.9,8.95,9.05,8.85,8.95,8.95,8.98,31730,28487650000.0,,,
2001-02-01,VIJAYABANK,EQ,8.95,8.9,9.05,8.9,9.0,9.0,8.98,19800,17781500000.0,,,
2001-02-02,VIJAYABANK,EQ,9.0,8.95,9.0,8.75,9.0,8.95,8.95,15891,14223400000.0,,,
2001-02-05,VIJAYABANK,EQ,8.95,9.1,9.1,8.85,8.95,8.85,8.96,19805,17750925000.0,,,
2001-02-06,VIJAYABANK,EQ,8.85,8.95,9.0,8.75,8.9,8.8,8.85,28259,25018245000.0,,,
2001-02-07,VIJAYABANK,EQ,8.8,9.0,9.0,8.8,8.9,8.95,8.95,21250,19016000000.0,,,
2001-02-08,VIJAYABANK,EQ,8.95,8.95,9.0,8.9,9.0,9.0,8.98,83750,75219000000.0,,,
2001-02-09,VIJAYABANK,EQ,9.0,9.0,9.6,8.95,9.6,9.45,9.2,383060,3.52492545e+11,,,
2001-02-12,VIJAYABANK,EQ,9.45,9.65,10.2,9.4,9.65,9.5,9.81,153861,1.5089666e+11,,,
2001-02-13,VIJAYABANK,EQ,9.5,9.65,9.65,9.0,9.05,9.2,9.21,104336,96100025000.0,,,
2001-02-14,VIJAYABANK,EQ,9.2,9.25,9.8,9.2,9.75,9.7,9.54,60076,57340455000.0,,,
2001-02-15,VIJAYABANK,EQ,9.7,9.5,9.8,9.5,9.55,9.55,9.64,55131,53119800000.0,,,
2001-02-16,VIJAYABANK,EQ,9.55,9.6,9.6,9.35,9.45,9.4,9.45,50210,47464540000.0,,,
2001-02-19,VIJAYABANK,EQ,9.4,9.45,9.6,9.25,9.5,9.4,9.39,30310,28469550000.0,,,
2001-02-20,VIJAYABANK,EQ,9.4,9.4,9.5,9.3,9.35,9.3,9.39,41683,39153595000.0,,,
2001-02-21,VIJAYABANK,EQ,9.3,9.55,9.6,9.3,9.3,9.35,9.45,19650,18561250000.0,,,
2001-02-22,VIJAYABANK,EQ,9.35,9.15,9.4,9.15,9.4,9.4,9.26,19262,17845850000.0,,,
2001-02-23,VIJAYABANK,EQ,9.4,9.5,9.5,8.8,8.95,8.9,9.04,52559,47524830000.0,,,
2001-02-26,VIJAYABANK,EQ,8.9,8.7,8.9,8.15,8.45,8.3,8.48,81020,68733860000.0,,,
2001-02-27,VIJAYABANK,EQ,8.3,8.45,8.55,8.25,8.25,8.35,8.42,44505,37458100000.0,,,
2001-02-28,VIJAYABANK,EQ,8.35,8.55,9.5,8.55,9.0,8.95,9.06,67652,61267065000.0,,,
2001-03-01,VIJAYABANK,EQ,8.95,9.35,9.35,9.0,9.0,9.0,9.19,29450,27057000000.0,,,
2001-03-02,VIJAYABANK,EQ,9.0,9.2,9.2,8.85,8.9,8.9,8.98,18504,16608185000.0,,,
2001-03-05,VIJAYABANK,EQ,8.9,8.45,8.75,8.0,8.2,8.15,8.22,63780,52425570000.0,,,
2001-03-07,VIJAYABANK,EQ,8.15,8.25,8.95,8.2,8.4,8.4,8.47,27061,22930805000.0,,,
2001-03-08,VIJAYABANK,EQ,8.4,8.4,8.75,8.2,8.35,8.35,8.42,24150,20332000000.0,,,
2001-03-09,VIJAYABANK,EQ,8.35,8.1,8.4,8.1,8.2,8.2,8.21,30849,25322805000.0,,,
2001-03-12,VIJAYABANK,EQ,8.2,8.3,8.3,8.0,8.0,8.05,8.06,41570,33516850000.0,,,
2001-03-13,VIJAYABANK,EQ,8.05,7.95,7.95,7.1,7.6,7.5,7.46,48040,35830035000.0,,,
2001-03-14,VIJAYABANK,EQ,7.5,8.45,8.45,7.5,8.25,8.25,8.1,9575,7755675000.0,,,
2001-03-15,VIJAYABANK,EQ,8.25,8.4,8.4,8.0,8.3,8.3,8.16,17101,13962870000.0,,,
2001-03-16,VIJAYABANK,EQ,8.3,8.25,8.25,8.0,8.0,8.0,8.09,10015,8104500000.0,,,
2001-03-19,VIJAYABANK,EQ,8.0,7.75,8.0,7.7,8.0,7.9,7.88,3210,2529045000.0,,,
2001-03-20,VIJAYABANK,EQ,7.9,7.9,8.0,7.6,7.75,7.65,7.74,19642,15194890000.0,,,
2001-03-21,VIJAYABANK,EQ,7.65,7.95,8.0,7.9,8.0,8.0,7.97,2550,2032750000.0,,,
2001-03-22,VIJAYABANK,EQ,8.0,7.9,7.9,7.2,7.25,7.35,7.44,108864,80989925000.0,,,
2001-03-23,VIJAYABANK,EQ,7.35,7.35,7.65,7.35,7.5,7.35,7.42,18651,13835250000.0,,,
2001-03-26,VIJAYABANK,EQ,7.35,7.45,7.75,7.25,7.75,7.7,7.52,20499,15422495000.0,,,
