Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2013-03-06,VMART,EQ,170.0,171.0,186.0,171.0,178.0,178.15,176.15,19245,3.39005015e+11,232,18038,0.9373
2013-03-07,VMART,EQ,178.15,178.7,180.0,176.0,177.0,177.0,177.22,3307,58606735000.0,48,3259,0.9855
2013-03-08,VMART,EQ,177.0,175.0,177.5,174.25,177.5,174.95,176.19,3678,64802885000.0,61,3352,0.9114
2013-03-11,VMART,EQ,174.95,173.0,180.0,173.0,179.8,179.55,176.25,3601,63469045000.0,79,3510,0.9747
2013-03-12,VMART,EQ,179.55,176.3,181.8,176.3,179.05,179.95,179.02,12934,2.3154424e+11,74,8790,0.6796
2013-03-13,VMART,EQ,179.95,176.35,180.0,161.0,176.75,177.95,175.99,2129,37467380000.0,76,1991,0.9352
2013-03-14,VMART,EQ,177.95,174.1,185.0,174.1,183.95,179.75,179.59,17090,3.069156e+11,71,16792,0.9826
2013-03-15,VMART,EQ,179.75,177.5,184.0,171.0,182.3,179.3,181.4,3700,67118635000.0,64,3258,0.8805
2013-03-18,VMART,EQ,179.3,184.0,209.0,152.5,180.0,180.4,180.15,18367,3.30878235e+11,147,16729,0.9108
2013-03-19,VMART,EQ,180.4,177.1,180.0,175.0,176.9,176.15,176.76,4308,76150260000.0,37,4119,0.9561
2013-03-20,VMART,EQ,176.15,175.1,178.0,170.0,170.0,171.1,176.07,5060,89091175000.0,65,4964,0.981
2013-03-21,VMART,EQ,171.1,171.5,173.0,169.0,169.0,169.65,171.17,1370,23450700000.0,49,1309,0.9555
2013-03-22,VMART,EQ,169.65,161.1,170.0,160.0,166.2,166.8,164.83,8021,1.32208275e+11,79,5963,0.7434
2013-03-25,VMART,EQ,166.8,162.2,167.7,158.0,158.0,160.4,161.98,2099,33999235000.0,45,1709,0.8142
2013-03-26,VMART,EQ,160.4,151.1,164.85,150.0,164.0,164.0,161.11,2640,42533595000.0,33,2569,0.9731
2013-03-28,VMART,EQ,164.0,160.6,177.0,157.0,177.0,169.2,164.26,7187,1.18053535e+11,121,6288,0.8749
2013-04-01,VMART,EQ,169.2,165.5,175.0,165.15,170.0,169.0,170.46,13123,2.2368905e+11,57,12756,0.972
2013-04-02,VMART,EQ,169.0,166.0,180.0,166.0,171.25,177.8,178.18,8481,1.5111552e+11,52,6259,0.738
2013-04-03,VMART,EQ,177.8,174.0,178.0,174.0,178.0,177.85,177.84,531,9443525000.0,4,531,1.0
2013-04-04,VMART,EQ,177.85,172.0,177.0,170.0,170.0,170.5,171.64,8468,1.4534451e+11,43,8351,0.9862
2013-04-05,VMART,EQ,170.5,170.0,174.0,150.0,167.0,167.0,165.71,449,7440545000.0,22,386,0.8597
2013-04-08,VMART,EQ,167.0,179.0,179.0,162.05,165.0,165.15,172.53,1880,32435060000.0,35,1708,0.9085
2013-04-09,VMART,EQ,165.15,163.55,164.3,163.55,164.05,164.05,164.05,545,8940575000.0,22,495,0.9083
2013-04-10,VMART,EQ,164.05,160.0,169.0,157.15,163.0,164.35,163.12,695,11336835000.0,28,523,0.7525
2013-04-11,VMART,EQ,164.35,160.15,164.0,160.15,161.25,161.25,161.33,481,7760095000.0,22,359,0.7464
2013-04-12,VMART,EQ,161.25,157.55,162.5,157.0,159.45,158.85,158.17,473,7481295000.0,28,274,0.5793
2013-04-15,VMART,EQ,158.85,154.1,160.0,154.1,156.65,157.3,157.09,564,8859760000.0,27,395,0.7004
2013-04-16,VMART,EQ,157.3,163.85,170.0,160.0,165.0,165.0,164.18,1059,17387030000.0,47,883,0.8338
2013-04-17,VMART,EQ,165.0,162.6,173.0,162.5,172.0,168.45,169.83,20432,3.46987235e+11,185,20229,0.9901
2013-04-18,VMART,EQ,168.45,168.45,173.25,168.45,172.0,171.3,171.73,1356,23287235000.0,44,1356,1.0
2013-04-22,VMART,EQ,171.3,168.8,179.0,168.6,179.0,174.55,173.09,1551,26846735000.0,47,1481,0.9549
2013-04-23,VMART,EQ,174.55,169.9,175.0,169.5,175.0,175.0,172.0,51493,8.85703685e+11,42,51468,0.9995
2013-04-25,VMART,EQ,175.0,170.05,176.0,169.9,176.0,174.0,171.58,1318,22614815000.0,67,1055,0.8005
2013-04-26,VMART,EQ,174.0,175.0,175.0,169.0,169.0,170.05,170.15,102,1735545000.0,7,45,0.4412
2013-04-29,VMART,EQ,170.05,171.1,177.0,171.1,175.0,175.0,173.25,214,3707470000.0,26,116,0.5421
2013-04-30,VMART,EQ,175.0,171.15,179.0,140.5,179.0,176.75,165.09,2699,44557350000.0,145,1340,0.4965
2013-05-02,VMART,EQ,176.75,171.1,174.0,165.1,174.0,173.7,171.79,12472,2.1425854e+11,86,12398,0.9941
2013-05-03,VMART,EQ,173.7,170.0,174.6,170.0,170.05,171.85,171.29,802,13737455000.0,52,767,0.9564
2013-05-06,VMART,EQ,171.85,170.1,170.1,145.55,164.0,164.0,161.91,1015,16433915000.0,45,638,0.6286
2013-05-07,VMART,EQ,164.0,164.0,167.5,162.3,162.55,162.95,163.38,448,7319215000.0,20,264,0.5893
2013-05-08,VMART,EQ,162.95,162.5,165.0,159.0,159.2,161.95,161.52,512,8270005000.0,19,434,0.8477
2013-05-09,VMART,EQ,161.95,164.75,164.9,160.0,164.9,163.25,163.23,6,97935000.0,5,2,0.3333
2013-05-10,VMART,EQ,163.25,161.35,164.0,157.0,163.7,163.7,160.8,450,7236195000.0,25,296,0.6578
2013-05-13,VMART,EQ,163.7,158.1,167.9,158.1,161.65,161.65,162.09,990,16046970000.0,18,819,0.8273
2013-05-14,VMART,EQ,161.65,167.5,167.5,162.0,162.0,162.0,164.75,2,32950000.0,2,1,0.5
2013-05-15,VMART,EQ,162.0,162.1,165.0,162.1,165.0,164.05,164.01,5422,88924215000.0,43,375,0.0692
2013-05-16,VMART,EQ,164.05,163.5,165.0,160.0,165.0,164.0,163.32,5893,96243175000.0,64,638,0.1083
2013-05-17,VMART,EQ,164.0,163.5,164.2,160.0,160.9,160.2,162.63,5718,92989775000.0,110,690,0.1207
2013-05-20,VMART,EQ,160.2,160.4,170.0,152.3,160.0,163.45,160.8,15929,2.56139395e+11,246,8341,0.5236
2013-05-21,VMART,EQ,163.45,162.0,162.0,137.05,145.0,143.75,149.79,20877,3.12719465e+11,447,11455,0.5487
2013-05-22,VMART,EQ,143.75,141.3,142.95,130.1,136.0,134.5,135.59,9961,1.35062635e+11,320,3263,0.3276
2013-05-23,VMART,EQ,134.5,140.9,149.6,138.0,139.3,139.4,146.93,21147,3.1070483e+11,298,14546,0.6879
2013-05-24,VMART,EQ,139.4,144.0,144.9,135.6,136.1,136.35,138.74,6597,91525885000.0,101,307,0.0465
2013-05-27,VMART,EQ,136.35,140.0,146.0,138.75,142.5,142.85,144.16,15521,2.2375244e+11,163,9051,0.5831
2013-05-28,VMART,EQ,142.85,146.0,149.9,141.2,143.75,142.55,148.67,27321,4.0617064e+11,106,22041,0.8067
2013-05-29,VMART,EQ,142.55,142.7,144.4,134.0,134.0,136.55,141.55,5666,80200585000.0,86,296,0.0522
2013-05-30,VMART,EQ,136.55,135.05,140.0,133.0,138.0,137.7,136.57,5944,81177160000.0,112,749,0.126
2013-05-31,VMART,EQ,137.7,140.0,147.8,126.5,127.1,129.1,133.61,13438,1.7954629e+11,122,7937,0.5906
2013-06-03,VMART,EQ,129.1,128.0,140.0,125.0,125.9,126.05,131.92,9870,1.30204755e+11,155,2479,0.2512
2013-06-04,VMART,EQ,126.05,125.05,125.05,105.25,110.35,111.35,111.59,58164,6.49080515e+11,690,40806,0.7016
2013-06-05,VMART,EQ,111.35,114.8,116.0,106.0,114.5,112.8,110.72,38587,4.272407e+11,279,29734,0.7706
2013-06-06,VMART,EQ,112.8,116.5,127.0,116.5,120.75,120.1,121.92,20558,2.506442e+11,316,8638,0.4202
2013-06-07,VMART,EQ,120.1,121.0,121.95,116.6,116.6,117.65,120.43,12357,1.48820905e+11,189,5820,0.471
2013-06-10,VMART,EQ,117.65,119.95,119.95,103.25,119.0,118.9,113.66,10224,1.1620441e+11,167,1211,0.1184
2013-06-11,VMART,EQ,118.9,123.95,123.95,110.0,113.75,119.2,113.89,7441,84749205000.0,252,1581,0.2125
2013-06-12,VMART,EQ,119.2,114.0,129.0,114.0,127.85,124.1,119.97,22137,2.6557227e+11,324,15015,0.6783
2013-06-13,VMART,EQ,124.1,120.05,137.3,116.3,131.0,133.85,125.25,8979,1.1246107e+11,210,2188,0.2437
2013-06-14,VMART,EQ,133.85,130.0,140.0,130.0,140.0,139.7,133.81,7344,98268990000.0,102,1308,0.1781
2013-06-17,VMART,EQ,139.7,140.0,140.0,135.0,139.9,138.25,138.79,6313,87618720000.0,71,722,0.1144
2013-06-18,VMART,EQ,138.25,137.25,139.45,135.25,138.5,138.25,136.53,5262,71842150000.0,49,332,0.0631
2013-06-19,VMART,EQ,138.25,141.9,147.45,136.0,141.55,142.55,138.47,7673,1.0625051e+11,99,2261,0.2947
2013-06-20,VMART,EQ,142.55,137.35,141.5,135.1,141.5,140.4,139.43,6090,84912650000.0,128,1108,0.1819
2013-06-21,VMART,EQ,140.4,133.0,139.0,132.25,137.0,137.1,135.84,6755,91761955000.0,165,960,0.1421
2013-06-24,VMART,EQ,137.1,132.0,140.0,128.0,139.9,139.65,135.42,7623,1.0323235e+11,158,2042,0.2679
2013-06-25,VMART,EQ,139.65,132.0,138.4,132.0,134.55,134.55,136.38,5246,71545150000.0,84,2380,0.4537
2013-06-26,VMART,EQ,134.55,134.55,134.55,130.0,130.0,130.1,130.42,197,2569220000.0,11,145,0.736
2013-06-27,VMART,EQ,130.1,126.45,135.0,126.45,135.0,133.8,132.32,4316,57111250000.0,50,3273,0.7583
2013-06-28,VMART,EQ,133.8,128.0,137.0,123.5,136.0,135.85,134.83,6686,90147075000.0,132,6324,0.9459
2013-07-01,VMART,EQ,135.85,128.15,139.0,128.1,139.0,138.25,137.62,1881,25885645000.0,35,1724,0.9165
2013-07-02,VMART,EQ,138.25,135.95,140.0,133.0,135.0,137.2,138.74,11258,1.5619783e+11,126,10359,0.9201
2013-07-03,VMART,EQ,137.2,134.95,136.9,130.1,135.0,135.15,133.43,409,5457185000.0,46,180,0.4401
2013-07-04,VMART,EQ,135.15,132.5,135.45,130.05,131.0,131.0,133.05,1972,26238215000.0,65,1223,0.6202
2013-07-05,VMART,EQ,131.0,130.5,130.75,130.0,130.0,130.4,130.49,235,3066470000.0,10,137,0.583
2013-07-08,VMART,EQ,130.4,129.0,135.45,128.0,134.0,134.1,133.34,6650,88670945000.0,259,5590,0.8406
2013-07-09,VMART,EQ,134.1,130.9,136.0,130.9,135.75,135.0,135.1,15861,2.14284615e+11,122,15270,0.9627
2013-07-10,VMART,EQ,135.0,135.35,135.5,132.0,132.0,132.65,135.22,9363,1.2660628e+11,59,9030,0.9644
2013-07-11,VMART,EQ,132.65,134.95,140.0,131.1,135.0,132.5,135.11,32313,4.36583395e+11,209,27748,0.8587
2013-07-12,VMART,EQ,132.5,135.0,150.8,134.0,150.0,149.8,142.89,23514,3.35992475e+11,510,11499,0.489
2013-07-15,VMART,EQ,149.8,151.95,160.9,145.0,159.75,154.7,154.69,36083,5.5816171e+11,695,20949,0.5806
2013-07-16,VMART,EQ,154.7,150.0,154.5,140.65,147.8,145.85,147.6,18305,2.70188575e+11,356,8910,0.4868
2013-07-17,VMART,EQ,145.85,147.75,150.0,143.25,149.0,148.3,147.05,7543,1.1091684e+11,84,6466,0.8572
2013-07-18,VMART,EQ,148.3,150.7,150.7,143.15,143.15,143.45,144.88,1686,24426335000.0,22,1570,0.9312
2013-07-19,VMART,EQ,143.45,140.2,143.0,138.0,140.0,140.0,141.14,1665,23500350000.0,47,887,0.5327
2013-07-22,VMART,EQ,140.0,144.95,144.95,140.0,140.0,140.0,140.13,3926,55016505000.0,37,3830,0.9755
2013-07-23,VMART,EQ,140.0,139.0,145.0,139.0,142.95,142.9,140.12,582,8155210000.0,35,553,0.9502
2013-07-24,VMART,EQ,142.9,140.0,141.0,135.35,140.0,140.0,137.68,864,11895390000.0,185,509,0.5891
2013-07-25,VMART,EQ,140.0,135.75,147.0,135.75,144.95,143.8,143.09,5045,72189150000.0,68,4447,0.8815
2013-07-26,VMART,EQ,143.8,144.0,150.0,132.6,139.0,139.25,139.37,16386,2.2836693e+11,170,14849,0.9062
2013-07-29,VMART,EQ,139.25,138.0,150.95,136.5,150.95,148.95,143.76,23575,3.3892559e+11,295,19017,0.8067
2013-07-30,VMART,EQ,148.95,150.0,151.45,142.5,150.0,148.4,147.8,6675,98653645000.0,70,4480,0.6712
2013-07-31,VMART,EQ,148.4,151.95,178.0,151.95,173.5,176.1,174.43,924933,1.6133516635e+13,1766,893469,0.966
2013-08-01,VMART,EQ,176.1,173.5,176.1,162.2,169.0,170.2,165.7,24488,4.0576689e+11,585,14340,0.5856
2013-08-02,VMART,EQ,170.2,167.1,170.2,165.0,169.9,167.25,167.74,2108,35359765000.0,100,1819,0.8629
2013-08-05,VMART,EQ,167.25,174.9,174.9,163.0,164.1,164.2,166.61,712,11862645000.0,39,592,0.8315
2013-08-06,VMART,EQ,164.2,165.25,166.9,165.0,165.0,165.15,165.13,1185,19567725000.0,49,1090,0.9198
2013-08-07,VMART,EQ,165.15,169.75,170.05,165.0,165.35,169.25,166.33,2376,39519730000.0,39,2123,0.8935
2013-08-08,VMART,EQ,169.25,165.05,171.75,165.05,171.0,169.9,170.44,7524,1.28241125e+11,133,2048,0.2722
2013-08-12,VMART,EQ,169.9,162.5,175.8,162.5,170.05,170.0,172.2,8107,1.3960454e+11,104,1687,0.2081
2013-08-13,VMART,EQ,170.0,173.05,173.8,170.0,170.0,170.05,172.0,5820,1.00101365e+11,47,577,0.0991
2013-08-14,VMART,EQ,170.05,173.0,173.0,167.25,168.0,169.65,169.19,6244,1.05645045e+11,50,257,0.0412
2013-08-16,VMART,EQ,169.65,168.3,169.0,165.0,165.0,165.75,167.58,5578,93477110000.0,41,257,0.0461
2013-08-19,VMART,EQ,165.75,167.5,172.9,166.05,171.5,169.35,168.18,6195,1.0418815e+11,74,921,0.1487
2013-08-20,VMART,EQ,169.35,165.1,171.7,165.1,171.5,169.6,169.74,8066,1.3691134e+11,55,851,0.1055
2013-08-21,VMART,EQ,169.6,170.1,172.95,170.0,172.0,170.05,170.86,8857,1.5132783e+11,128,2540,0.2868
2013-08-22,VMART,EQ,170.05,175.0,175.0,170.1,170.15,171.9,172.31,12749,2.19679905e+11,55,8646,0.6782
2013-08-23,VMART,EQ,171.9,170.0,174.4,170.0,173.0,173.85,172.31,15153,2.610968e+11,91,8202,0.5413
2013-08-26,VMART,EQ,173.85,173.05,175.0,170.0,174.0,173.5,173.01,11963,2.06966085e+11,95,6892,0.5761
2013-08-27,VMART,EQ,173.5,170.0,184.9,170.0,184.9,182.35,181.43,142591,2.587005395e+12,350,125591,0.8808
2013-08-28,VMART,EQ,182.35,180.0,184.8,175.75,183.5,182.3,181.66,30731,5.58248525e+11,184,24554,0.799
2013-08-29,VMART,EQ,182.3,177.9,202.0,177.35,189.5,191.05,186.45,19902,3.71076725e+11,260,9021,0.4533
2013-11-29,VMART,EQ,231.2,232.0,232.0,227.4,227.4,227.4,228.82,209,4782240000.0,6,209,1.0
2013-12-02,VMART,EQ,227.4,221.1,226.8,221.05,225.0,224.65,222.41,337,7495230000.0,35,297,0.8813
2013-12-03,VMART,EQ,224.65,223.0,233.95,223.0,224.7,229.0,228.08,1235,28168445000.0,29,1081,0.8753
2013-12-04,VMART,EQ,229.0,227.05,229.5,224.0,224.0,226.15,226.02,2250,50855535000.0,32,1697,0.7542
2013-12-05,VMART,EQ,226.15,230.0,231.0,214.85,215.0,215.9,222.7,2736,60931775000.0,48,2612,0.9547
2013-12-06,VMART,EQ,215.9,223.9,226.65,212.1,221.0,215.7,224.84,76885,1.728690495e+12,52,76452,0.9944
2013-12-09,VMART,EQ,215.7,225.0,225.0,215.1,219.5,218.85,219.58,353,7751140000.0,10,353,1.0
2013-12-10,VMART,EQ,218.85,215.0,223.8,212.55,223.8,220.95,217.34,663,14409480000.0,25,531,0.8009
2013-12-11,VMART,EQ,220.95,217.0,221.0,216.0,220.5,220.5,219.72,379,8327250000.0,10,308,0.8127
2013-12-12,VMART,EQ,220.5,225.0,225.0,221.0,222.0,222.95,223.11,707,15773890000.0,21,706,0.9986
2013-12-13,VMART,EQ,222.95,224.0,224.0,221.5,222.85,222.75,223.68,1333,29815900000.0,12,1323,0.9925
2013-12-16,VMART,EQ,222.75,212.0,222.0,212.0,218.0,219.05,220.25,263,5792610000.0,10,228,0.8669
2013-12-17,VMART,EQ,219.05,208.5,218.65,208.5,212.0,212.85,212.7,514,10932925000.0,77,356,0.6926
2013-12-18,VMART,EQ,212.85,215.0,215.0,213.0,213.0,213.0,214.13,63,1349000000.0,5,63,1.0
2013-12-19,VMART,EQ,213.0,213.5,222.0,213.5,222.0,222.0,218.5,1342,29323080000.0,31,1317,0.9814
2013-12-20,VMART,EQ,222.0,220.0,224.0,217.0,217.25,221.45,221.0,2114,46719610000.0,52,1876,0.8874
2013-12-23,VMART,EQ,221.45,215.35,222.0,215.35,222.0,219.45,219.46,742,16283645000.0,22,738,0.9946
2013-12-24,VMART,EQ,219.45,224.95,225.0,221.25,224.5,224.45,224.05,1883,42189230000.0,26,1683,0.8938
2013-12-26,VMART,EQ,224.45,225.0,235.0,222.0,230.0,229.6,229.05,5293,1.21236935e+11,140,4404,0.832
2013-12-27,VMART,EQ,229.6,229.0,235.0,226.1,235.0,234.05,232.0,1930,44776585000.0,47,1830,0.9482
2013-12-30,VMART,EQ,234.05,234.85,244.0,230.15,240.0,239.55,238.52,3980,94930875000.0,295,3567,0.8962
2013-12-31,VMART,EQ,239.55,240.0,243.5,231.0,241.25,242.4,240.97,2281,54964805000.0,233,2042,0.8952
2014-01-01,VMART,EQ,242.4,248.0,248.0,237.0,240.55,237.9,241.83,1575,38088730000.0,46,1294,0.8216
2014-01-02,VMART,EQ,237.9,238.0,238.0,230.0,232.0,231.45,233.21,1024,23880670000.0,32,966,0.9434
2014-01-03,VMART,EQ,231.45,230.0,237.85,230.0,234.5,233.55,233.35,1247,29099250000.0,33,1091,0.8749
2014-01-06,VMART,EQ,233.55,228.75,238.9,227.1,227.1,228.5,232.92,1725,40179525000.0,68,598,0.3467
2014-01-07,VMART,EQ,228.5,237.95,237.95,224.85,234.9,235.0,234.8,37314,8.76138105e+11,71,36964,0.9906
2014-01-08,VMART,EQ,235.0,232.05,239.0,232.05,237.0,238.0,236.32,1538,36345380000.0,50,1532,0.9961
2014-01-09,VMART,EQ,238.0,239.95,242.0,230.25,242.0,240.85,238.7,2599,62037685000.0,159,2327,0.8953
2014-01-10,VMART,EQ,240.85,242.95,243.0,236.0,240.15,240.2,241.04,2030,48932015000.0,36,1721,0.8478
2014-01-13,VMART,EQ,240.2,244.75,244.95,233.0,235.5,235.45,236.77,1064,25192625000.0,41,619,0.5818
2014-01-14,VMART,EQ,235.45,235.4,238.0,235.4,238.0,238.0,236.87,61,1444900000.0,5,31,0.5082
2014-01-15,VMART,EQ,238.0,236.8,243.0,236.05,241.9,241.8,240.9,1096,26403180000.0,51,757,0.6907
2014-01-16,VMART,EQ,241.8,245.45,245.45,240.15,243.0,243.0,242.12,685,16585100000.0,37,574,0.838
2014-01-17,VMART,EQ,243.0,241.9,243.0,240.0,240.5,240.5,240.68,1351,32516320000.0,20,1246,0.9223
2014-01-20,VMART,EQ,240.5,240.45,242.2,240.25,242.2,241.55,241.26,1242,29964485000.0,38,967,0.7786
2014-01-21,VMART,EQ,241.55,241.0,245.7,241.0,242.0,242.75,242.77,358,8691090000.0,18,283,0.7905
2014-01-22,VMART,EQ,242.75,242.75,246.0,242.05,242.1,242.35,242.72,1088,26408030000.0,25,785,0.7215
2014-01-23,VMART,EQ,242.35,248.5,249.0,244.15,245.0,245.05,246.81,1729,42672790000.0,84,1234,0.7137
