Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2015-04-30,VRLLOG,EQ,205.0,288.0,309.0,286.0,292.5,294.1,296.87,22868893,6.78900765765e+14,249340,7551426,0.3302,294.1,1.0
2015-05-04,VRLLOG,EQ,294.1,295.35,298.6,280.35,283.35,283.0,288.95,2035400,5.8812085485e+13,35314,519307,0.2551,283.0,1.0
2015-05-05,VRLLOG,EQ,283.0,283.0,289.85,279.2,288.6,285.55,284.56,1427091,4.060920721e+13,28221,475060,0.3329,285.55,1.0
2015-05-06,VRLLOG,EQ,285.55,285.8,292.0,275.75,277.0,279.25,282.92,1432505,4.05279837e+13,25700,469663,0.3279,279.25,1.0
2015-05-07,VRLLOG,EQ,279.25,276.75,283.8,273.1,274.3,275.1,277.2,836450,2.318599394e+13,18968,286966,0.3431,275.1,1.0
2015-05-08,VRLLOG,EQ,275.1,276.95,283.0,276.95,280.4,281.0,280.3,486076,1.3624830755e+13,9030,182569,0.3756,281.0,1.0
2015-05-11,VRLLOG,EQ,281.0,282.45,285.0,278.85,279.2,279.95,281.44,423633,1.192266468e+13,8035,205465,0.485,279.95,1.0
2015-05-12,VRLLOG,EQ,279.95,280.0,280.6,261.05,261.75,261.8,267.94,399348,1.0700326555e+13,7674,178621,0.4473,261.8,1.0
2015-05-13,VRLLOG,EQ,261.8,264.1,272.9,264.0,271.25,269.9,269.11,635630,1.7105166045e+13,16657,217353,0.3419,269.9,1.0
2015-05-14,VRLLOG,EQ,269.9,271.7,273.9,266.5,273.55,272.2,270.17,206959,5.59135336e+12,3515,68047,0.3288,272.2,1.0
2015-05-15,VRLLOG,EQ,272.2,274.75,275.55,265.5,267.5,267.55,270.68,182416,4.937597775e+12,3609,67765,0.3715,267.55,1.0
2015-05-18,VRLLOG,EQ,267.55,268.95,281.0,268.2,279.95,278.65,275.54,379421,1.045438634e+13,6448,153909,0.4056,278.65,1.0
2015-05-19,VRLLOG,EQ,278.65,279.7,294.8,275.3,289.5,288.9,288.05,1087895,3.133697214e+13,16865,319846,0.294,288.9,1.0
2015-05-20,VRLLOG,EQ,288.9,290.5,303.4,290.0,301.0,301.25,299.28,1585201,4.7441222805e+13,28933,455197,0.2872,301.25,1.0
2015-05-21,VRLLOG,EQ,301.25,302.0,303.5,290.8,291.5,292.5,295.35,547292,1.6164366535e+13,9374,195394,0.357,292.5,1.0
2015-05-22,VRLLOG,EQ,292.5,293.45,295.4,288.0,289.15,290.3,291.51,307189,8.955006585e+12,4311,104963,0.3417,290.3,1.0
2015-05-25,VRLLOG,EQ,290.3,290.4,303.0,288.85,296.2,297.2,297.81,902993,2.6892094355e+13,14084,302728,0.3352,297.2,1.0
2015-05-26,VRLLOG,EQ,297.2,305.0,328.7,299.9,320.75,320.15,312.84,3561776,1.11425363265e+14,50781,711059,0.1996,320.15,1.0
2015-05-27,VRLLOG,EQ,320.15,315.9,323.6,301.0,305.0,304.8,312.58,1527300,4.7740001535e+13,26478,445388,0.2916,304.8,1.0
2015-05-28,VRLLOG,EQ,304.8,305.8,320.8,305.4,316.3,317.55,314.7,1229267,3.868526178e+13,22748,323040,0.2628,317.55,1.0
2015-05-29,VRLLOG,EQ,317.55,316.15,321.0,307.1,308.0,309.35,314.29,627630,1.9725683695e+13,12507,178005,0.2836,309.35,1.0
2015-06-01,VRLLOG,EQ,309.35,308.9,312.35,305.6,306.25,306.55,308.34,313712,9.67301748e+12,5990,89101,0.284,306.55,1.0
2015-06-02,VRLLOG,EQ,306.55,308.75,313.65,298.5,298.5,301.15,306.81,485338,1.489064717e+13,7999,155280,0.3199,301.15,1.0
2015-06-03,VRLLOG,EQ,301.15,301.25,304.75,275.75,285.5,284.75,289.73,471672,1.3665650105e+13,8830,182784,0.3875,284.75,1.0
2015-06-04,VRLLOG,EQ,284.75,286.45,292.95,280.2,289.75,289.9,287.23,354331,1.0177409105e+13,7857,122408,0.3455,289.9,1.0
