Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-06-20,VSTTILLERS,EQ,481.25,485.0,491.0,465.0,485.0,478.85,477.71,5151,2.46067285e+11,249,2627,0.51
2011-06-21,VSTTILLERS,EQ,478.85,488.8,488.8,475.0,483.5,475.3,480.74,168,8076410000.0,17,121,0.7202
2011-06-22,VSTTILLERS,EQ,475.3,475.5,475.5,475.5,475.5,475.5,475.5,221,10508550000.0,1,221,1.0
2011-06-23,VSTTILLERS,EQ,475.5,473.0,492.0,472.0,473.0,473.3,477.89,279,13333250000.0,19,157,0.5627
2011-06-24,VSTTILLERS,EQ,473.3,480.0,483.0,474.0,480.0,480.0,479.48,676,32413000000.0,19,601,0.8891
2011-06-27,VSTTILLERS,EQ,480.0,481.5,492.0,481.0,481.0,481.0,485.12,1630,79074720000.0,31,1226,0.7521
2011-06-28,VSTTILLERS,EQ,481.0,478.0,491.95,478.0,481.15,481.15,478.92,52,2490380000.0,5,51,0.9808
2011-06-29,VSTTILLERS,EQ,481.15,485.0,495.0,480.0,483.0,483.0,484.0,71,3436390000.0,9,71,1.0
2011-06-30,VSTTILLERS,EQ,483.0,482.0,486.0,480.0,480.0,480.0,480.32,519,24928500000.0,17,514,0.9904
2011-07-01,VSTTILLERS,EQ,480.0,470.0,490.0,470.0,480.0,480.0,481.65,64,3082570000.0,8,50,0.7812
2011-07-04,VSTTILLERS,EQ,480.0,480.0,494.0,476.0,490.0,490.0,488.25,2889,1.4105673e+11,64,2613,0.9045
2011-07-05,VSTTILLERS,EQ,490.0,496.0,525.0,486.5,520.0,512.85,513.04,3244,1.6643069e+11,145,2392,0.7374
2011-07-06,VSTTILLERS,EQ,512.85,520.0,536.0,520.0,521.1,523.3,529.68,11094,5.87628045e+11,646,2545,0.2294
2011-07-07,VSTTILLERS,EQ,523.3,536.0,549.0,507.0,537.5,541.5,540.12,17456,9.42837435e+11,558,10692,0.6125
2011-07-08,VSTTILLERS,EQ,541.5,551.0,567.0,547.0,550.0,551.0,556.61,12605,7.0160971e+11,393,8199,0.6505
2011-07-11,VSTTILLERS,EQ,551.0,550.5,562.4,541.5,557.5,553.65,552.5,7161,3.95645865e+11,423,2935,0.4099
2011-07-12,VSTTILLERS,EQ,553.65,550.0,550.0,530.0,549.5,545.8,539.41,3917,2.1128676e+11,130,2925,0.7467
2011-07-13,VSTTILLERS,EQ,545.8,540.25,555.0,535.7,549.9,549.0,548.13,287,15731395000.0,26,235,0.8188
2011-07-14,VSTTILLERS,EQ,549.0,550.0,550.0,535.05,538.5,540.3,540.5,1638,88534275000.0,65,1169,0.7137
2011-07-15,VSTTILLERS,EQ,540.3,538.5,549.5,535.0,544.9,540.15,540.1,1481,79988580000.0,77,1222,0.8251
2011-07-18,VSTTILLERS,EQ,540.15,545.0,556.0,536.2,545.0,552.9,549.04,2943,1.61581725e+11,140,1794,0.6096
2011-07-19,VSTTILLERS,EQ,552.9,549.0,574.8,549.0,564.0,564.1,566.68,6342,3.59389835e+11,194,4668,0.736
2011-07-20,VSTTILLERS,EQ,564.1,569.9,578.0,563.05,568.5,567.3,570.13,9578,5.4607156e+11,286,5820,0.6076
2011-07-21,VSTTILLERS,EQ,567.3,568.0,574.0,568.0,568.0,568.0,568.41,2548,1.44831975e+11,73,2430,0.9537
2011-07-22,VSTTILLERS,EQ,568.0,570.0,577.75,562.5,569.95,568.35,570.56,3848,2.1955068e+11,105,3026,0.7864
2011-07-25,VSTTILLERS,EQ,568.35,576.35,580.0,570.0,570.0,570.05,572.52,2134,1.22176155e+11,55,1885,0.8833
2011-07-26,VSTTILLERS,EQ,570.05,566.1,574.0,551.6,574.0,566.4,561.49,19587,1.09978783e+12,106,18720,0.9557
2011-07-27,VSTTILLERS,EQ,566.4,555.0,565.0,555.0,562.0,562.1,561.14,1271,71321050000.0,30,993,0.7813
2011-07-28,VSTTILLERS,EQ,562.1,560.05,570.0,559.95,570.0,562.3,560.81,4690,2.6301994e+11,72,4364,0.9305
2011-07-29,VSTTILLERS,EQ,562.3,561.1,567.05,560.0,560.0,560.0,561.03,2691,1.5097315e+11,51,2145,0.7971
2011-08-01,VSTTILLERS,EQ,560.0,560.0,562.0,555.0,560.0,560.2,559.82,1518,84980525000.0,25,1498,0.9868
2011-08-02,VSTTILLERS,EQ,560.2,510.2,572.95,510.2,550.0,547.95,543.13,745,40463525000.0,54,597,0.8013
2011-08-03,VSTTILLERS,EQ,547.95,545.0,545.0,521.2,529.95,530.3,531.4,329,17483130000.0,47,165,0.5015
2011-08-04,VSTTILLERS,EQ,530.3,529.0,529.0,505.05,506.5,509.4,517.14,568,29373820000.0,38,509,0.8961
2011-08-05,VSTTILLERS,EQ,509.4,500.0,520.0,480.1,501.1,505.75,489.77,2095,1.02605895e+11,83,1733,0.8272
2011-08-08,VSTTILLERS,EQ,505.75,500.0,505.5,492.0,500.0,499.45,499.65,1359,67901975000.0,48,1257,0.9249
2011-08-09,VSTTILLERS,EQ,499.45,476.0,528.85,475.0,501.0,501.0,491.47,1155,56764975000.0,40,1079,0.9342
2011-08-09,VSTTILLERS,EQ,499.45,476.0,528.85,475.0,501.0,501.0,491.47,1155,56764975000.0,40,1079,0.9342
2011-08-10,VSTTILLERS,EQ,501.0,525.9,525.9,501.0,523.8,521.9,515.57,1297,66869890000.0,41,1261,0.9722
2011-08-11,VSTTILLERS,EQ,521.9,515.0,524.95,515.0,519.95,515.15,515.73,1101,56781655000.0,31,1090,0.99
