Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2010-01-08,WHIRLPOOL,EQ,137.1,132.0,142.8,132.0,142.0,141.1,141.62,3109,44028870000.0,,1110,0.357,141.1,1.0
2010-01-11,WHIRLPOOL,EQ,141.1,143.6,150.75,142.0,149.8,148.45,148.66,26901,3.99922465e+11,,18930,0.7037,148.45,1.0
2010-01-12,WHIRLPOOL,EQ,148.45,150.8,152.3,148.0,150.05,150.15,150.19,62770,9.4277181e+11,,55120,0.8781,150.15,1.0
2010-01-13,WHIRLPOOL,EQ,150.15,155.0,155.0,148.1,149.0,149.7,152.4,84049,1.280894155e+12,,51568,0.6135,149.7,1.0
2010-01-14,WHIRLPOOL,EQ,149.7,152.0,153.5,145.0,147.5,147.35,149.63,58312,8.72528815e+11,,36846,0.6319,147.35,1.0
2010-01-15,WHIRLPOOL,EQ,147.35,148.05,151.5,147.25,150.0,150.1,149.63,46568,6.96811045e+11,,40167,0.8625,150.1,1.0
2010-01-18,WHIRLPOOL,EQ,150.1,151.0,155.0,148.25,154.45,154.0,153.63,51478,7.90879295e+11,,33111,0.6432,154.0,1.0
2010-01-19,WHIRLPOOL,EQ,154.0,154.95,155.3,153.15,154.95,154.2,154.21,16835,2.59614425e+11,,13749,0.8167,154.2,1.0
2010-01-20,WHIRLPOOL,EQ,154.2,155.3,160.3,153.35,157.0,156.35,157.54,88326,1.39152772e+12,,43860,0.4966,156.35,1.0
2010-01-21,WHIRLPOOL,EQ,156.35,141.0,157.0,141.0,145.7,147.15,149.14,39208,5.8474065e+11,,26733,0.6818,147.15,1.0
2010-01-22,WHIRLPOOL,EQ,147.15,150.0,155.45,142.55,150.0,150.25,149.11,39730,5.9243124e+11,,29745,0.7487,150.25,1.0
2010-01-25,WHIRLPOOL,EQ,150.25,135.1,151.25,135.1,146.1,146.6,146.55,17609,2.5806156e+11,,13838,0.7858,146.6,1.0
2010-01-27,WHIRLPOOL,EQ,146.6,147.8,147.8,132.15,132.15,135.7,141.24,33556,4.7393381e+11,,23474,0.6995,135.7,1.0
