Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2000-02-23,WOCKPHARMA,EQ,949.3,850.0,870.0,809.45,809.45,809.45,812.48,11000,8.93724e+11,,,,269.816666667,3.0
2000-02-24,WOCKPHARMA,EQ,809.45,810.0,840.0,795.0,795.0,795.0,817.13,12800,1.0459315e+12,,,,265.0,3.0
2000-02-25,WOCKPHARMA,EQ,795.0,796.0,800.0,739.0,777.0,764.0,765.2,2600,1.98952e+11,,,,254.666666667,3.0
2000-02-28,WOCKPHARMA,EQ,764.0,765.0,774.0,744.0,765.0,765.05,755.32,10600,8.00642e+11,,,,255.016666667,3.0
2000-02-29,WOCKPHARMA,EQ,765.05,780.0,798.0,714.0,714.0,714.35,781.06,8600,6.717075e+11,,,,238.116666667,3.0
2000-03-01,WOCKPHARMA,EQ,714.35,690.0,700.0,676.2,684.0,683.2,685.83,1500,1.028745e+11,,,,227.733333333,3.0
2000-03-02,WOCKPHARMA,EQ,683.2,655.1,656.0,628.85,628.85,628.85,639.08,8100,5.17652e+11,,,,209.616666667,3.0
2000-03-03,WOCKPHARMA,EQ,628.85,587.0,600.0,578.6,589.0,584.7,587.84,5800,3.409485e+11,,,,194.9,3.0
2000-03-06,WOCKPHARMA,EQ,584.7,561.0,599.0,561.0,582.5,582.9,585.66,6100,3.57255e+11,,,,194.3,3.0
2000-03-07,WOCKPHARMA,EQ,582.9,585.1,600.0,581.1,590.0,592.3,593.04,14700,8.71763e+11,,,,197.433333333,3.0
2000-03-08,WOCKPHARMA,EQ,592.3,601.0,625.0,590.0,595.0,595.0,604.08,11800,7.12813e+11,,,,198.333333333,3.0
2000-03-09,WOCKPHARMA,EQ,595.0,619.0,619.0,582.5,589.9,589.9,591.29,7000,4.139035e+11,,,,196.633333333,3.0
2000-03-10,WOCKPHARMA,EQ,589.9,590.0,599.0,581.0,581.0,581.0,586.62,2900,1.70121e+11,,,,193.666666667,3.0
2000-03-13,WOCKPHARMA,EQ,581.0,591.0,612.9,581.0,599.0,599.0,591.87,7400,4.379855e+11,,,,199.666666667,3.0
2000-03-14,WOCKPHARMA,EQ,599.0,600.0,634.95,600.0,634.95,631.7,610.8,10000,6.108015e+11,,,,210.566666667,3.0
2000-03-15,WOCKPHARMA,EQ,631.7,634.0,682.0,631.5,682.0,681.75,670.72,16562,1.110852675e+12,,,,227.25,3.0
2000-03-16,WOCKPHARMA,EQ,681.75,679.0,736.3,636.0,736.0,731.5,688.68,9162,6.30969275e+11,,,,243.833333333,3.0
2000-03-21,WOCKPHARMA,EQ,731.5,702.0,774.9,701.1,765.0,762.6,755.02,13260,1.001159275e+12,,,,254.2,3.0
2000-03-22,WOCKPHARMA,EQ,762.6,823.6,823.6,710.0,745.0,745.0,763.0,7411,5.65458055e+11,,,,248.333333333,3.0
2000-03-23,WOCKPHARMA,EQ,745.0,725.0,725.0,687.5,687.5,688.35,703.13,3636,2.5565795e+11,,,,229.45,3.0
2000-03-24,WOCKPHARMA,EQ,688.35,705.0,717.75,688.0,700.0,699.65,699.95,106331,7.442591855e+12,,,,233.216666667,3.0
2000-03-27,WOCKPHARMA,EQ,699.65,710.0,710.0,677.5,677.5,680.3,692.91,8431,5.84188925e+11,,,,226.766666667,3.0
2000-03-28,WOCKPHARMA,EQ,680.3,680.0,682.5,626.0,626.25,628.6,657.92,34842,2.2923113e+12,,,,209.533333333,3.0
2000-03-29,WOCKPHARMA,EQ,628.6,620.0,638.9,578.35,578.35,578.35,589.49,29513,1.73974864e+12,,,,192.783333333,3.0
2000-03-30,WOCKPHARMA,EQ,578.35,546.0,570.0,532.25,532.25,532.25,535.92,55122,2.954109715e+12,,,,177.416666667,3.0
2000-03-31,WOCKPHARMA,EQ,532.25,522.0,574.85,515.0,574.85,574.75,559.29,41847,2.34047383e+12,,,,191.583333333,3.0
2000-04-03,WOCKPHARMA,EQ,574.75,588.0,596.0,555.0,560.0,559.45,573.05,30854,1.76810025e+12,,,,186.483333333,3.0
2000-04-04,WOCKPHARMA,EQ,559.45,545.0,550.0,514.7,514.7,514.7,527.11,15567,8.20552295e+11,,,,171.566666667,3.0
2000-04-05,WOCKPHARMA,EQ,514.7,520.0,540.0,473.55,510.0,474.45,493.91,59541,2.9408076e+12,,,,158.15,3.0
